date,countrycode,population,cases,deaths
2020-02-24,OM,4974992,0,0
2020-02-25,OM,4974992,0,0
2020-02-26,OM,4974992,2,0
2020-02-27,OM,4974992,0,0
2020-02-28,OM,4974992,0,0
2020-02-29,OM,4974992,2,0
2020-03-01,OM,4974992,0,0
2020-03-02,OM,4974992,0,0
2020-03-03,OM,4974992,6,0
2020-03-04,OM,4974992,3,0
2020-03-05,OM,4974992,1,0
2020-03-06,OM,4974992,0,0
2020-03-07,OM,4974992,0,0
2020-03-08,OM,4974992,0,0
2020-03-09,OM,4974992,0,0
2020-03-10,OM,4974992,2,0
2020-03-11,OM,4974992,0,0
2020-03-12,OM,4974992,0,0
2020-03-13,OM,4974992,1,0
2020-03-14,OM,4974992,0,0
2020-03-15,OM,4974992,3,0
2020-03-16,OM,4974992,0,0
2020-03-17,OM,4974992,2,0
2020-03-18,OM,4974992,15,0
2020-03-19,OM,4974992,9,0
2020-03-20,OM,4974992,0,0
2020-03-21,OM,4974992,4,0
2020-03-22,OM,4974992,3,0
2020-03-23,OM,4974992,11,0
2020-03-24,OM,4974992,18,0
2020-03-25,OM,4974992,15,0
2020-03-26,OM,4974992,10,0
2020-03-27,OM,4974992,22,0
2020-03-28,OM,4974992,21,0
2020-03-29,OM,4974992,15,0
2020-03-30,OM,4974992,12,0
2020-03-31,OM,4974992,13,1
2020-04-01,OM,4974992,18,0
2020-04-02,OM,4974992,21,0
2020-04-03,OM,4974992,21,0
2020-04-04,OM,4974992,25,1
2020-04-05,OM,4974992,21,0
2020-04-06,OM,4974992,33,0
2020-04-07,OM,4974992,40,0
2020-04-08,OM,4974992,48,0
2020-04-09,OM,4974992,38,1
2020-04-10,OM,4974992,27,0
2020-04-11,OM,4974992,62,0
2020-04-12,OM,4974992,53,1
2020-04-13,OM,4974992,128,0
2020-04-14,OM,4974992,86,0
2020-04-15,OM,4974992,97,0
2020-04-16,OM,4974992,109,0
2020-04-17,OM,4974992,50,2
2020-04-18,OM,4974992,111,0
