date,countrycode,population,cases,deaths
2020-03-06,PE,32510462,0,0
2020-03-07,PE,32510462,0,0
2020-03-08,PE,32510462,5,1
2020-03-09,PE,32510462,1,0
2020-03-10,PE,32510462,4,0
2020-03-11,PE,32510462,0,0
2020-03-12,PE,32510462,4,1
2020-03-13,PE,32510462,13,0
2020-03-14,PE,32510462,10,0
2020-03-15,PE,32510462,5,2
2020-03-16,PE,32510462,43,0
2020-03-17,PE,32510462,31,4
2020-03-18,PE,32510462,28,6
2020-03-19,PE,32510462,89,5
2020-03-20,PE,32510462,0,6
2020-03-21,PE,32510462,84,4
2020-03-22,PE,32510462,45,4
2020-03-23,PE,32510462,32,5
2020-03-24,PE,32510462,21,6
2020-03-25,PE,32510462,64,12
2020-03-26,PE,32510462,100,6
2020-03-27,PE,32510462,55,8
2020-03-28,PE,32510462,36,15
2020-03-29,PE,32510462,181,9
2020-03-30,PE,32510462,98,18
2020-03-31,PE,32510462,115,25
2020-04-01,PE,32510462,258,23
2020-04-02,PE,32510462,91,22
2020-04-03,PE,32510462,181,26
2020-04-04,PE,32510462,151,49
2020-04-05,PE,32510462,535,59
2020-04-06,PE,32510462,280,43
2020-04-07,PE,32510462,393,63
2020-04-08,PE,32510462,1388,48
2020-04-09,PE,32510462,914,98
2020-04-10,PE,32510462,641,81
2020-04-11,PE,32510462,951,103
2020-04-12,PE,32510462,671,93
2020-04-13,PE,32510462,2265,106
2020-04-14,PE,32510462,519,109
2020-04-15,PE,32510462,1172,139
2020-04-16,PE,32510462,1016,133
2020-04-17,PE,32510462,998,157
2020-04-18,PE,32510462,931,138
2020-04-19,PE,32510462,1208,158
2020-04-20,PE,32510462,697,204
2020-04-21,PE,32510462,1512,209
2020-04-22,PE,32510462,1413,219
2020-04-23,PE,32510462,1664,246
2020-04-24,PE,32510462,734,246
2020-04-25,PE,32510462,3683,288
2020-04-26,PE,32510462,2186,290
2020-04-27,PE,32510462,1182,305
2020-04-28,PE,32510462,2491,313
2020-04-29,PE,32510462,2741,344
2020-04-30,PE,32510462,3045,332
2020-05-01,PE,32510462,3483,399
2020-05-02,PE,32510462,2075,408
2020-05-03,PE,32510462,3394,415
2020-05-04,PE,32510462,1444,438
2020-05-05,PE,32510462,3817,429
2020-05-06,PE,32510462,3628,457
2020-05-07,PE,32510462,3709,481
2020-05-08,PE,32510462,3321,454
2020-05-09,PE,32510462,3168,477
2020-05-10,PE,32510462,2292,518
2020-05-11,PE,32510462,1515,520
2020-05-12,PE,32510462,3237,516
2020-05-13,PE,32510462,4247,466
2020-05-14,PE,32510462,4298,517
2020-05-15,PE,32510462,3891,547
2020-05-16,PE,32510462,4046,509
2020-05-17,PE,32510462,3732,502
2020-05-18,PE,32510462,2660,534
2020-05-19,PE,32510462,4550,615
2020-05-20,PE,32510462,4537,528
2020-05-21,PE,32510462,4749,544
