date,countrycode,population,cases,deaths
2020-03-20,PG,9122994,0,0
2020-03-21,PG,9122994,0,0
2020-03-22,PG,9122994,0,0
2020-03-23,PG,9122994,0,0
2020-03-24,PG,9122994,0,0
2020-03-25,PG,9122994,0,0
2020-03-26,PG,9122994,0,0
2020-03-27,PG,9122994,0,0
2020-03-28,PG,9122994,0,0
2020-03-29,PG,9122994,0,0
2020-03-30,PG,9122994,0,0
2020-03-31,PG,9122994,0,0
2020-04-01,PG,9122994,0,0
2020-04-02,PG,9122994,0,0
2020-04-03,PG,9122994,0,0
2020-04-04,PG,9122994,0,0
2020-04-05,PG,9122994,0,0
2020-04-06,PG,9122994,1,0
2020-04-07,PG,9122994,0,0
2020-04-08,PG,9122994,0,0
2020-04-09,PG,9122994,0,0
2020-04-10,PG,9122994,0,0
2020-04-11,PG,9122994,0,0
2020-04-12,PG,9122994,0,0
2020-04-13,PG,9122994,0,0
2020-04-14,PG,9122994,0,0
2020-04-15,PG,9122994,0,0
2020-04-16,PG,9122994,5,0
2020-04-17,PG,9122994,0,0
2020-04-18,PG,9122994,0,0
2020-04-19,PG,9122994,0,0
2020-04-20,PG,9122994,0,0
2020-04-21,PG,9122994,0,0
2020-04-22,PG,9122994,1,0
2020-04-23,PG,9122994,0,0
2020-04-24,PG,9122994,0,0
2020-04-25,PG,9122994,0,0
2020-04-26,PG,9122994,0,0
2020-04-27,PG,9122994,0,0
2020-04-28,PG,9122994,0,0
2020-04-29,PG,9122994,0,0
2020-04-30,PG,9122994,0,0
2020-05-01,PG,9122994,0,0
2020-05-02,PG,9122994,0,0
2020-05-03,PG,9122994,0,0
2020-05-04,PG,9122994,0,0
2020-05-05,PG,9122994,0,0
2020-05-06,PG,9122994,0,0
2020-05-07,PG,9122994,0,0
2020-05-08,PG,9122994,0,0
2020-05-09,PG,9122994,0,0
2020-05-10,PG,9122994,0,0
2020-05-11,PG,9122994,0,0
2020-05-12,PG,9122994,0,0
2020-05-13,PG,9122994,0,0
2020-05-14,PG,9122994,0,0
2020-05-15,PG,9122994,0,0
2020-05-16,PG,9122994,0,0
2020-05-17,PG,9122994,0,0
2020-05-18,PG,9122994,0,0
2020-05-19,PG,9122994,0,0
2020-05-20,PG,9122994,0,0
2020-05-21,PG,9122994,0,0
2020-05-22,PG,9122994,0,0
2020-05-23,PG,9122994,0,0
2020-05-24,PG,9122994,0,0
2020-05-25,PG,9122994,0,0
2020-05-26,PG,9122994,0,0
2020-05-27,PG,9122994,0,0
2020-05-28,PG,9122994,0,0
2020-05-29,PG,9122994,0,0
2020-05-30,PG,9122994,0,0
2020-05-31,PG,9122994,0,0
2020-06-01,PG,9122994,0,0
2020-06-02,PG,9122994,0,0
2020-06-03,PG,9122994,0,0
2020-06-04,PG,9122994,0,0
2020-06-05,PG,9122994,0,0
2020-06-06,PG,9122994,0,0
2020-06-07,PG,9122994,0,0
2020-06-08,PG,9122994,0,0
2020-06-09,PG,9122994,0,0
2020-06-10,PG,9122994,0,0
2020-06-11,PG,9122994,0,0
2020-06-12,PG,9122994,0,0
2020-06-13,PG,9122994,0,0
2020-06-14,PG,9122994,0,0
2020-06-15,PG,9122994,0,0
2020-06-16,PG,9122994,0,0
2020-06-17,PG,9122994,0,0
2020-06-18,PG,9122994,0,0
2020-06-19,PG,9122994,0,0
2020-06-20,PG,9122994,0,0
2020-06-21,PG,9122994,0,0
2020-06-22,PG,9122994,1,0
2020-06-23,PG,9122994,0,0
2020-06-24,PG,9122994,1,0
2020-06-25,PG,9122994,0,0
2020-06-26,PG,9122994,1,0
2020-06-27,PG,9122994,0,0
2020-06-28,PG,9122994,0,0
2020-06-29,PG,9122994,0,0
2020-06-30,PG,9122994,0,0
2020-07-01,PG,9122994,0,0
2020-07-02,PG,9122994,0,0
2020-07-03,PG,9122994,0,0
2020-07-04,PG,9122994,0,0
2020-07-05,PG,9122994,0,0
2020-07-06,PG,9122994,0,0
2020-07-07,PG,9122994,0,0
2020-07-08,PG,9122994,0,0
2020-07-09,PG,9122994,0,0
2020-07-10,PG,9122994,0,0
2020-07-11,PG,9122994,0,0
2020-07-12,PG,9122994,0,0
2020-07-13,PG,9122994,0,0
2020-07-14,PG,9122994,0,0
2020-07-15,PG,9122994,0,0
2020-07-16,PG,9122994,0,0
2020-07-17,PG,9122994,4,0
2020-07-18,PG,9122994,1,0
2020-07-19,PG,9122994,0,0
2020-07-20,PG,9122994,3,1
2020-07-21,PG,9122994,8,0
2020-07-22,PG,9122994,3,-1
2020-07-23,PG,9122994,1,0
2020-07-24,PG,9122994,1,0
2020-07-25,PG,9122994,7,0
2020-07-26,PG,9122994,23,0
2020-07-27,PG,9122994,0,0
2020-07-28,PG,9122994,1,0
2020-07-29,PG,9122994,0,1
