date,countrycode,population,cases,deaths
2020-01-30,PH,108116622,0,0
2020-01-31,PH,108116622,0,0
2020-02-01,PH,108116622,0,0
2020-02-02,PH,108116622,1,1
2020-02-03,PH,108116622,0,0
2020-02-04,PH,108116622,0,0
2020-02-05,PH,108116622,0,0
2020-02-06,PH,108116622,0,0
2020-02-07,PH,108116622,1,0
2020-02-08,PH,108116622,0,0
2020-02-09,PH,108116622,0,0
2020-02-10,PH,108116622,0,0
2020-02-11,PH,108116622,0,0
2020-02-12,PH,108116622,0,0
2020-02-13,PH,108116622,0,0
2020-02-14,PH,108116622,0,0
2020-02-15,PH,108116622,0,0
2020-02-16,PH,108116622,0,0
2020-02-17,PH,108116622,0,0
2020-02-18,PH,108116622,0,0
2020-02-19,PH,108116622,0,0
2020-02-20,PH,108116622,0,0
2020-02-21,PH,108116622,0,0
2020-02-22,PH,108116622,0,0
2020-02-23,PH,108116622,0,0
2020-02-24,PH,108116622,0,0
2020-02-25,PH,108116622,0,0
2020-02-26,PH,108116622,0,0
2020-02-27,PH,108116622,0,0
2020-02-28,PH,108116622,0,0
2020-02-29,PH,108116622,0,0
2020-03-01,PH,108116622,0,0
2020-03-02,PH,108116622,0,0
2020-03-03,PH,108116622,0,0
2020-03-04,PH,108116622,0,0
2020-03-05,PH,108116622,0,0
2020-03-06,PH,108116622,2,0
2020-03-07,PH,108116622,1,0
2020-03-08,PH,108116622,4,0
2020-03-09,PH,108116622,10,0
2020-03-10,PH,108116622,13,0
2020-03-11,PH,108116622,16,0
2020-03-12,PH,108116622,3,1
2020-03-13,PH,108116622,12,3
2020-03-14,PH,108116622,47,3
2020-03-15,PH,108116622,29,3
2020-03-16,PH,108116622,2,1
2020-03-17,PH,108116622,45,0
2020-03-18,PH,108116622,15,7
2020-03-19,PH,108116622,15,-2
2020-03-20,PH,108116622,13,1
2020-03-21,PH,108116622,77,1
2020-03-22,PH,108116622,73,6
2020-03-23,PH,108116622,82,8
2020-03-24,PH,108116622,90,2
2020-03-25,PH,108116622,84,3
2020-03-26,PH,108116622,71,7
2020-03-27,PH,108116622,96,9
2020-03-28,PH,108116622,272,14
2020-03-29,PH,108116622,343,3
2020-03-30,PH,108116622,128,7
2020-03-31,PH,108116622,538,10
2020-04-01,PH,108116622,227,8
2020-04-02,PH,108116622,322,11
2020-04-03,PH,108116622,385,29
2020-04-04,PH,108116622,76,8
2020-04-05,PH,108116622,152,8
2020-04-06,PH,108116622,414,11
2020-04-07,PH,108116622,104,14
2020-04-08,PH,108116622,106,5
2020-04-09,PH,108116622,206,21
2020-04-10,PH,108116622,119,18
2020-04-11,PH,108116622,233,26
2020-04-12,PH,108116622,220,50
2020-04-13,PH,108116622,284,18
2020-04-14,PH,108116622,291,20
2020-04-15,PH,108116622,230,14
2020-04-16,PH,108116622,207,13
2020-04-17,PH,108116622,218,25
2020-04-18,PH,108116622,209,10
2020-04-19,PH,108116622,172,12
2020-04-20,PH,108116622,200,19
2020-04-21,PH,108116622,140,9
2020-04-22,PH,108116622,111,9
2020-04-23,PH,108116622,271,16
2020-04-24,PH,108116622,211,15
2020-04-25,PH,108116622,102,17
2020-04-26,PH,108116622,285,7
2020-04-27,PH,108116622,198,10
2020-04-28,PH,108116622,181,19
2020-04-29,PH,108116622,254,28
2020-04-30,PH,108116622,276,10
2020-05-01,PH,108116622,284,11
2020-05-02,PH,108116622,156,24
2020-05-03,PH,108116622,295,4
2020-05-04,PH,108116622,262,16
2020-05-05,PH,108116622,199,14
2020-05-06,PH,108116622,320,21
2020-05-07,PH,108116622,339,27
2020-05-08,PH,108116622,120,11
2020-05-09,PH,108116622,147,8
2020-05-10,PH,108116622,184,15
2020-05-11,PH,108116622,292,7
2020-05-12,PH,108116622,264,25
2020-05-13,PH,108116622,268,21
2020-05-14,PH,108116622,258,18
2020-05-15,PH,108116622,215,16
2020-05-16,PH,108116622,214,11
2020-05-17,PH,108116622,208,7
2020-05-18,PH,108116622,205,7
2020-05-19,PH,108116622,224,6
2020-05-20,PH,108116622,279,5
2020-05-21,PH,108116622,213,4
2020-05-22,PH,108116622,163,11
2020-05-23,PH,108116622,180,6
2020-05-24,PH,108116622,258,5
2020-05-25,PH,108116622,284,5
2020-05-26,PH,108116622,350,13
2020-05-27,PH,108116622,380,18
2020-05-28,PH,108116622,539,17
2020-05-29,PH,108116622,1046,21
2020-05-30,PH,108116622,590,8
2020-05-31,PH,108116622,862,7
2020-06-01,PH,108116622,552,3
2020-06-02,PH,108116622,359,6
2020-06-03,PH,108116622,751,8
2020-06-04,PH,108116622,634,10
2020-06-05,PH,108116622,244,3
2020-06-06,PH,108116622,714,7
2020-06-07,PH,108116622,555,9
2020-06-08,PH,108116622,579,8
2020-06-09,PH,108116622,518,6
2020-06-10,PH,108116622,740,10
2020-06-11,PH,108116622,443,9
2020-06-12,PH,108116622,612,16
2020-06-13,PH,108116622,605,22
2020-06-14,PH,108116622,538,14
2020-06-15,PH,108116622,490,10
2020-06-16,PH,108116622,361,5
2020-06-17,PH,108116622,457,5
2020-06-18,PH,108116622,561,8
2020-06-19,PH,108116622,660,14
2020-06-20,PH,108116622,941,20
2020-06-21,PH,108116622,652,19
2020-06-22,PH,108116622,630,8
2020-06-23,PH,108116622,1143,9
2020-06-24,PH,108116622,470,18
2020-06-25,PH,108116622,774,8
2020-06-26,PH,108116622,1004,12
2020-06-27,PH,108116622,730,12
2020-06-28,PH,108116622,652,8
2020-06-29,PH,108116622,983,11
2020-06-30,PH,108116622,1076,11
2020-07-01,PH,108116622,997,4
2020-07-02,PH,108116622,294,4
2020-07-03,PH,108116622,1531,6
2020-07-04,PH,108116622,1494,10
2020-07-05,PH,108116622,2424,7
2020-07-06,PH,108116622,2079,6
2020-07-07,PH,108116622,1540,6
2020-07-08,PH,108116622,2486,5
2020-07-09,PH,108116622,1395,0
2020-07-10,PH,108116622,1160,46
2020-07-11,PH,108116622,1308,12
2020-07-12,PH,108116622,2037,162
2020-07-13,PH,108116622,747,65
2020-07-14,PH,108116622,539,4
2020-07-15,PH,108116622,1305,11
2020-07-16,PH,108116622,2416,29
2020-07-17,PH,108116622,1735,17
2020-07-18,PH,108116622,2303,113
2020-07-19,PH,108116622,2152,58
2020-07-20,PH,108116622,1442,4
2020-07-21,PH,108116622,1866,2
2020-07-22,PH,108116622,1505,6
2020-07-23,PH,108116622,2121,28
2020-07-24,PH,108116622,2054,8
2020-07-25,PH,108116622,1968,18
2020-07-26,PH,108116622,2036,35
2020-07-27,PH,108116622,1592,13
2020-07-28,PH,108116622,1633,2
2020-07-29,PH,108116622,1813,15
2020-07-30,PH,108116622,3888,21
2020-07-31,PH,108116622,3980,40
2020-08-01,PH,108116622,4878,16
2020-08-02,PH,108116622,4953,20
2020-08-03,PH,108116622,3145,45
2020-08-04,PH,108116622,6263,11
2020-08-05,PH,108116622,3387,8
2020-08-06,PH,108116622,3480,27
2020-08-07,PH,108116622,3294,18
2020-08-08,PH,108116622,4131,41
2020-08-09,PH,108116622,3028,61
2020-08-10,PH,108116622,6725,24
2020-08-11,PH,108116622,2900,18
2020-08-12,PH,108116622,4211,92
2020-08-13,PH,108116622,3777,22
2020-08-14,PH,108116622,6134,16
2020-08-15,PH,108116622,4258,158
2020-08-16,PH,108116622,3335,65
2020-08-17,PH,108116622,3221,16
2020-08-18,PH,108116622,4739,6
2020-08-19,PH,108116622,4561,108
2020-08-20,PH,108116622,4248,88
2020-08-21,PH,108116622,4343,57
2020-08-22,PH,108116622,4884,26
2020-08-23,PH,108116622,2352,32
2020-08-24,PH,108116622,4651,12
2020-08-25,PH,108116622,2912,28
2020-08-26,PH,108116622,5197,99
2020-08-27,PH,108116622,3220,97
2020-08-28,PH,108116622,3963,91
2020-08-29,PH,108116622,3587,94
2020-08-30,PH,108116622,4265,101
2020-08-31,PH,108116622,3423,38
2020-09-01,PH,108116622,3445,39
2020-09-02,PH,108116622,2176,26
2020-09-03,PH,108116622,1963,65
2020-09-04,PH,108116622,3669,49
2020-09-05,PH,108116622,2498,53
2020-09-06,PH,108116622,2795,85
2020-09-07,PH,108116622,1362,15
2020-09-08,PH,108116622,3260,26
2020-09-09,PH,108116622,3156,70
2020-09-10,PH,108116622,3804,80
2020-09-11,PH,108116622,4017,42
2020-09-12,PH,108116622,4899,184
2020-09-13,PH,108116622,3353,79
2020-09-14,PH,108116622,4672,259
2020-09-15,PH,108116622,3519,33
2020-09-16,PH,108116622,3527,69
2020-09-17,PH,108116622,3355,53
2020-09-18,PH,108116622,3237,45
2020-09-19,PH,108116622,3934,100
2020-09-20,PH,108116622,3283,54
2020-09-21,PH,108116622,3447,15
2020-09-22,PH,108116622,1599,50
2020-09-23,PH,108116622,2802,42
2020-09-24,PH,108116622,2164,36
2020-09-25,PH,108116622,2606,69
2020-09-26,PH,108116622,1895,88
2020-09-27,PH,108116622,2970,60
2020-09-28,PH,108116622,3062,37
2020-09-29,PH,108116622,2015,67
2020-09-30,PH,108116622,2391,56
2020-10-01,PH,108116622,2385,58
2020-10-02,PH,108116622,2599,54
2020-10-03,PH,108116622,2652,62
2020-10-04,PH,108116622,3167,98
2020-10-05,PH,108116622,2265,64
2020-10-06,PH,108116622,2071,25
2020-10-07,PH,108116622,2804,60
2020-10-08,PH,108116622,2232,144
2020-10-09,PH,108116622,2901,83
2020-10-10,PH,108116622,2156,86
2020-10-11,PH,108116622,2415,83
2020-10-12,PH,108116622,3475,11
2020-10-13,PH,108116622,1897,40
2020-10-14,PH,108116622,1823,77
2020-10-15,PH,108116622,2162,48
2020-10-16,PH,108116622,3052,34
2020-10-17,PH,108116622,2588,72
2020-10-18,PH,108116622,2280,49
2020-10-19,PH,108116622,2551,23
2020-10-20,PH,108116622,1606,15
2020-10-21,PH,108116622,1468,57
2020-10-22,PH,108116622,1645,36
2020-10-23,PH,108116622,1911,132
2020-10-24,PH,108116622,2020,19
2020-10-25,PH,108116622,2209,43
2020-10-26,PH,108116622,1602,62
2020-10-27,PH,108116622,1514,14
2020-10-28,PH,108116622,2036,61
2020-10-29,PH,108116622,1755,33
2020-10-30,PH,108116622,1998,38
2020-10-31,PH,108116622,1796,36
2020-11-01,PH,108116622,2384,17
2020-11-02,PH,108116622,2287,31
2020-11-03,PH,108116622,1761,49
2020-11-04,PH,108116622,976,49
2020-11-05,PH,108116622,1588,42
2020-11-06,PH,108116622,2084,52
2020-11-07,PH,108116622,2152,24
2020-11-08,PH,108116622,2434,54
