date,countrycode,population,cases,deaths
2020-02-26,PK,216565317,0,0
2020-02-27,PK,216565317,0,0
2020-02-28,PK,216565317,0,0
2020-02-29,PK,216565317,2,0
2020-03-01,PK,216565317,0,0
2020-03-02,PK,216565317,0,0
2020-03-03,PK,216565317,1,0
2020-03-04,PK,216565317,0,0
2020-03-05,PK,216565317,0,0
2020-03-06,PK,216565317,1,0
2020-03-07,PK,216565317,0,0
2020-03-08,PK,216565317,0,0
2020-03-09,PK,216565317,0,0
2020-03-10,PK,216565317,10,0
2020-03-11,PK,216565317,3,0
2020-03-12,PK,216565317,1,0
2020-03-13,PK,216565317,8,0
2020-03-14,PK,216565317,3,0
2020-03-15,PK,216565317,22,0
2020-03-16,PK,216565317,83,0
2020-03-17,PK,216565317,100,0
2020-03-18,PK,216565317,63,0
2020-03-19,PK,216565317,155,2
2020-03-20,PK,216565317,47,1
2020-03-21,PK,216565317,229,0
2020-03-22,PK,216565317,46,1
2020-03-23,PK,216565317,99,2
2020-03-24,PK,216565317,97,1
2020-03-25,PK,216565317,91,1
2020-03-26,PK,216565317,138,1
2020-03-27,PK,216565317,172,2
2020-03-28,PK,216565317,122,1
2020-03-29,PK,216565317,102,2
2020-03-30,PK,216565317,120,7
2020-03-31,PK,216565317,221,5
2020-04-01,PK,216565317,180,1
2020-04-02,PK,216565317,303,7
2020-04-03,PK,216565317,265,6
2020-04-04,PK,216565317,132,1
2020-04-05,PK,216565317,339,6
2020-04-06,PK,216565317,609,6
2020-04-07,PK,216565317,269,4
2020-04-08,PK,216565317,228,4
2020-04-09,PK,216565317,226,4
2020-04-10,PK,216565317,206,1
2020-04-11,PK,216565317,316,20
2020-04-12,PK,216565317,219,5
2020-04-13,PK,216565317,266,2
2020-04-14,PK,216565317,341,3
2020-04-15,PK,216565317,546,15
2020-04-16,PK,216565317,536,17
2020-04-17,PK,216565317,106,7
2020-04-18,PK,216565317,613,8
2020-04-19,PK,216565317,710,25
2020-04-20,PK,216565317,70,8
2020-04-21,PK,216565317,1147,25
2020-04-22,PK,216565317,511,11
2020-04-23,PK,216565317,1079,25
2020-04-24,PK,216565317,785,16
2020-04-25,PK,216565317,783,16
2020-04-26,PK,216565317,605,12
2020-04-27,PK,216565317,587,11
2020-04-28,PK,216565317,697,20
2020-04-29,PK,216565317,913,31
2020-04-30,PK,216565317,1292,42
2020-05-01,PK,216565317,1297,32
2020-05-02,PK,216565317,989,23
2020-05-03,PK,216565317,981,17
2020-05-04,PK,216565317,857,19
2020-05-05,PK,216565317,1108,38
2020-05-06,PK,216565317,2024,50
2020-05-07,PK,216565317,571,21
2020-05-08,PK,216565317,1791,14
2020-05-09,PK,216565317,2301,37
2020-05-10,PK,216565317,1598,23
