date,countrycode,population,cases,deaths
2020-03-04,PL,37972812,0,0
2020-03-05,PL,37972812,0,0
2020-03-06,PL,37972812,4,0
2020-03-07,PL,37972812,0,0
2020-03-08,PL,37972812,6,0
2020-03-09,PL,37972812,5,0
2020-03-10,PL,37972812,6,0
2020-03-11,PL,37972812,9,0
2020-03-12,PL,37972812,18,1
2020-03-13,PL,37972812,19,1
2020-03-14,PL,37972812,35,1
2020-03-15,PL,37972812,16,0
2020-03-16,PL,37972812,58,1
2020-03-17,PL,37972812,61,1
2020-03-18,PL,37972812,13,0
2020-03-19,PL,37972812,104,0
2020-03-20,PL,37972812,70,0
2020-03-21,PL,37972812,111,0
2020-03-22,PL,37972812,98,2
2020-03-23,PL,37972812,115,1
2020-03-24,PL,37972812,152,2
2020-03-25,PL,37972812,150,4
2020-03-26,PL,37972812,170,2
2020-03-27,PL,37972812,168,0
2020-03-28,PL,37972812,249,2
2020-03-29,PL,37972812,224,4
2020-03-30,PL,37972812,193,9
2020-03-31,PL,37972812,256,2
2020-04-01,PL,37972812,243,10
2020-04-02,PL,37972812,392,14
2020-04-03,PL,37972812,437,14
2020-04-04,PL,37972812,244,8
2020-04-05,PL,37972812,475,15
2020-04-06,PL,37972812,311,13
2020-04-07,PL,37972812,435,22
2020-04-08,PL,37972812,357,30
2020-04-09,PL,37972812,370,15
2020-04-10,PL,37972812,380,7
2020-04-11,PL,37972812,401,27
2020-04-12,PL,37972812,318,24
2020-04-13,PL,37972812,260,13
2020-04-14,PL,37972812,268,18
2020-04-15,PL,37972812,380,23
2020-04-16,PL,37972812,336,28
2020-04-17,PL,37972812,461,18
2020-04-18,PL,37972812,363,15
2020-04-19,PL,37972812,545,13
2020-04-20,PL,37972812,306,20
2020-04-21,PL,37972812,263,21
2020-04-22,PL,37972812,313,25
2020-04-23,PL,37972812,342,28
2020-04-24,PL,37972812,381,40
2020-04-25,PL,37972812,381,30
2020-04-26,PL,37972812,344,11
2020-04-27,PL,37972812,285,27
2020-04-28,PL,37972812,316,34
2020-04-29,PL,37972812,422,28
2020-04-30,PL,37972812,237,20
2020-05-01,PL,37972812,228,7
2020-05-02,PL,37972812,270,13
2020-05-03,PL,37972812,318,14
2020-05-04,PL,37972812,313,20
2020-05-05,PL,37972812,425,18
2020-05-06,PL,37972812,309,17
2020-05-07,PL,37972812,307,22
2020-05-08,PL,37972812,319,21
2020-05-09,PL,37972812,285,9
2020-05-10,PL,37972812,345,15
2020-05-11,PL,37972812,330,11
2020-05-12,PL,37972812,595,28
2020-05-13,PL,37972812,283,22
2020-05-14,PL,37972812,411,22
2020-05-15,PL,37972812,401,24
2020-05-16,PL,37972812,241,8
2020-05-17,PL,37972812,272,10
2020-05-18,PL,37972812,356,11
2020-05-19,PL,37972812,383,12
2020-05-20,PL,37972812,471,14
2020-05-21,PL,37972812,404,10
2020-05-22,PL,37972812,476,10
2020-05-23,PL,37972812,312,11
2020-05-24,PL,37972812,395,3
2020-05-25,PL,37972812,305,11
2020-05-26,PL,37972812,443,17
2020-05-27,PL,37972812,399,4
2020-05-28,PL,37972812,352,10
2020-05-29,PL,37972812,330,13
2020-05-30,PL,37972812,416,10
2020-05-31,PL,37972812,215,3
2020-06-01,PL,37972812,379,10
2020-06-02,PL,37972812,230,18
2020-06-03,PL,37972812,292,23
2020-06-04,PL,37972812,361,2
2020-06-05,PL,37972812,362,20
2020-06-06,PL,37972812,576,16
2020-06-07,PL,37972812,575,4
2020-06-08,PL,37972812,599,9
2020-06-09,PL,37972812,400,17
2020-06-10,PL,37972812,282,23
2020-06-11,PL,37972812,359,9
2020-06-12,PL,37972812,376,7
2020-06-13,PL,37972812,440,15
2020-06-14,PL,37972812,375,10
2020-06-15,PL,37972812,396,9
2020-06-16,PL,37972812,407,16
2020-06-17,PL,37972812,506,14
2020-06-18,PL,37972812,314,30
2020-06-19,PL,37972812,301,18
2020-06-20,PL,37972812,304,12
2020-06-21,PL,37972812,311,10
2020-06-22,PL,37972812,296,3
2020-06-23,PL,37972812,300,16
2020-06-24,PL,37972812,294,21
2020-06-25,PL,37972812,298,16
2020-06-26,PL,37972812,276,17
2020-06-27,PL,37972812,319,6
2020-06-28,PL,37972812,193,3
2020-06-29,PL,37972812,247,6
2020-06-30,PL,37972812,239,19
2020-07-01,PL,37972812,382,14
2020-07-02,PL,37972812,371,15
2020-07-03,PL,37972812,259,15
2020-07-04,PL,37972812,314,5
2020-07-05,PL,37972812,231,5
2020-07-06,PL,37972812,205,4
2020-07-07,PL,37972812,257,7
2020-07-08,PL,37972812,277,14
2020-07-09,PL,37972812,262,9
2020-07-10,PL,37972812,265,11
2020-07-11,PL,37972812,305,6
2020-07-12,PL,37972812,370,3
2020-07-13,PL,37972812,299,5
2020-07-14,PL,37972812,267,12
2020-07-15,PL,37972812,264,6
2020-07-16,PL,37972812,333,11
2020-07-17,PL,37972812,353,7
2020-07-18,PL,37972812,339,6
2020-07-19,PL,37972812,358,6
2020-07-20,PL,37972812,279,3
2020-07-21,PL,37972812,399,9
2020-07-22,PL,37972812,380,6
2020-07-23,PL,37972812,418,9
2020-07-24,PL,37972812,458,4
2020-07-25,PL,37972812,584,9
2020-07-26,PL,37972812,443,7
2020-07-27,PL,37972812,337,5
2020-07-28,PL,37972812,502,6
2020-07-29,PL,37972812,512,12
2020-07-30,PL,37972812,615,15
2020-07-31,PL,37972812,657,7
2020-08-01,PL,37972812,658,5
2020-08-02,PL,37972812,548,10
2020-08-03,PL,37972812,575,1
2020-08-04,PL,37972812,680,6
2020-08-05,PL,37972812,640,18
2020-08-06,PL,37972812,726,18
2020-08-07,PL,37972812,809,13
2020-08-08,PL,37972812,843,13
2020-08-09,PL,37972812,624,7
2020-08-10,PL,37972812,619,2
2020-08-11,PL,37972812,551,12
2020-08-12,PL,37972812,715,9
2020-08-13,PL,37972812,811,14
2020-08-14,PL,37972812,832,14
2020-08-15,PL,37972812,771,11
2020-08-16,PL,37972812,594,8
2020-08-17,PL,37972812,595,8
2020-08-18,PL,37972812,597,11
2020-08-19,PL,37972812,735,17
2020-08-20,PL,37972812,767,12
2020-08-21,PL,37972812,903,13
2020-08-22,PL,37972812,900,13
2020-08-23,PL,37972812,581,4
2020-08-24,PL,37972812,548,5
2020-08-25,PL,37972812,763,17
2020-08-26,PL,37972812,729,17
2020-08-27,PL,37972812,887,16
2020-08-28,PL,37972812,791,8
2020-08-29,PL,37972812,759,14
2020-08-30,PL,37972812,631,1
2020-08-31,PL,37972812,502,6
2020-09-01,PL,37972812,550,19
2020-09-02,PL,37972812,595,20
2020-09-03,PL,37972812,612,14
2020-09-04,PL,37972812,691,8
2020-09-05,PL,37972812,567,13
2020-09-06,PL,37972812,437,7
2020-09-07,PL,37972812,302,4
2020-09-08,PL,37972812,400,12
2020-09-09,PL,37972812,421,11
2020-09-10,PL,37972812,506,12
2020-09-11,PL,37972812,594,10
2020-09-12,PL,37972812,603,13
2020-09-13,PL,37972812,502,6
2020-09-14,PL,37972812,377,15
2020-09-15,PL,37972812,605,24
2020-09-16,PL,37972812,600,10
2020-09-17,PL,37972812,837,16
2020-09-18,PL,37972812,757,17
2020-09-19,PL,37972812,1002,12
2020-09-20,PL,37972812,910,11
2020-09-21,PL,37972812,748,5
2020-09-22,PL,37972812,711,18
2020-09-23,PL,37972812,974,28
2020-09-24,PL,37972812,1136,25
2020-09-25,PL,37972812,1587,23
2020-09-26,PL,37972812,1584,32
2020-09-27,PL,37972812,1350,8
2020-09-28,PL,37972812,1306,15
2020-09-29,PL,37972812,1326,36
2020-09-30,PL,37972812,1552,30
2020-10-01,PL,37972812,1967,30
2020-10-02,PL,37972812,2292,27
2020-10-03,PL,37972812,2367,34
2020-10-04,PL,37972812,1934,26
2020-10-05,PL,37972812,2006,29
2020-10-06,PL,37972812,2236,58
2020-10-07,PL,37972812,3003,75
2020-10-08,PL,37972812,4280,75
2020-10-09,PL,37972812,4739,52
2020-10-10,PL,37972812,5300,53
2020-10-11,PL,37972812,4178,32
2020-10-12,PL,37972812,4394,35
2020-10-13,PL,37972812,5068,62
2020-10-14,PL,37972812,6526,116
2020-10-15,PL,37972812,8099,91
2020-10-16,PL,37972812,7705,132
2020-10-17,PL,37972812,9622,84
2020-10-18,PL,37972812,8536,49
2020-10-19,PL,37972812,7482,41
