date,countrycode,population,cases,deaths
2020-01-22,PW,17957,0,0
2020-01-23,PW,17957,0,0
2020-01-24,PW,17957,0,0
2020-01-25,PW,17957,0,0
2020-01-26,PW,17957,0,0
2020-01-27,PW,17957,0,0
2020-01-28,PW,17957,0,0
2020-01-29,PW,17957,0,0
2020-01-30,PW,17957,0,0
2020-01-31,PW,17957,0,0
2020-02-01,PW,17957,0,0
2020-02-02,PW,17957,0,0
2020-02-03,PW,17957,0,0
2020-02-04,PW,17957,0,0
2020-02-05,PW,17957,0,0
2020-02-06,PW,17957,0,0
2020-02-07,PW,17957,0,0
2020-02-08,PW,17957,0,0
2020-02-09,PW,17957,0,0
2020-02-10,PW,17957,0,0
2020-02-11,PW,17957,0,0
2020-02-12,PW,17957,0,0
2020-02-13,PW,17957,0,0
2020-02-14,PW,17957,0,0
2020-02-15,PW,17957,0,0
2020-02-16,PW,17957,0,0
2020-02-17,PW,17957,0,0
2020-02-18,PW,17957,0,0
2020-02-19,PW,17957,0,0
2020-02-20,PW,17957,0,0
2020-02-21,PW,17957,0,0
2020-02-22,PW,17957,0,0
2020-02-23,PW,17957,0,0
2020-02-24,PW,17957,0,0
2020-02-25,PW,17957,0,0
2020-02-26,PW,17957,0,0
2020-02-27,PW,17957,0,0
2020-02-28,PW,17957,0,0
2020-02-29,PW,17957,0,0
2020-03-01,PW,17957,0,0
2020-03-02,PW,17957,0,0
2020-03-03,PW,17957,0,0
2020-03-04,PW,17957,0,0
2020-03-05,PW,17957,0,0
2020-03-06,PW,17957,0,0
2020-03-07,PW,17957,0,0
2020-03-08,PW,17957,0,0
2020-03-09,PW,17957,0,0
2020-03-10,PW,17957,0,0
2020-03-11,PW,17957,0,0
2020-03-12,PW,17957,0,0
2020-03-13,PW,17957,0,0
2020-03-14,PW,17957,0,0
2020-03-15,PW,17957,0,0
2020-03-16,PW,17957,0,0
2020-03-17,PW,17957,0,0
2020-03-18,PW,17957,0,0
2020-03-19,PW,17957,0,0
2020-03-20,PW,17957,0,0
2020-03-21,PW,17957,0,0
2020-03-22,PW,17957,0,0
2020-03-23,PW,17957,0,0
2020-03-24,PW,17957,0,0
2020-03-25,PW,17957,0,0
2020-03-26,PW,17957,0,0
2020-03-27,PW,17957,0,0
2020-03-28,PW,17957,0,0
2020-03-29,PW,17957,0,0
2020-03-30,PW,17957,0,0
2020-03-31,PW,17957,0,0
2020-04-01,PW,17957,0,0
2020-04-02,PW,17957,0,0
2020-04-03,PW,17957,0,0
2020-04-04,PW,17957,0,0
2020-04-05,PW,17957,0,0
2020-04-06,PW,17957,0,0
2020-04-07,PW,17957,0,0
2020-04-08,PW,17957,0,0
2020-04-09,PW,17957,0,0
2020-04-10,PW,17957,0,0
2020-04-11,PW,17957,0,0
2020-04-12,PW,17957,0,0
2020-04-13,PW,17957,0,0
2020-04-14,PW,17957,0,0
2020-04-15,PW,17957,0,0
2020-04-16,PW,17957,0,0
2020-04-17,PW,17957,0,0
2020-04-18,PW,17957,0,0
2020-04-19,PW,17957,0,0
2020-04-20,PW,17957,0,0
2020-04-21,PW,17957,0,0
2020-04-22,PW,17957,0,0
2020-04-23,PW,17957,0,0
2020-04-24,PW,17957,0,0
2020-04-25,PW,17957,0,0
2020-04-26,PW,17957,0,0
2020-04-27,PW,17957,0,0
2020-04-28,PW,17957,0,0
2020-04-29,PW,17957,0,0
