date,countrycode,population,cases,deaths
2020-02-29,QA,2832071,0,0
2020-03-01,QA,2832071,2,0
2020-03-02,QA,2832071,0,0
2020-03-03,QA,2832071,4,0
2020-03-04,QA,2832071,1,0
2020-03-05,QA,2832071,0,0
2020-03-06,QA,2832071,0,0
2020-03-07,QA,2832071,0,0
2020-03-08,QA,2832071,7,0
2020-03-09,QA,2832071,3,0
2020-03-10,QA,2832071,6,0
2020-03-11,QA,2832071,238,0
2020-03-12,QA,2832071,0,0
2020-03-13,QA,2832071,58,0
2020-03-14,QA,2832071,17,0
2020-03-15,QA,2832071,64,0
2020-03-16,QA,2832071,38,0
2020-03-17,QA,2832071,0,0
2020-03-18,QA,2832071,13,0
2020-03-19,QA,2832071,8,0
2020-03-20,QA,2832071,10,0
2020-03-21,QA,2832071,11,0
2020-03-22,QA,2832071,13,0
2020-03-23,QA,2832071,7,0
2020-03-24,QA,2832071,25,0
2020-03-25,QA,2832071,11,0
2020-03-26,QA,2832071,12,0
2020-03-27,QA,2832071,13,0
2020-03-28,QA,2832071,28,1
2020-03-29,QA,2832071,44,0
2020-03-30,QA,2832071,59,0
2020-03-31,QA,2832071,88,1
2020-04-01,QA,2832071,54,0
2020-04-02,QA,2832071,114,1
2020-04-03,QA,2832071,126,0
2020-04-04,QA,2832071,250,0
2020-04-05,QA,2832071,279,1
2020-04-06,QA,2832071,228,0
2020-04-07,QA,2832071,225,2
2020-04-08,QA,2832071,153,0
2020-04-09,QA,2832071,166,0
2020-04-10,QA,2832071,136,0
2020-04-11,QA,2832071,216,0
2020-04-12,QA,2832071,251,1
2020-04-13,QA,2832071,252,0
2020-04-14,QA,2832071,197,0
2020-04-15,QA,2832071,283,0
2020-04-16,QA,2832071,392,0
2020-04-17,QA,2832071,560,0
2020-04-18,QA,2832071,345,1
2020-04-19,QA,2832071,440,0
2020-04-20,QA,2832071,567,1
2020-04-21,QA,2832071,518,0
2020-04-22,QA,2832071,608,1
2020-04-23,QA,2832071,623,0
2020-04-24,QA,2832071,761,0
