date,countrycode,population,cases,deaths
2020-03-15,RK,1873000,0,0
2020-03-16,RK,1873000,0,0
2020-03-17,RK,1873000,0,0
2020-03-18,RK,1873000,0,0
2020-03-19,RK,1873000,0,0
2020-03-20,RK,1873000,0,0
2020-03-21,RK,1873000,0,0
2020-03-26,RK,1873000,69,1
2020-03-27,RK,1873000,15,0
2020-03-28,RK,1873000,5,0
2020-03-29,RK,1873000,3,0
2020-03-30,RK,1873000,0,0
2020-03-31,RK,1873000,18,0
2020-04-01,RK,1873000,13,0
2020-04-02,RK,1873000,0,0
2020-04-03,RK,1873000,1,0
2020-04-04,RK,1873000,9,0
2020-04-05,RK,1873000,10,0
2020-04-06,RK,1873000,0,0
2020-04-07,RK,1873000,25,3
2020-04-08,RK,1873000,14,1
2020-04-09,RK,1873000,0,0
2020-04-10,RK,1873000,66,2
2020-04-11,RK,1873000,33,0
2020-04-12,RK,1873000,0,0
2020-04-13,RK,1873000,0,0
2020-04-14,RK,1873000,104,1
2020-04-15,RK,1873000,0,0
2020-04-16,RK,1873000,62,3
2020-04-17,RK,1873000,31,1
2020-04-18,RK,1873000,30,0
2020-04-19,RK,1873000,0,0
2020-04-20,RK,1873000,0,0
2020-04-21,RK,1873000,0,0
2020-04-22,RK,1873000,0,0
2020-04-23,RK,1873000,0,0
2020-04-24,RK,1873000,0,0
2020-04-25,RK,1873000,0,0
2020-04-26,RK,1873000,0,0
2020-04-27,RK,1873000,0,0
2020-04-28,RK,1873000,0,0
2020-04-29,RK,1873000,0,0
2020-04-30,RK,1873000,289,10
2020-05-01,RK,1873000,7,0
2020-05-02,RK,1873000,17,0
2020-05-03,RK,1873000,28,0
2020-05-04,RK,1873000,4,4
2020-05-05,RK,1873000,1,0
2020-05-06,RK,1873000,0,0
2020-05-07,RK,1873000,5,1
2020-05-08,RK,1873000,0,0
2020-05-09,RK,1873000,1,1
2020-05-10,RK,1873000,8,0
2020-05-11,RK,1873000,14,0
2020-05-12,RK,1873000,35,1
2020-05-13,RK,1873000,0,0
2020-05-14,RK,1873000,25,0
2020-05-15,RK,1873000,0,0
2020-05-16,RK,1873000,0,0
2020-05-17,RK,1873000,11,0
2020-05-18,RK,1873000,0,0
2020-05-19,RK,1873000,34,0
2020-05-20,RK,1873000,0,0
2020-05-21,RK,1873000,14,0
2020-05-22,RK,1873000,1,0
2020-05-23,RK,1873000,21,0
2020-05-24,RK,1873000,7,0
2020-05-25,RK,1873000,6,1
2020-05-26,RK,1873000,0,0
2020-05-27,RK,1873000,9,0
2020-05-28,RK,1873000,1,0
2020-05-29,RK,1873000,0,0
2020-05-30,RK,1873000,16,0
2020-05-31,RK,1873000,0,0
2020-06-01,RK,1873000,0,0
2020-06-02,RK,1873000,0,0
2020-06-03,RK,1873000,78,0
2020-06-04,RK,1873000,0,0
2020-06-05,RK,1873000,0,0
2020-06-06,RK,1873000,0,0
2020-06-07,RK,1873000,0,0
2020-06-08,RK,1873000,121,1
2020-06-09,RK,1873000,0,0
2020-06-10,RK,1873000,35,0
2020-06-11,RK,1873000,28,0
2020-06-12,RK,1873000,0,0
2020-06-13,RK,1873000,111,1
2020-06-14,RK,1873000,0,0
2020-06-15,RK,1873000,49,1
2020-06-16,RK,1873000,0,0
2020-06-17,RK,1873000,0,0
2020-06-18,RK,1873000,0,0
2020-06-19,RK,1873000,0,0
2020-06-20,RK,1873000,0,0
2020-06-21,RK,1873000,0,0
2020-06-22,RK,1873000,683,4
2020-06-23,RK,1873000,0,0
2020-06-24,RK,1873000,0,0
2020-06-25,RK,1873000,0,0
2020-06-26,RK,1873000,0,0
2020-06-27,RK,1873000,0,0
2020-06-28,RK,1873000,0,0
2020-06-29,RK,1873000,508,12
2020-06-30,RK,1873000,201,2
2020-07-01,RK,1873000,113,3
2020-07-02,RK,1873000,73,1
2020-07-03,RK,1873000,0,0
2020-07-04,RK,1873000,0,0
2020-07-05,RK,1873000,292,11
2020-07-06,RK,1873000,152,9
2020-07-07,RK,1873000,195,4
2020-07-08,RK,1873000,183,3
2020-07-09,RK,1873000,214,4
2020-07-10,RK,1873000,207,8
2020-07-11,RK,1873000,408,7
2020-07-12,RK,1873000,216,1
2020-07-13,RK,1873000,187,6
2020-07-14,RK,1873000,0,0
2020-07-15,RK,1873000,119,4
2020-07-16,RK,1873000,0,0
2020-07-17,RK,1873000,235,12
2020-07-18,RK,1873000,145,6
2020-07-19,RK,1873000,118,5
2020-07-20,RK,1873000,142,4
2020-07-21,RK,1873000,168,5
2020-07-22,RK,1873000,241,6
2020-07-23,RK,1873000,181,8
2020-07-24,RK,1873000,213,6
2020-07-25,RK,1873000,237,5
2020-07-26,RK,1873000,220,8
2020-07-27,RK,1873000,276,8
2020-07-28,RK,1873000,239,7
2020-07-29,RK,1873000,194,4
2020-07-30,RK,1873000,258,16
2020-07-31,RK,1873000,226,15
2020-08-01,RK,1873000,224,9
2020-08-02,RK,1873000,245,13
2020-08-03,RK,1873000,250,7
2020-08-04,RK,1873000,225,13
2020-08-05,RK,1873000,218,15
2020-08-06,RK,1873000,196,16
2020-08-07,RK,1873000,181,3
2020-08-08,RK,1873000,190,13
2020-08-09,RK,1873000,188,12
2020-08-10,RK,1873000,172,13
2020-08-11,RK,1873000,171,13
2020-08-12,RK,1873000,205,11
2020-08-13,RK,1873000,193,8
2020-08-14,RK,1873000,142,8
2020-08-15,RK,1873000,145,9
2020-08-16,RK,1873000,141,11
2020-08-17,RK,1873000,129,9
2020-08-18,RK,1873000,141,6
2020-08-19,RK,1873000,162,9
2020-08-20,RK,1873000,158,13
2020-08-21,RK,1873000,162,10
2020-08-22,RK,1873000,169,9
2020-08-23,RK,1873000,111,10
2020-08-24,RK,1873000,99,13
2020-08-25,RK,1873000,136,8
2020-08-26,RK,1873000,157,4
2020-08-27,RK,1873000,141,6
2020-08-28,RK,1873000,119,1
2020-08-29,RK,1873000,115,9
2020-08-30,RK,1873000,119,8
2020-08-31,RK,1873000,120,9
2020-09-01,RK,1873000,147,8
2020-09-02,RK,1873000,112,6
2020-09-03,RK,1873000,78,9
2020-09-04,RK,1873000,119,3
2020-09-05,RK,1873000,117,5
2020-09-06,RK,1873000,92,7
2020-09-07,RK,1873000,85,5
2020-09-08,RK,1873000,97,0
2020-09-09,RK,1873000,76,6
