date,countrycode,population,cases,deaths
2020-02-26,RO,19414458,0,0
2020-02-27,RO,19414458,0,0
2020-02-28,RO,19414458,2,0
2020-02-29,RO,19414458,0,0
2020-03-01,RO,19414458,0,0
2020-03-02,RO,19414458,0,0
2020-03-03,RO,19414458,0,0
2020-03-04,RO,19414458,1,0
2020-03-05,RO,19414458,2,0
2020-03-06,RO,19414458,3,0
2020-03-07,RO,19414458,0,0
2020-03-08,RO,19414458,6,0
2020-03-09,RO,19414458,0,0
2020-03-10,RO,19414458,10,0
2020-03-11,RO,19414458,20,0
2020-03-12,RO,19414458,4,0
2020-03-13,RO,19414458,40,0
2020-03-14,RO,19414458,34,0
2020-03-15,RO,19414458,8,0
2020-03-16,RO,19414458,27,0
2020-03-17,RO,19414458,26,0
2020-03-18,RO,19414458,76,0
2020-03-19,RO,19414458,17,0
2020-03-20,RO,19414458,31,0
2020-03-21,RO,19414458,59,0
2020-03-22,RO,19414458,66,3
2020-03-23,RO,19414458,143,4
2020-03-24,RO,19414458,218,4
2020-03-25,RO,19414458,112,6
2020-03-26,RO,19414458,123,6
2020-03-27,RO,19414458,263,3
2020-03-28,RO,19414458,160,11
2020-03-29,RO,19414458,363,6
2020-03-30,RO,19414458,294,22
2020-03-31,RO,19414458,136,17
2020-04-01,RO,19414458,215,10
2020-04-02,RO,19414458,278,23
2020-04-03,RO,19414458,445,18
2020-04-04,RO,19414458,430,13
2020-04-05,RO,19414458,251,5
2020-04-06,RO,19414458,193,25
2020-04-07,RO,19414458,360,21
2020-04-08,RO,19414458,344,23
2020-04-09,RO,19414458,441,28
2020-04-10,RO,19414458,265,22
2020-04-11,RO,19414458,523,21
2020-04-12,RO,19414458,310,25
2020-04-13,RO,19414458,333,15
2020-04-14,RO,19414458,246,20
2020-04-15,RO,19414458,337,21
2020-04-16,RO,19414458,491,20
2020-04-17,RO,19414458,360,19
2020-04-18,RO,19414458,351,10
2020-04-19,RO,19414458,328,30
2020-04-20,RO,19414458,190,27
2020-04-21,RO,19414458,306,20
2020-04-22,RO,19414458,468,26
2020-04-23,RO,19414458,386,21
2020-04-24,RO,19414458,321,22
2020-04-25,RO,19414458,218,34
2020-04-26,RO,19414458,401,18
2020-04-27,RO,19414458,303,22
2020-04-28,RO,19414458,277,22
2020-04-29,RO,19414458,362,30
2020-04-30,RO,19414458,262,24
2020-05-01,RO,19414458,327,27
2020-05-02,RO,19414458,165,27
2020-05-03,RO,19414458,431,19
2020-05-04,RO,19414458,349,28
