date,countrycode,population,cases,deaths
2020-01-31,RU,114587226,0,0
2020-02-01,RU,114587226,0,0
2020-02-02,RU,114587226,0,0
2020-02-03,RU,114587226,0,0
2020-02-04,RU,114587226,0,0
2020-02-05,RU,114587226,0,0
2020-02-06,RU,114587226,0,0
2020-02-07,RU,114587226,0,0
2020-02-08,RU,114587226,0,0
2020-02-09,RU,114587226,0,0
2020-02-10,RU,114587226,0,0
2020-02-11,RU,114587226,0,0
2020-02-12,RU,114587226,0,0
2020-02-13,RU,114587226,0,0
2020-02-14,RU,114587226,0,0
2020-02-15,RU,114587226,0,0
2020-02-16,RU,114587226,0,0
2020-02-17,RU,114587226,0,0
2020-02-18,RU,114587226,0,0
2020-02-19,RU,114587226,0,0
2020-02-20,RU,114587226,0,0
2020-02-21,RU,114587226,0,0
2020-02-22,RU,114587226,0,0
2020-02-23,RU,114587226,0,0
2020-02-24,RU,114587226,0,0
2020-02-25,RU,114587226,0,0
2020-02-26,RU,114587226,0,0
2020-02-27,RU,114587226,0,0
2020-02-28,RU,114587226,0,0
2020-02-29,RU,114587226,0,0
2020-03-01,RU,114587226,0,0
2020-03-02,RU,114587226,1,0
2020-03-03,RU,114587226,0,0
2020-03-04,RU,114587226,0,0
2020-03-05,RU,114587226,1,0
2020-03-06,RU,114587226,9,0
2020-03-07,RU,114587226,0,0
2020-03-08,RU,114587226,4,0
2020-03-09,RU,114587226,0,0
2020-03-11,RU,114587226,3,0
2020-03-12,RU,114587226,8,0
2020-03-13,RU,114587226,17,0
2020-03-14,RU,114587226,14,0
2020-03-15,RU,114587226,4,0
2020-03-16,RU,114587226,27,0
2020-03-17,RU,114587226,24,0
2020-03-18,RU,114587226,33,0
2020-03-19,RU,114587226,52,1
2020-03-20,RU,114587226,54,0
2020-03-21,RU,114587226,53,0
2020-03-22,RU,114587226,61,0
2020-03-23,RU,114587226,71,0
2020-03-24,RU,114587226,57,0
2020-03-25,RU,114587226,163,2
2020-03-26,RU,114587226,182,0
2020-03-27,RU,114587226,196,1
2020-03-28,RU,114587226,228,0
2020-03-29,RU,114587226,270,4
2020-03-30,RU,114587226,302,1
2020-03-31,RU,114587226,501,8
2020-04-01,RU,114587226,440,7
2020-04-02,RU,114587226,771,6
2020-04-03,RU,114587226,601,4
2020-04-04,RU,114587226,582,9
2020-04-05,RU,114587226,658,2
2020-04-06,RU,114587226,954,2
2020-04-07,RU,114587226,1154,11
2020-04-08,RU,114587226,1175,5
2020-04-09,RU,114587226,1459,13
2020-04-10,RU,114587226,1786,18
2020-04-11,RU,114587226,1667,12
2020-04-12,RU,114587226,2186,24
2020-04-13,RU,114587226,2558,18
2020-04-14,RU,114587226,2774,22
2020-04-15,RU,114587226,3388,28
2020-04-16,RU,114587226,3448,34
2020-04-17,RU,114587226,4070,41
2020-04-18,RU,114587226,4785,40
2020-04-19,RU,114587226,6060,48
2020-04-20,RU,114587226,4268,44
2020-04-21,RU,114587226,5642,51
2020-04-22,RU,114587226,5236,57
2020-04-23,RU,114587226,4774,42
2020-04-24,RU,114587226,5849,60
2020-04-25,RU,114587226,5966,66
2020-04-26,RU,114587226,6361,66
2020-04-27,RU,114587226,6198,47
2020-04-28,RU,114587226,6411,73
2020-04-29,RU,114587226,5841,105
2020-04-30,RU,114587226,7099,101
2020-05-01,RU,114587226,7933,96
2020-05-02,RU,114587226,9623,53
2020-05-03,RU,114587226,10633,58
2020-05-04,RU,114587226,10581,76
2020-05-05,RU,114587226,10102,95
2020-05-06,RU,114587226,10559,86
2020-05-07,RU,114587226,11231,88
2020-05-08,RU,114587226,10699,98
2020-05-09,RU,114587226,10817,104
2020-05-10,RU,114587226,11012,88
2020-05-11,RU,114587226,11656,94
2020-05-12,RU,114587226,10899,107
2020-05-13,RU,114587226,10028,96
2020-05-14,RU,114587226,9974,93
2020-05-15,RU,114587226,10598,113
2020-05-16,RU,114587226,9200,119
2020-05-17,RU,114587226,9709,94
2020-05-18,RU,114587226,8926,91
2020-05-19,RU,114587226,9263,115
2020-05-20,RU,114587226,8764,135
2020-05-21,RU,114587226,8849,127
2020-05-22,RU,114587226,8894,150
2020-05-23,RU,114587226,9434,139
2020-05-24,RU,114587226,8599,153
2020-05-25,RU,114587226,8946,92
2020-05-26,RU,114587226,8915,174
2020-05-27,RU,114587226,8338,161
2020-05-28,RU,114587226,8371,174
2020-05-29,RU,114587226,8572,232
2020-05-30,RU,114587226,8952,181
2020-05-31,RU,114587226,9268,138
2020-06-01,RU,114587226,8485,156
2020-06-02,RU,114587226,8858,182
2020-06-03,RU,114587226,8529,177
2020-06-04,RU,114587226,8823,168
2020-06-05,RU,114587226,8718,144
2020-06-06,RU,114587226,8846,197
2020-06-07,RU,114587226,8971,134
2020-06-08,RU,114587226,8970,112
2020-06-09,RU,114587226,8587,171
2020-06-10,RU,114587226,8393,216
2020-06-11,RU,114587226,8777,172
2020-06-12,RU,114587226,8961,183
2020-06-13,RU,114587226,8697,114
2020-06-14,RU,114587226,8809,119
2020-06-15,RU,114587226,8217,143
2020-06-16,RU,114587226,8241,193
2020-06-17,RU,114587226,7824,194
2020-06-18,RU,114587226,7772,182
2020-06-19,RU,114587226,7971,181
2020-06-20,RU,114587226,7870,161
2020-06-21,RU,114587226,7717,109
2020-06-22,RU,114587226,7586,95
2020-06-23,RU,114587226,7413,153
2020-06-24,RU,114587226,7165,154
2020-06-25,RU,114587226,7105,91
2020-06-26,RU,114587226,6788,176
2020-06-27,RU,114587226,6843,188
2020-06-28,RU,114587226,6784,102
2020-06-29,RU,114587226,6683,92
2020-06-30,RU,114587226,6683,154
2020-07-01,RU,114587226,6550,215
2020-07-02,RU,114587226,6752,147
2020-07-03,RU,114587226,6710,176
2020-07-04,RU,114587226,6623,167
2020-07-05,RU,114587226,6719,134
2020-07-06,RU,114587226,6569,135
2020-07-07,RU,114587226,6363,198
2020-07-08,RU,114587226,6534,172
2020-07-09,RU,114587226,6491,176
2020-07-10,RU,114587226,6623,174
2020-07-11,RU,114587226,6586,188
2020-07-12,RU,114587226,6587,130
2020-07-13,RU,114587226,6511,104
2020-07-14,RU,114587226,6240,175
2020-07-15,RU,114587226,6410,156
2020-07-16,RU,114587226,6415,167
2020-07-17,RU,114587226,6389,186
2020-07-18,RU,114587226,6214,122
2020-07-19,RU,114587226,6096,95
2020-07-20,RU,114587226,5901,85
