date,countrycode,population,cases,deaths
2020-03-02,SA,34268529,0,0
2020-03-03,SA,34268529,0,0
2020-03-04,SA,34268529,0,0
2020-03-05,SA,34268529,4,0
2020-03-06,SA,34268529,0,0
2020-03-07,SA,34268529,0,0
2020-03-08,SA,34268529,6,0
2020-03-09,SA,34268529,4,0
2020-03-10,SA,34268529,5,0
2020-03-11,SA,34268529,1,0
2020-03-12,SA,34268529,24,0
2020-03-13,SA,34268529,41,0
2020-03-14,SA,34268529,17,0
2020-03-15,SA,34268529,0,0
2020-03-16,SA,34268529,15,0
2020-03-17,SA,34268529,53,0
2020-03-18,SA,34268529,0,0
2020-03-19,SA,34268529,103,0
2020-03-20,SA,34268529,70,0
2020-03-21,SA,34268529,48,0
2020-03-22,SA,34268529,119,0
2020-03-23,SA,34268529,51,0
2020-03-24,SA,34268529,205,1
2020-03-25,SA,34268529,133,1
2020-03-26,SA,34268529,112,1
2020-03-27,SA,34268529,92,0
2020-03-28,SA,34268529,99,1
2020-03-29,SA,34268529,96,4
2020-03-30,SA,34268529,154,0
2020-03-31,SA,34268529,110,2
2020-04-01,SA,34268529,157,6
2020-04-02,SA,34268529,165,5
2020-04-03,SA,34268529,154,4
2020-04-04,SA,34268529,140,4
2020-04-05,SA,34268529,223,5
2020-04-06,SA,34268529,203,4
2020-04-07,SA,34268529,190,3
2020-04-08,SA,34268529,137,0
2020-04-09,SA,34268529,355,3
2020-04-10,SA,34268529,364,3
2020-04-11,SA,34268529,382,5
2020-04-12,SA,34268529,429,7
2020-04-13,SA,34268529,472,6
2020-04-14,SA,34268529,435,8
2020-04-15,SA,34268529,493,6
2020-04-16,SA,34268529,518,4
2020-04-17,SA,34268529,762,4
2020-04-18,SA,34268529,1132,5
2020-04-19,SA,34268529,1088,5
2020-04-20,SA,34268529,1122,6
2020-04-21,SA,34268529,1147,6
2020-04-22,SA,34268529,1141,5
2020-04-23,SA,34268529,1158,7
2020-04-24,SA,34268529,1172,6
2020-04-25,SA,34268529,1197,9
2020-04-26,SA,34268529,1223,3
2020-04-27,SA,34268529,1289,5
2020-04-28,SA,34268529,1266,8
2020-04-29,SA,34268529,1325,5
2020-04-30,SA,34268529,1351,5
2020-05-01,SA,34268529,1344,7
2020-05-02,SA,34268529,1362,7
2020-05-03,SA,34268529,1552,8
2020-05-04,SA,34268529,1645,7
