date,countrycode,population,cases,deaths
2020-03-13,SD,42813237,0,0
2020-03-14,SD,42813237,1,0
2020-03-15,SD,42813237,0,0
2020-03-16,SD,42813237,0,0
2020-03-17,SD,42813237,0,0
2020-03-18,SD,42813237,0,0
2020-03-19,SD,42813237,0,0
2020-03-20,SD,42813237,0,0
2020-03-21,SD,42813237,1,0
2020-03-22,SD,42813237,0,0
2020-03-23,SD,42813237,0,0
2020-03-24,SD,42813237,1,0
2020-03-25,SD,42813237,0,0
2020-03-26,SD,42813237,0,0
2020-03-27,SD,42813237,0,0
2020-03-28,SD,42813237,2,0
2020-03-29,SD,42813237,0,0
2020-03-30,SD,42813237,1,1
2020-03-31,SD,42813237,1,0
2020-04-01,SD,42813237,0,0
2020-04-02,SD,42813237,0,0
2020-04-03,SD,42813237,3,0
2020-04-04,SD,42813237,0,0
2020-04-05,SD,42813237,2,0
2020-04-06,SD,42813237,0,0
2020-04-07,SD,42813237,2,0
2020-04-08,SD,42813237,0,0
2020-04-09,SD,42813237,0,0
2020-04-10,SD,42813237,1,0
2020-04-11,SD,42813237,4,0
2020-04-12,SD,42813237,0,0
2020-04-13,SD,42813237,0,2
2020-04-14,SD,42813237,10,1
2020-04-15,SD,42813237,3,0
2020-04-16,SD,42813237,0,0
2020-04-17,SD,42813237,0,1
2020-04-18,SD,42813237,34,4
2020-04-19,SD,42813237,0,0
2020-04-20,SD,42813237,26,2
2020-04-21,SD,42813237,15,0
2020-04-22,SD,42813237,33,1
2020-04-23,SD,42813237,22,3
2020-04-24,SD,42813237,12,0
2020-04-25,SD,42813237,39,1
2020-04-26,SD,42813237,24,4
2020-04-27,SD,42813237,38,1
2020-04-28,SD,42813237,43,3
2020-04-29,SD,42813237,57,3
2020-04-30,SD,42813237,0,3
2020-05-01,SD,42813237,67,5
2020-05-02,SD,42813237,91,5
2020-05-03,SD,42813237,59,0
2020-05-04,SD,42813237,86,0
2020-05-05,SD,42813237,100,4
2020-05-06,SD,42813237,74,4
2020-05-07,SD,42813237,78,3
2020-05-08,SD,42813237,0,7
2020-05-09,SD,42813237,181,5
2020-05-10,SD,42813237,53,6
2020-05-11,SD,42813237,201,4
2020-05-12,SD,42813237,161,6
2020-05-13,SD,42813237,134,10
2020-05-14,SD,42813237,158,0
2020-05-15,SD,42813237,146,1
2020-05-16,SD,42813237,0,6
2020-05-17,SD,42813237,325,0
2020-05-18,SD,42813237,302,8
2020-05-19,SD,42813237,0,6
2020-05-20,SD,42813237,137,0
2020-05-21,SD,42813237,410,10
2020-05-22,SD,42813237,0,16
2020-05-23,SD,42813237,240,9
2020-05-24,SD,42813237,256,19
2020-05-25,SD,42813237,192,5
2020-05-26,SD,42813237,150,0
2020-05-27,SD,42813237,170,25
2020-05-28,SD,42813237,200,0
2020-05-29,SD,42813237,0,38
2020-05-30,SD,42813237,175,29
2020-05-31,SD,42813237,279,24
2020-06-01,SD,42813237,226,12
2020-06-02,SD,42813237,147,9
2020-06-03,SD,42813237,137,7
2020-06-04,SD,42813237,189,19
2020-06-05,SD,42813237,215,14
2020-06-06,SD,42813237,152,12
2020-06-07,SD,42813237,215,0
2020-06-08,SD,42813237,0,13
2020-06-09,SD,42813237,161,17
2020-06-10,SD,42813237,185,12
2020-06-11,SD,42813237,155,12
2020-06-12,SD,42813237,148,20
