date,countrycode,population,cases,deaths
2020-03-31,SL,8297882,0,0
2020-04-01,SL,8297882,1,0
2020-04-02,SL,8297882,0,0
2020-04-03,SL,8297882,0,0
2020-04-04,SL,8297882,2,0
2020-04-05,SL,8297882,2,0
2020-04-06,SL,8297882,0,0
2020-04-07,SL,8297882,0,0
2020-04-08,SL,8297882,1,0
2020-04-09,SL,8297882,0,0
2020-04-10,SL,8297882,1,0
2020-04-11,SL,8297882,0,0
2020-04-12,SL,8297882,2,0
2020-04-13,SL,8297882,0,0
2020-04-14,SL,8297882,1,0
2020-04-15,SL,8297882,2,0
2020-04-16,SL,8297882,2,0
2020-04-17,SL,8297882,11,0
2020-04-18,SL,8297882,4,0
2020-04-19,SL,8297882,5,0
2020-04-20,SL,8297882,8,0
2020-04-21,SL,8297882,7,0
2020-04-22,SL,8297882,11,0
2020-04-23,SL,8297882,3,1
2020-04-24,SL,8297882,18,1
2020-04-25,SL,8297882,0,0
2020-04-26,SL,8297882,11,2
2020-04-27,SL,8297882,0,0
2020-04-28,SL,8297882,11,0
2020-04-29,SL,8297882,0,0
2020-04-30,SL,8297882,20,3
2020-05-01,SL,8297882,12,0
2020-05-02,SL,8297882,19,1
2020-05-03,SL,8297882,11,0
2020-05-04,SL,8297882,12,1
2020-05-05,SL,8297882,21,2
2020-05-06,SL,8297882,26,3
2020-05-07,SL,8297882,6,2
2020-05-08,SL,8297882,26,1
2020-05-09,SL,8297882,34,1
2020-05-10,SL,8297882,16,0
2020-05-11,SL,8297882,31,1
2020-05-12,SL,8297882,0,0
2020-05-13,SL,8297882,49,7
2020-05-14,SL,8297882,21,0
2020-05-15,SL,8297882,39,1
2020-05-16,SL,8297882,15,2
2020-05-17,SL,8297882,43,3
2020-05-18,SL,8297882,14,1
2020-05-19,SL,8297882,15,0
2020-05-20,SL,8297882,36,1
2020-05-21,SL,8297882,15,1
2020-05-22,SL,8297882,21,3
2020-05-23,SL,8297882,15,1
2020-05-24,SL,8297882,86,1
2020-05-25,SL,8297882,28,2
2020-05-26,SL,8297882,19,2
2020-05-27,SL,8297882,28,1
2020-05-28,SL,8297882,30,0
2020-05-29,SL,8297882,17,0
2020-05-30,SL,8297882,23,1
2020-05-31,SL,8297882,9,0
2020-06-01,SL,8297882,4,0
2020-06-02,SL,8297882,31,0
2020-06-03,SL,8297882,13,1
2020-06-04,SL,8297882,5,0
2020-06-05,SL,8297882,15,0
2020-06-06,SL,8297882,17,1
2020-06-07,SL,8297882,23,0
2020-06-08,SL,8297882,32,1
2020-06-09,SL,8297882,24,1
2020-06-10,SL,8297882,37,0
2020-06-11,SL,8297882,23,0
2020-06-12,SL,8297882,18,1
2020-06-13,SL,8297882,29,0
2020-06-14,SL,8297882,37,0
2020-06-15,SL,8297882,7,0
2020-06-16,SL,8297882,49,0
2020-06-17,SL,8297882,24,0
2020-06-18,SL,8297882,23,0
2020-06-19,SL,8297882,26,2
2020-06-20,SL,8297882,11,0
2020-06-21,SL,8297882,18,2
2020-06-22,SL,8297882,13,0
2020-06-23,SL,8297882,7,0
2020-06-24,SL,8297882,7,0
2020-06-25,SL,8297882,0,1
2020-06-26,SL,8297882,40,3
2020-06-27,SL,8297882,16,0
2020-06-28,SL,8297882,17,1
2020-06-29,SL,8297882,23,0
2020-06-30,SL,8297882,12,0
2020-07-01,SL,8297882,36,0
2020-07-02,SL,8297882,20,0
2020-07-03,SL,8297882,6,2
2020-07-04,SL,8297882,9,0
2020-07-05,SL,8297882,9,0
