date,countrycode,population,cases,deaths
2020-03-02,SN,16296362,0,0
2020-03-03,SN,16296362,1,0
2020-03-04,SN,16296362,2,0
2020-03-05,SN,16296362,0,0
2020-03-06,SN,16296362,0,0
2020-03-07,SN,16296362,0,0
2020-03-08,SN,16296362,0,0
2020-03-09,SN,16296362,0,0
2020-03-10,SN,16296362,0,0
2020-03-11,SN,16296362,0,0
2020-03-12,SN,16296362,0,0
2020-03-13,SN,16296362,6,0
2020-03-14,SN,16296362,0,0
2020-03-15,SN,16296362,14,0
2020-03-16,SN,16296362,0,0
2020-03-17,SN,16296362,2,0
2020-03-18,SN,16296362,5,0
2020-03-19,SN,16296362,0,0
2020-03-20,SN,16296362,7,0
2020-03-21,SN,16296362,9,0
2020-03-22,SN,16296362,20,0
2020-03-23,SN,16296362,12,0
2020-03-24,SN,16296362,7,0
2020-03-25,SN,16296362,13,0
2020-03-26,SN,16296362,6,0
2020-03-27,SN,16296362,14,0
2020-03-28,SN,16296362,11,0
2020-03-29,SN,16296362,12,0
2020-03-30,SN,16296362,20,0
2020-03-31,SN,16296362,13,0
2020-04-01,SN,16296362,15,1
2020-04-02,SN,16296362,5,0
2020-04-03,SN,16296362,12,0
2020-04-04,SN,16296362,12,1
2020-04-05,SN,16296362,3,0
2020-04-06,SN,16296362,4,0
2020-04-07,SN,16296362,11,0
2020-04-08,SN,16296362,7,0
2020-04-09,SN,16296362,6,0
2020-04-10,SN,16296362,15,0
2020-04-11,SN,16296362,13,0
2020-04-12,SN,16296362,2,0
2020-04-13,SN,16296362,11,0
2020-04-14,SN,16296362,8,0
2020-04-15,SN,16296362,15,0
2020-04-16,SN,16296362,21,0
2020-04-17,SN,16296362,7,0
2020-04-18,SN,16296362,8,1
2020-04-19,SN,16296362,17,0
2020-04-20,SN,16296362,10,2
2020-04-21,SN,16296362,35,0
2020-04-22,SN,16296362,30,1
2020-04-23,SN,16296362,37,0
2020-04-24,SN,16296362,66,1
2020-04-25,SN,16296362,69,0
2020-04-26,SN,16296362,57,2
2020-04-27,SN,16296362,65,0
2020-04-28,SN,16296362,87,0
2020-04-29,SN,16296362,59,0
2020-04-30,SN,16296362,51,0
2020-05-01,SN,16296362,91,0
2020-05-02,SN,16296362,91,0
2020-05-03,SN,16296362,67,0
2020-05-04,SN,16296362,89,1
2020-05-05,SN,16296362,58,1
2020-05-06,SN,16296362,104,1
2020-05-07,SN,16296362,59,1
2020-05-08,SN,16296362,59,0
2020-05-09,SN,16296362,83,4
2020-05-10,SN,16296362,75,2
2020-05-11,SN,16296362,177,0
2020-05-12,SN,16296362,109,0
2020-05-13,SN,16296362,110,2
2020-05-14,SN,16296362,84,2
2020-05-15,SN,16296362,121,2
2020-05-16,SN,16296362,119,0
2020-05-17,SN,16296362,51,0
2020-05-18,SN,16296362,64,1
2020-05-19,SN,16296362,73,4
2020-05-20,SN,16296362,97,0
2020-05-21,SN,16296362,98,3
2020-05-22,SN,16296362,97,0
2020-05-23,SN,16296362,67,1
2020-05-24,SN,16296362,71,1
2020-05-25,SN,16296362,83,0
2020-05-26,SN,16296362,31,1
2020-05-27,SN,16296362,92,2
2020-05-28,SN,16296362,95,1
2020-05-29,SN,16296362,81,2
2020-05-30,SN,16296362,106,1
2020-05-31,SN,16296362,110,0
2020-06-01,SN,16296362,94,0
2020-06-02,SN,16296362,97,1
2020-06-03,SN,16296362,96,2
2020-06-04,SN,16296362,89,0
2020-06-05,SN,16296362,134,0
2020-06-06,SN,16296362,94,2
2020-06-07,SN,16296362,79,2
2020-06-08,SN,16296362,99,0
2020-06-09,SN,16296362,89,3
2020-06-10,SN,16296362,124,0
2020-06-11,SN,16296362,119,3
2020-06-12,SN,16296362,92,1
2020-06-13,SN,16296362,145,4
2020-06-14,SN,16296362,94,0
2020-06-15,SN,16296362,83,4
2020-06-16,SN,16296362,74,6
2020-06-17,SN,16296362,122,3
2020-06-18,SN,16296362,106,3
2020-06-19,SN,16296362,164,3
2020-06-20,SN,16296362,144,3
2020-06-21,SN,16296362,105,2
2020-06-22,SN,16296362,82,2
2020-06-23,SN,16296362,64,3
2020-06-24,SN,16296362,95,4
2020-06-25,SN,16296362,104,1
2020-06-26,SN,16296362,121,4
2020-06-27,SN,16296362,105,4
2020-06-28,SN,16296362,127,3
2020-06-29,SN,16296362,112,3
2020-06-30,SN,16296362,95,4
2020-07-01,SN,16296362,132,4
