date,countrycode,population,cases,deaths
2020-04-05,SS,11193725,0,0
2020-04-06,SS,11193725,0,0
2020-04-07,SS,11193725,1,0
2020-04-08,SS,11193725,0,0
2020-04-09,SS,11193725,1,0
2020-04-10,SS,11193725,1,0
2020-04-11,SS,11193725,0,0
2020-04-12,SS,11193725,0,0
2020-04-13,SS,11193725,0,0
2020-04-14,SS,11193725,0,0
2020-04-15,SS,11193725,0,0
2020-04-16,SS,11193725,0,0
2020-04-17,SS,11193725,0,0
2020-04-18,SS,11193725,0,0
2020-04-19,SS,11193725,0,0
2020-04-20,SS,11193725,0,0
2020-04-21,SS,11193725,0,0
2020-04-22,SS,11193725,0,0
2020-04-23,SS,11193725,1,0
2020-04-24,SS,11193725,0,0
2020-04-25,SS,11193725,0,0
2020-04-26,SS,11193725,1,0
2020-04-27,SS,11193725,0,0
2020-04-28,SS,11193725,28,0
2020-04-29,SS,11193725,0,0
2020-04-30,SS,11193725,1,0
2020-05-01,SS,11193725,10,0
2020-05-02,SS,11193725,0,0
2020-05-03,SS,11193725,1,0
2020-05-04,SS,11193725,0,0
2020-05-05,SS,11193725,6,0
2020-05-06,SS,11193725,6,0
2020-05-07,SS,11193725,16,0
2020-05-08,SS,11193725,46,0
2020-05-09,SS,11193725,0,0
2020-05-10,SS,11193725,0,0
2020-05-11,SS,11193725,36,0
2020-05-12,SS,11193725,38,0
2020-05-13,SS,11193725,9,0
2020-05-14,SS,11193725,0,0
2020-05-15,SS,11193725,33,4
2020-05-16,SS,11193725,0,0
2020-05-17,SS,11193725,54,0
2020-05-18,SS,11193725,0,0
2020-05-19,SS,11193725,0,0
2020-05-20,SS,11193725,0,0
2020-05-21,SS,11193725,191,0
2020-05-22,SS,11193725,82,2
2020-05-23,SS,11193725,92,2
2020-05-24,SS,11193725,0,0
2020-05-25,SS,11193725,151,0
2020-05-26,SS,11193725,0,0
2020-05-27,SS,11193725,188,2
2020-05-28,SS,11193725,0,0
2020-05-29,SS,11193725,0,0
2020-05-30,SS,11193725,0,0
2020-05-31,SS,11193725,0,0
2020-06-01,SS,11193725,0,0
2020-06-02,SS,11193725,0,0
2020-06-03,SS,11193725,0,0
2020-06-04,SS,11193725,0,0
2020-06-05,SS,11193725,0,0
2020-06-06,SS,11193725,0,0
2020-06-07,SS,11193725,323,4
2020-06-08,SS,11193725,287,5
2020-06-09,SS,11193725,0,0
2020-06-10,SS,11193725,0,0
2020-06-11,SS,11193725,66,5
2020-06-12,SS,11193725,0,0
2020-06-13,SS,11193725,23,3
2020-06-14,SS,11193725,0,0
2020-06-15,SS,11193725,0,0
2020-06-16,SS,11193725,83,3
2020-06-17,SS,11193725,37,1
2020-06-18,SS,11193725,17,1
2020-06-19,SS,11193725,34,2
2020-06-20,SS,11193725,18,0
2020-06-21,SS,11193725,10,0
2020-06-22,SS,11193725,24,1
2020-06-23,SS,11193725,14,1
2020-06-24,SS,11193725,12,0
2020-06-25,SS,11193725,0,0
2020-06-26,SS,11193725,0,0
2020-06-27,SS,11193725,0,0
2020-06-28,SS,11193725,47,0
2020-06-29,SS,11193725,0,0
2020-06-30,SS,11193725,18,2
2020-07-01,SS,11193725,14,0
2020-07-02,SS,11193725,0,0
2020-07-03,SS,11193725,0,0
2020-07-04,SS,11193725,0,0
2020-07-05,SS,11193725,0,0
2020-07-06,SS,11193725,0,0
2020-07-07,SS,11193725,0,0
2020-07-08,SS,11193725,0,0
2020-07-09,SS,11193725,0,0
2020-07-10,SS,11193725,0,0
2020-07-11,SS,11193725,0,0
2020-07-12,SS,11193725,0,0
2020-07-13,SS,11193725,127,3
2020-07-14,SS,11193725,0,0
2020-07-15,SS,11193725,5,0
2020-07-16,SS,11193725,18,0
2020-07-17,SS,11193725,20,2
2020-07-18,SS,11193725,0,0
2020-07-19,SS,11193725,9,0
2020-07-20,SS,11193725,11,2
2020-07-21,SS,11193725,0,0
2020-07-22,SS,11193725,0,0
2020-07-23,SS,11193725,28,0
2020-07-24,SS,11193725,19,0
2020-07-25,SS,11193725,0,0
2020-07-26,SS,11193725,4,0
2020-07-27,SS,11193725,43,1
2020-07-28,SS,11193725,0,0
2020-07-29,SS,11193725,17,0
2020-07-30,SS,11193725,0,0
2020-07-31,SS,11193725,0,0
2020-08-01,SS,11193725,30,0
2020-08-02,SS,11193725,77,0
2020-08-03,SS,11193725,0,0
2020-08-04,SS,11193725,8,1
2020-08-05,SS,11193725,0,0
2020-08-06,SS,11193725,13,0
2020-08-07,SS,11193725,0,0
2020-08-08,SS,11193725,13,0
2020-08-09,SS,11193725,7,0
2020-08-10,SS,11193725,0,0
2020-08-11,SS,11193725,2,0
2020-08-12,SS,11193725,5,0
2020-08-13,SS,11193725,1,0
2020-08-14,SS,11193725,4,0
2020-08-15,SS,11193725,6,0
2020-08-16,SS,11193725,1,0
2020-08-17,SS,11193725,1,0
2020-08-18,SS,11193725,0,0
2020-08-19,SS,11193725,4,0
2020-08-20,SS,11193725,0,0
2020-08-21,SS,11193725,3,0
2020-08-22,SS,11193725,0,0
2020-08-23,SS,11193725,2,0
2020-08-24,SS,11193725,5,0
2020-08-25,SS,11193725,3,0
2020-08-26,SS,11193725,3,0
2020-08-27,SS,11193725,4,0
2020-08-28,SS,11193725,4,0
2020-08-29,SS,11193725,1,0
2020-08-30,SS,11193725,0,0
2020-08-31,SS,11193725,8,0
2020-09-01,SS,11193725,0,0
2020-09-02,SS,11193725,5,0
2020-09-03,SS,11193725,1,0
2020-09-04,SS,11193725,3,0
2020-09-05,SS,11193725,8,1
2020-09-06,SS,11193725,0,0
2020-09-07,SS,11193725,1,0
2020-09-08,SS,11193725,7,1
2020-09-09,SS,11193725,3,0
2020-09-10,SS,11193725,0,0
2020-09-11,SS,11193725,13,0
2020-09-12,SS,11193725,10,0
2020-09-13,SS,11193725,0,0
2020-09-14,SS,11193725,9,0
2020-09-15,SS,11193725,5,0
2020-09-16,SS,11193725,2,0
2020-09-17,SS,11193725,5,0
2020-09-18,SS,11193725,10,0
2020-09-19,SS,11193725,33,0
2020-09-20,SS,11193725,0,0
2020-09-21,SS,11193725,7,0
2020-09-22,SS,11193725,11,0
2020-09-23,SS,11193725,4,0
2020-09-24,SS,11193725,5,0
2020-09-25,SS,11193725,7,0
2020-09-26,SS,11193725,0,0
2020-09-27,SS,11193725,10,0
2020-09-28,SS,11193725,6,0
2020-09-29,SS,11193725,8,0
2020-09-30,SS,11193725,4,0
2020-10-01,SS,11193725,0,0
2020-10-02,SS,11193725,11,1
2020-10-03,SS,11193725,0,0
2020-10-04,SS,11193725,11,0
2020-10-05,SS,11193725,0,0
2020-10-06,SS,11193725,8,0
2020-10-07,SS,11193725,14,0
2020-10-08,SS,11193725,1,3
2020-10-09,SS,11193725,12,1
2020-10-10,SS,11193725,0,0
2020-10-11,SS,11193725,16,1
2020-10-12,SS,11193725,10,0
2020-10-13,SS,11193725,11,0
2020-10-14,SS,11193725,0,0
2020-10-15,SS,11193725,9,0
2020-10-16,SS,11193725,10,0
2020-10-17,SS,11193725,0,0
2020-10-18,SS,11193725,25,0
2020-10-19,SS,11193725,5,0
2020-10-20,SS,11193725,0,0
2020-10-21,SS,11193725,23,0
2020-10-22,SS,11193725,2,0
2020-10-23,SS,11193725,4,1
2020-10-24,SS,11193725,2,0
2020-10-25,SS,11193725,5,0
2020-10-26,SS,11193725,0,0
2020-10-27,SS,11193725,7,0
2020-10-28,SS,11193725,0,0
2020-10-29,SS,11193725,13,2
2020-10-30,SS,11193725,0,0
2020-10-31,SS,11193725,2,0
2020-11-01,SS,11193725,21,1
2020-11-02,SS,11193725,0,0
2020-11-03,SS,11193725,14,0
2020-11-04,SS,11193725,3,0
2020-11-05,SS,11193725,0,0
2020-11-06,SS,11193725,0,0
2020-11-07,SS,11193725,0,0
2020-11-08,SS,11193725,0,0
2020-11-09,SS,11193725,17,0
2020-11-10,SS,11193725,0,0
2020-11-11,SS,11193725,0,0
2020-11-12,SS,11193725,0,0
2020-11-13,SS,11193725,20,0
2020-11-14,SS,11193725,23,0
2020-11-15,SS,11193725,0,0
2020-11-16,SS,11193725,9,0
2020-11-17,SS,11193725,4,0
2020-11-18,SS,11193725,0,0
2020-11-19,SS,11193725,0,0
2020-11-20,SS,11193725,0,0
2020-11-21,SS,11193725,31,1
2020-11-22,SS,11193725,0,0
2020-11-23,SS,11193725,0,0
2020-11-24,SS,11193725,0,0
2020-11-25,SS,11193725,26,1
2020-11-26,SS,11193725,19,0
2020-11-27,SS,11193725,12,0
2020-11-28,SS,11193725,0,0
2020-11-29,SS,11193725,5,0
2020-11-30,SS,11193725,0,0
2020-12-01,SS,11193725,2,0
2020-12-02,SS,11193725,7,0
2020-12-03,SS,11193725,36,1
2020-12-04,SS,11193725,0,0
2020-12-05,SS,11193725,12,0
2020-12-06,SS,11193725,15,0
2020-12-07,SS,11193725,0,0
2020-12-08,SS,11193725,0,0
2020-12-09,SS,11193725,0,0
2020-12-10,SS,11193725,0,0
2020-12-11,SS,11193725,0,0
2020-12-12,SS,11193725,25,0
2020-12-13,SS,11193725,0,0
2020-12-14,SS,11193725,0,0
2020-12-15,SS,11193725,16,0
2020-12-16,SS,11193725,0,0
2020-12-17,SS,11193725,0,0
2020-12-18,SS,11193725,6,0
2020-12-19,SS,11193725,0,0
2020-12-20,SS,11193725,0,0
2020-12-21,SS,11193725,6,0
2020-12-22,SS,11193725,0,0
2020-12-23,SS,11193725,221,0
2020-12-24,SS,11193725,0,0
2020-12-25,SS,11193725,0,0
2020-12-26,SS,11193725,0,0
2020-12-27,SS,11193725,35,0
2020-12-28,SS,11193725,1,0
2020-12-29,SS,11193725,20,1
2020-12-30,SS,11193725,29,0
2020-12-31,SS,11193725,18,0
2021-01-01,SS,11193725,0,0
2021-01-02,SS,11193725,0,0
2021-01-03,SS,11193725,0,0
2021-01-04,SS,11193725,31,0
2021-01-05,SS,11193725,0,0
2021-01-06,SS,11193725,0,0
2021-01-07,SS,11193725,0,0
2021-01-08,SS,11193725,0,0
2021-01-09,SS,11193725,0,0
2021-01-10,SS,11193725,60,0
2021-01-11,SS,11193725,13,0
2021-01-12,SS,11193725,8,0
2021-01-13,SS,11193725,0,0
2021-01-14,SS,11193725,0,0
2021-01-15,SS,11193725,0,0
2021-01-16,SS,11193725,0,0
2021-01-17,SS,11193725,23,0
2021-01-18,SS,11193725,10,0
2021-01-19,SS,11193725,59,1
2021-01-20,SS,11193725,11,0
2021-01-21,SS,11193725,15,0
2021-01-22,SS,11193725,0,0
2021-01-23,SS,11193725,0,0
2021-01-24,SS,11193725,0,0
2021-01-25,SS,11193725,0,0
2021-01-26,SS,11193725,0,0
2021-01-27,SS,11193725,0,0
2021-01-28,SS,11193725,141,0
2021-01-29,SS,11193725,0,0
2021-01-30,SS,11193725,0,0
2021-01-31,SS,11193725,0,0
2021-02-01,SS,11193725,0,0
2021-02-02,SS,11193725,0,0
2021-02-03,SS,11193725,0,0
2021-02-04,SS,11193725,338,2
2021-02-05,SS,11193725,88,0
2021-02-06,SS,11193725,0,0
2021-02-07,SS,11193725,0,0
2021-02-08,SS,11193725,254,0
2021-02-09,SS,11193725,195,3
2021-02-10,SS,11193725,156,2
2021-02-11,SS,11193725,0,0
2021-02-12,SS,11193725,174,1
2021-02-13,SS,11193725,176,2
2021-02-14,SS,11193725,103,0
2021-02-15,SS,11193725,149,3
2021-02-16,SS,11193725,148,2
2021-02-17,SS,11193725,212,0
2021-02-18,SS,11193725,162,4
2021-02-19,SS,11193725,193,0
2021-02-20,SS,11193725,140,2
2021-02-21,SS,11193725,166,1
2021-02-22,SS,11193725,348,1
2021-02-23,SS,11193725,167,0
2021-02-24,SS,11193725,126,0
2021-02-25,SS,11193725,125,0
2021-02-26,SS,11193725,248,3
2021-02-27,SS,11193725,174,3
2021-02-28,SS,11193725,155,0
2021-03-01,SS,11193725,84,1
2021-03-02,SS,11193725,134,1
2021-03-03,SS,11193725,161,2
2021-03-04,SS,11193725,109,3
2021-03-05,SS,11193725,113,0
2021-03-06,SS,11193725,150,2
2021-03-07,SS,11193725,89,0
2021-03-08,SS,11193725,104,0
2021-03-09,SS,11193725,0,0
2021-03-10,SS,11193725,0,0
2021-03-11,SS,11193725,335,1
2021-03-12,SS,11193725,129,1
2021-03-13,SS,11193725,95,0
2021-03-14,SS,11193725,61,0
2021-03-15,SS,11193725,64,0
2021-03-16,SS,11193725,59,2
2021-03-17,SS,11193725,81,0
2021-03-18,SS,11193725,74,0
2021-03-19,SS,11193725,41,0
2021-03-20,SS,11193725,40,0
2021-03-21,SS,11193725,30,0
2021-03-22,SS,11193725,11,0
2021-03-23,SS,11193725,29,0
2021-03-24,SS,11193725,50,1
2021-03-25,SS,11193725,79,1
2021-03-26,SS,11193725,0,0
2021-03-27,SS,11193725,31,0
2021-03-28,SS,11193725,19,0
2021-03-29,SS,11193725,21,0
2021-03-30,SS,11193725,0,0
2021-03-31,SS,11193725,46,1
2021-04-01,SS,11193725,32,3
2021-04-02,SS,11193725,22,0
2021-04-03,SS,11193725,36,0
2021-04-04,SS,11193725,12,1
2021-04-05,SS,11193725,14,0
2021-04-06,SS,11193725,5,0
2021-04-07,SS,11193725,11,0
2021-04-08,SS,11193725,27,1
2021-04-09,SS,11193725,16,0
2021-04-10,SS,11193725,19,0
2021-04-11,SS,11193725,13,0
2021-04-12,SS,11193725,9,0
2021-04-13,SS,11193725,6,0
2021-04-14,SS,11193725,16,0
2021-04-15,SS,11193725,13,0
2021-04-16,SS,11193725,16,0
2021-04-17,SS,11193725,0,0
2021-04-18,SS,11193725,41,0
2021-04-19,SS,11193725,0,0
2021-04-20,SS,11193725,5,0
2021-04-21,SS,11193725,8,0
2021-04-22,SS,11193725,18,0
2021-04-23,SS,11193725,11,0
2021-04-24,SS,11193725,0,0
2021-04-25,SS,11193725,17,0
2021-04-26,SS,11193725,6,0
2021-04-27,SS,11193725,15,0
2021-04-28,SS,11193725,0,0
2021-04-29,SS,11193725,14,0
2021-04-30,SS,11193725,16,1
2021-05-01,SS,11193725,0,0
2021-05-02,SS,11193725,0,0
2021-05-03,SS,11193725,19,0
2021-05-04,SS,11193725,11,0
2021-05-05,SS,11193725,0,0
2021-05-06,SS,11193725,7,0
2021-05-07,SS,11193725,17,0
2021-05-08,SS,11193725,0,0
2021-05-09,SS,11193725,0,0
2021-05-10,SS,11193725,4,0
2021-05-11,SS,11193725,0,0
2021-05-12,SS,11193725,0,0
2021-05-13,SS,11193725,0,0
2021-05-14,SS,11193725,10,0
2021-05-15,SS,11193725,1,0
2021-05-16,SS,11193725,0,0
2021-05-17,SS,11193725,0,0
2021-05-18,SS,11193725,0,0
2021-05-19,SS,11193725,0,0
2021-05-20,SS,11193725,0,0
2021-05-21,SS,11193725,0,0
2021-05-22,SS,11193725,0,0
2021-05-23,SS,11193725,0,0
2021-05-24,SS,11193725,0,0
2021-05-25,SS,11193725,25,0
2021-05-26,SS,11193725,0,0
2021-05-27,SS,11193725,11,0
2021-05-28,SS,11193725,0,0
2021-05-29,SS,11193725,0,0
2021-05-30,SS,11193725,0,0
2021-05-31,SS,11193725,0,0
2021-06-01,SS,11193725,0,0
2021-06-02,SS,11193725,0,0
2021-06-03,SS,11193725,0,0
2021-06-04,SS,11193725,0,0
2021-06-05,SS,11193725,0,0
2021-06-06,SS,11193725,0,0
2021-06-07,SS,11193725,0,0
2021-06-08,SS,11193725,0,0
2021-06-09,SS,11193725,0,0
2021-06-10,SS,11193725,0,0
2021-06-11,SS,11193725,0,0
2021-06-12,SS,11193725,0,0
2021-06-13,SS,11193725,0,0
2021-06-14,SS,11193725,0,0
2021-06-15,SS,11193725,0,0
2021-06-16,SS,11193725,71,0
2021-06-17,SS,11193725,5,0
2021-06-18,SS,11193725,6,0
2021-06-19,SS,11193725,0,0
2021-06-20,SS,11193725,0,0
2021-06-21,SS,11193725,16,0
2021-06-22,SS,11193725,0,0
2021-06-23,SS,11193725,0,0
2021-06-24,SS,11193725,26,0
2021-06-25,SS,11193725,0,0
2021-06-26,SS,11193725,0,0
2021-06-27,SS,11193725,0,0
2021-06-28,SS,11193725,12,1
2021-06-29,SS,11193725,10,1
2021-06-30,SS,11193725,0,0
2021-07-01,SS,11193725,12,0
2021-07-02,SS,11193725,20,0
2021-07-03,SS,11193725,0,0
2021-07-04,SS,11193725,0,0
2021-07-05,SS,11193725,13,0
2021-07-06,SS,11193725,0,0
2021-07-07,SS,11193725,7,0
2021-07-08,SS,11193725,5,0
2021-07-09,SS,11193725,0,0
2021-07-10,SS,11193725,0,0
2021-07-11,SS,11193725,0,0
2021-07-12,SS,11193725,0,0
2021-07-13,SS,11193725,20,0
2021-07-14,SS,11193725,6,0
2021-07-15,SS,11193725,0,0
2021-07-16,SS,11193725,0,0
2021-07-17,SS,11193725,0,0
2021-07-18,SS,11193725,0,0
2021-07-19,SS,11193725,0,0
2021-07-20,SS,11193725,0,0
2021-07-21,SS,11193725,0,0
2021-07-22,SS,11193725,0,0
2021-07-23,SS,11193725,0,0
2021-07-24,SS,11193725,0,0
2021-07-25,SS,11193725,0,0
2021-07-26,SS,11193725,97,1
2021-07-27,SS,11193725,0,0
2021-07-28,SS,11193725,0,0
2021-07-29,SS,11193725,0,0
2021-07-30,SS,11193725,35,1
2021-07-31,SS,11193725,0,0
2021-08-01,SS,11193725,0,0
2021-08-02,SS,11193725,14,0
2021-08-03,SS,11193725,13,1
2021-08-04,SS,11193725,5,0
2021-08-05,SS,11193725,9,0
2021-08-06,SS,11193725,10,0
2021-08-07,SS,11193725,0,0
2021-08-08,SS,11193725,0,0
2021-08-09,SS,11193725,21,0
2021-08-10,SS,11193725,18,0
2021-08-11,SS,11193725,2,0
