date,countrycode,population,cases,deaths
2020-03-19,SV,645355,0,0
2020-03-20,SV,645355,0,0
2020-03-21,SV,645355,2,0
2020-03-22,SV,645355,0,0
2020-03-23,SV,645355,0,0
2020-03-24,SV,645355,2,0
2020-03-25,SV,645355,4,0
2020-03-26,SV,645355,4,0
2020-03-27,SV,645355,0,0
2020-03-28,SV,645355,6,0
2020-03-29,SV,645355,5,0
2020-03-30,SV,645355,6,0
2020-03-31,SV,645355,2,1
2020-04-01,SV,645355,0,0
2020-04-02,SV,645355,9,1
2020-04-03,SV,645355,5,0
2020-04-04,SV,645355,10,1
2020-04-05,SV,645355,6,0
2020-04-06,SV,645355,7,1
2020-04-07,SV,645355,9,0
2020-04-08,SV,645355,15,1
2020-04-09,SV,645355,10,1
2020-04-10,SV,645355,14,0
2020-04-11,SV,645355,1,0
2020-04-12,SV,645355,7,0
2020-04-13,SV,645355,12,0
2020-04-14,SV,645355,12,0
2020-04-15,SV,645355,10,0
2020-04-16,SV,645355,5,0
2020-04-17,SV,645355,13,1
2020-04-18,SV,645355,13,0
2020-04-19,SV,645355,11,0
2020-04-20,SV,645355,17,0
2020-04-21,SV,645355,7,0
2020-04-22,SV,645355,12,0
2020-04-23,SV,645355,13,1
2020-04-24,SV,645355,24,0
2020-04-25,SV,645355,0,0
2020-04-26,SV,645355,24,0
2020-04-27,SV,645355,25,0
2020-04-28,SV,645355,22,0
2020-04-29,SV,645355,32,1
2020-04-30,SV,645355,18,1
2020-05-01,SV,645355,29,0
2020-05-02,SV,645355,22,1
2020-05-03,SV,645355,44,0
2020-05-04,SV,645355,65,2
2020-05-05,SV,645355,32,1
2020-05-06,SV,645355,46,1
2020-05-07,SV,645355,62,0
2020-05-08,SV,645355,47,1
2020-05-09,SV,645355,42,1
2020-05-10,SV,645355,105,0
2020-05-11,SV,645355,69,1
2020-05-12,SV,645355,40,2
2020-05-13,SV,645355,39,0
2020-05-14,SV,645355,75,3
2020-05-15,SV,645355,98,2
2020-05-16,SV,645355,55,1
2020-05-17,SV,645355,73,4
2020-05-18,SV,645355,75,0
2020-05-19,SV,645355,85,0
2020-05-20,SV,645355,73,1
2020-05-21,SV,645355,69,2
2020-05-22,SV,645355,85,0
2020-05-23,SV,645355,94,0
2020-05-24,SV,645355,96,2
2020-05-25,SV,645355,68,0
2020-05-26,SV,645355,59,1
2020-05-27,SV,645355,67,3
2020-05-28,SV,645355,85,0
2020-05-29,SV,645355,84,3
2020-05-30,SV,645355,117,4
2020-05-31,SV,645355,122,0
2020-06-01,SV,645355,65,0
2020-06-02,SV,645355,71,3
2020-06-03,SV,645355,52,2
2020-06-04,SV,645355,76,1
2020-06-05,SV,645355,68,1
2020-06-06,SV,645355,85,0
2020-06-07,SV,645355,81,0
2020-06-08,SV,645355,89,3
2020-06-09,SV,645355,87,4
2020-06-10,SV,645355,83,4
2020-06-11,SV,645355,99,4
2020-06-12,SV,645355,108,0
2020-06-13,SV,645355,122,4
2020-06-14,SV,645355,117,2
2020-06-15,SV,645355,106,0
2020-06-16,SV,645355,115,2
2020-06-17,SV,645355,125,3
2020-06-18,SV,645355,134,3
2020-06-19,SV,645355,129,4
2020-06-20,SV,645355,146,7
2020-06-21,SV,645355,151,5
2020-06-22,SV,645355,182,9
2020-06-23,SV,645355,165,6
2020-06-24,SV,645355,177,6
2020-06-25,SV,645355,186,7
2020-06-26,SV,645355,181,7
2020-06-27,SV,645355,210,10
2020-06-28,SV,645355,207,9
2020-06-29,SV,645355,239,12
2020-06-30,SV,645355,265,10
2020-07-01,SV,645355,298,8
2020-07-02,SV,645355,264,9
2020-07-03,SV,645355,267,11
2020-07-04,SV,645355,240,8
2020-07-05,SV,645355,270,7
2020-07-06,SV,645355,250,6
2020-07-07,SV,645355,280,6
2020-07-08,SV,645355,259,6
2020-07-09,SV,645355,278,8
2020-07-10,SV,645355,298,6
2020-07-11,SV,645355,249,5
2020-07-12,SV,645355,283,6
2020-07-13,SV,645355,304,7
2020-07-14,SV,645355,325,11
2020-07-15,SV,645355,342,8
2020-07-16,SV,645355,312,12
2020-07-17,SV,645355,250,11
2020-07-18,SV,645355,301,15
2020-07-19,SV,645355,338,11
2020-07-20,SV,645355,361,9
2020-07-21,SV,645355,375,8
2020-07-22,SV,645355,393,11
2020-07-23,SV,645355,402,9
2020-07-24,SV,645355,415,7
2020-07-25,SV,645355,429,11
2020-07-26,SV,645355,409,10
2020-07-27,SV,645355,405,8
2020-07-28,SV,645355,411,9
2020-07-29,SV,645355,395,13
2020-07-30,SV,645355,389,9
2020-07-31,SV,645355,402,9
2020-08-01,SV,645355,418,11
2020-08-02,SV,645355,398,8
2020-08-03,SV,645355,395,10
2020-08-04,SV,645355,419,9
2020-08-05,SV,645355,439,12
2020-08-06,SV,645355,425,15
2020-08-07,SV,645355,418,7
2020-08-08,SV,645355,434,16
2020-08-09,SV,645355,445,13
2020-08-10,SV,645355,449,14
2020-08-11,SV,645355,397,7
2020-08-12,SV,645355,375,7
2020-08-13,SV,645355,349,7
2020-08-14,SV,645355,321,11
2020-08-15,SV,645355,305,8
2020-08-16,SV,645355,293,9
2020-08-17,SV,645355,281,6
2020-08-18,SV,645355,269,7
2020-08-19,SV,645355,255,8
2020-08-20,SV,645355,247,7
2020-08-21,SV,645355,236,6
2020-08-22,SV,645355,220,8
2020-08-23,SV,645355,202,7
2020-08-24,SV,645355,189,8
2020-08-25,SV,645355,175,9
2020-08-26,SV,645355,154,9
2020-08-27,SV,645355,144,7
2020-08-28,SV,645355,131,8
2020-08-29,SV,645355,122,6
2020-08-30,SV,645355,98,5
2020-08-31,SV,645355,94,4
2020-09-01,SV,645355,91,7
2020-09-02,SV,645355,84,7
2020-09-03,SV,645355,96,8
2020-09-04,SV,645355,99,5
2020-09-05,SV,645355,107,8
2020-09-06,SV,645355,102,7
2020-09-07,SV,645355,105,5
2020-09-08,SV,645355,98,1
2020-09-09,SV,645355,91,5
2020-09-10,SV,645355,86,4
2020-09-11,SV,645355,85,3
2020-09-12,SV,645355,78,5
2020-09-13,SV,645355,77,3
2020-09-14,SV,645355,81,3
2020-09-15,SV,645355,79,4
2020-09-16,SV,645355,75,4
2020-09-17,SV,645355,86,5
2020-09-18,SV,645355,97,3
2020-09-19,SV,645355,82,4
2020-09-20,SV,645355,125,3
2020-09-21,SV,645355,245,1
2020-09-22,SV,645355,156,2
2020-09-23,SV,645355,247,5
2020-09-24,SV,645355,214,4
2020-09-25,SV,645355,215,3
2020-09-26,SV,645355,92,0
2020-09-27,SV,645355,-92,0
2020-09-28,SV,645355,179,5
2020-09-29,SV,645355,172,8
2020-09-30,SV,645355,96,4
2020-10-01,SV,645355,98,5
2020-10-02,SV,645355,94,5
2020-10-03,SV,645355,89,4
2020-10-04,SV,645355,92,6
2020-10-05,SV,645355,89,2
2020-10-06,SV,645355,95,4
2020-10-07,SV,645355,103,4
2020-10-08,SV,645355,105,4
2020-10-09,SV,645355,109,4
2020-10-10,SV,645355,119,6
