date,countrycode,population,cases,deaths
2020-01-22,SZ,1093238,0,0
2020-01-23,SZ,1093238,0,0
2020-01-24,SZ,1093238,0,0
2020-01-25,SZ,1093238,0,0
2020-01-26,SZ,1093238,0,0
2020-01-27,SZ,1093238,0,0
2020-01-28,SZ,1093238,0,0
2020-01-29,SZ,1093238,0,0
2020-01-30,SZ,1093238,0,0
2020-01-31,SZ,1093238,0,0
2020-02-01,SZ,1093238,0,0
2020-02-02,SZ,1093238,0,0
2020-02-03,SZ,1093238,0,0
2020-02-04,SZ,1093238,0,0
2020-02-05,SZ,1093238,0,0
2020-02-06,SZ,1093238,0,0
2020-02-07,SZ,1093238,0,0
2020-02-08,SZ,1093238,0,0
2020-02-09,SZ,1093238,0,0
2020-02-10,SZ,1093238,0,0
2020-02-11,SZ,1093238,0,0
2020-02-12,SZ,1093238,0,0
2020-02-13,SZ,1093238,0,0
2020-02-14,SZ,1093238,0,0
2020-02-15,SZ,1093238,0,0
2020-02-16,SZ,1093238,0,0
2020-02-17,SZ,1093238,0,0
2020-02-18,SZ,1093238,0,0
2020-02-19,SZ,1093238,0,0
2020-02-20,SZ,1093238,0,0
2020-02-21,SZ,1093238,0,0
2020-02-22,SZ,1093238,0,0
2020-02-23,SZ,1093238,0,0
2020-02-24,SZ,1093238,0,0
2020-02-25,SZ,1093238,0,0
2020-02-26,SZ,1093238,0,0
2020-02-27,SZ,1093238,0,0
2020-02-28,SZ,1093238,0,0
2020-02-29,SZ,1093238,0,0
2020-03-01,SZ,1093238,0,0
2020-03-02,SZ,1093238,0,0
2020-03-03,SZ,1093238,0,0
2020-03-04,SZ,1093238,0,0
2020-03-05,SZ,1093238,0,0
2020-03-06,SZ,1093238,0,0
2020-03-07,SZ,1093238,0,0
2020-03-08,SZ,1093238,0,0
2020-03-09,SZ,1093238,0,0
2020-03-10,SZ,1093238,0,0
2020-03-11,SZ,1093238,0,0
2020-03-12,SZ,1093238,0,0
2020-03-13,SZ,1093238,0,0
2020-03-14,SZ,1093238,1,0
2020-03-15,SZ,1093238,0,0
2020-03-16,SZ,1093238,0,0
2020-03-17,SZ,1093238,0,0
2020-03-18,SZ,1093238,0,0
2020-03-19,SZ,1093238,0,0
2020-03-20,SZ,1093238,0,0
2020-03-21,SZ,1093238,0,0
2020-03-22,SZ,1093238,3,0
2020-03-23,SZ,1093238,0,0
2020-03-24,SZ,1093238,0,0
2020-03-25,SZ,1093238,0,0
2020-03-26,SZ,1093238,2,0
2020-03-27,SZ,1093238,3,0
2020-03-28,SZ,1093238,0,0
2020-03-29,SZ,1093238,0,0
2020-03-30,SZ,1093238,0,0
2020-03-31,SZ,1093238,0,0
2020-04-01,SZ,1093238,0,0
2020-04-02,SZ,1093238,0,0
2020-04-03,SZ,1093238,0,0
2020-04-04,SZ,1093238,0,0
2020-04-05,SZ,1093238,0,0
2020-04-06,SZ,1093238,1,0
2020-04-07,SZ,1093238,0,0
2020-04-08,SZ,1093238,2,0
2020-04-09,SZ,1093238,0,0
2020-04-10,SZ,1093238,0,0
2020-04-11,SZ,1093238,0,0
2020-04-12,SZ,1093238,2,0
2020-04-13,SZ,1093238,1,0
2020-04-14,SZ,1093238,0,0
2020-04-15,SZ,1093238,0,0
2020-04-16,SZ,1093238,1,1
2020-04-17,SZ,1093238,0,0
2020-04-18,SZ,1093238,6,0
2020-04-19,SZ,1093238,0,0
2020-04-20,SZ,1093238,2,0
2020-04-21,SZ,1093238,7,0
2020-04-22,SZ,1093238,0,0
2020-04-23,SZ,1093238,0,0
2020-04-24,SZ,1093238,5,0
2020-04-25,SZ,1093238,20,0
2020-04-26,SZ,1093238,3,0
2020-04-27,SZ,1093238,6,0
2020-04-28,SZ,1093238,6,0
2020-04-29,SZ,1093238,20,0
2020-04-30,SZ,1093238,9,0
2020-05-01,SZ,1093238,6,0
2020-05-02,SZ,1093238,2,0
2020-05-03,SZ,1093238,4,0
2020-05-04,SZ,1093238,4,0
2020-05-05,SZ,1093238,3,0
2020-05-06,SZ,1093238,4,1
2020-05-07,SZ,1093238,30,0
2020-05-08,SZ,1093238,6,0
2020-05-09,SZ,1093238,4,0
2020-05-10,SZ,1093238,9,0
2020-05-11,SZ,1093238,3,0
2020-05-12,SZ,1093238,9,0
2020-05-13,SZ,1093238,3,0
2020-05-14,SZ,1093238,0,0
2020-05-15,SZ,1093238,3,0
2020-05-16,SZ,1093238,12,0
2020-05-17,SZ,1093238,1,0
2020-05-18,SZ,1093238,2,0
2020-05-19,SZ,1093238,3,0
2020-05-20,SZ,1093238,9,0
2020-05-21,SZ,1093238,3,0
2020-05-22,SZ,1093238,5,0
2020-05-23,SZ,1093238,13,0
2020-05-24,SZ,1093238,12,0
2020-05-25,SZ,1093238,6,0
2020-05-26,SZ,1093238,5,0
2020-05-27,SZ,1093238,11,0
2020-05-28,SZ,1093238,7,0
2020-05-29,SZ,1093238,0,0
2020-05-30,SZ,1093238,4,0
2020-05-31,SZ,1093238,2,0
2020-06-01,SZ,1093238,8,1
2020-06-02,SZ,1093238,1,0
2020-06-03,SZ,1093238,1,0
2020-06-04,SZ,1093238,5,0
2020-06-05,SZ,1093238,5,0
2020-06-06,SZ,1093238,17,0
2020-06-07,SZ,1093238,11,0
2020-06-08,SZ,1093238,7,0
2020-06-09,SZ,1093238,31,0
2020-06-10,SZ,1093238,27,0
2020-06-11,SZ,1093238,51,0
2020-06-12,SZ,1093238,23,0
2020-06-13,SZ,1093238,14,0
2020-06-14,SZ,1093238,4,1
2020-06-15,SZ,1093238,16,0
2020-06-16,SZ,1093238,14,0
2020-06-17,SZ,1093238,43,0
2020-06-18,SZ,1093238,23,0
2020-06-19,SZ,1093238,37,0
2020-06-20,SZ,1093238,4,1
2020-06-21,SZ,1093238,8,0
2020-06-22,SZ,1093238,8,1
2020-06-23,SZ,1093238,31,1
2020-06-24,SZ,1093238,16,0
2020-06-25,SZ,1093238,16,1
2020-06-26,SZ,1093238,22,0
2020-06-27,SZ,1093238,17,0
2020-06-28,SZ,1093238,36,3
2020-06-29,SZ,1093238,14,0
2020-06-30,SZ,1093238,17,0
2020-07-01,SZ,1093238,28,0
2020-07-02,SZ,1093238,33,0
2020-07-03,SZ,1093238,36,2
2020-07-04,SZ,1093238,45,0
2020-07-05,SZ,1093238,34,0
2020-07-06,SZ,1093238,23,0
2020-07-07,SZ,1093238,45,1
2020-07-08,SZ,1093238,82,0
2020-07-09,SZ,1093238,75,3
2020-07-10,SZ,1093238,44,1
2020-07-11,SZ,1093238,54,0
2020-07-12,SZ,1093238,40,2
2020-07-13,SZ,1093238,38,0
2020-07-14,SZ,1093238,45,0
2020-07-15,SZ,1093238,55,0
2020-07-16,SZ,1093238,63,1
2020-07-17,SZ,1093238,67,0
2020-07-18,SZ,1093238,110,0
2020-07-19,SZ,1093238,64,0
2020-07-20,SZ,1093238,33,2
2020-07-21,SZ,1093238,68,1
2020-07-22,SZ,1093238,44,1
2020-07-23,SZ,1093238,83,3
2020-07-24,SZ,1093238,52,0
2020-07-25,SZ,1093238,69,0
2020-07-26,SZ,1093238,65,4
2020-07-27,SZ,1093238,109,2
2020-07-28,SZ,1093238,88,5
2020-07-29,SZ,1093238,147,1
2020-07-30,SZ,1093238,26,0
2020-07-31,SZ,1093238,71,1
2020-08-01,SZ,1093238,58,2
2020-08-02,SZ,1093238,69,0
2020-08-03,SZ,1093238,63,2
2020-08-04,SZ,1093238,18,4
2020-08-05,SZ,1093238,53,4
2020-08-06,SZ,1093238,59,2
2020-08-07,SZ,1093238,68,1
2020-08-08,SZ,1093238,92,0
2020-08-09,SZ,1093238,108,2
2020-08-10,SZ,1093238,73,3
2020-08-11,SZ,1093238,101,2
2020-08-12,SZ,1093238,115,0
2020-08-13,SZ,1093238,74,2
2020-08-14,SZ,1093238,71,3
2020-08-15,SZ,1093238,75,1
2020-08-16,SZ,1093238,94,1
2020-08-17,SZ,1093238,55,3
2020-08-18,SZ,1093238,95,3
2020-08-19,SZ,1093238,69,3
2020-08-20,SZ,1093238,52,2
2020-08-21,SZ,1093238,18,0
2020-08-22,SZ,1093238,61,2
2020-08-23,SZ,1093238,36,2
2020-08-24,SZ,1093238,79,0
2020-08-25,SZ,1093238,23,1
2020-08-26,SZ,1093238,60,2
2020-08-27,SZ,1093238,46,1
2020-08-28,SZ,1093238,28,2
2020-08-29,SZ,1093238,49,0
2020-08-30,SZ,1093238,51,0
2020-08-31,SZ,1093238,16,0
2020-09-01,SZ,1093238,41,3
2020-09-02,SZ,1093238,50,0
2020-09-03,SZ,1093238,52,0
2020-09-04,SZ,1093238,60,0
2020-09-05,SZ,1093238,39,0
2020-09-06,SZ,1093238,34,0
2020-09-07,SZ,1093238,31,0
2020-09-08,SZ,1093238,20,2
2020-09-09,SZ,1093238,32,1
2020-09-10,SZ,1093238,58,1
2020-09-11,SZ,1093238,31,0
2020-09-12,SZ,1093238,25,0
2020-09-13,SZ,1093238,25,0
2020-09-14,SZ,1093238,29,3
2020-09-15,SZ,1093238,24,0
2020-09-16,SZ,1093238,27,0
2020-09-17,SZ,1093238,36,2
2020-09-18,SZ,1093238,24,0
2020-09-19,SZ,1093238,30,1
2020-09-20,SZ,1093238,24,0
2020-09-21,SZ,1093238,13,0
2020-09-22,SZ,1093238,25,2
2020-09-23,SZ,1093238,36,2
2020-09-24,SZ,1093238,32,0
2020-09-25,SZ,1093238,24,0
2020-09-26,SZ,1093238,20,0
