date,countrycode,population,cases,deaths
2020-03-19,TD,16818391,0,0
2020-03-20,TD,16818391,0,0
2020-03-21,TD,16818391,0,0
2020-03-22,TD,16818391,0,0
2020-03-23,TD,16818391,0,0
2020-03-24,TD,16818391,2,0
2020-03-25,TD,16818391,0,0
2020-03-26,TD,16818391,0,0
2020-03-27,TD,16818391,0,0
2020-03-28,TD,16818391,0,0
2020-03-29,TD,16818391,0,0
2020-03-30,TD,16818391,2,0
2020-03-31,TD,16818391,2,0
2020-04-01,TD,16818391,0,0
2020-04-02,TD,16818391,1,0
2020-04-03,TD,16818391,0,0
2020-04-04,TD,16818391,1,0
2020-04-05,TD,16818391,0,0
2020-04-06,TD,16818391,0,0
2020-04-07,TD,16818391,1,0
2020-04-08,TD,16818391,0,0
2020-04-09,TD,16818391,1,0
2020-04-10,TD,16818391,0,0
2020-04-11,TD,16818391,0,0
2020-04-12,TD,16818391,7,0
2020-04-13,TD,16818391,5,0
2020-04-14,TD,16818391,0,0
2020-04-15,TD,16818391,0,0
2020-04-16,TD,16818391,4,0
2020-04-17,TD,16818391,0,0
2020-04-18,TD,16818391,6,0
2020-04-19,TD,16818391,0,0
2020-04-20,TD,16818391,0,0
2020-04-21,TD,16818391,0,0
2020-04-22,TD,16818391,0,0
2020-04-23,TD,16818391,0,0
2020-04-24,TD,16818391,7,0
2020-04-25,TD,16818391,6,0
2020-04-26,TD,16818391,0,0
2020-04-27,TD,16818391,0,0
2020-04-28,TD,16818391,6,2
2020-04-29,TD,16818391,0,0
2020-04-30,TD,16818391,21,3
2020-05-01,TD,16818391,0,0
2020-05-02,TD,16818391,44,5
2020-05-03,TD,16818391,0,0
2020-05-04,TD,16818391,0,0
2020-05-05,TD,16818391,53,7
2020-05-06,TD,16818391,0,0
2020-05-07,TD,16818391,83,10
2020-05-08,TD,16818391,7,1
2020-05-09,TD,16818391,62,3
2020-05-10,TD,16818391,0,0
2020-05-11,TD,16818391,0,0
2020-05-12,TD,16818391,35,9
2020-05-13,TD,16818391,15,2
2020-05-14,TD,16818391,27,4
2020-05-15,TD,16818391,29,2
2020-05-16,TD,16818391,46,2
2020-05-17,TD,16818391,29,3
2020-05-18,TD,16818391,16,0
2020-05-19,TD,16818391,26,3
2020-05-20,TD,16818391,20,1
2020-05-21,TD,16818391,23,1
2020-05-22,TD,16818391,23,0
2020-05-23,TD,16818391,37,2
2020-05-24,TD,16818391,27,0
2020-05-25,TD,16818391,12,1
2020-05-26,TD,16818391,13,1
2020-05-27,TD,16818391,15,2
2020-05-28,TD,16818391,11,1
2020-05-29,TD,16818391,33,0
2020-05-30,TD,16818391,0,0
2020-05-31,TD,16818391,19,0
2020-06-01,TD,16818391,12,1
2020-06-02,TD,16818391,13,0
2020-06-03,TD,16818391,17,0
2020-06-04,TD,16818391,8,0
2020-06-05,TD,16818391,8,2
2020-06-06,TD,16818391,0,1
2020-06-07,TD,16818391,1,0
2020-06-08,TD,16818391,2,1
2020-06-09,TD,16818391,5,1
2020-06-10,TD,16818391,2,1
2020-06-11,TD,16818391,2,0
2020-06-12,TD,16818391,0,0
2020-06-13,TD,16818391,0,0
2020-06-14,TD,16818391,2,1
2020-06-15,TD,16818391,0,0
2020-06-16,TD,16818391,3,1
2020-06-17,TD,16818391,1,0
2020-06-18,TD,16818391,0,0
2020-06-19,TD,16818391,4,0
2020-06-20,TD,16818391,0,0
2020-06-21,TD,16818391,0,0
2020-06-22,TD,16818391,0,0
2020-06-23,TD,16818391,2,0
2020-06-24,TD,16818391,0,0
2020-06-25,TD,16818391,3,0
2020-06-26,TD,16818391,2,0
2020-06-27,TD,16818391,0,0
2020-06-28,TD,16818391,1,0
2020-06-29,TD,16818391,0,0
2020-06-30,TD,16818391,0,0
2020-07-01,TD,16818391,0,0
2020-07-02,TD,16818391,2,0
2020-07-03,TD,16818391,3,0
2020-07-04,TD,16818391,0,0
2020-07-05,TD,16818391,1,0
2020-07-06,TD,16818391,0,0
2020-07-07,TD,16818391,1,0
2020-07-08,TD,16818391,0,0
2020-07-09,TD,16818391,0,0
2020-07-10,TD,16818391,1,0
2020-07-11,TD,16818391,0,0
2020-07-12,TD,16818391,6,1
2020-07-13,TD,16818391,0,0
2020-07-14,TD,16818391,4,0
2020-07-15,TD,16818391,1,0
2020-07-16,TD,16818391,1,0
2020-07-17,TD,16818391,1,0
2020-07-18,TD,16818391,2,0
2020-07-19,TD,16818391,0,0
2020-07-20,TD,16818391,0,0
2020-07-21,TD,16818391,0,0
