date,countrycode,population,cases,deaths
2020-01-22,TH,69625581,0,0
2020-01-23,TH,69625581,0,0
2020-01-24,TH,69625581,1,0
2020-01-25,TH,69625581,1,0
2020-01-26,TH,69625581,2,0
2020-01-27,TH,69625581,0,0
2020-01-28,TH,69625581,6,0
2020-01-29,TH,69625581,0,0
2020-01-30,TH,69625581,0,0
2020-01-31,TH,69625581,5,0
2020-02-01,TH,69625581,0,0
2020-02-02,TH,69625581,0,0
2020-02-03,TH,69625581,0,0
2020-02-04,TH,69625581,6,0
2020-02-05,TH,69625581,0,0
2020-02-06,TH,69625581,0,0
2020-02-07,TH,69625581,0,0
2020-02-08,TH,69625581,7,0
2020-02-09,TH,69625581,0,0
2020-02-10,TH,69625581,0,0
2020-02-11,TH,69625581,1,0
2020-02-12,TH,69625581,0,0
2020-02-13,TH,69625581,0,0
2020-02-14,TH,69625581,0,0
2020-02-15,TH,69625581,1,0
2020-02-16,TH,69625581,0,0
2020-02-17,TH,69625581,1,0
2020-02-18,TH,69625581,0,0
2020-02-19,TH,69625581,0,0
2020-02-20,TH,69625581,0,0
2020-02-21,TH,69625581,0,0
2020-02-22,TH,69625581,0,0
2020-02-23,TH,69625581,0,0
2020-02-24,TH,69625581,0,0
2020-02-25,TH,69625581,2,0
2020-02-26,TH,69625581,3,0
2020-02-27,TH,69625581,0,0
2020-02-28,TH,69625581,1,0
2020-02-29,TH,69625581,1,0
2020-03-01,TH,69625581,0,1
2020-03-02,TH,69625581,1,0
2020-03-03,TH,69625581,0,0
2020-03-04,TH,69625581,0,0
2020-03-05,TH,69625581,4,0
2020-03-06,TH,69625581,1,0
2020-03-07,TH,69625581,2,0
2020-03-08,TH,69625581,0,0
2020-03-09,TH,69625581,0,0
2020-03-10,TH,69625581,3,0
2020-03-11,TH,69625581,6,0
2020-03-12,TH,69625581,11,0
2020-03-13,TH,69625581,5,0
2020-03-14,TH,69625581,7,0
2020-03-15,TH,69625581,32,0
2020-03-16,TH,69625581,33,0
2020-03-17,TH,69625581,30,0
2020-03-18,TH,69625581,35,0
2020-03-19,TH,69625581,60,0
2020-03-20,TH,69625581,50,0
2020-03-21,TH,69625581,89,0
2020-03-22,TH,69625581,188,0
2020-03-23,TH,69625581,122,0
2020-03-24,TH,69625581,106,3
2020-03-25,TH,69625581,107,0
2020-03-26,TH,69625581,111,0
2020-03-27,TH,69625581,91,1
2020-03-28,TH,69625581,109,1
2020-03-29,TH,69625581,143,1
2020-03-30,TH,69625581,136,2
2020-03-31,TH,69625581,127,1
2020-04-01,TH,69625581,120,2
2020-04-02,TH,69625581,104,3
2020-04-03,TH,69625581,103,4
2020-04-04,TH,69625581,89,1
2020-04-05,TH,69625581,102,3
2020-04-06,TH,69625581,51,3
2020-04-07,TH,69625581,38,1
2020-04-08,TH,69625581,111,3
2020-04-09,TH,69625581,54,2
2020-04-10,TH,69625581,50,1
2020-04-11,TH,69625581,45,2
2020-04-12,TH,69625581,33,3
2020-04-13,TH,69625581,28,2
2020-04-14,TH,69625581,34,1
2020-04-15,TH,69625581,30,2
2020-04-16,TH,69625581,29,3
2020-04-17,TH,69625581,28,1
2020-04-18,TH,69625581,33,0
2020-04-19,TH,69625581,32,0
2020-04-20,TH,69625581,27,0
2020-04-21,TH,69625581,19,1
2020-04-22,TH,69625581,15,1
2020-04-23,TH,69625581,13,1
2020-04-24,TH,69625581,15,0
2020-04-25,TH,69625581,53,1
2020-04-26,TH,69625581,15,0
2020-04-27,TH,69625581,9,1
2020-04-28,TH,69625581,7,2
2020-04-29,TH,69625581,9,0
2020-04-30,TH,69625581,7,0
2020-05-01,TH,69625581,6,0
2020-05-02,TH,69625581,6,0
2020-05-03,TH,69625581,3,0
2020-05-04,TH,69625581,18,0
2020-05-05,TH,69625581,1,0
2020-05-06,TH,69625581,1,1
2020-05-07,TH,69625581,3,0
