date,countrycode,population,cases,deaths
2020-03-11,TR,83429607,0,0
2020-03-12,TR,83429607,0,0
2020-03-13,TR,83429607,4,0
2020-03-14,TR,83429607,0,0
2020-03-15,TR,83429607,1,0
2020-03-16,TR,83429607,12,0
2020-03-17,TR,83429607,29,1
2020-03-18,TR,83429607,51,0
2020-03-19,TR,83429607,94,2
2020-03-20,TR,83429607,167,1
2020-03-21,TR,83429607,311,5
2020-03-22,TR,83429607,566,21
2020-03-23,TR,83429607,293,7
2020-03-24,TR,83429607,343,7
2020-03-25,TR,83429607,561,15
2020-03-26,TR,83429607,1196,16
2020-03-27,TR,83429607,2069,17
2020-03-28,TR,83429607,1704,16
2020-03-29,TR,83429607,1815,23
2020-03-30,TR,83429607,1610,37
2020-03-31,TR,83429607,2704,46
2020-04-01,TR,83429607,2148,63
2020-04-02,TR,83429607,2456,79
2020-04-03,TR,83429607,2786,69
2020-04-04,TR,83429607,3013,76
2020-04-05,TR,83429607,3135,73
2020-04-06,TR,83429607,3148,75
2020-04-07,TR,83429607,3892,76
2020-04-08,TR,83429607,4117,87
2020-04-09,TR,83429607,4056,96
2020-04-10,TR,83429607,4747,98
2020-04-11,TR,83429607,5138,95
2020-04-12,TR,83429607,4789,97
2020-04-13,TR,83429607,4093,98
2020-04-14,TR,83429607,4062,107
2020-04-15,TR,83429607,4281,115
2020-04-16,TR,83429607,4801,125
2020-04-17,TR,83429607,4353,126
2020-04-18,TR,83429607,3783,121
2020-04-19,TR,83429607,3977,127
2020-04-20,TR,83429607,4674,123
2020-04-21,TR,83429607,4611,119
2020-04-22,TR,83429607,3083,117
2020-04-23,TR,83429607,3116,115
2020-04-24,TR,83429607,3122,109
2020-04-25,TR,83429607,2861,106
2020-04-26,TR,83429607,2357,99
2020-04-27,TR,83429607,2131,95
2020-04-28,TR,83429607,2392,92
2020-04-29,TR,83429607,2936,89
2020-04-30,TR,83429607,2615,93
2020-05-01,TR,83429607,2188,84
2020-05-02,TR,83429607,1983,78
2020-05-03,TR,83429607,1670,61
2020-05-04,TR,83429607,1614,64
2020-05-05,TR,83429607,1832,59
2020-05-06,TR,83429607,2253,64
2020-05-07,TR,83429607,1977,57
2020-05-08,TR,83429607,1848,48
2020-05-09,TR,83429607,1546,50
2020-05-10,TR,83429607,1542,47
2020-05-11,TR,83429607,1114,55
2020-05-12,TR,83429607,1704,53
2020-05-13,TR,83429607,1639,58
2020-05-14,TR,83429607,1635,55
2020-05-15,TR,83429607,1708,48
2020-05-16,TR,83429607,1610,41
2020-05-17,TR,83429607,1368,44
2020-05-18,TR,83429607,1158,31
2020-05-19,TR,83429607,1022,28
2020-05-20,TR,83429607,972,23
2020-05-21,TR,83429607,961,27
2020-05-22,TR,83429607,952,27
2020-05-23,TR,83429607,1186,32
2020-05-24,TR,83429607,1141,32
2020-05-25,TR,83429607,987,29
2020-05-26,TR,83429607,948,28
2020-05-27,TR,83429607,1035,34
2020-05-28,TR,83429607,1182,30
2020-05-29,TR,83429607,1141,28
2020-05-30,TR,83429607,983,26
2020-05-31,TR,83429607,839,25
2020-06-01,TR,83429607,827,23
2020-06-02,TR,83429607,786,22
2020-06-03,TR,83429607,867,24
2020-06-04,TR,83429607,988,21
2020-06-05,TR,83429607,930,18
2020-06-06,TR,83429607,878,21
2020-06-07,TR,83429607,914,23
2020-06-08,TR,83429607,989,19
2020-06-09,TR,83429607,993,18
2020-06-10,TR,83429607,922,17
2020-06-11,TR,83429607,987,17
2020-06-12,TR,83429607,1195,15
2020-06-13,TR,83429607,1459,14
2020-06-14,TR,83429607,1562,15
2020-06-15,TR,83429607,1592,18
2020-06-16,TR,83429607,1467,17
2020-06-17,TR,83429607,1429,19
2020-06-18,TR,83429607,1304,21
2020-06-19,TR,83429607,1214,23
2020-06-20,TR,83429607,1248,22
2020-06-21,TR,83429607,1192,23
2020-06-22,TR,83429607,1212,24
2020-06-23,TR,83429607,1268,27
2020-06-24,TR,83429607,1492,24
2020-06-25,TR,83429607,1458,21
2020-06-26,TR,83429607,1396,19
2020-06-27,TR,83429607,1372,17
2020-06-28,TR,83429607,1356,15
2020-06-29,TR,83429607,1374,18
2020-06-30,TR,83429607,1293,16
2020-07-01,TR,83429607,1192,19
2020-07-02,TR,83429607,1186,17
2020-07-03,TR,83429607,1172,19
2020-07-04,TR,83429607,1154,20
2020-07-05,TR,83429607,1148,19
2020-07-06,TR,83429607,1086,16
2020-07-07,TR,83429607,1053,19
2020-07-08,TR,83429607,1041,22
2020-07-09,TR,83429607,1024,18
2020-07-10,TR,83429607,1003,23
2020-07-11,TR,83429607,1016,21
2020-07-12,TR,83429607,1012,19
2020-07-13,TR,83429607,1008,19
2020-07-14,TR,83429607,992,20
2020-07-15,TR,83429607,947,17
2020-07-16,TR,83429607,933,21
2020-07-17,TR,83429607,926,18
2020-07-18,TR,83429607,918,17
2020-07-19,TR,83429607,924,16
2020-07-20,TR,83429607,931,17
2020-07-21,TR,83429607,928,18
2020-07-22,TR,83429607,902,19
2020-07-23,TR,83429607,913,18
2020-07-24,TR,83429607,937,17
2020-07-25,TR,83429607,921,16
2020-07-26,TR,83429607,927,17
2020-07-27,TR,83429607,919,17
2020-07-28,TR,83429607,963,15
2020-07-29,TR,83429607,942,14
2020-07-30,TR,83429607,967,15
2020-07-31,TR,83429607,982,17
2020-08-01,TR,83429607,996,19
2020-08-02,TR,83429607,987,18
2020-08-03,TR,83429607,995,19
2020-08-04,TR,83429607,1083,18
2020-08-05,TR,83429607,1178,19
2020-08-06,TR,83429607,1153,14
2020-08-07,TR,83429607,1185,15
2020-08-08,TR,83429607,1172,16
2020-08-09,TR,83429607,1182,15
2020-08-10,TR,83429607,1193,14
2020-08-11,TR,83429607,1183,15
2020-08-12,TR,83429607,1212,18
2020-08-13,TR,83429607,1243,21
2020-08-14,TR,83429607,1226,22
2020-08-15,TR,83429607,1256,21
2020-08-16,TR,83429607,1192,19
2020-08-17,TR,83429607,1233,22
2020-08-18,TR,83429607,1263,20
2020-08-19,TR,83429607,1303,23
2020-08-20,TR,83429607,1412,19
2020-08-21,TR,83429607,1203,22
2020-08-22,TR,83429607,1309,22
2020-08-23,TR,83429607,1217,19
2020-08-24,TR,83429607,1443,18
2020-08-25,TR,83429607,1502,24
2020-08-26,TR,83429607,1313,20
2020-08-27,TR,83429607,1491,26
2020-08-28,TR,83429607,1517,36
2020-08-29,TR,83429607,1549,39
2020-08-30,TR,83429607,1482,42
2020-08-31,TR,83429607,1587,44
2020-09-01,TR,83429607,1572,47
2020-09-02,TR,83429607,1596,45
2020-09-03,TR,83429607,1642,49
2020-09-04,TR,83429607,1612,53
2020-09-05,TR,83429607,1673,56
2020-09-06,TR,83429607,1578,53
2020-09-07,TR,83429607,1703,57
2020-09-08,TR,83429607,1761,52
2020-09-09,TR,83429607,1673,55
2020-09-10,TR,83429607,1512,58
2020-09-11,TR,83429607,1671,56
2020-09-12,TR,83429607,1509,48
2020-09-13,TR,83429607,1527,57
2020-09-14,TR,83429607,1716,63
2020-09-15,TR,83429607,1742,67
2020-09-16,TR,83429607,1771,63
2020-09-17,TR,83429607,1648,66
2020-09-18,TR,83429607,1771,62
2020-09-19,TR,83429607,1538,68
2020-09-20,TR,83429607,1519,61
2020-09-21,TR,83429607,1743,68
2020-09-22,TR,83429607,1692,65
2020-09-23,TR,83429607,1767,72
2020-09-24,TR,83429607,1721,74
2020-09-25,TR,83429607,1665,73
2020-09-26,TR,83429607,1511,71
2020-09-27,TR,83429607,1467,68
2020-09-28,TR,83429607,1412,65
