date,countrycode,population,cases,deaths
2020-03-21,UG,42885900,0,0
2020-03-22,UG,42885900,0,0
2020-03-23,UG,42885900,8,0
2020-03-24,UG,42885900,0,0
2020-03-25,UG,42885900,5,0
2020-03-26,UG,42885900,0,0
2020-03-27,UG,42885900,9,0
2020-03-28,UG,42885900,7,0
2020-03-29,UG,42885900,3,0
2020-03-30,UG,42885900,0,0
2020-03-31,UG,42885900,11,0
2020-04-01,UG,42885900,0,0
2020-04-02,UG,42885900,1,0
2020-04-03,UG,42885900,3,0
2020-04-04,UG,42885900,0,0
2020-04-05,UG,42885900,4,0
2020-04-06,UG,42885900,0,0
2020-04-07,UG,42885900,0,0
2020-04-08,UG,42885900,1,0
2020-04-09,UG,42885900,0,0
2020-04-10,UG,42885900,0,0
2020-04-11,UG,42885900,0,0
2020-04-12,UG,42885900,1,0
2020-04-13,UG,42885900,0,0
2020-04-14,UG,42885900,1,0
2020-04-15,UG,42885900,0,0
2020-04-16,UG,42885900,0,0
2020-04-17,UG,42885900,1,0
2020-04-18,UG,42885900,-1,0
2020-04-19,UG,42885900,0,0
2020-04-20,UG,42885900,1,0
2020-04-21,UG,42885900,5,0
2020-04-22,UG,42885900,2,0
2020-04-23,UG,42885900,11,0
2020-04-24,UG,42885900,1,0
2020-04-25,UG,42885900,0,0
2020-04-26,UG,42885900,4,0
2020-04-27,UG,42885900,0,0
2020-04-28,UG,42885900,0,0
2020-04-29,UG,42885900,2,0
2020-04-30,UG,42885900,2,0
2020-05-01,UG,42885900,2,0
2020-05-02,UG,42885900,3,0
2020-05-03,UG,42885900,1,0
2020-05-04,UG,42885900,8,0
2020-05-05,UG,42885900,1,0
2020-05-06,UG,42885900,2,0
2020-05-07,UG,42885900,1,0
2020-05-08,UG,42885900,0,0
2020-05-09,UG,42885900,15,0
2020-05-10,UG,42885900,5,0
2020-05-11,UG,42885900,0,0
2020-05-12,UG,42885900,8,0
2020-05-13,UG,42885900,10,0
2020-05-14,UG,42885900,21,0
2020-05-15,UG,42885900,43,0
2020-05-16,UG,42885900,24,0
2020-05-17,UG,42885900,0,0
2020-05-18,UG,42885900,21,0
2020-05-19,UG,42885900,12,0
2020-05-20,UG,42885900,4,0
2020-05-21,UG,42885900,-104,0
2020-05-22,UG,42885900,15,0
2020-05-23,UG,42885900,23,0
2020-05-24,UG,42885900,0,0
2020-05-25,UG,42885900,24,0
2020-05-26,UG,42885900,31,0
2020-05-27,UG,42885900,28,0
2020-05-28,UG,42885900,36,0
2020-05-29,UG,42885900,12,0
2020-05-30,UG,42885900,84,0
2020-05-31,UG,42885900,4,0
2020-06-01,UG,42885900,40,0
2020-06-02,UG,42885900,32,0
2020-06-03,UG,42885900,18,0
2020-06-04,UG,42885900,15,0
2020-06-05,UG,42885900,35,0
2020-06-06,UG,42885900,36,0
2020-06-07,UG,42885900,23,0
2020-06-08,UG,42885900,30,0
2020-06-09,UG,42885900,11,0
