date,countrycode,population,cases,deaths
2020-03-14,UY,3461731,0,0
2020-03-15,UY,3461731,0,0
2020-03-16,UY,3461731,4,0
2020-03-17,UY,3461731,21,0
2020-03-18,UY,3461731,21,0
2020-03-19,UY,3461731,29,0
2020-03-20,UY,3461731,15,0
2020-03-21,UY,3461731,16,0
2020-03-22,UY,3461731,25,0
2020-03-23,UY,3461731,23,0
2020-03-24,UY,3461731,4,0
2020-03-25,UY,3461731,27,0
2020-03-26,UY,3461731,28,0
2020-03-27,UY,3461731,21,0
2020-03-28,UY,3461731,36,0
2020-03-29,UY,3461731,30,1
2020-03-30,UY,3461731,6,0
2020-03-31,UY,3461731,28,0
2020-04-01,UY,3461731,0,1
2020-04-02,UY,3461731,12,2
2020-04-03,UY,3461731,19,0
2020-04-04,UY,3461731,31,1
2020-04-05,UY,3461731,0,0
2020-04-06,UY,3461731,6,1
2020-04-07,UY,3461731,18,1
2020-04-08,UY,3461731,0,0
2020-04-09,UY,3461731,32,0
2020-04-10,UY,3461731,17,0
2020-04-11,UY,3461731,21,0
2020-04-12,UY,3461731,-14,0
2020-04-13,UY,3461731,0,1
2020-04-14,UY,3461731,3,0
2020-04-15,UY,3461731,9,0
2020-04-16,UY,3461731,10,1
2020-04-17,UY,3461731,0,0
2020-04-18,UY,3461731,6,0
2020-04-19,UY,3461731,9,1
2020-04-20,UY,3461731,18,0
2020-04-21,UY,3461731,0,1
2020-04-22,UY,3461731,8,1
2020-04-23,UY,3461731,14,0
2020-04-24,UY,3461731,6,0
2020-04-25,UY,3461731,33,2
2020-04-26,UY,3461731,10,1
2020-04-27,UY,3461731,14,0
2020-04-28,UY,3461731,5,0
2020-04-29,UY,3461731,5,0
2020-04-30,UY,3461731,13,2
2020-05-01,UY,3461731,5,0
2020-05-02,UY,3461731,4,0
2020-05-03,UY,3461731,3,0
2020-05-04,UY,3461731,2,0
2020-05-05,UY,3461731,13,0
2020-05-06,UY,3461731,3,0
2020-05-07,UY,3461731,11,0
2020-05-08,UY,3461731,10,1
2020-05-09,UY,3461731,8,0
2020-05-10,UY,3461731,5,1
2020-05-11,UY,3461731,4,0
2020-05-12,UY,3461731,6,0
2020-05-13,UY,3461731,2,0
2020-05-14,UY,3461731,5,0
2020-05-15,UY,3461731,8,0
2020-05-16,UY,3461731,1,0
2020-05-17,UY,3461731,1,1
2020-05-18,UY,3461731,3,0
2020-05-19,UY,3461731,1,0
2020-05-20,UY,3461731,8,0
2020-05-21,UY,3461731,3,0
2020-05-22,UY,3461731,4,0
2020-05-23,UY,3461731,11,2
2020-05-24,UY,3461731,5,0
2020-05-25,UY,3461731,18,0
2020-05-26,UY,3461731,2,0
2020-05-27,UY,3461731,14,0
2020-05-28,UY,3461731,8,0
2020-05-29,UY,3461731,5,0
2020-05-30,UY,3461731,5,0
2020-05-31,UY,3461731,2,0
2020-06-01,UY,3461731,2,1
2020-06-02,UY,3461731,1,0
2020-06-03,UY,3461731,2,0
2020-06-04,UY,3461731,4,0
2020-06-05,UY,3461731,2,0
2020-06-06,UY,3461731,11,0
2020-06-07,UY,3461731,0,0
2020-06-08,UY,3461731,0,0
2020-06-09,UY,3461731,1,0
2020-06-10,UY,3461731,1,0
