date,countrycode,population,cases,deaths
2020-03-15,UZ,32981715,0,0
2020-03-16,UZ,32981715,5,0
2020-03-17,UZ,32981715,4,0
2020-03-18,UZ,32981715,5,0
2020-03-19,UZ,32981715,8,0
2020-03-20,UZ,32981715,10,0
2020-03-21,UZ,32981715,10,0
2020-03-22,UZ,32981715,0,0
2020-03-23,UZ,32981715,3,0
2020-03-24,UZ,32981715,4,0
2020-03-25,UZ,32981715,10,0
2020-03-26,UZ,32981715,15,0
2020-03-27,UZ,32981715,13,1
2020-03-28,UZ,32981715,16,1
2020-03-29,UZ,32981715,40,0
2020-03-30,UZ,32981715,5,0
2020-03-31,UZ,32981715,23,0
2020-04-01,UZ,32981715,9,0
2020-04-02,UZ,32981715,24,0
2020-04-03,UZ,32981715,22,0
2020-04-04,UZ,32981715,39,0
2020-04-05,UZ,32981715,76,0
2020-04-06,UZ,32981715,115,0
2020-04-07,UZ,32981715,63,0
2020-04-08,UZ,32981715,25,1
2020-04-09,UZ,32981715,37,0
2020-04-10,UZ,32981715,42,0
2020-04-11,UZ,32981715,143,1
2020-04-12,UZ,32981715,98,0
2020-04-13,UZ,32981715,133,0
2020-04-14,UZ,32981715,167,0
2020-04-15,UZ,32981715,137,0
2020-04-16,UZ,32981715,47,0
2020-04-17,UZ,32981715,56,0
2020-04-18,UZ,32981715,85,1
2020-04-19,UZ,32981715,75,0
2020-04-20,UZ,32981715,62,0
2020-04-21,UZ,32981715,51,1
2020-04-22,UZ,32981715,38,1
2020-04-23,UZ,32981715,42,0
2020-04-24,UZ,32981715,46,1
2020-04-25,UZ,32981715,58,0
2020-04-26,UZ,32981715,7,0
2020-04-27,UZ,32981715,35,0
2020-04-28,UZ,32981715,35,0
2020-04-29,UZ,32981715,63,1
2020-04-30,UZ,32981715,37,0
2020-05-01,UZ,32981715,47,0
2020-05-02,UZ,32981715,32,0
2020-05-03,UZ,32981715,31,1
2020-05-04,UZ,32981715,40,0
2020-05-05,UZ,32981715,18,0
2020-05-06,UZ,32981715,26,0
2020-05-07,UZ,32981715,65,0
2020-05-08,UZ,32981715,27,0
2020-05-09,UZ,32981715,24,0
2020-05-10,UZ,32981715,69,0
2020-05-11,UZ,32981715,68,0
2020-05-12,UZ,32981715,33,0
2020-05-13,UZ,32981715,93,1
2020-05-14,UZ,32981715,33,0
2020-05-15,UZ,32981715,41,0
2020-05-16,UZ,32981715,52,0
2020-05-17,UZ,32981715,15,1
2020-05-18,UZ,32981715,38,1
2020-05-19,UZ,32981715,64,0
2020-05-20,UZ,32981715,84,0
2020-05-21,UZ,32981715,25,0
2020-05-22,UZ,32981715,64,0
2020-05-23,UZ,32981715,87,0
2020-05-24,UZ,32981715,49,0
2020-05-25,UZ,32981715,25,0
2020-05-26,UZ,32981715,101,1
2020-05-27,UZ,32981715,79,0
2020-05-28,UZ,32981715,75,0
2020-05-29,UZ,32981715,24,0
2020-05-30,UZ,32981715,78,0
2020-05-31,UZ,32981715,77,1
2020-06-01,UZ,32981715,79,0
2020-06-02,UZ,32981715,58,0
2020-06-03,UZ,32981715,83,1
2020-06-04,UZ,32981715,96,0
2020-06-05,UZ,32981715,68,0
2020-06-06,UZ,32981715,87,1
2020-06-07,UZ,32981715,237,0
2020-06-08,UZ,32981715,109,1
2020-06-09,UZ,32981715,80,0
2020-06-10,UZ,32981715,103,1
2020-06-11,UZ,32981715,118,0
2020-06-12,UZ,32981715,128,0
2020-06-13,UZ,32981715,97,0
2020-06-14,UZ,32981715,114,0
2020-06-15,UZ,32981715,183,0
2020-06-16,UZ,32981715,230,0
2020-06-17,UZ,32981715,189,0
2020-06-18,UZ,32981715,85,0
2020-06-19,UZ,32981715,179,0
2020-06-20,UZ,32981715,207,0
2020-06-21,UZ,32981715,162,0
2020-06-22,UZ,32981715,146,0
2020-06-23,UZ,32981715,201,0
2020-06-24,UZ,32981715,328,0
2020-06-25,UZ,32981715,187,1
2020-06-26,UZ,32981715,250,0
2020-06-27,UZ,32981715,255,0
2020-06-28,UZ,32981715,266,2
2020-06-29,UZ,32981715,274,1
2020-06-30,UZ,32981715,281,3
2020-07-01,UZ,32981715,278,0
2020-07-02,UZ,32981715,297,1
2020-07-03,UZ,32981715,318,2
2020-07-04,UZ,32981715,312,2
2020-07-05,UZ,32981715,312,3
2020-07-06,UZ,32981715,342,3
2020-07-07,UZ,32981715,476,4
2020-07-08,UZ,32981715,254,4
2020-07-09,UZ,32981715,472,6
2020-07-10,UZ,32981715,463,3
2020-07-11,UZ,32981715,486,3
2020-07-12,UZ,32981715,484,3
2020-07-13,UZ,32981715,594,4
2020-07-14,UZ,32981715,494,3
2020-07-15,UZ,32981715,496,4
2020-07-16,UZ,32981715,485,4
2020-07-17,UZ,32981715,541,4
2020-07-18,UZ,32981715,579,4
2020-07-19,UZ,32981715,566,4
2020-07-20,UZ,32981715,397,3
2020-07-21,UZ,32981715,732,5
2020-07-22,UZ,32981715,498,3
2020-07-23,UZ,32981715,607,5
2020-07-24,UZ,32981715,374,3
2020-07-25,UZ,32981715,592,5
2020-07-26,UZ,32981715,579,5
2020-07-27,UZ,32981715,678,5
2020-07-28,UZ,32981715,490,3
2020-07-29,UZ,32981715,886,7
2020-07-30,UZ,32981715,686,5
2020-07-31,UZ,32981715,738,5
2020-08-01,UZ,32981715,774,6
2020-08-02,UZ,32981715,553,4
2020-08-03,UZ,32981715,730,6
2020-08-04,UZ,32981715,981,8
2020-08-05,UZ,32981715,746,6
2020-08-06,UZ,32981715,522,4
2020-08-07,UZ,32981715,742,6
2020-08-08,UZ,32981715,595,6
2020-08-09,UZ,32981715,957,7
2020-08-10,UZ,32981715,695,6
2020-08-11,UZ,32981715,443,4
2020-08-12,UZ,32981715,907,7
2020-08-13,UZ,32981715,669,5
2020-08-14,UZ,32981715,498,4
2020-08-15,UZ,32981715,707,5
2020-08-16,UZ,32981715,801,7
2020-08-17,UZ,32981715,373,4
2020-08-18,UZ,32981715,650,6
2020-08-19,UZ,32981715,760,6
2020-08-20,UZ,32981715,435,4
2020-08-21,UZ,32981715,527,8
2020-08-22,UZ,32981715,458,7
2020-08-23,UZ,32981715,414,6
2020-08-24,UZ,32981715,402,7
2020-08-25,UZ,32981715,293,4
2020-08-26,UZ,32981715,323,7
2020-08-27,UZ,32981715,483,7
2020-08-28,UZ,32981715,273,4
2020-08-29,UZ,32981715,347,5
2020-08-30,UZ,32981715,357,6
2020-08-31,UZ,32981715,469,7
2020-09-01,UZ,32981715,234,3
2020-09-02,UZ,32981715,310,4
2020-09-03,UZ,32981715,251,4
2020-09-04,UZ,32981715,310,7
2020-09-05,UZ,32981715,295,5
2020-09-06,UZ,32981715,294,4
2020-09-07,UZ,32981715,306,5
2020-09-08,UZ,32981715,388,6
2020-09-09,UZ,32981715,649,8
2020-09-10,UZ,32981715,543,4
2020-09-11,UZ,32981715,687,7
2020-09-12,UZ,32981715,561,7
2020-09-13,UZ,32981715,566,6
2020-09-14,UZ,32981715,549,6
2020-09-15,UZ,32981715,593,6
2020-09-16,UZ,32981715,586,5
2020-09-17,UZ,32981715,612,6
2020-09-18,UZ,32981715,626,6
2020-09-19,UZ,32981715,739,8
2020-09-20,UZ,32981715,648,6
2020-09-21,UZ,32981715,430,4
2020-09-22,UZ,32981715,615,5
2020-09-23,UZ,32981715,590,2
2020-09-24,UZ,32981715,559,2
2020-09-25,UZ,32981715,558,3
2020-09-26,UZ,32981715,427,3
2020-09-27,UZ,32981715,501,6
2020-09-28,UZ,32981715,456,2
2020-09-29,UZ,32981715,578,6
2020-09-30,UZ,32981715,363,4
