date,countrycode,population,cases,deaths
2020-01-23,VN,96462108,0,0
2020-01-24,VN,96462108,0,0
2020-01-25,VN,96462108,0,0
2020-01-26,VN,96462108,0,0
2020-01-27,VN,96462108,0,0
2020-01-28,VN,96462108,0,0
2020-01-29,VN,96462108,0,0
2020-01-30,VN,96462108,0,0
2020-01-31,VN,96462108,0,0
2020-02-01,VN,96462108,4,0
2020-02-02,VN,96462108,0,0
2020-02-03,VN,96462108,2,0
2020-02-04,VN,96462108,0,0
2020-02-05,VN,96462108,0,0
2020-02-06,VN,96462108,2,0
2020-02-07,VN,96462108,0,0
2020-02-08,VN,96462108,3,0
2020-02-09,VN,96462108,0,0
2020-02-10,VN,96462108,1,0
2020-02-11,VN,96462108,1,0
2020-02-12,VN,96462108,0,0
2020-02-13,VN,96462108,1,0
2020-02-14,VN,96462108,0,0
2020-02-15,VN,96462108,0,0
2020-02-16,VN,96462108,0,0
2020-02-17,VN,96462108,0,0
2020-02-18,VN,96462108,0,0
2020-02-19,VN,96462108,0,0
2020-02-20,VN,96462108,0,0
2020-02-21,VN,96462108,0,0
2020-02-22,VN,96462108,0,0
2020-02-23,VN,96462108,0,0
2020-02-24,VN,96462108,0,0
2020-02-25,VN,96462108,0,0
2020-02-26,VN,96462108,0,0
2020-02-27,VN,96462108,0,0
2020-02-28,VN,96462108,0,0
2020-02-29,VN,96462108,0,0
2020-03-01,VN,96462108,0,0
2020-03-02,VN,96462108,0,0
2020-03-03,VN,96462108,0,0
2020-03-04,VN,96462108,0,0
2020-03-05,VN,96462108,0,0
2020-03-06,VN,96462108,0,0
2020-03-07,VN,96462108,2,0
2020-03-08,VN,96462108,12,0
2020-03-09,VN,96462108,0,0
2020-03-11,VN,96462108,8,0
2020-03-12,VN,96462108,1,0
2020-03-13,VN,96462108,8,0
2020-03-14,VN,96462108,6,0
2020-03-15,VN,96462108,3,0
2020-03-16,VN,96462108,5,0
2020-03-17,VN,96462108,5,0
2020-03-18,VN,96462108,9,0
2020-03-19,VN,96462108,10,0
2020-03-20,VN,96462108,6,0
2020-03-21,VN,96462108,3,0
2020-03-22,VN,96462108,19,0
2020-03-23,VN,96462108,10,0
2020-03-24,VN,96462108,11,0
2020-03-25,VN,96462108,7,0
2020-03-26,VN,96462108,12,0
2020-03-27,VN,96462108,10,0
2020-03-28,VN,96462108,11,0
2020-03-29,VN,96462108,14,0
2020-03-30,VN,96462108,15,0
2020-03-31,VN,96462108,9,0
2020-04-01,VN,96462108,6,0
2020-04-02,VN,96462108,15,0
2020-04-03,VN,96462108,4,0
2020-04-04,VN,96462108,3,0
2020-04-05,VN,96462108,1,0
2020-04-06,VN,96462108,4,0
2020-04-07,VN,96462108,4,0
2020-04-08,VN,96462108,2,0
2020-04-09,VN,96462108,4,0
2020-04-10,VN,96462108,2,0
2020-04-11,VN,96462108,1,0
2020-04-12,VN,96462108,4,0
2020-04-13,VN,96462108,3,0
2020-04-14,VN,96462108,1,0
2020-04-15,VN,96462108,1,0
2020-04-16,VN,96462108,1,0
2020-04-17,VN,96462108,0,0
2020-04-18,VN,96462108,0,0
2020-04-19,VN,96462108,0,0
2020-04-20,VN,96462108,0,0
2020-04-21,VN,96462108,0,0
2020-04-22,VN,96462108,0,0
2020-04-23,VN,96462108,0,0
2020-04-24,VN,96462108,2,0
2020-04-25,VN,96462108,0,0
2020-04-26,VN,96462108,0,0
2020-04-27,VN,96462108,0,0
2020-04-28,VN,96462108,0,0
2020-04-29,VN,96462108,0,0
2020-04-30,VN,96462108,0,0
