date,countrycode,population,cases,deaths
2020-03-22,WS,199853,0,0
2020-03-23,WS,199853,0,0
2020-03-24,WS,199853,0,0
2020-03-25,WS,199853,0,0
2020-03-26,WS,199853,0,0
2020-03-27,WS,199853,0,0
2020-03-28,WS,199853,0,0
2020-03-29,WS,199853,0,0
2020-03-30,WS,199853,0,0
2020-03-31,WS,199853,0,0
2020-04-01,WS,199853,0,0
2020-04-02,WS,199853,0,0
2020-04-03,WS,199853,0,0
2020-04-04,WS,199853,0,0
2020-04-05,WS,199853,0,0
2020-04-06,WS,199853,0,0
2020-04-07,WS,199853,0,0
2020-04-08,WS,199853,0,0
2020-04-09,WS,199853,0,0
2020-04-10,WS,199853,0,0
2020-04-11,WS,199853,0,0
2020-04-12,WS,199853,0,0
2020-04-13,WS,199853,0,0
2020-04-14,WS,199853,0,0
2020-04-15,WS,199853,0,0
2020-04-16,WS,199853,0,0
2020-04-17,WS,199853,0,0
2020-04-18,WS,199853,0,0
2020-04-19,WS,199853,0,0
2020-04-20,WS,199853,0,0
2020-04-21,WS,199853,0,0
2020-04-22,WS,199853,0,0
2020-04-23,WS,199853,0,0
2020-04-24,WS,199853,0,0
2020-04-25,WS,199853,0,0
2020-04-26,WS,199853,0,0
2020-04-27,WS,199853,0,0
2020-04-28,WS,199853,0,0
2020-04-29,WS,199853,0,0
2020-04-30,WS,199853,0,0
2020-05-01,WS,199853,0,0
2020-05-02,WS,199853,0,0
2020-05-03,WS,199853,0,0
2020-05-04,WS,199853,0,0
2020-05-05,WS,199853,0,0
2020-05-06,WS,199853,0,0
2020-05-07,WS,199853,0,0
2020-05-08,WS,199853,0,0
2020-05-09,WS,199853,0,0
2020-05-10,WS,199853,0,0
2020-05-11,WS,199853,0,0
2020-05-12,WS,199853,0,0
2020-05-13,WS,199853,0,0
2020-05-14,WS,199853,0,0
2020-05-15,WS,199853,0,0
2020-05-16,WS,199853,0,0
2020-05-17,WS,199853,0,0
2020-05-18,WS,199853,0,0
2020-05-19,WS,199853,0,0
2020-05-20,WS,199853,0,0
2020-05-21,WS,199853,0,0
2020-05-22,WS,199853,0,0
2020-05-23,WS,199853,0,0
2020-05-24,WS,199853,0,0
