date,countrycode,population,cases,deaths
2020-04-10,YE,29161922,0,0
2020-04-11,YE,29161922,0,0
2020-04-12,YE,29161922,0,0
2020-04-13,YE,29161922,0,0
2020-04-14,YE,29161922,0,0
2020-04-15,YE,29161922,0,0
2020-04-16,YE,29161922,0,0
2020-04-17,YE,29161922,0,0
2020-04-18,YE,29161922,0,0
2020-04-19,YE,29161922,0,0
2020-04-20,YE,29161922,0,0
2020-04-21,YE,29161922,0,0
2020-04-22,YE,29161922,0,0
2020-04-23,YE,29161922,0,0
2020-04-24,YE,29161922,0,0
2020-04-25,YE,29161922,0,0
2020-04-26,YE,29161922,0,0
2020-04-27,YE,29161922,0,0
2020-04-28,YE,29161922,0,0
2020-04-29,YE,29161922,5,0
2020-04-30,YE,29161922,0,2
2020-05-01,YE,29161922,1,0
2020-05-02,YE,29161922,3,0
2020-05-03,YE,29161922,0,0
2020-05-04,YE,29161922,2,0
2020-05-05,YE,29161922,9,1
2020-05-06,YE,29161922,4,2
2020-05-07,YE,29161922,0,0
2020-05-08,YE,29161922,9,0
2020-05-09,YE,29161922,0,2
2020-05-10,YE,29161922,17,1
2020-05-11,YE,29161922,5,1
2020-05-12,YE,29161922,9,1
2020-05-13,YE,29161922,5,2
2020-05-14,YE,29161922,15,0
2020-05-15,YE,29161922,21,3
2020-05-16,YE,29161922,16,3
2020-05-17,YE,29161922,6,2
2020-05-18,YE,29161922,2,0
2020-05-19,YE,29161922,37,8
2020-05-20,YE,29161922,13,1
2020-05-21,YE,29161922,13,4
2020-05-22,YE,29161922,12,0
2020-05-23,YE,29161922,7,6
2020-05-24,YE,29161922,10,3
2020-05-25,YE,29161922,11,2
2020-05-26,YE,29161922,16,5
2020-05-27,YE,29161922,6,4
2020-05-28,YE,29161922,23,4
2020-05-29,YE,29161922,5,8
2020-05-30,YE,29161922,27,12
2020-05-31,YE,29161922,13,3
2020-06-01,YE,29161922,31,4
2020-06-02,YE,29161922,45,3
2020-06-03,YE,29161922,20,8
2020-06-04,YE,29161922,34,8
2020-06-05,YE,29161922,16,8
2020-06-06,YE,29161922,13,0
2020-06-07,YE,29161922,2,1
2020-06-08,YE,29161922,12,0
2020-06-09,YE,29161922,28,15
2020-06-10,YE,29161922,36,2
2020-06-11,YE,29161922,31,7
2020-06-12,YE,29161922,41,3
2020-06-13,YE,29161922,73,21
2020-06-14,YE,29161922,23,4
2020-06-15,YE,29161922,116,44
2020-06-16,YE,29161922,41,6
2020-06-17,YE,29161922,17,30
2020-06-18,YE,29161922,7,4
2020-06-19,YE,29161922,10,3
2020-06-20,YE,29161922,3,3
2020-06-21,YE,29161922,19,2
2020-06-22,YE,29161922,26,1
2020-06-23,YE,29161922,25,4
2020-06-24,YE,29161922,23,13
2020-06-25,YE,29161922,61,14
2020-06-26,YE,29161922,13,5
2020-06-27,YE,29161922,14,3
2020-06-28,YE,29161922,15,6
2020-06-29,YE,29161922,10,2
2020-06-30,YE,29161922,30,8
2020-07-01,YE,29161922,32,6
2020-07-02,YE,29161922,31,7
2020-07-03,YE,29161922,19,10
2020-07-04,YE,29161922,8,2
2020-07-05,YE,29161922,17,1
2020-07-06,YE,29161922,25,7
2020-07-07,YE,29161922,7,3
2020-07-08,YE,29161922,21,3
2020-07-09,YE,29161922,38,10
2020-07-10,YE,29161922,24,3
2020-07-11,YE,29161922,9,1
2020-07-12,YE,29161922,76,52
2020-07-13,YE,29161922,33,7
2020-07-14,YE,29161922,18,5
2020-07-15,YE,29161922,10,4
2020-07-16,YE,29161922,26,5
2020-07-17,YE,29161922,24,2
2020-07-18,YE,29161922,5,3
2020-07-19,YE,29161922,25,2
2020-07-20,YE,29161922,13,2
2020-07-21,YE,29161922,10,9
2020-07-22,YE,29161922,11,2
2020-07-23,YE,29161922,14,3
2020-07-24,YE,29161922,20,8
2020-07-25,YE,29161922,0,5
2020-07-26,YE,29161922,7,5
2020-07-27,YE,29161922,10,4
2020-07-28,YE,29161922,12,1
2020-07-29,YE,29161922,8,1
2020-07-30,YE,29161922,15,2
2020-07-31,YE,29161922,2,6
2020-08-01,YE,29161922,2,1
2020-08-02,YE,29161922,4,3
2020-08-03,YE,29161922,0,2
2020-08-04,YE,29161922,26,7
2020-08-05,YE,29161922,3,2
2020-08-06,YE,29161922,5,0
2020-08-07,YE,29161922,28,4
2020-08-08,YE,29161922,1,0
2020-08-09,YE,29161922,7,3
2020-08-10,YE,29161922,28,3
2020-08-11,YE,29161922,-1,5
2020-08-12,YE,29161922,10,5
2020-08-13,YE,29161922,6,0
2020-08-14,YE,29161922,11,0
2020-08-15,YE,29161922,0,0
2020-08-16,YE,29161922,11,2
2020-08-17,YE,29161922,0,5
2020-08-18,YE,29161922,20,2
2020-08-19,YE,29161922,3,2
2020-08-20,YE,29161922,7,2
2020-08-21,YE,29161922,7,1
2020-08-22,YE,29161922,1,4
2020-08-23,YE,29161922,4,7
2020-08-24,YE,29161922,5,2
2020-08-25,YE,29161922,8,2
2020-08-26,YE,29161922,6,3
2020-08-27,YE,29161922,3,2
2020-08-28,YE,29161922,10,1
2020-08-29,YE,29161922,3,0
2020-08-30,YE,29161922,7,1
2020-08-31,YE,29161922,5,2
2020-09-01,YE,29161922,4,4
2020-09-02,YE,29161922,14,1
2020-09-03,YE,29161922,3,0
2020-09-04,YE,29161922,4,1
2020-09-05,YE,29161922,0,0
2020-09-06,YE,29161922,4,0
2020-09-07,YE,29161922,2,1
2020-09-08,YE,29161922,5,3
2020-09-09,YE,29161922,5,0
2020-09-10,YE,29161922,4,4
2020-09-11,YE,29161922,4,2
2020-09-12,YE,29161922,2,0
2020-09-13,YE,29161922,2,1
2020-09-14,YE,29161922,2,0
2020-09-15,YE,29161922,3,0
2020-09-16,YE,29161922,3,0
2020-09-17,YE,29161922,3,2
2020-09-18,YE,29161922,2,0
2020-09-19,YE,29161922,2,0
2020-09-20,YE,29161922,0,1
2020-09-21,YE,29161922,2,0
2020-09-22,YE,29161922,0,0
2020-09-23,YE,29161922,1,0
2020-09-24,YE,29161922,0,0
2020-09-25,YE,29161922,0,1
2020-09-26,YE,29161922,1,0
2020-09-27,YE,29161922,0,0
2020-09-28,YE,29161922,1,0
2020-09-29,YE,29161922,0,0
2020-09-30,YE,29161922,3,0
2020-10-01,YE,29161922,5,0
2020-10-02,YE,29161922,1,2
2020-10-03,YE,29161922,1,0
2020-10-04,YE,29161922,0,2
2020-10-05,YE,29161922,0,1
2020-10-06,YE,29161922,6,1
2020-10-07,YE,29161922,2,0
2020-10-08,YE,29161922,1,0
2020-10-09,YE,29161922,1,0
2020-10-10,YE,29161922,0,2
2020-10-11,YE,29161922,1,0
2020-10-12,YE,29161922,0,1
2020-10-13,YE,29161922,1,0
2020-10-14,YE,29161922,0,0
2020-10-15,YE,29161922,0,0
2020-10-16,YE,29161922,2,0
2020-10-17,YE,29161922,0,0
2020-10-18,YE,29161922,1,1
2020-10-19,YE,29161922,0,0
2020-10-20,YE,29161922,1,0
2020-10-21,YE,29161922,0,0
2020-10-22,YE,29161922,0,0
2020-10-23,YE,29161922,3,2
2020-10-24,YE,29161922,0,0
2020-10-25,YE,29161922,0,0
2020-10-26,YE,29161922,0,0
2020-10-27,YE,29161922,0,0
2020-10-28,YE,29161922,1,0
2020-10-29,YE,29161922,1,0
2020-10-30,YE,29161922,0,0
2020-10-31,YE,29161922,1,0
2020-11-01,YE,29161922,0,1
2020-11-02,YE,29161922,0,1
2020-11-03,YE,29161922,0,0
2020-11-04,YE,29161922,0,0
2020-11-05,YE,29161922,0,0
2020-11-06,YE,29161922,0,0
2020-11-07,YE,29161922,0,0
2020-11-08,YE,29161922,0,0
2020-11-09,YE,29161922,0,0
2020-11-10,YE,29161922,0,0
2020-11-11,YE,29161922,0,0
2020-11-12,YE,29161922,5,1
2020-11-13,YE,29161922,0,0
2020-11-14,YE,29161922,0,0
2020-11-15,YE,29161922,0,1
2020-11-16,YE,29161922,0,0
2020-11-17,YE,29161922,0,0
2020-11-18,YE,29161922,0,0
2020-11-19,YE,29161922,0,1
2020-11-20,YE,29161922,1,0
2020-11-21,YE,29161922,0,0
2020-11-22,YE,29161922,0,0
2020-11-23,YE,29161922,3,0
2020-11-24,YE,29161922,1,0
2020-11-25,YE,29161922,0,0
2020-11-26,YE,29161922,1,0
2020-11-27,YE,29161922,0,0
2020-11-28,YE,29161922,0,0
2020-11-29,YE,29161922,3,1
2020-11-30,YE,29161922,0,0
2020-12-01,YE,29161922,0,0
2020-12-02,YE,29161922,0,0
2020-12-03,YE,29161922,0,1
2020-12-04,YE,29161922,0,0
2020-12-05,YE,29161922,0,0
2020-12-06,YE,29161922,1,0
2020-12-07,YE,29161922,0,0
2020-12-08,YE,29161922,1,0
2020-12-09,YE,29161922,0,0
2020-12-10,YE,29161922,2,0
2020-12-11,YE,29161922,1,0
2020-12-12,YE,29161922,1,0
2020-12-13,YE,29161922,0,0
2020-12-14,YE,29161922,1,0
2020-12-15,YE,29161922,1,0
2020-12-16,YE,29161922,0,0
2020-12-17,YE,29161922,2,0
2020-12-18,YE,29161922,0,0
2020-12-19,YE,29161922,0,0
2020-12-20,YE,29161922,0,0
2020-12-21,YE,29161922,0,0
2020-12-22,YE,29161922,0,0
2020-12-23,YE,29161922,0,0
2020-12-24,YE,29161922,5,0
2020-12-25,YE,29161922,0,0
2020-12-26,YE,29161922,0,0
2020-12-27,YE,29161922,2,1
2020-12-28,YE,29161922,2,1
2020-12-29,YE,29161922,0,2
2020-12-30,YE,29161922,1,0
2020-12-31,YE,29161922,2,0
2021-01-01,YE,29161922,2,0
2021-01-02,YE,29161922,0,0
2021-01-03,YE,29161922,0,0
2021-01-04,YE,29161922,0,0
2021-01-05,YE,29161922,0,0
2021-01-06,YE,29161922,1,0
2021-01-07,YE,29161922,2,0
2021-01-08,YE,29161922,0,0
2021-01-09,YE,29161922,0,0
2021-01-10,YE,29161922,0,1
2021-01-11,YE,29161922,1,1
2021-01-12,YE,29161922,2,0
2021-01-13,YE,29161922,2,0
2021-01-14,YE,29161922,1,0
2021-01-15,YE,29161922,1,0
2021-01-16,YE,29161922,1,0
2021-01-17,YE,29161922,0,0
2021-01-18,YE,29161922,1,0
2021-01-19,YE,29161922,2,0
2021-01-20,YE,29161922,0,0
2021-01-21,YE,29161922,0,2
2021-01-22,YE,29161922,3,0
2021-01-23,YE,29161922,0,1
2021-01-24,YE,29161922,0,0
2021-01-25,YE,29161922,0,0
2021-01-26,YE,29161922,1,0
2021-01-27,YE,29161922,1,0
2021-01-28,YE,29161922,0,0
2021-01-29,YE,29161922,0,0
2021-01-30,YE,29161922,0,0
2021-01-31,YE,29161922,1,0
2021-02-01,YE,29161922,1,0
2021-02-02,YE,29161922,0,0
2021-02-03,YE,29161922,0,0
2021-02-04,YE,29161922,0,0
2021-02-05,YE,29161922,2,0
2021-02-06,YE,29161922,3,0
2021-02-07,YE,29161922,0,0
2021-02-08,YE,29161922,4,0
2021-02-09,YE,29161922,0,0
2021-02-10,YE,29161922,2,1
2021-02-11,YE,29161922,1,0
2021-02-12,YE,29161922,2,0
2021-02-13,YE,29161922,0,0
2021-02-14,YE,29161922,9,1
2021-02-15,YE,29161922,0,0
2021-02-16,YE,29161922,3,1
2021-02-17,YE,29161922,3,0
2021-02-18,YE,29161922,3,0
2021-02-19,YE,29161922,3,0
2021-02-20,YE,29161922,0,0
2021-02-21,YE,29161922,8,1
2021-02-22,YE,29161922,11,0
2021-02-23,YE,29161922,11,1
2021-02-24,YE,29161922,34,4
2021-02-25,YE,29161922,34,1
2021-02-26,YE,29161922,12,2
2021-02-27,YE,29161922,2,4
2021-02-28,YE,29161922,16,3
2021-03-01,YE,29161922,25,0
2021-03-02,YE,29161922,32,6
2021-03-03,YE,29161922,21,3
2021-03-04,YE,29161922,12,2
2021-03-05,YE,29161922,36,3
2021-03-06,YE,29161922,33,2
2021-03-07,YE,29161922,29,1
2021-03-08,YE,29161922,72,2
2021-03-09,YE,29161922,41,1
2021-03-10,YE,29161922,41,7
2021-03-11,YE,29161922,40,6
2021-03-12,YE,29161922,62,12
2021-03-13,YE,29161922,42,4
2021-03-14,YE,29161922,65,6
2021-03-15,YE,29161922,72,9
2021-03-16,YE,29161922,61,9
2021-03-17,YE,29161922,68,6
2021-03-18,YE,29161922,89,10
2021-03-19,YE,29161922,91,10
2021-03-20,YE,29161922,61,4
2021-03-21,YE,29161922,140,14
2021-03-22,YE,29161922,98,20
2021-03-23,YE,29161922,96,14
2021-03-24,YE,29161922,91,15
2021-03-25,YE,29161922,113,10
2021-03-26,YE,29161922,84,10
2021-03-27,YE,29161922,69,12
2021-03-28,YE,29161922,64,19
2021-03-29,YE,29161922,82,12
2021-03-30,YE,29161922,132,19
2021-03-31,YE,29161922,110,6
2021-04-01,YE,29161922,174,18
2021-04-02,YE,29161922,89,10
2021-04-03,YE,29161922,77,16
2021-04-04,YE,29161922,101,14
2021-04-05,YE,29161922,83,9
2021-04-06,YE,29161922,94,21
2021-04-07,YE,29161922,72,10
2021-04-08,YE,29161922,86,18
2021-04-09,YE,29161922,100,18
2021-04-10,YE,29161922,43,9
2021-04-11,YE,29161922,81,18
2021-04-12,YE,29161922,89,19
2021-04-13,YE,29161922,61,5
2021-04-14,YE,29161922,75,10
2021-04-15,YE,29161922,75,14
2021-04-16,YE,29161922,58,11
2021-04-17,YE,29161922,55,11
2021-04-18,YE,29161922,42,7
2021-04-19,YE,29161922,46,6
2021-04-20,YE,29161922,60,6
2021-04-21,YE,29161922,42,9
2021-04-22,YE,29161922,60,10
2021-04-23,YE,29161922,36,8
2021-04-24,YE,29161922,49,10
2021-04-25,YE,29161922,32,12
2021-04-26,YE,29161922,46,18
2021-04-27,YE,29161922,37,2
2021-04-28,YE,29161922,43,9
2021-04-29,YE,29161922,31,6
2021-04-30,YE,29161922,23,4
2021-05-01,YE,29161922,8,3
2021-05-02,YE,29161922,16,4
2021-05-03,YE,29161922,22,6
2021-05-04,YE,29161922,27,1
2021-05-05,YE,29161922,24,20
2021-05-06,YE,29161922,12,5
2021-05-07,YE,29161922,20,4
2021-05-08,YE,29161922,16,1
2021-05-09,YE,29161922,20,1
2021-05-10,YE,29161922,3,4
2021-05-11,YE,29161922,7,1
2021-05-12,YE,29161922,6,1
2021-05-13,YE,29161922,9,1
2021-05-14,YE,29161922,16,7
2021-05-15,YE,29161922,15,0
2021-05-16,YE,29161922,5,4
2021-05-17,YE,29161922,25,5
2021-05-18,YE,29161922,18,3
2021-05-19,YE,29161922,7,1
2021-05-20,YE,29161922,20,3
2021-05-21,YE,29161922,19,1
2021-05-22,YE,29161922,17,2
2021-05-23,YE,29161922,9,3
2021-05-24,YE,29161922,4,3
2021-05-25,YE,29161922,8,1
2021-05-26,YE,29161922,18,2
2021-05-27,YE,29161922,8,2
2021-05-28,YE,29161922,27,1
2021-05-29,YE,29161922,8,3
2021-05-30,YE,29161922,6,1
2021-05-31,YE,29161922,5,1
2021-06-01,YE,29161922,9,1
