date,countrycode,population,cases,deaths
2020-03-05,ZA,58558267,0,0
2020-03-06,ZA,58558267,0,0
2020-03-07,ZA,58558267,0,0
2020-03-08,ZA,58558267,2,0
2020-03-09,ZA,58558267,0,0
2020-03-10,ZA,58558267,4,0
2020-03-11,ZA,58558267,6,0
2020-03-12,ZA,58558267,4,0
2020-03-13,ZA,58558267,7,0
2020-03-14,ZA,58558267,14,0
2020-03-15,ZA,58558267,13,0
2020-03-16,ZA,58558267,11,0
2020-03-17,ZA,58558267,0,0
2020-03-18,ZA,58558267,54,0
2020-03-19,ZA,58558267,34,0
2020-03-20,ZA,58558267,52,0
2020-03-21,ZA,58558267,38,0
2020-03-22,ZA,58558267,34,0
2020-03-23,ZA,58558267,128,0
2020-03-24,ZA,58558267,152,0
2020-03-25,ZA,58558267,155,0
2020-03-26,ZA,58558267,218,0
2020-03-27,ZA,58558267,243,1
2020-03-28,ZA,58558267,17,0
2020-03-29,ZA,58558267,93,1
2020-03-30,ZA,58558267,46,1
2020-03-31,ZA,58558267,27,2
2020-04-01,ZA,58558267,27,0
2020-04-02,ZA,58558267,82,0
2020-04-03,ZA,58558267,43,4
2020-04-04,ZA,58558267,80,0
2020-04-05,ZA,58558267,70,2
2020-04-06,ZA,58558267,31,1
2020-04-07,ZA,58558267,63,1
2020-04-08,ZA,58558267,96,5
2020-04-09,ZA,58558267,89,0
2020-04-10,ZA,58558267,69,6
2020-04-11,ZA,58558267,25,1
2020-04-12,ZA,58558267,145,0
2020-04-13,ZA,58558267,99,2
2020-04-14,ZA,58558267,143,0
2020-04-15,ZA,58558267,91,7
2020-04-16,ZA,58558267,99,14
2020-04-17,ZA,58558267,178,2
2020-04-18,ZA,58558267,251,2
2020-04-19,ZA,58558267,124,2
2020-04-20,ZA,58558267,142,4
2020-04-21,ZA,58558267,165,0
2020-04-22,ZA,58558267,170,7
2020-04-23,ZA,58558267,318,10
2020-04-24,ZA,58558267,267,4
2020-04-25,ZA,58558267,141,7
2020-04-26,ZA,58558267,185,1
2020-04-27,ZA,58558267,247,3
2020-04-28,ZA,58558267,203,3
2020-04-29,ZA,58558267,354,10
2020-04-30,ZA,58558267,297,0
