date,countrycode,population,cases,deaths
2020-03-18,ZM,18400556,0,0
2020-03-19,ZM,18400556,0,0
2020-03-20,ZM,18400556,0,0
2020-03-21,ZM,18400556,0,0
2020-03-22,ZM,18400556,1,0
2020-03-23,ZM,18400556,0,0
2020-03-24,ZM,18400556,0,0
2020-03-25,ZM,18400556,9,0
2020-03-26,ZM,18400556,4,0
2020-03-27,ZM,18400556,6,0
2020-03-28,ZM,18400556,6,0
2020-03-29,ZM,18400556,1,0
2020-03-30,ZM,18400556,6,0
2020-03-31,ZM,18400556,0,0
2020-04-01,ZM,18400556,1,0
2020-04-02,ZM,18400556,3,1
2020-04-03,ZM,18400556,0,0
2020-04-04,ZM,18400556,0,0
2020-04-05,ZM,18400556,0,0
2020-04-06,ZM,18400556,0,0
2020-04-07,ZM,18400556,0,0
2020-04-08,ZM,18400556,0,0
2020-04-09,ZM,18400556,0,0
2020-04-10,ZM,18400556,1,1
2020-04-11,ZM,18400556,0,0
2020-04-12,ZM,18400556,3,0
2020-04-13,ZM,18400556,2,0
2020-04-14,ZM,18400556,0,0
2020-04-15,ZM,18400556,3,0
2020-04-16,ZM,18400556,0,0
2020-04-17,ZM,18400556,4,0
2020-04-18,ZM,18400556,5,0
2020-04-19,ZM,18400556,4,1
2020-04-20,ZM,18400556,4,0
2020-04-21,ZM,18400556,5,0
2020-04-22,ZM,18400556,4,0
2020-04-23,ZM,18400556,2,0
2020-04-24,ZM,18400556,8,0
2020-04-25,ZM,18400556,0,0
2020-04-26,ZM,18400556,4,0
2020-04-27,ZM,18400556,0,0
2020-04-28,ZM,18400556,7,0
2020-04-29,ZM,18400556,2,0
2020-04-30,ZM,18400556,9,0
2020-05-01,ZM,18400556,3,0
2020-05-02,ZM,18400556,10,0
2020-05-03,ZM,18400556,5,0
2020-05-04,ZM,18400556,13,0
2020-05-05,ZM,18400556,1,0
2020-05-06,ZM,18400556,8,1
2020-05-07,ZM,18400556,7,0
2020-05-08,ZM,18400556,14,0
2020-05-09,ZM,18400556,85,3
2020-05-10,ZM,18400556,15,0
2020-05-11,ZM,18400556,0,0
2020-05-12,ZM,18400556,174,0
2020-05-13,ZM,18400556,5,0
2020-05-14,ZM,18400556,208,0
2020-05-15,ZM,18400556,0,0
2020-05-16,ZM,18400556,25,0
2020-05-17,ZM,18400556,74,0
2020-05-18,ZM,18400556,8,0
2020-05-19,ZM,18400556,11,0
2020-05-20,ZM,18400556,60,0
2020-05-21,ZM,18400556,34,0
2020-05-22,ZM,18400556,54,0
2020-05-23,ZM,18400556,0,0
2020-05-24,ZM,18400556,0,0
2020-05-25,ZM,18400556,0,0
2020-05-26,ZM,18400556,0,0
2020-05-27,ZM,18400556,137,0
2020-05-28,ZM,18400556,0,0
2020-05-29,ZM,18400556,0,0
2020-05-30,ZM,18400556,0,0
2020-05-31,ZM,18400556,0,0
2020-06-01,ZM,18400556,32,0
2020-06-02,ZM,18400556,0,0
2020-06-03,ZM,18400556,0,0
2020-06-04,ZM,18400556,0,0
2020-06-05,ZM,18400556,0,0
2020-06-06,ZM,18400556,0,0
2020-06-07,ZM,18400556,0,0
2020-06-08,ZM,18400556,111,3
2020-06-09,ZM,18400556,0,0
2020-06-10,ZM,18400556,0,0
2020-06-11,ZM,18400556,0,0
2020-06-12,ZM,18400556,121,0
2020-06-13,ZM,18400556,36,0
2020-06-14,ZM,18400556,1,1
2020-06-15,ZM,18400556,24,0
2020-06-16,ZM,18400556,23,0
2020-06-17,ZM,18400556,7,0
2020-06-18,ZM,18400556,4,0
2020-06-19,ZM,18400556,14,0
