date,countrycode,population,cases,deaths
2020-03-20,ZW,15790716,0,0
2020-03-21,ZW,15790716,2,0
2020-03-22,ZW,15790716,0,0
2020-03-23,ZW,15790716,0,1
2020-03-24,ZW,15790716,0,0
2020-03-25,ZW,15790716,0,0
2020-03-26,ZW,15790716,0,0
2020-03-27,ZW,15790716,2,0
2020-03-28,ZW,15790716,2,0
2020-03-29,ZW,15790716,0,0
2020-03-30,ZW,15790716,0,0
2020-03-31,ZW,15790716,1,0
2020-04-01,ZW,15790716,0,0
2020-04-02,ZW,15790716,1,0
2020-04-03,ZW,15790716,0,0
2020-04-04,ZW,15790716,0,0
2020-04-05,ZW,15790716,0,0
2020-04-06,ZW,15790716,1,0
2020-04-07,ZW,15790716,1,1
2020-04-08,ZW,15790716,0,1
2020-04-09,ZW,15790716,0,0
2020-04-10,ZW,15790716,2,0
2020-04-11,ZW,15790716,1,0
2020-04-12,ZW,15790716,0,0
2020-04-13,ZW,15790716,3,0
2020-04-14,ZW,15790716,0,0
2020-04-15,ZW,15790716,6,0
2020-04-16,ZW,15790716,0,0
2020-04-17,ZW,15790716,1,0
2020-04-18,ZW,15790716,1,0
2020-04-19,ZW,15790716,0,0
2020-04-20,ZW,15790716,0,0
2020-04-21,ZW,15790716,3,0
2020-04-22,ZW,15790716,0,1
2020-04-23,ZW,15790716,0,0
2020-04-24,ZW,15790716,1,0
2020-04-25,ZW,15790716,2,0
2020-04-26,ZW,15790716,0,0
2020-04-27,ZW,15790716,1,0
2020-04-28,ZW,15790716,0,0
2020-04-29,ZW,15790716,0,0
2020-04-30,ZW,15790716,8,0
2020-05-01,ZW,15790716,0,0
2020-05-02,ZW,15790716,-6,0
2020-05-03,ZW,15790716,0,0
2020-05-04,ZW,15790716,0,0
2020-05-05,ZW,15790716,0,0
2020-05-06,ZW,15790716,0,0
2020-05-07,ZW,15790716,0,0
2020-05-08,ZW,15790716,0,0
2020-05-09,ZW,15790716,1,0
2020-05-10,ZW,15790716,1,0
2020-05-11,ZW,15790716,0,0
2020-05-12,ZW,15790716,0,0
2020-05-13,ZW,15790716,1,0
2020-05-14,ZW,15790716,0,0
2020-05-15,ZW,15790716,5,0
2020-05-16,ZW,15790716,0,0
2020-05-17,ZW,15790716,2,0
2020-05-18,ZW,15790716,2,0
2020-05-19,ZW,15790716,0,0
2020-05-20,ZW,15790716,2,0
2020-05-21,ZW,15790716,3,0
2020-05-22,ZW,15790716,0,0
2020-05-23,ZW,15790716,5,0
2020-05-24,ZW,15790716,0,0
2020-05-25,ZW,15790716,0,0
2020-05-26,ZW,15790716,0,0
2020-05-27,ZW,15790716,76,0
2020-05-28,ZW,15790716,17,0
2020-05-29,ZW,15790716,0,0
2020-05-30,ZW,15790716,25,0
2020-05-31,ZW,15790716,4,0
2020-06-01,ZW,15790716,25,0
2020-06-02,ZW,15790716,3,0
2020-06-03,ZW,15790716,16,0
2020-06-04,ZW,15790716,15,0
2020-06-05,ZW,15790716,28,0
2020-06-06,ZW,15790716,14,0
2020-06-07,ZW,15790716,3,0
2020-06-08,ZW,15790716,5,0
2020-06-09,ZW,15790716,27,0
2020-06-10,ZW,15790716,6,0
2020-06-11,ZW,15790716,12,0
2020-06-12,ZW,15790716,11,0
2020-06-13,ZW,15790716,13,0
2020-06-14,ZW,15790716,27,0
2020-06-15,ZW,15790716,4,0
2020-06-16,ZW,15790716,4,0
2020-06-17,ZW,15790716,10,0
2020-06-18,ZW,15790716,62,0
2020-06-19,ZW,15790716,16,0
2020-06-20,ZW,15790716,0,0
2020-06-21,ZW,15790716,10,2
2020-06-22,ZW,15790716,23,0
2020-06-23,ZW,15790716,13,0
2020-06-24,ZW,15790716,5,0
2020-06-25,ZW,15790716,21,0
2020-06-26,ZW,15790716,10,0
2020-06-27,ZW,15790716,6,0
2020-06-28,ZW,15790716,0,0
2020-06-29,ZW,15790716,7,1
2020-06-30,ZW,15790716,17,0
2020-07-01,ZW,15790716,14,0
2020-07-02,ZW,15790716,12,0
2020-07-03,ZW,15790716,8,0
2020-07-04,ZW,15790716,73,1
2020-07-05,ZW,15790716,18,0
2020-07-06,ZW,15790716,18,1
2020-07-07,ZW,15790716,53,0
2020-07-08,ZW,15790716,98,0
2020-07-09,ZW,15790716,0,0
2020-07-10,ZW,15790716,57,4
2020-07-11,ZW,15790716,40,5
2020-07-12,ZW,15790716,3,0
2020-07-13,ZW,15790716,49,1
2020-07-14,ZW,15790716,30,1
2020-07-15,ZW,15790716,25,0
2020-07-16,ZW,15790716,273,3
2020-07-17,ZW,15790716,58,1
2020-07-18,ZW,15790716,58,1
2020-07-19,ZW,15790716,133,0
2020-07-20,ZW,15790716,102,1
2020-07-21,ZW,15790716,107,0
2020-07-22,ZW,15790716,214,0
2020-07-23,ZW,15790716,90,2
2020-07-24,ZW,15790716,172,4
2020-07-25,ZW,15790716,138,2
2020-07-26,ZW,15790716,78,0
2020-07-27,ZW,15790716,192,2
2020-07-28,ZW,15790716,113,4
2020-07-29,ZW,15790716,62,1
2020-07-30,ZW,15790716,213,12
2020-07-31,ZW,15790716,77,14
2020-08-01,ZW,15790716,490,2
2020-08-02,ZW,15790716,262,1
2020-08-03,ZW,15790716,154,10
2020-08-04,ZW,15790716,146,1
2020-08-05,ZW,15790716,0,0
2020-08-06,ZW,15790716,118,3
2020-08-07,ZW,15790716,112,18
2020-08-08,ZW,15790716,124,0
2020-08-09,ZW,15790716,74,2
2020-08-10,ZW,15790716,99,0
2020-08-11,ZW,15790716,70,0
2020-08-12,ZW,15790716,75,18
2020-08-13,ZW,15790716,97,6
2020-08-14,ZW,15790716,82,0
2020-08-15,ZW,15790716,104,2
2020-08-16,ZW,15790716,85,2
2020-08-17,ZW,15790716,47,3
2020-08-18,ZW,15790716,70,6
2020-08-19,ZW,15790716,265,9
2020-08-20,ZW,15790716,102,1
2020-08-21,ZW,15790716,70,1
2020-08-22,ZW,15790716,78,1
2020-08-23,ZW,15790716,37,2
2020-08-24,ZW,15790716,140,0
2020-08-25,ZW,15790716,126,11
2020-08-26,ZW,15790716,55,13
2020-08-27,ZW,15790716,41,10
2020-08-28,ZW,15790716,96,6
2020-08-29,ZW,15790716,18,1
2020-08-30,ZW,15790716,6,0
2020-08-31,ZW,15790716,85,6
2020-09-01,ZW,15790716,62,1
2020-09-02,ZW,15790716,79,3
2020-09-03,ZW,15790716,40,0
2020-09-04,ZW,15790716,159,0
2020-09-05,ZW,15790716,0,0
2020-09-06,ZW,15790716,0,0
2020-09-07,ZW,15790716,461,4
2020-09-08,ZW,15790716,90,8
2020-09-09,ZW,15790716,41,4
2020-09-10,ZW,15790716,24,0
2020-09-11,ZW,15790716,26,2
2020-09-12,ZW,15790716,29,0
2020-09-13,ZW,15790716,18,0
2020-09-14,ZW,15790716,5,0
2020-09-15,ZW,15790716,45,0
2020-09-16,ZW,15790716,22,0
2020-09-17,ZW,15790716,35,0
2020-09-18,ZW,15790716,14,0
2020-09-19,ZW,15790716,25,1
2020-09-20,ZW,15790716,11,0
2020-09-21,ZW,15790716,0,0
2020-09-22,ZW,15790716,28,1
2020-09-23,ZW,15790716,14,1
2020-09-24,ZW,15790716,27,0
2020-09-25,ZW,15790716,35,0
2020-09-26,ZW,15790716,16,0
2020-09-27,ZW,15790716,9,0
2020-09-28,ZW,15790716,4,1
2020-09-29,ZW,15790716,21,0
2020-09-30,ZW,15790716,1,0
2020-10-01,ZW,15790716,12,0
2020-10-02,ZW,15790716,8,0
2020-10-03,ZW,15790716,27,0
2020-10-04,ZW,15790716,3,0
2020-10-05,ZW,15790716,10,0
2020-10-06,ZW,15790716,17,1
2020-10-07,ZW,15790716,4,0
2020-10-08,ZW,15790716,32,0
2020-10-09,ZW,15790716,43,0
2020-10-10,ZW,15790716,16,1
2020-10-11,ZW,15790716,1,0
2020-10-12,ZW,15790716,10,0
2020-10-13,ZW,15790716,15,0
2020-10-14,ZW,15790716,19,1
2020-10-15,ZW,15790716,20,0
2020-10-16,ZW,15790716,24,0
2020-10-17,ZW,15790716,11,0
2020-10-18,ZW,15790716,37,0
2020-10-19,ZW,15790716,12,1
2020-10-20,ZW,15790716,28,1
2020-10-21,ZW,15790716,28,3
2020-10-22,ZW,15790716,27,0
2020-10-23,ZW,15790716,15,0
2020-10-24,ZW,15790716,12,0
2020-10-25,ZW,15790716,7,1
2020-10-26,ZW,15790716,27,5
2020-10-27,ZW,15790716,12,0
2020-10-28,ZW,15790716,5,0
2020-10-29,ZW,15790716,29,0
2020-10-30,ZW,15790716,13,0
2020-10-31,ZW,15790716,5,1
2020-11-01,ZW,15790716,7,0
2020-11-02,ZW,15790716,15,2
2020-11-03,ZW,15790716,21,1
2020-11-04,ZW,15790716,17,2
2020-11-05,ZW,15790716,17,0
2020-11-06,ZW,15790716,27,2
2020-11-07,ZW,15790716,27,1
2020-11-08,ZW,15790716,33,2
2020-11-09,ZW,15790716,30,1
2020-11-10,ZW,15790716,49,1
2020-11-11,ZW,15790716,57,0
2020-11-12,ZW,15790716,29,0
2020-11-13,ZW,15790716,69,2
2020-11-14,ZW,15790716,21,0
2020-11-15,ZW,15790716,43,0
2020-11-16,ZW,15790716,68,0
2020-11-17,ZW,15790716,48,3
2020-11-18,ZW,15790716,36,1
2020-11-19,ZW,15790716,65,4
2020-11-20,ZW,15790716,74,0
2020-11-21,ZW,15790716,52,0
2020-11-22,ZW,15790716,48,3
2020-11-23,ZW,15790716,88,5
2020-11-24,ZW,15790716,90,1
2020-11-25,ZW,15790716,110,0
2020-11-26,ZW,15790716,115,0
2020-11-27,ZW,15790716,91,1
2020-11-28,ZW,15790716,108,0
2020-11-29,ZW,15790716,0,0
2020-11-30,ZW,15790716,128,1
2020-12-01,ZW,15790716,179,1
2020-12-02,ZW,15790716,0,0
2020-12-03,ZW,15790716,295,3
2020-12-04,ZW,15790716,123,1
2020-12-05,ZW,15790716,70,10
2020-12-06,ZW,15790716,101,0
2020-12-07,ZW,15790716,121,3
2020-12-08,ZW,15790716,73,9
2020-12-09,ZW,15790716,95,1
2020-12-10,ZW,15790716,74,1
2020-12-11,ZW,15790716,81,1
2020-12-12,ZW,15790716,57,1
2020-12-13,ZW,15790716,27,0
2020-12-14,ZW,15790716,112,2
2020-12-15,ZW,15790716,164,1
2020-12-16,ZW,15790716,227,3
2020-12-17,ZW,15790716,117,1
2020-12-18,ZW,15790716,181,2
2020-12-19,ZW,15790716,104,2
2020-12-20,ZW,15790716,174,2
2020-12-21,ZW,15790716,97,2
2020-12-22,ZW,15790716,122,4
2020-12-23,ZW,15790716,112,4
2020-12-24,ZW,15790716,130,9
2020-12-25,ZW,15790716,94,2
2020-12-26,ZW,15790716,83,0
2020-12-27,ZW,15790716,114,8
2020-12-28,ZW,15790716,71,5
2020-12-29,ZW,15790716,177,5
2020-12-30,ZW,15790716,300,1
2020-12-31,ZW,15790716,242,3
2021-01-01,ZW,15790716,217,6
2021-01-02,ZW,15790716,407,8
2021-01-03,ZW,15790716,774,3
2021-01-04,ZW,15790716,564,4
2021-01-05,ZW,15790716,1365,34
2021-01-06,ZW,15790716,610,13
2021-01-07,ZW,15790716,871,15
2021-01-08,ZW,15790716,985,22
2021-01-09,ZW,15790716,839,15
2021-01-10,ZW,15790716,978,24
2021-01-11,ZW,15790716,820,21
2021-01-12,ZW,15790716,942,23
2021-01-13,ZW,15790716,1017,38
2021-01-14,ZW,15790716,1112,47
2021-01-15,ZW,15790716,741,30
2021-01-16,ZW,15790716,772,17
2021-01-17,ZW,15790716,322,30
2021-01-18,ZW,15790716,689,60
2021-01-19,ZW,15790716,783,52
2021-01-20,ZW,15790716,733,54
2021-01-21,ZW,15790716,639,38
2021-01-22,ZW,15790716,476,45
2021-01-23,ZW,15790716,484,12
2021-01-24,ZW,15790716,313,31
2021-01-25,ZW,15790716,326,70
2021-01-26,ZW,15790716,358,28
2021-01-27,ZW,15790716,300,19
2021-01-28,ZW,15790716,342,38
2021-01-29,ZW,15790716,306,18
2021-01-30,ZW,15790716,321,15
2021-01-31,ZW,15790716,115,24
2021-02-01,ZW,15790716,160,17
2021-02-02,ZW,15790716,266,20
2021-02-03,ZW,15790716,150,15
2021-02-04,ZW,15790716,207,19
2021-02-05,ZW,15790716,160,15
2021-02-06,ZW,15790716,156,13
2021-02-07,ZW,15790716,65,10
2021-02-08,ZW,15790716,106,13
2021-02-09,ZW,15790716,123,14
2021-02-10,ZW,15790716,83,11
2021-02-11,ZW,15790716,0,0
2021-02-12,ZW,15790716,181,29
2021-02-13,ZW,15790716,59,5
2021-02-14,ZW,15790716,68,2
2021-02-15,ZW,15790716,50,10
2021-02-16,ZW,15790716,93,4
2021-02-17,ZW,15790716,108,4
2021-02-18,ZW,15790716,120,2
2021-02-19,ZW,15790716,167,10
2021-02-20,ZW,15790716,58,2
2021-02-21,ZW,15790716,28,4
2021-02-22,ZW,15790716,66,5
2021-02-23,ZW,15790716,48,7
2021-02-24,ZW,15790716,50,8
2021-02-25,ZW,15790716,34,2
2021-02-26,ZW,15790716,50,5
2021-02-27,ZW,15790716,14,0
2021-02-28,ZW,15790716,31,0
2021-03-01,ZW,15790716,26,5
2021-03-02,ZW,15790716,33,4
2021-03-03,ZW,15790716,31,6
2021-03-04,ZW,15790716,44,5
2021-03-05,ZW,15790716,25,1
2021-03-06,ZW,15790716,12,1
2021-03-07,ZW,15790716,11,0
2021-03-08,ZW,15790716,18,2
2021-03-09,ZW,15790716,32,2
2021-03-10,ZW,15790716,20,0
2021-03-11,ZW,15790716,36,3
2021-03-12,ZW,15790716,46,4
2021-03-13,ZW,15790716,48,5
2021-03-14,ZW,15790716,13,2
2021-03-15,ZW,15790716,20,1
2021-03-16,ZW,15790716,31,3
2021-03-17,ZW,15790716,17,1
2021-03-18,ZW,15790716,59,1
2021-03-19,ZW,15790716,41,1
2021-03-20,ZW,15790716,10,0
2021-03-21,ZW,15790716,3,2
2021-03-22,ZW,15790716,19,2
2021-03-23,ZW,15790716,33,2
2021-03-24,ZW,15790716,32,0
2021-03-25,ZW,15790716,29,2
2021-03-26,ZW,15790716,27,0
2021-03-27,ZW,15790716,13,1
2021-03-28,ZW,15790716,4,1
2021-03-29,ZW,15790716,17,0
2021-03-30,ZW,15790716,0,0
2021-03-31,ZW,15790716,43,3
2021-04-01,ZW,15790716,14,0
2021-04-02,ZW,15790716,7,1
2021-04-03,ZW,15790716,8,0
2021-04-04,ZW,15790716,12,1
2021-04-05,ZW,15790716,11,0
2021-04-06,ZW,15790716,32,6
2021-04-07,ZW,15790716,18,0
2021-04-08,ZW,15790716,68,1
2021-04-09,ZW,15790716,95,3
2021-04-10,ZW,15790716,126,3
2021-04-11,ZW,15790716,15,0
2021-04-12,ZW,15790716,19,4
2021-04-13,ZW,15790716,23,1
2021-04-14,ZW,15790716,39,5
2021-04-15,ZW,15790716,53,2
2021-04-16,ZW,15790716,112,1
2021-04-17,ZW,15790716,165,1
2021-04-18,ZW,15790716,52,1
2021-04-19,ZW,15790716,108,0
2021-04-20,ZW,15790716,16,1
2021-04-21,ZW,15790716,105,1
2021-04-22,ZW,15790716,38,0
2021-04-23,ZW,15790716,27,1
2021-04-24,ZW,15790716,19,0
2021-04-25,ZW,15790716,22,1
2021-04-26,ZW,15790716,16,3
2021-04-27,ZW,15790716,62,5
2021-04-28,ZW,15790716,27,0
2021-04-29,ZW,15790716,44,2
2021-04-30,ZW,15790716,22,0
2021-05-01,ZW,15790716,3,1
2021-05-02,ZW,15790716,21,2
2021-05-03,ZW,15790716,12,3
2021-05-04,ZW,15790716,34,1
2021-05-05,ZW,15790716,30,0
2021-05-06,ZW,15790716,41,1
2021-05-07,ZW,15790716,5,1
2021-05-08,ZW,15790716,11,0
2021-05-09,ZW,15790716,5,0
2021-05-10,ZW,15790716,14,0
2021-05-11,ZW,15790716,15,3
2021-05-12,ZW,15790716,18,0
2021-05-13,ZW,15790716,25,3
2021-05-14,ZW,15790716,44,0
2021-05-15,ZW,15790716,19,0
2021-05-16,ZW,15790716,6,0
2021-05-17,ZW,15790716,12,0
2021-05-18,ZW,15790716,23,1
2021-05-19,ZW,15790716,17,0
2021-05-20,ZW,15790716,23,2
2021-05-21,ZW,15790716,29,1
2021-05-22,ZW,15790716,15,0
2021-05-23,ZW,15790716,3,0
2021-05-24,ZW,15790716,14,0
2021-05-25,ZW,15790716,10,1
2021-05-26,ZW,15790716,113,2
2021-05-27,ZW,15790716,35,3
2021-05-28,ZW,15790716,64,0
2021-05-29,ZW,15790716,15,2
2021-05-30,ZW,15790716,11,0
2021-05-31,ZW,15790716,17,0
2021-06-01,ZW,15790716,37,5
2021-06-02,ZW,15790716,33,0
2021-06-03,ZW,15790716,61,5
2021-06-04,ZW,15790716,52,1
2021-06-05,ZW,15790716,24,0
2021-06-06,ZW,15790716,21,1
2021-06-07,ZW,15790716,49,5
