date,countrycode,population,cases,deaths
2020-03-02,PT,10276617,0,0
2020-03-03,PT,10276617,0,0
2020-03-04,PT,10276617,3,0
2020-03-05,PT,10276617,3,0
2020-03-06,PT,10276617,5,0
2020-03-07,PT,10276617,7,0
2020-03-08,PT,10276617,10,0
2020-03-09,PT,10276617,0,0
2020-03-10,PT,10276617,11,0
2020-03-11,PT,10276617,18,0
2020-03-12,PT,10276617,0,0
2020-03-13,PT,10276617,53,0
2020-03-14,PT,10276617,57,0
2020-03-15,PT,10276617,76,0
2020-03-16,PT,10276617,86,0
2020-03-17,PT,10276617,117,1
2020-03-18,PT,10276617,0,1
2020-03-19,PT,10276617,337,1
2020-03-20,PT,10276617,235,3
2020-03-21,PT,10276617,260,6
2020-03-22,PT,10276617,320,2
2020-03-23,PT,10276617,460,9
2020-03-24,PT,10276617,302,10
2020-03-25,PT,10276617,633,10
2020-03-26,PT,10276617,549,17
2020-03-27,PT,10276617,724,16
2020-03-28,PT,10276617,902,24
2020-03-29,PT,10276617,792,19
2020-03-30,PT,10276617,446,21
2020-03-31,PT,10276617,1035,20
2020-04-01,PT,10276617,808,27
2020-04-02,PT,10276617,783,22
2020-04-03,PT,10276617,852,37
2020-04-04,PT,10276617,638,20
2020-04-05,PT,10276617,754,29
2020-04-06,PT,10276617,452,16
2020-04-07,PT,10276617,712,34
2020-04-08,PT,10276617,699,35
2020-04-09,PT,10276617,815,29
2020-04-10,PT,10276617,1516,26
2020-04-11,PT,10276617,515,35
2020-04-12,PT,10276617,598,34
2020-04-13,PT,10276617,349,31
2020-04-14,PT,10276617,514,32
2020-04-15,PT,10276617,643,32
2020-04-16,PT,10276617,750,30
2020-04-17,PT,10276617,181,28
2020-04-18,PT,10276617,663,30
2020-04-19,PT,10276617,521,27
2020-04-20,PT,10276617,657,21
2020-04-21,PT,10276617,516,27
2020-04-22,PT,10276617,603,23
2020-04-23,PT,10276617,371,35
2020-04-24,PT,10276617,444,34
2020-04-25,PT,10276617,595,26
2020-04-26,PT,10276617,472,23
2020-04-27,PT,10276617,163,25
2020-04-28,PT,10276617,295,20
2020-04-29,PT,10276617,183,25
2020-04-30,PT,10276617,540,16
2020-05-01,PT,10276617,306,18
2020-05-02,PT,10276617,-161,16
2020-05-03,PT,10276617,92,20
2020-05-04,PT,10276617,242,20
2020-05-05,PT,10276617,178,11
2020-05-06,PT,10276617,480,15
2020-05-07,PT,10276617,533,16
2020-05-08,PT,10276617,553,9
