date,countrycode,population,cases,deaths
2020-01-29,AE,9770526,0,0
2020-01-30,AE,9770526,0,0
2020-01-31,AE,9770526,0,0
2020-02-01,AE,9770526,0,0
2020-02-02,AE,9770526,1,0
2020-02-03,AE,9770526,0,0
2020-02-04,AE,9770526,0,0
2020-02-05,AE,9770526,0,0
2020-02-06,AE,9770526,0,0
2020-02-07,AE,9770526,0,0
2020-02-08,AE,9770526,2,0
2020-02-09,AE,9770526,0,0
2020-02-10,AE,9770526,1,0
2020-02-11,AE,9770526,0,0
2020-02-12,AE,9770526,0,0
2020-02-13,AE,9770526,0,0
2020-02-14,AE,9770526,0,0
2020-02-15,AE,9770526,0,0
2020-02-16,AE,9770526,1,0
2020-02-17,AE,9770526,0,0
2020-02-18,AE,9770526,0,0
2020-02-19,AE,9770526,0,0
2020-02-20,AE,9770526,0,0
2020-02-21,AE,9770526,0,0
2020-02-22,AE,9770526,4,0
2020-02-23,AE,9770526,0,0
2020-02-24,AE,9770526,0,0
2020-02-25,AE,9770526,0,0
2020-02-26,AE,9770526,0,0
2020-02-27,AE,9770526,0,0
2020-02-28,AE,9770526,6,0
2020-02-29,AE,9770526,2,0
2020-03-01,AE,9770526,0,0
2020-03-02,AE,9770526,0,0
2020-03-03,AE,9770526,6,0
2020-03-04,AE,9770526,0,0
2020-03-05,AE,9770526,2,0
2020-03-06,AE,9770526,0,0
2020-03-07,AE,9770526,16,0
2020-03-08,AE,9770526,0,0
2020-03-09,AE,9770526,0,0
2020-03-10,AE,9770526,29,0
2020-03-11,AE,9770526,0,0
2020-03-12,AE,9770526,11,0
2020-03-13,AE,9770526,0,0
2020-03-14,AE,9770526,0,0
2020-03-15,AE,9770526,13,0
2020-03-16,AE,9770526,0,0
2020-03-17,AE,9770526,0,0
2020-03-18,AE,9770526,15,0
2020-03-19,AE,9770526,27,0
2020-03-20,AE,9770526,0,2
2020-03-21,AE,9770526,13,0
2020-03-22,AE,9770526,0,0
2020-03-23,AE,9770526,45,0
2020-03-24,AE,9770526,50,0
2020-03-25,AE,9770526,85,0
2020-03-26,AE,9770526,0,0
2020-03-27,AE,9770526,72,0
2020-03-28,AE,9770526,63,0
2020-03-29,AE,9770526,102,1
2020-03-30,AE,9770526,41,2
2020-03-31,AE,9770526,53,1
2020-04-01,AE,9770526,150,2
2020-04-02,AE,9770526,210,0
2020-04-03,AE,9770526,240,1
2020-04-04,AE,9770526,241,1
2020-04-05,AE,9770526,294,0
2020-04-06,AE,9770526,277,1
2020-04-07,AE,9770526,283,1
2020-04-08,AE,9770526,300,0
2020-04-09,AE,9770526,331,2
2020-04-10,AE,9770526,370,2
2020-04-11,AE,9770526,376,4
2020-04-12,AE,9770526,387,2
2020-04-13,AE,9770526,398,3
2020-04-14,AE,9770526,412,3
2020-04-15,AE,9770526,432,5
2020-04-16,AE,9770526,460,2
2020-04-17,AE,9770526,477,2
2020-04-18,AE,9770526,0,0
2020-04-19,AE,9770526,479,4
2020-04-20,AE,9770526,484,2
2020-04-21,AE,9770526,490,3
2020-04-22,AE,9770526,483,6
2020-04-23,AE,9770526,518,4
2020-04-24,AE,9770526,525,8
2020-04-25,AE,9770526,532,7
2020-04-26,AE,9770526,536,5
2020-04-27,AE,9770526,490,6
2020-04-28,AE,9770526,541,7
2020-04-29,AE,9770526,549,9
2020-04-30,AE,9770526,552,7
2020-05-01,AE,9770526,557,6
2020-05-02,AE,9770526,561,8
2020-05-03,AE,9770526,564,7
2020-05-04,AE,9770526,567,11
2020-05-05,AE,9770526,462,9
2020-05-06,AE,9770526,546,11
2020-05-07,AE,9770526,502,8
2020-05-08,AE,9770526,553,9
2020-05-09,AE,9770526,624,11
2020-05-10,AE,9770526,781,13
2020-05-11,AE,9770526,680,3
2020-05-12,AE,9770526,783,2
2020-05-13,AE,9770526,725,3
2020-05-14,AE,9770526,698,2
2020-05-15,AE,9770526,747,2
2020-05-16,AE,9770526,796,4
2020-05-17,AE,9770526,731,6
2020-05-18,AE,9770526,832,4
2020-05-19,AE,9770526,873,3
2020-05-20,AE,9770526,941,6
2020-05-21,AE,9770526,894,4
2020-05-22,AE,9770526,994,4
2020-05-23,AE,9770526,812,3
2020-05-24,AE,9770526,781,1
2020-05-25,AE,9770526,822,3
2020-05-26,AE,9770526,779,5
2020-05-27,AE,9770526,883,2
2020-05-28,AE,9770526,563,3
2020-05-29,AE,9770526,638,2
2020-05-30,AE,9770526,726,2
2020-05-31,AE,9770526,661,2
2020-06-01,AE,9770526,635,2
2020-06-02,AE,9770526,596,3
2020-06-03,AE,9770526,571,1
2020-06-04,AE,9770526,659,3
2020-06-05,AE,9770526,624,1
2020-06-06,AE,9770526,626,1
2020-06-07,AE,9770526,540,1
2020-06-08,AE,9770526,568,5
2020-06-09,AE,9770526,528,2
2020-06-10,AE,9770526,603,1
2020-06-11,AE,9770526,479,2
2020-06-12,AE,9770526,513,1
2020-06-13,AE,9770526,491,1
2020-06-14,AE,9770526,304,1
2020-06-15,AE,9770526,342,2
2020-06-16,AE,9770526,346,2
2020-06-17,AE,9770526,382,2
2020-06-18,AE,9770526,388,3
