date,countrycode,population,cases,deaths
2020-02-24,AF,38041757,0,0
2020-02-25,AF,38041757,0,0
2020-02-26,AF,38041757,0,0
2020-02-27,AF,38041757,0,0
2020-02-28,AF,38041757,0,0
2020-02-29,AF,38041757,0,0
2020-03-01,AF,38041757,0,0
2020-03-02,AF,38041757,0,0
2020-03-03,AF,38041757,1,0
2020-03-04,AF,38041757,2,0
2020-03-05,AF,38041757,0,0
2020-03-06,AF,38041757,0,0
2020-03-07,AF,38041757,0,0
2020-03-08,AF,38041757,1,0
2020-03-09,AF,38041757,2,0
2020-03-10,AF,38041757,1,0
2020-03-11,AF,38041757,3,0
2020-03-12,AF,38041757,1,0
2020-03-13,AF,38041757,1,0
2020-03-14,AF,38041757,2,0
2020-03-15,AF,38041757,1,0
2020-03-16,AF,38041757,2,0
2020-03-17,AF,38041757,2,0
2020-03-18,AF,38041757,4,0
2020-03-19,AF,38041757,1,0
2020-03-20,AF,38041757,4,0
2020-03-21,AF,38041757,1,0
2020-03-22,AF,38041757,4,1
2020-03-23,AF,38041757,7,0
2020-03-24,AF,38041757,2,0
2020-03-25,AF,38041757,33,1
2020-03-26,AF,38041757,4,1
2020-03-27,AF,38041757,11,0
2020-03-28,AF,38041757,16,1
2020-03-29,AF,38041757,11,0
2020-03-30,AF,38041757,28,0
2020-03-31,AF,38041757,29,0
2020-04-01,AF,38041757,22,0
2020-04-02,AF,38041757,43,0
2020-04-03,AF,38041757,35,4
2020-04-04,AF,38041757,25,2
2020-04-05,AF,38041757,38,2
2020-04-06,AF,38041757,30,3
2020-04-07,AF,38041757,56,1
2020-04-08,AF,38041757,21,0
2020-04-09,AF,38041757,40,1
2020-04-10,AF,38041757,47,1
2020-04-11,AF,38041757,24,0
2020-04-12,AF,38041757,52,1
2020-04-13,AF,38041757,58,3
2020-04-14,AF,38041757,49,1
2020-04-15,AF,38041757,70,6
2020-04-16,AF,38041757,56,1
2020-04-17,AF,38041757,66,0
2020-04-18,AF,38041757,27,0
2020-04-19,AF,38041757,63,3
2020-04-20,AF,38041757,30,3
2020-04-21,AF,38041757,66,0
2020-04-22,AF,38041757,84,4
2020-04-23,AF,38041757,59,0
2020-04-24,AF,38041757,95,3
2020-04-25,AF,38041757,133,4
2020-04-26,AF,38041757,68,5
2020-04-27,AF,38041757,172,6
2020-04-28,AF,38041757,126,1
2020-04-29,AF,38041757,110,2
2020-04-30,AF,38041757,187,3
2020-05-01,AF,38041757,164,4
2020-05-02,AF,38041757,179,4
2020-05-03,AF,38041757,235,13
