date,countrycode,population,cases,deaths
2020-03-13,AG,99000,0,0
2020-03-14,AG,99000,0,0
2020-03-15,AG,99000,0,0
2020-03-16,AG,99000,0,0
2020-03-17,AG,99000,0,0
2020-03-18,AG,99000,0,0
2020-03-19,AG,99000,0,0
2020-03-20,AG,99000,0,0
2020-03-21,AG,99000,0,0
2020-03-22,AG,99000,0,0
2020-03-23,AG,99000,2,0
2020-03-24,AG,99000,0,0
2020-03-25,AG,99000,0,0
2020-03-26,AG,99000,4,0
2020-03-27,AG,99000,0,0
2020-03-28,AG,99000,0,0
2020-03-29,AG,99000,0,0
2020-03-30,AG,99000,0,0
2020-03-31,AG,99000,0,0
2020-04-01,AG,99000,0,0
2020-04-02,AG,99000,2,0
2020-04-03,AG,99000,6,0
2020-04-04,AG,99000,0,0
2020-04-05,AG,99000,0,0
2020-04-06,AG,99000,0,0
2020-04-07,AG,99000,4,1
2020-04-08,AG,99000,0,1
2020-04-09,AG,99000,0,0
2020-04-10,AG,99000,0,0
2020-04-11,AG,99000,2,0
2020-04-12,AG,99000,0,0
2020-04-13,AG,99000,2,0
2020-04-14,AG,99000,0,0
2020-04-15,AG,99000,0,0
2020-04-16,AG,99000,0,1
2020-04-17,AG,99000,0,0
2020-04-18,AG,99000,0,0
2020-04-19,AG,99000,0,0
2020-04-20,AG,99000,0,0
2020-04-21,AG,99000,0,0
2020-04-22,AG,99000,1,0
2020-04-23,AG,99000,0,0
2020-04-24,AG,99000,0,0
2020-04-25,AG,99000,0,0
2020-04-26,AG,99000,0,0
2020-04-27,AG,99000,0,0
2020-04-28,AG,99000,0,0
2020-04-29,AG,99000,0,0
2020-04-30,AG,99000,0,0
2020-05-01,AG,99000,1,0
2020-05-02,AG,99000,0,0
2020-05-03,AG,99000,0,0
2020-05-04,AG,99000,0,0
2020-05-05,AG,99000,0,0
2020-05-06,AG,99000,0,0
2020-05-07,AG,99000,0,0
2020-05-08,AG,99000,0,0
2020-05-09,AG,99000,0,0
2020-05-10,AG,99000,0,0
2020-05-11,AG,99000,0,0
2020-05-12,AG,99000,0,0
2020-05-13,AG,99000,0,0
2020-05-14,AG,99000,0,0
2020-05-15,AG,99000,0,0
2020-05-16,AG,99000,0,0
2020-05-17,AG,99000,0,0
2020-05-18,AG,99000,0,0
2020-05-19,AG,99000,0,0
