date,countrycode,population,cases,deaths
2020-03-09,AL,2880913,0,0
2020-03-10,AL,2880913,8,0
2020-03-11,AL,2880913,2,1
2020-03-12,AL,2880913,11,0
2020-03-13,AL,2880913,10,0
2020-03-14,AL,2880913,5,0
2020-03-15,AL,2880913,4,0
2020-03-16,AL,2880913,9,0
2020-03-17,AL,2880913,4,0
2020-03-18,AL,2880913,4,1
2020-03-19,AL,2880913,5,0
2020-03-20,AL,2880913,6,0
2020-03-21,AL,2880913,6,0
2020-03-22,AL,2880913,13,0
2020-03-23,AL,2880913,15,2
2020-03-24,AL,2880913,19,1
2020-03-25,AL,2880913,23,0
2020-03-26,AL,2880913,28,1
2020-03-27,AL,2880913,12,2
2020-03-28,AL,2880913,11,2
2020-03-29,AL,2880913,15,0
2020-03-30,AL,2880913,11,1
2020-03-31,AL,2880913,20,4
2020-04-01,AL,2880913,16,0
2020-04-02,AL,2880913,18,1
2020-04-03,AL,2880913,27,1
2020-04-04,AL,2880913,29,3
2020-04-05,AL,2880913,28,0
2020-04-06,AL,2880913,16,1
2020-04-07,AL,2880913,6,1
2020-04-08,AL,2880913,17,0
2020-04-09,AL,2880913,9,1
2020-04-10,AL,2880913,7,0
2020-04-11,AL,2880913,17,0
2020-04-12,AL,2880913,13,0
2020-04-13,AL,2880913,21,0
2020-04-14,AL,2880913,8,1
2020-04-15,AL,2880913,19,1
2020-04-16,AL,2880913,24,1
2020-04-17,AL,2880913,21,0
2020-04-18,AL,2880913,9,0
2020-04-19,AL,2880913,14,0
2020-04-20,AL,2880913,22,0
2020-04-21,AL,2880913,25,0
2020-04-22,AL,2880913,25,1
2020-04-23,AL,2880913,29,0
2020-04-24,AL,2880913,15,0
2020-04-25,AL,2880913,34,0
2020-04-26,AL,2880913,14,1
2020-04-27,AL,2880913,10,0
2020-04-28,AL,2880913,14,2
2020-04-29,AL,2880913,16,0
2020-04-30,AL,2880913,7,1
2020-05-01,AL,2880913,9,0
2020-05-02,AL,2880913,7,0
2020-05-03,AL,2880913,6,0
2020-05-04,AL,2880913,8,0
2020-05-05,AL,2880913,17,0
2020-05-06,AL,2880913,12,0
2020-05-07,AL,2880913,10,0
2020-05-08,AL,2880913,8,0
2020-05-09,AL,2880913,6,0
2020-05-10,AL,2880913,12,0
2020-05-11,AL,2880913,4,0
2020-05-12,AL,2880913,4,0
2020-05-13,AL,2880913,4,0
2020-05-14,AL,2880913,18,0
2020-05-15,AL,2880913,18,0
2020-05-16,AL,2880913,17,0
2020-05-17,AL,2880913,13,0
2020-05-18,AL,2880913,2,0
2020-05-19,AL,2880913,1,0
2020-05-20,AL,2880913,15,0
2020-05-21,AL,2880913,5,0
2020-05-22,AL,2880913,12,0
2020-05-23,AL,2880913,8,0
2020-05-24,AL,2880913,9,1
2020-05-25,AL,2880913,6,0
2020-05-26,AL,2880913,25,1
2020-05-27,AL,2880913,21,0
2020-05-28,AL,2880913,26,0
2020-05-29,AL,2880913,23,0
2020-05-30,AL,2880913,23,0
2020-05-31,AL,2880913,15,0
2020-06-01,AL,2880913,6,0
2020-06-02,AL,2880913,21,0
2020-06-03,AL,2880913,20,0
2020-06-04,AL,2880913,13,0
2020-06-05,AL,2880913,15,0
2020-06-06,AL,2880913,20,1
2020-06-07,AL,2880913,14,0
2020-06-08,AL,2880913,17,0
2020-06-09,AL,2880913,36,0
2020-06-10,AL,2880913,42,0
2020-06-11,AL,2880913,44,1
2020-06-12,AL,2880913,31,1
2020-06-13,AL,2880913,48,0
2020-06-14,AL,2880913,57,0
2020-06-15,AL,2880913,69,0
2020-06-16,AL,2880913,82,1
2020-06-17,AL,2880913,50,1
2020-06-18,AL,2880913,66,1
2020-06-19,AL,2880913,50,3
2020-06-20,AL,2880913,53,1
2020-06-21,AL,2880913,71,1
2020-06-22,AL,2880913,33,0
2020-06-23,AL,2880913,52,1
2020-06-24,AL,2880913,67,2
2020-06-25,AL,2880913,78,2
2020-06-26,AL,2880913,77,2
2020-06-27,AL,2880913,61,2
2020-06-28,AL,2880913,72,2
2020-06-29,AL,2880913,64,3
2020-06-30,AL,2880913,69,4
2020-07-01,AL,2880913,45,3
2020-07-02,AL,2880913,82,4
2020-07-03,AL,2880913,90,3
2020-07-04,AL,2880913,67,2
2020-07-05,AL,2880913,74,2
2020-07-06,AL,2880913,71,3
2020-07-07,AL,2880913,74,2
2020-07-08,AL,2880913,68,2
2020-07-09,AL,2880913,82,0
2020-07-10,AL,2880913,90,2
2020-07-11,AL,2880913,93,4
2020-07-12,AL,2880913,83,4
2020-07-13,AL,2880913,117,2
2020-07-14,AL,2880913,96,2
2020-07-15,AL,2880913,85,4
2020-07-16,AL,2880913,99,3
2020-07-17,AL,2880913,55,3
2020-07-18,AL,2880913,102,4
2020-07-19,AL,2880913,82,1
2020-07-20,AL,2880913,81,1
2020-07-21,AL,2880913,119,4
2020-07-22,AL,2880913,68,3
2020-07-23,AL,2880913,108,3
2020-07-24,AL,2880913,104,5
2020-07-25,AL,2880913,67,6
2020-07-26,AL,2880913,126,4
2020-07-27,AL,2880913,117,6
2020-07-28,AL,2880913,117,4
2020-07-29,AL,2880913,108,2
2020-07-30,AL,2880913,92,4
2020-07-31,AL,2880913,79,3
2020-08-01,AL,2880913,120,4
2020-08-02,AL,2880913,123,5
2020-08-03,AL,2880913,101,6
2020-08-04,AL,2880913,130,4
2020-08-05,AL,2880913,139,6
2020-08-06,AL,2880913,127,6
2020-08-07,AL,2880913,135,1
2020-08-08,AL,2880913,124,4
2020-08-09,AL,2880913,136,6
2020-08-10,AL,2880913,125,1
2020-08-11,AL,2880913,140,5
2020-08-12,AL,2880913,141,3
2020-08-13,AL,2880913,154,5
2020-08-14,AL,2880913,146,6
2020-08-15,AL,2880913,143,6
2020-08-16,AL,2880913,120,3
2020-08-17,AL,2880913,119,2
2020-08-18,AL,2880913,155,2
2020-08-19,AL,2880913,158,2
2020-08-20,AL,2880913,155,4
2020-08-21,AL,2880913,152,2
2020-08-22,AL,2880913,156,5
2020-08-23,AL,2880913,152,5
2020-08-24,AL,2880913,178,4
2020-08-25,AL,2880913,154,5
2020-08-26,AL,2880913,168,4
2020-08-27,AL,2880913,156,3
2020-08-28,AL,2880913,112,5
2020-08-29,AL,2880913,84,4
2020-08-30,AL,2880913,101,5
2020-08-31,AL,2880913,133,4
2020-09-01,AL,2880913,93,6
2020-09-02,AL,2880913,122,6
2020-09-03,AL,2880913,116,5
2020-09-04,AL,2880913,123,5
2020-09-05,AL,2880913,135,6
2020-09-06,AL,2880913,153,4
2020-09-07,AL,2880913,151,3
2020-09-08,AL,2880913,147,2
2020-09-09,AL,2880913,151,1
2020-09-10,AL,2880913,156,2
2020-09-11,AL,2880913,161,3
2020-09-12,AL,2880913,164,3
2020-09-13,AL,2880913,168,4
2020-09-14,AL,2880913,167,4
2020-09-15,AL,2880913,152,2
2020-09-16,AL,2880913,144,3
2020-09-17,AL,2880913,132,4
2020-09-18,AL,2880913,125,6
2020-09-19,AL,2880913,153,5
2020-09-20,AL,2880913,159,4
2020-09-21,AL,2880913,150,2
2020-09-22,AL,2880913,131,3
2020-09-23,AL,2880913,121,3
2020-09-24,AL,2880913,134,0
2020-09-25,AL,2880913,124,3
2020-09-26,AL,2880913,108,2
2020-09-27,AL,2880913,106,2
2020-09-28,AL,2880913,132,3
2020-09-29,AL,2880913,127,4
2020-09-30,AL,2880913,131,3
2020-10-01,AL,2880913,157,1
2020-10-02,AL,2880913,159,1
2020-10-03,AL,2880913,152,3
2020-10-04,AL,2880913,149,4
2020-10-05,AL,2880913,144,4
2020-10-06,AL,2880913,158,3
2020-10-07,AL,2880913,162,4
2020-10-08,AL,2880913,169,4
2020-10-09,AL,2880913,167,2
2020-10-10,AL,2880913,165,3
2020-10-11,AL,2880913,168,4
2020-10-12,AL,2880913,171,4
2020-10-13,AL,2880913,182,5
2020-10-14,AL,2880913,203,5
2020-10-15,AL,2880913,257,5
2020-10-16,AL,2880913,289,4
2020-10-17,AL,2880913,273,5
2020-10-18,AL,2880913,281,3
2020-10-19,AL,2880913,295,3
2020-10-20,AL,2880913,301,4
2020-10-21,AL,2880913,297,4
2020-10-22,AL,2880913,302,3
2020-10-23,AL,2880913,306,4
2020-10-24,AL,2880913,302,4
2020-10-25,AL,2880913,299,4
2020-10-26,AL,2880913,288,3
2020-10-27,AL,2880913,284,7
2020-10-28,AL,2880913,311,6
2020-10-29,AL,2880913,275,6
2020-10-30,AL,2880913,319,3
2020-10-31,AL,2880913,241,7
2020-11-01,AL,2880913,327,9
2020-11-02,AL,2880913,321,9
2020-11-03,AL,2880913,381,5
2020-11-04,AL,2880913,396,4
2020-11-05,AL,2880913,421,7
2020-11-06,AL,2880913,489,6
2020-11-07,AL,2880913,495,8
2020-11-08,AL,2880913,501,2
2020-11-09,AL,2880913,525,12
2020-11-10,AL,2880913,563,8
2020-11-11,AL,2880913,507,11
2020-11-12,AL,2880913,410,8
2020-11-13,AL,2880913,490,7
2020-11-14,AL,2880913,532,7
2020-11-15,AL,2880913,597,11
2020-11-16,AL,2880913,602,8
2020-11-17,AL,2880913,694,6
2020-11-18,AL,2880913,711,9
2020-11-19,AL,2880913,786,11
2020-11-20,AL,2880913,836,15
2020-11-21,AL,2880913,737,13
2020-11-22,AL,2880913,565,14
2020-11-23,AL,2880913,795,17
2020-11-24,AL,2880913,744,19
2020-11-25,AL,2880913,644,8
2020-11-26,AL,2880913,656,10
2020-11-27,AL,2880913,645,18
2020-11-28,AL,2880913,545,16
2020-11-29,AL,2880913,835,11
2020-11-30,AL,2880913,557,12
2020-12-01,AL,2880913,832,12
2020-12-02,AL,2880913,705,17
2020-12-03,AL,2880913,782,13
2020-12-04,AL,2880913,801,18
2020-12-05,AL,2880913,846,19
2020-12-06,AL,2880913,840,16
2020-12-07,AL,2880913,695,17
2020-12-08,AL,2880913,753,14
2020-12-09,AL,2880913,752,15
2020-12-10,AL,2880913,873,14
2020-12-11,AL,2880913,802,12
2020-12-12,AL,2880913,879,12
2020-12-13,AL,2880913,788,14
2020-12-14,AL,2880913,661,13
2020-12-15,AL,2880913,809,12
2020-12-16,AL,2880913,637,12
2020-12-17,AL,2880913,787,15
2020-12-18,AL,2880913,580,11
2020-12-19,AL,2880913,538,8
2020-12-20,AL,2880913,461,14
2020-12-21,AL,2880913,422,10
2020-12-22,AL,2880913,389,13
2020-12-23,AL,2880913,503,6
2020-12-24,AL,2880913,510,8
2020-12-25,AL,2880913,553,9
2020-12-26,AL,2880913,375,9
2020-12-27,AL,2880913,499,10
2020-12-28,AL,2880913,318,11
2020-12-29,AL,2880913,574,6
2020-12-30,AL,2880913,581,4
2020-12-31,AL,2880913,589,7
2021-01-01,AL,2880913,0,0
2021-01-02,AL,2880913,675,9
2021-01-03,AL,2880913,447,3
2021-01-04,AL,2880913,185,6
2021-01-05,AL,2880913,660,11
2021-01-06,AL,2880913,725,7
2021-01-07,AL,2880913,697,6
2021-01-08,AL,2880913,673,7
2021-01-09,AL,2880913,655,3
2021-01-10,AL,2880913,562,8
2021-01-11,AL,2880913,376,6
2021-01-12,AL,2880913,656,5
2021-01-13,AL,2880913,707,4
2021-01-14,AL,2880913,660,5
2021-01-15,AL,2880913,641,4
2021-01-16,AL,2880913,581,5
2021-01-17,AL,2880913,474,7
2021-01-18,AL,2880913,292,4
2021-01-19,AL,2880913,586,6
2021-01-20,AL,2880913,670,4
2021-01-21,AL,2880913,678,5
2021-01-22,AL,2880913,739,7
2021-01-23,AL,2880913,786,7
2021-01-24,AL,2880913,833,5
2021-01-25,AL,2880913,538,9
2021-01-26,AL,2880913,879,8
2021-01-27,AL,2880913,876,7
2021-01-28,AL,2880913,887,11
2021-01-29,AL,2880913,896,8
2021-01-30,AL,2880913,901,11
2021-01-31,AL,2880913,876,11
2021-02-01,AL,2880913,865,13
2021-02-02,AL,2880913,942,5
2021-02-03,AL,2880913,1007,6
2021-02-04,AL,2880913,1052,14
2021-02-05,AL,2880913,1089,15
2021-02-06,AL,2880913,1130,13
2021-02-07,AL,2880913,1124,14
2021-02-08,AL,2880913,953,12
2021-02-09,AL,2880913,1239,16
2021-02-10,AL,2880913,1143,15
2021-02-11,AL,2880913,1105,14
2021-02-12,AL,2880913,1059,14
2021-02-13,AL,2880913,1152,12
2021-02-14,AL,2880913,1088,12
2021-02-15,AL,2880913,775,12
2021-02-16,AL,2880913,801,15
2021-02-17,AL,2880913,1075,18
2021-02-18,AL,2880913,1112,17
2021-02-19,AL,2880913,1071,19
2021-02-20,AL,2880913,1153,17
2021-02-21,AL,2880913,1184,13
2021-02-22,AL,2880913,1039,15
2021-02-23,AL,2880913,1021,15
2021-02-24,AL,2880913,1021,19
2021-02-25,AL,2880913,986,21
2021-02-26,AL,2880913,916,20
2021-02-27,AL,2880913,986,19
2021-02-28,AL,2880913,952,21
2021-03-01,AL,2880913,764,20
2021-03-02,AL,2880913,892,19
2021-03-03,AL,2880913,851,21
2021-03-04,AL,2880913,847,20
2021-03-05,AL,2880913,780,21
2021-03-06,AL,2880913,777,21
2021-03-07,AL,2880913,819,21
2021-03-08,AL,2880913,683,17
2021-03-09,AL,2880913,629,13
2021-03-10,AL,2880913,631,17
2021-03-11,AL,2880913,602,16
2021-03-12,AL,2880913,681,16
2021-03-13,AL,2880913,698,12
2021-03-14,AL,2880913,653,15
2021-03-15,AL,2880913,543,15
2021-03-16,AL,2880913,475,17
2021-03-17,AL,2880913,446,15
2021-03-18,AL,2880913,590,14
2021-03-19,AL,2880913,494,16
2021-03-20,AL,2880913,519,11
2021-03-21,AL,2880913,659,4
2021-03-22,AL,2880913,344,8
2021-03-23,AL,2880913,303,11
2021-03-24,AL,2880913,448,15
2021-03-25,AL,2880913,472,13
2021-03-26,AL,2880913,449,8
2021-03-27,AL,2880913,425,12
2021-03-28,AL,2880913,493,6
2021-03-29,AL,2880913,285,6
2021-03-30,AL,2880913,304,11
2021-03-31,AL,2880913,434,8
2021-04-01,AL,2880913,349,6
2021-04-02,AL,2880913,336,6
2021-04-03,AL,2880913,341,9
2021-04-04,AL,2880913,348,9
2021-04-05,AL,2880913,264,9
2021-04-06,AL,2880913,141,9
2021-04-07,AL,2880913,256,8
2021-04-08,AL,2880913,317,6
2021-04-09,AL,2880913,286,7
2021-04-10,AL,2880913,360,6
2021-04-11,AL,2880913,238,7
2021-04-12,AL,2880913,125,4
2021-04-13,AL,2880913,234,5
2021-04-14,AL,2880913,207,5
2021-04-15,AL,2880913,169,4
2021-04-16,AL,2880913,179,2
2021-04-17,AL,2880913,149,3
2021-04-18,AL,2880913,138,2
2021-04-19,AL,2880913,100,5
2021-04-20,AL,2880913,148,6
2021-04-21,AL,2880913,138,5
2021-04-22,AL,2880913,134,6
2021-04-23,AL,2880913,156,3
2021-04-24,AL,2880913,139,5
2021-04-25,AL,2880913,128,6
2021-04-26,AL,2880913,69,1
2021-04-27,AL,2880913,130,4
2021-04-28,AL,2880913,123,3
2021-04-29,AL,2880913,118,3
2021-04-30,AL,2880913,108,5
2021-05-01,AL,2880913,100,2
2021-05-02,AL,2880913,53,1
2021-05-03,AL,2880913,38,2
2021-05-04,AL,2880913,51,3
2021-05-05,AL,2880913,92,1
2021-05-06,AL,2880913,91,3
2021-05-07,AL,2880913,67,2
2021-05-08,AL,2880913,89,3
2021-05-09,AL,2880913,57,1
2021-05-10,AL,2880913,30,4
2021-05-11,AL,2880913,50,4
2021-05-12,AL,2880913,42,3
2021-05-13,AL,2880913,45,3
2021-05-14,AL,2880913,49,1
2021-05-15,AL,2880913,39,2
2021-05-16,AL,2880913,37,3
2021-05-17,AL,2880913,17,3
2021-05-18,AL,2880913,39,1
2021-05-19,AL,2880913,24,2
2021-05-20,AL,2880913,23,2
2021-05-21,AL,2880913,35,1
2021-05-22,AL,2880913,23,1
2021-05-23,AL,2880913,33,2
2021-05-24,AL,2880913,6,1
2021-05-25,AL,2880913,14,2
2021-05-26,AL,2880913,15,0
2021-05-27,AL,2880913,20,0
2021-05-28,AL,2880913,21,1
2021-05-29,AL,2880913,12,1
2021-05-30,AL,2880913,12,1
2021-05-31,AL,2880913,6,1
2021-06-01,AL,2880913,22,0
2021-06-02,AL,2880913,14,0
2021-06-03,AL,2880913,9,0
2021-06-04,AL,2880913,12,0
2021-06-05,AL,2880913,2,0
2021-06-06,AL,2880913,5,0
2021-06-07,AL,2880913,5,1
2021-06-08,AL,2880913,13,0
2021-06-09,AL,2880913,18,0
2021-06-10,AL,2880913,11,0
2021-06-11,AL,2880913,11,1
2021-06-12,AL,2880913,12,0
2021-06-13,AL,2880913,10,0
2021-06-14,AL,2880913,2,0
2021-06-15,AL,2880913,8,1
2021-06-16,AL,2880913,7,0
2021-06-17,AL,2880913,5,0
2021-06-18,AL,2880913,3,0
2021-06-19,AL,2880913,4,0
2021-06-20,AL,2880913,2,0
2021-06-21,AL,2880913,0,0
2021-06-22,AL,2880913,6,1
2021-06-23,AL,2880913,1,0
2021-06-24,AL,2880913,2,0
2021-06-25,AL,2880913,7,0
2021-06-26,AL,2880913,3,1
2021-06-27,AL,2880913,3,0
2021-06-28,AL,2880913,1,0
2021-06-29,AL,2880913,1,0
2021-06-30,AL,2880913,7,0
2021-07-01,AL,2880913,2,0
2021-07-02,AL,2880913,3,0
2021-07-03,AL,2880913,8,0
2021-07-04,AL,2880913,1,0
2021-07-05,AL,2880913,2,0
2021-07-06,AL,2880913,7,0
2021-07-07,AL,2880913,13,0
2021-07-08,AL,2880913,8,0
2021-07-09,AL,2880913,15,0
2021-07-10,AL,2880913,7,0
2021-07-11,AL,2880913,5,0
2021-07-12,AL,2880913,5,0
2021-07-13,AL,2880913,11,0
2021-07-14,AL,2880913,8,0
2021-07-15,AL,2880913,13,0
2021-07-16,AL,2880913,18,0
2021-07-17,AL,2880913,18,0
2021-07-18,AL,2880913,21,0
2021-07-19,AL,2880913,11,0
2021-07-20,AL,2880913,43,0
2021-07-21,AL,2880913,23,0
2021-07-22,AL,2880913,34,0
2021-07-23,AL,2880913,31,0
2021-07-24,AL,2880913,25,0
2021-07-25,AL,2880913,22,0
2021-07-26,AL,2880913,16,0
2021-07-27,AL,2880913,31,0
2021-07-28,AL,2880913,30,1
2021-07-29,AL,2880913,47,0
2021-07-30,AL,2880913,37,0
2021-07-31,AL,2880913,45,0
2021-08-01,AL,2880913,40,0
2021-08-02,AL,2880913,25,0
2021-08-03,AL,2880913,65,0
2021-08-04,AL,2880913,99,0
2021-08-05,AL,2880913,132,0
2021-08-06,AL,2880913,149,1
2021-08-07,AL,2880913,139,1
2021-08-08,AL,2880913,182,0
2021-08-09,AL,2880913,69,1
2021-08-10,AL,2880913,220,0
2021-08-11,AL,2880913,286,0
