date,countrycode,population,cases,deaths
2020-03-20,AO,31825299,0,0
2020-03-21,AO,31825299,1,0
2020-03-22,AO,31825299,0,0
2020-03-23,AO,31825299,1,0
2020-03-24,AO,31825299,0,0
2020-03-25,AO,31825299,0,0
2020-03-26,AO,31825299,1,0
2020-03-27,AO,31825299,0,0
2020-03-28,AO,31825299,1,0
2020-03-29,AO,31825299,2,2
2020-03-30,AO,31825299,0,0
2020-03-31,AO,31825299,0,0
2020-04-01,AO,31825299,1,0
2020-04-02,AO,31825299,0,0
2020-04-03,AO,31825299,0,0
2020-04-04,AO,31825299,2,0
2020-04-05,AO,31825299,4,0
2020-04-06,AO,31825299,2,0
2020-04-07,AO,31825299,1,0
2020-04-08,AO,31825299,2,0
2020-04-09,AO,31825299,0,0
2020-04-10,AO,31825299,0,0
2020-04-11,AO,31825299,0,0
2020-04-12,AO,31825299,0,0
2020-04-13,AO,31825299,0,0
2020-04-14,AO,31825299,0,0
2020-04-15,AO,31825299,0,0
2020-04-16,AO,31825299,0,0
2020-04-17,AO,31825299,0,0
2020-04-18,AO,31825299,5,0
2020-04-19,AO,31825299,0,0
2020-04-20,AO,31825299,0,0
2020-04-21,AO,31825299,0,0
2020-04-22,AO,31825299,1,0
2020-04-23,AO,31825299,0,0
2020-04-24,AO,31825299,0,0
2020-04-25,AO,31825299,0,0
2020-04-26,AO,31825299,1,0
2020-04-27,AO,31825299,1,0
2020-04-28,AO,31825299,0,0
2020-04-29,AO,31825299,0,0
2020-04-30,AO,31825299,0,0
2020-05-01,AO,31825299,3,0
2020-05-02,AO,31825299,5,0
2020-05-03,AO,31825299,0,0
2020-05-04,AO,31825299,0,0
2020-05-05,AO,31825299,1,0
2020-05-06,AO,31825299,0,0
2020-05-07,AO,31825299,0,0
2020-05-08,AO,31825299,7,0
2020-05-09,AO,31825299,0,0
2020-05-10,AO,31825299,2,0
2020-05-11,AO,31825299,0,0
2020-05-12,AO,31825299,0,0
2020-05-13,AO,31825299,0,0
2020-05-14,AO,31825299,3,0
2020-05-15,AO,31825299,0,0
2020-05-16,AO,31825299,0,0
2020-05-17,AO,31825299,0,0
2020-05-18,AO,31825299,2,1
2020-05-19,AO,31825299,2,0
2020-05-20,AO,31825299,0,0
2020-05-21,AO,31825299,6,0
2020-05-22,AO,31825299,2,0
2020-05-23,AO,31825299,1,1
2020-05-24,AO,31825299,8,0
2020-05-25,AO,31825299,1,0
2020-05-26,AO,31825299,0,0
2020-05-27,AO,31825299,1,0
2020-05-28,AO,31825299,3,0
2020-05-29,AO,31825299,7,0
2020-05-30,AO,31825299,3,0
2020-05-31,AO,31825299,2,0
2020-06-01,AO,31825299,0,0
2020-06-02,AO,31825299,0,0
2020-06-03,AO,31825299,0,0
2020-06-04,AO,31825299,0,0
2020-06-05,AO,31825299,0,0
2020-06-06,AO,31825299,2,0
2020-06-07,AO,31825299,3,0
2020-06-08,AO,31825299,1,0
2020-06-09,AO,31825299,4,0
2020-06-10,AO,31825299,17,0
2020-06-11,AO,31825299,5,1
2020-06-12,AO,31825299,12,0
