date,countrycode,population,cases,deaths
2020-03-03,AR,44780675,0,0
2020-03-04,AR,44780675,0,0
2020-03-05,AR,44780675,0,0
2020-03-06,AR,44780675,1,0
2020-03-07,AR,44780675,6,0
2020-03-08,AR,44780675,4,1
2020-03-09,AR,44780675,0,0
2020-03-10,AR,44780675,5,0
2020-03-11,AR,44780675,2,0
2020-03-12,AR,44780675,0,0
2020-03-13,AR,44780675,12,1
2020-03-14,AR,44780675,3,0
2020-03-15,AR,44780675,11,0
2020-03-16,AR,44780675,11,0
2020-03-17,AR,44780675,12,0
2020-03-18,AR,44780675,11,0
2020-03-19,AR,44780675,18,1
2020-03-20,AR,44780675,31,0
2020-03-21,AR,44780675,30,1
2020-03-22,AR,44780675,108,0
2020-03-23,AR,44780675,0,0
2020-03-24,AR,44780675,121,2
2020-03-25,AR,44780675,0,2
2020-03-26,AR,44780675,115,1
2020-03-27,AR,44780675,87,4
2020-03-28,AR,44780675,101,5
2020-03-29,AR,44780675,55,1
2020-03-30,AR,44780675,75,4
2020-03-31,AR,44780675,234,4
2020-04-01,AR,44780675,0,1
2020-04-02,AR,44780675,79,8
2020-04-03,AR,44780675,132,3
2020-04-04,AR,44780675,186,4
2020-04-05,AR,44780675,0,1
2020-04-06,AR,44780675,103,4
2020-04-07,AR,44780675,74,8
2020-04-08,AR,44780675,87,7
2020-04-09,AR,44780675,80,9
2020-04-10,AR,44780675,180,10
2020-04-11,AR,44780675,0,1
2020-04-12,AR,44780675,167,7
2020-04-13,AR,44780675,66,7
2020-04-14,AR,44780675,69,5
2020-04-15,AR,44780675,166,9
2020-04-16,AR,44780675,128,4
2020-04-17,AR,44780675,98,8
2020-04-18,AR,44780675,89,6
2020-04-19,AR,44780675,81,3
2020-04-20,AR,44780675,102,4
2020-04-21,AR,44780675,90,11
2020-04-22,AR,44780675,113,5
2020-04-23,AR,44780675,291,13
2020-04-24,AR,44780675,172,11
2020-04-25,AR,44780675,173,9
2020-04-26,AR,44780675,112,7
2020-04-27,AR,44780675,111,5
2020-04-28,AR,44780675,124,10
2020-04-29,AR,44780675,158,7
2020-04-30,AR,44780675,143,4
2020-05-01,AR,44780675,104,7
2020-05-02,AR,44780675,149,12
2020-05-03,AR,44780675,102,9
2020-05-04,AR,44780675,104,14
2020-05-05,AR,44780675,133,4
2020-05-06,AR,44780675,188,9
2020-05-07,AR,44780675,163,9
