date,countrycode,population,cases,deaths
2020-03-05,BA,3300998,0,0
2020-03-06,BA,3300998,0,0
2020-03-07,BA,3300998,1,0
2020-03-08,BA,3300998,0,0
2020-03-09,BA,3300998,0,0
2020-03-10,BA,3300998,2,0
2020-03-11,BA,3300998,2,0
2020-03-12,BA,3300998,4,0
2020-03-13,BA,3300998,2,0
2020-03-14,BA,3300998,5,0
2020-03-15,BA,3300998,6,0
2020-03-16,BA,3300998,1,0
2020-03-17,BA,3300998,1,0
2020-03-18,BA,3300998,12,0
2020-03-19,BA,3300998,25,0
2020-03-20,BA,3300998,26,0
2020-03-21,BA,3300998,4,1
2020-03-22,BA,3300998,33,0
2020-03-23,BA,3300998,6,0
2020-03-24,BA,3300998,34,2
2020-03-25,BA,3300998,10,0
2020-03-26,BA,3300998,15,0
2020-03-27,BA,3300998,46,1
2020-03-28,BA,3300998,21,1
2020-03-29,BA,3300998,65,1
2020-03-30,BA,3300998,45,4
2020-03-31,BA,3300998,52,3
2020-04-01,BA,3300998,39,0
2020-04-02,BA,3300998,74,3
2020-04-03,BA,3300998,46,1
2020-04-04,BA,3300998,45,4
2020-04-05,BA,3300998,30,2
2020-04-06,BA,3300998,20,6
2020-04-07,BA,3300998,90,4
2020-04-08,BA,3300998,40,1
2020-04-09,BA,3300998,54,1
2020-04-10,BA,3300998,43,1
2020-04-11,BA,3300998,45,1
2020-04-12,BA,3300998,63,2
2020-04-13,BA,3300998,28,0
2020-04-14,BA,3300998,46,1
2020-04-15,BA,3300998,27,1
2020-04-16,BA,3300998,57,2
2020-04-17,BA,3300998,47,3
2020-04-18,BA,3300998,54,1
2020-04-19,BA,3300998,17,1
2020-04-20,BA,3300998,24,1
2020-04-21,BA,3300998,33,2
2020-04-22,BA,3300998,26,2
2020-04-23,BA,3300998,45,1
2020-04-24,BA,3300998,8,1
2020-04-25,BA,3300998,65,2
2020-04-26,BA,3300998,30,2
2020-04-27,BA,3300998,49,1
2020-04-28,BA,3300998,20,3
2020-04-29,BA,3300998,92,2
2020-04-30,BA,3300998,80,4
2020-05-01,BA,3300998,24,1
2020-05-02,BA,3300998,58,2
2020-05-03,BA,3300998,18,5
2020-05-04,BA,3300998,69,1
2020-05-05,BA,3300998,20,1
2020-05-06,BA,3300998,41,7
2020-05-07,BA,3300998,40,4
2020-05-08,BA,3300998,43,8
2020-05-09,BA,3300998,20,4
