date,countrycode,population,cases,deaths
2020-03-08,BD,163046173,0,0
2020-03-09,BD,163046173,0,0
2020-03-10,BD,163046173,0,0
2020-03-11,BD,163046173,0,0
2020-03-12,BD,163046173,0,0
2020-03-13,BD,163046173,0,0
2020-03-14,BD,163046173,0,0
2020-03-15,BD,163046173,2,0
2020-03-16,BD,163046173,3,0
2020-03-17,BD,163046173,2,0
2020-03-18,BD,163046173,4,1
2020-03-19,BD,163046173,3,0
2020-03-20,BD,163046173,3,0
2020-03-21,BD,163046173,5,1
2020-03-22,BD,163046173,2,0
2020-03-23,BD,163046173,6,1
2020-03-24,BD,163046173,6,1
2020-03-25,BD,163046173,0,1
2020-03-26,BD,163046173,5,0
2020-03-27,BD,163046173,4,0
2020-03-28,BD,163046173,0,0
2020-03-29,BD,163046173,0,0
2020-03-30,BD,163046173,1,0
2020-03-31,BD,163046173,2,0
2020-04-01,BD,163046173,3,1
2020-04-02,BD,163046173,2,0
2020-04-03,BD,163046173,5,0
2020-04-04,BD,163046173,9,2
2020-04-05,BD,163046173,18,1
2020-04-06,BD,163046173,35,3
2020-04-07,BD,163046173,41,5
2020-04-08,BD,163046173,54,3
2020-04-09,BD,163046173,112,1
2020-04-10,BD,163046173,94,6
2020-04-11,BD,163046173,58,3
2020-04-12,BD,163046173,139,4
2020-04-13,BD,163046173,182,5
2020-04-14,BD,163046173,209,7
2020-04-15,BD,163046173,219,4
2020-04-16,BD,163046173,341,10
2020-04-17,BD,163046173,266,15
2020-04-18,BD,163046173,306,9
2020-04-19,BD,163046173,312,7
2020-04-20,BD,163046173,492,10
2020-04-21,BD,163046173,434,9
2020-04-22,BD,163046173,390,10
2020-04-23,BD,163046173,414,7
2020-04-24,BD,163046173,503,4
2020-04-25,BD,163046173,309,9
2020-04-26,BD,163046173,418,5
2020-04-27,BD,163046173,497,7
2020-04-28,BD,163046173,549,3
2020-04-29,BD,163046173,641,8
2020-04-30,BD,163046173,564,5
2020-05-01,BD,163046173,571,2
2020-05-02,BD,163046173,552,5
2020-05-03,BD,163046173,665,2
2020-05-04,BD,163046173,688,5
2020-05-05,BD,163046173,786,1
2020-05-06,BD,163046173,790,3
2020-05-07,BD,163046173,706,13
2020-05-08,BD,163046173,709,7
2020-05-09,BD,163046173,636,8
2020-05-10,BD,163046173,887,14
2020-05-11,BD,163046173,1034,11
2020-05-12,BD,163046173,969,11
2020-05-13,BD,163046173,1162,19
2020-05-14,BD,163046173,1041,14
2020-05-15,BD,163046173,1202,15
2020-05-16,BD,163046173,930,16
2020-05-17,BD,163046173,1273,14
2020-05-18,BD,163046173,1602,21
2020-05-19,BD,163046173,1251,21
2020-05-20,BD,163046173,1617,16
2020-05-21,BD,163046173,1773,22
2020-05-22,BD,163046173,1694,24
2020-05-23,BD,163046173,1873,20
2020-05-24,BD,163046173,1532,28
2020-05-25,BD,163046173,1975,21
2020-05-26,BD,163046173,1166,21
2020-05-27,BD,163046173,1541,22
2020-05-28,BD,163046173,2029,15
2020-05-29,BD,163046173,2523,23
2020-05-30,BD,163046173,1764,28
2020-05-31,BD,163046173,2545,40
2020-06-01,BD,163046173,2381,22
2020-06-02,BD,163046173,2911,37
2020-06-03,BD,163046173,2695,37
2020-06-04,BD,163046173,2423,35
2020-06-05,BD,163046173,2828,30
2020-06-06,BD,163046173,2635,35
2020-06-07,BD,163046173,2743,42
2020-06-08,BD,163046173,2735,42
2020-06-09,BD,163046173,3171,45
2020-06-10,BD,163046173,3190,37
2020-06-11,BD,163046173,3187,37
2020-06-12,BD,163046173,3471,46
2020-06-13,BD,163046173,2856,44
2020-06-14,BD,163046173,3141,32
2020-06-15,BD,163046173,3099,38
2020-06-16,BD,163046173,3862,53
2020-06-17,BD,163046173,4008,43
2020-06-18,BD,163046173,3803,38
2020-06-19,BD,163046173,3243,45
2020-06-20,BD,163046173,3240,37
2020-06-21,BD,163046173,3531,39
2020-06-22,BD,163046173,3480,38
2020-06-23,BD,163046173,3412,43
2020-06-24,BD,163046173,3462,37
2020-06-25,BD,163046173,3946,39
2020-06-26,BD,163046173,3868,40
2020-06-27,BD,163046173,3504,34
2020-06-28,BD,163046173,3809,43
2020-06-29,BD,163046173,4014,45
2020-06-30,BD,163046173,3682,64
2020-07-01,BD,163046173,3775,41
2020-07-02,BD,163046173,4019,38
2020-07-03,BD,163046173,3114,42
2020-07-04,BD,163046173,3288,29
2020-07-05,BD,163046173,2738,55
2020-07-06,BD,163046173,3201,44
2020-07-07,BD,163046173,3027,55
2020-07-08,BD,163046173,3489,46
2020-07-09,BD,163046173,3360,41
2020-07-10,BD,163046173,2949,37
2020-07-11,BD,163046173,2686,30
2020-07-12,BD,163046173,2666,47
2020-07-13,BD,163046173,3099,39
2020-07-14,BD,163046173,3163,33
2020-07-15,BD,163046173,3533,33
2020-07-16,BD,163046173,2733,39
2020-07-17,BD,163046173,3034,51
2020-07-18,BD,163046173,2709,34
2020-07-19,BD,163046173,2459,37
2020-07-20,BD,163046173,2928,50
