date,countrycode,population,cases,deaths
2020-03-08,BG,7000039,0,0
2020-03-09,BG,7000039,0,0
2020-03-10,BG,7000039,0,0
2020-03-11,BG,7000039,3,1
2020-03-12,BG,7000039,0,0
2020-03-13,BG,7000039,16,0
2020-03-14,BG,7000039,18,1
2020-03-15,BG,7000039,10,0
2020-03-16,BG,7000039,1,0
2020-03-17,BG,7000039,15,0
2020-03-18,BG,7000039,25,0
2020-03-19,BG,7000039,2,1
2020-03-20,BG,7000039,33,0
2020-03-21,BG,7000039,36,0
2020-03-22,BG,7000039,24,0
2020-03-23,BG,7000039,14,0
2020-03-24,BG,7000039,17,0
2020-03-25,BG,7000039,24,0
2020-03-26,BG,7000039,22,0
2020-03-27,BG,7000039,29,0
2020-03-28,BG,7000039,38,4
2020-03-29,BG,7000039,15,1
2020-03-30,BG,7000039,13,0
2020-03-31,BG,7000039,40,0
2020-04-01,BG,7000039,23,2
2020-04-02,BG,7000039,35,0
2020-04-03,BG,7000039,28,4
2020-04-04,BG,7000039,18,3
2020-04-05,BG,7000039,28,3
2020-04-06,BG,7000039,18,2
2020-04-07,BG,7000039,28,1
2020-04-08,BG,7000039,16,1
2020-04-09,BG,7000039,25,0
2020-04-10,BG,7000039,17,1
2020-04-11,BG,7000039,26,3
2020-04-12,BG,7000039,14,1
2020-04-13,BG,7000039,10,3
2020-04-14,BG,7000039,28,3
2020-04-15,BG,7000039,34,1
2020-04-16,BG,7000039,53,2
2020-04-17,BG,7000039,46,3
2020-04-18,BG,7000039,32,0
2020-04-19,BG,7000039,16,1
2020-04-20,BG,7000039,35,1
2020-04-21,BG,7000039,46,2
2020-04-22,BG,7000039,49,4
2020-04-23,BG,7000039,73,3
2020-04-24,BG,7000039,137,2
2020-04-25,BG,7000039,13,1
2020-04-26,BG,7000039,53,1
2020-04-27,BG,7000039,63,2
2020-04-28,BG,7000039,36,0
2020-04-29,BG,7000039,48,6
2020-04-30,BG,7000039,59,2
2020-05-01,BG,7000039,49,2
2020-05-02,BG,7000039,39,4
2020-05-03,BG,7000039,24,1
2020-05-04,BG,7000039,34,5
2020-05-05,BG,7000039,52,2
2020-05-06,BG,7000039,74,4
2020-05-07,BG,7000039,51,0
2020-05-08,BG,7000039,43,2
2020-05-09,BG,7000039,49,4
2020-05-10,BG,7000039,44,1
2020-05-11,BG,7000039,25,2
2020-05-12,BG,7000039,33,2
2020-05-13,BG,7000039,46,1
2020-05-14,BG,7000039,31,3
2020-05-15,BG,7000039,38,3
2020-05-16,BG,7000039,37,3
2020-05-17,BG,7000039,36,3
2020-05-18,BG,7000039,24,2
2020-05-19,BG,7000039,24,2
2020-05-20,BG,7000039,33,4
2020-05-21,BG,7000039,39,4
2020-05-22,BG,7000039,41,5
2020-05-23,BG,7000039,36,1
2020-05-24,BG,7000039,19,4
2020-05-25,BG,7000039,6,0
2020-05-26,BG,7000039,10,0
2020-05-27,BG,7000039,17,3
2020-05-28,BG,7000039,17,1
