date,countrycode,population,cases,deaths
2020-03-16,BJ,11801151,0,0
2020-03-17,BJ,11801151,0,0
2020-03-18,BJ,11801151,1,0
2020-03-19,BJ,11801151,0,0
2020-03-20,BJ,11801151,0,0
2020-03-21,BJ,11801151,0,0
2020-03-22,BJ,11801151,0,0
2020-03-23,BJ,11801151,3,0
2020-03-24,BJ,11801151,1,0
2020-03-25,BJ,11801151,0,0
2020-03-26,BJ,11801151,0,0
2020-03-27,BJ,11801151,0,0
2020-03-28,BJ,11801151,0,0
2020-03-29,BJ,11801151,0,0
2020-03-30,BJ,11801151,0,0
2020-03-31,BJ,11801151,3,0
2020-04-01,BJ,11801151,4,0
2020-04-02,BJ,11801151,0,0
2020-04-03,BJ,11801151,3,0
2020-04-04,BJ,11801151,0,0
2020-04-05,BJ,11801151,6,0
2020-04-06,BJ,11801151,4,1
2020-04-07,BJ,11801151,0,0
2020-04-08,BJ,11801151,0,0
2020-04-09,BJ,11801151,0,0
2020-04-10,BJ,11801151,9,0
2020-04-11,BJ,11801151,0,0
2020-04-12,BJ,11801151,0,0
2020-04-13,BJ,11801151,0,0
2020-04-14,BJ,11801151,0,0
2020-04-15,BJ,11801151,0,0
2020-04-16,BJ,11801151,0,0
2020-04-17,BJ,11801151,0,0
2020-04-18,BJ,11801151,0,0
2020-04-19,BJ,11801151,0,0
2020-04-20,BJ,11801151,19,0
2020-04-21,BJ,11801151,0,0
2020-04-22,BJ,11801151,0,0
2020-04-23,BJ,11801151,0,0
2020-04-24,BJ,11801151,0,0
2020-04-25,BJ,11801151,0,0
2020-04-26,BJ,11801151,10,0
2020-04-27,BJ,11801151,0,0
2020-04-28,BJ,11801151,0,0
2020-04-29,BJ,11801151,0,0
2020-04-30,BJ,11801151,0,0
2020-05-01,BJ,11801151,26,1
2020-05-02,BJ,11801151,0,0
2020-05-03,BJ,11801151,0,0
2020-05-04,BJ,11801151,6,0
2020-05-05,BJ,11801151,0,0
2020-05-06,BJ,11801151,0,0
2020-05-07,BJ,11801151,44,0
2020-05-08,BJ,11801151,102,0
2020-05-09,BJ,11801151,42,0
2020-05-10,BJ,11801151,35,0
2020-05-11,BJ,11801151,0,0
2020-05-12,BJ,11801151,8,0
2020-05-13,BJ,11801151,0,0
2020-05-14,BJ,11801151,12,0
2020-05-15,BJ,11801151,0,0
2020-05-16,BJ,11801151,0,0
2020-05-17,BJ,11801151,0,0
2020-05-18,BJ,11801151,0,0
2020-05-19,BJ,11801151,-209,0
2020-05-20,BJ,11801151,0,0
2020-05-21,BJ,11801151,5,1
2020-05-22,BJ,11801151,0,0
2020-05-23,BJ,11801151,0,0
2020-05-24,BJ,11801151,56,0
2020-05-25,BJ,11801151,0,0
2020-05-26,BJ,11801151,17,0
2020-05-27,BJ,11801151,2,0
2020-05-28,BJ,11801151,0,0
2020-05-29,BJ,11801151,14,0
2020-05-30,BJ,11801151,0,0
2020-05-31,BJ,11801151,8,0
2020-06-01,BJ,11801151,11,0
2020-06-02,BJ,11801151,1,0
2020-06-03,BJ,11801151,0,0
2020-06-04,BJ,11801151,17,0
2020-06-05,BJ,11801151,0,0
2020-06-06,BJ,11801151,0,0
2020-06-07,BJ,11801151,0,0
2020-06-08,BJ,11801151,27,1
2020-06-09,BJ,11801151,17,0
2020-06-10,BJ,11801151,0,0
2020-06-11,BJ,11801151,0,0
2020-06-12,BJ,11801151,83,1
2020-06-13,BJ,11801151,24,1
2020-06-14,BJ,11801151,30,0
2020-06-15,BJ,11801151,41,3
2020-06-16,BJ,11801151,49,0
2020-06-17,BJ,11801151,40,0
2020-06-18,BJ,11801151,25,2
2020-06-19,BJ,11801151,53,0
2020-06-20,BJ,11801151,0,0
2020-06-21,BJ,11801151,115,2
2020-06-22,BJ,11801151,42,0
2020-06-23,BJ,11801151,43,0
2020-06-24,BJ,11801151,52,0
2020-06-25,BJ,11801151,115,1
2020-06-26,BJ,11801151,36,0
2020-06-27,BJ,11801151,71,0
2020-06-28,BJ,11801151,25,2
2020-06-29,BJ,11801151,38,3
2020-06-30,BJ,11801151,12,2
2020-07-01,BJ,11801151,0,0
2020-07-02,BJ,11801151,0,0
2020-07-03,BJ,11801151,0,0
2020-07-04,BJ,11801151,0,0
2020-07-05,BJ,11801151,0,0
2020-07-06,BJ,11801151,0,0
2020-07-07,BJ,11801151,0,0
2020-07-08,BJ,11801151,0,0
2020-07-09,BJ,11801151,86,2
2020-07-10,BJ,11801151,0,0
2020-07-11,BJ,11801151,93,3
2020-07-12,BJ,11801151,0,0
2020-07-13,BJ,11801151,0,0
2020-07-14,BJ,11801151,0,0
2020-07-15,BJ,11801151,0,0
2020-07-16,BJ,11801151,85,2
2020-07-17,BJ,11801151,139,3
2020-07-18,BJ,11801151,0,0
2020-07-19,BJ,11801151,0,0
2020-07-20,BJ,11801151,0,0
2020-07-21,BJ,11801151,0,0
2020-07-22,BJ,11801151,88,3
2020-07-23,BJ,11801151,4,0
2020-07-24,BJ,11801151,0,0
2020-07-25,BJ,11801151,0,0
2020-07-26,BJ,11801151,76,1
2020-07-27,BJ,11801151,0,0
2020-07-28,BJ,11801151,0,0
2020-07-29,BJ,11801151,35,1
2020-07-30,BJ,11801151,0,0
2020-07-31,BJ,11801151,0,0
2020-08-01,BJ,11801151,0,0
2020-08-02,BJ,11801151,0,0
2020-08-03,BJ,11801151,0,0
2020-08-04,BJ,11801151,109,2
2020-08-05,BJ,11801151,22,0
2020-08-06,BJ,11801151,0,0
2020-08-07,BJ,11801151,0,0
2020-08-08,BJ,11801151,0,0
2020-08-09,BJ,11801151,0,0
2020-08-10,BJ,11801151,0,0
2020-08-11,BJ,11801151,65,0
2020-08-12,BJ,11801151,13,0
2020-08-13,BJ,11801151,0,0
2020-08-14,BJ,11801151,0,0
2020-08-15,BJ,11801151,49,1
2020-08-16,BJ,11801151,0,0
2020-08-17,BJ,11801151,0,0
2020-08-18,BJ,11801151,0,0
2020-08-19,BJ,11801151,32,0
2020-08-20,BJ,11801151,0,0
2020-08-21,BJ,11801151,0,0
2020-08-22,BJ,11801151,20,0
2020-08-23,BJ,11801151,0,0
2020-08-24,BJ,11801151,0,0
2020-08-25,BJ,11801151,0,0
2020-08-26,BJ,11801151,30,1
2020-08-27,BJ,11801151,0,0
2020-08-28,BJ,11801151,0,0
2020-08-29,BJ,11801151,0,0
2020-08-30,BJ,11801151,0,0
2020-08-31,BJ,11801151,0,0
2020-09-01,BJ,11801151,0,0
2020-09-02,BJ,11801151,49,0
2020-09-03,BJ,11801151,0,0
2020-09-04,BJ,11801151,0,0
2020-09-05,BJ,11801151,19,0
2020-09-06,BJ,11801151,0,0
2020-09-07,BJ,11801151,0,0
2020-09-08,BJ,11801151,0,0
2020-09-09,BJ,11801151,29,0
2020-09-10,BJ,11801151,0,0
2020-09-11,BJ,11801151,0,0
2020-09-12,BJ,11801151,0,0
2020-09-13,BJ,11801151,25,0
2020-09-14,BJ,11801151,0,0
2020-09-15,BJ,11801151,0,0
2020-09-16,BJ,11801151,13,0
2020-09-17,BJ,11801151,0,0
2020-09-18,BJ,11801151,0,0
