date,countrycode,population,cases,deaths
2020-02-26,BR,211049519,0,0
2020-02-27,BR,211049519,0,0
2020-02-28,BR,211049519,0,0
2020-02-29,BR,211049519,1,0
2020-03-01,BR,211049519,0,0
2020-03-02,BR,211049519,0,0
2020-03-03,BR,211049519,0,0
2020-03-04,BR,211049519,2,0
2020-03-05,BR,211049519,0,0
2020-03-06,BR,211049519,9,0
2020-03-07,BR,211049519,0,0
2020-03-08,BR,211049519,7,0
2020-03-09,BR,211049519,5,0
2020-03-10,BR,211049519,6,0
2020-03-11,BR,211049519,7,0
2020-03-12,BR,211049519,14,0
2020-03-13,BR,211049519,99,0
2020-03-14,BR,211049519,0,0
2020-03-15,BR,211049519,11,0
2020-03-16,BR,211049519,38,0
2020-03-17,BR,211049519,121,1
2020-03-18,BR,211049519,51,2
2020-03-19,BR,211049519,249,3
2020-03-20,BR,211049519,172,5
2020-03-21,BR,211049519,228,4
2020-03-22,BR,211049519,525,10
2020-03-23,BR,211049519,378,9
2020-03-24,BR,211049519,323,12
2020-03-25,BR,211049519,307,13
2020-03-26,BR,211049519,431,18
2020-03-27,BR,211049519,432,15
2020-03-28,BR,211049519,487,19
2020-03-29,BR,211049519,352,25
2020-03-30,BR,211049519,323,23
2020-03-31,BR,211049519,1138,42
2020-04-01,BR,211049519,1119,39
2020-04-02,BR,211049519,1208,84
2020-04-03,BR,211049519,1012,35
2020-04-04,BR,211049519,1304,86
2020-04-05,BR,211049519,770,41
2020-04-06,BR,211049519,1031,78
2020-04-07,BR,211049519,1873,122
2020-04-08,BR,211049519,2136,133
2020-04-09,BR,211049519,1922,131
2020-04-10,BR,211049519,1546,107
2020-04-11,BR,211049519,1089,67
2020-04-12,BR,211049519,1465,99
2020-04-13,BR,211049519,1238,105
2020-04-14,BR,211049519,1832,204
2020-04-15,BR,211049519,3058,204
2020-04-16,BR,211049519,2105,188
2020-04-17,BR,211049519,3257,217
2020-04-18,BR,211049519,2976,213
2020-04-19,BR,211049519,1996,108
2020-04-20,BR,211049519,2089,125
2020-04-21,BR,211049519,2336,154
2020-04-22,BR,211049519,2678,165
2020-04-23,BR,211049519,4279,425
2020-04-24,BR,211049519,4007,373
2020-04-25,BR,211049519,5281,353
2020-04-26,BR,211049519,3776,229
2020-04-27,BR,211049519,4346,317
2020-04-28,BR,211049519,5789,480
2020-04-29,BR,211049519,6450,430
2020-04-30,BR,211049519,7502,493
2020-05-01,BR,211049519,5015,406
2020-05-02,BR,211049519,4898,349
2020-05-03,BR,211049519,4726,290
2020-05-04,BR,211049519,6794,316
2020-05-05,BR,211049519,6835,571
2020-05-06,BR,211049519,11156,650
2020-05-07,BR,211049519,9162,602
2020-05-08,BR,211049519,11121,827
2020-05-09,BR,211049519,9167,639
2020-05-10,BR,211049519,6638,467
2020-05-11,BR,211049519,6895,530
2020-05-12,BR,211049519,8620,808
2020-05-13,BR,211049519,11923,779
2020-05-14,BR,211049519,13028,759
2020-05-15,BR,211049519,17126,963
2020-05-16,BR,211049519,13220,700
2020-05-17,BR,211049519,7569,456
2020-05-18,BR,211049519,14288,735
2020-05-19,BR,211049519,16517,1130
2020-05-20,BR,211049519,19694,876
2020-05-21,BR,211049519,18508,1188
2020-05-22,BR,211049519,20803,1001
2020-05-23,BR,211049519,16508,965
2020-05-24,BR,211049519,15813,653
2020-05-25,BR,211049519,11687,807
2020-05-26,BR,211049519,16324,1039
2020-05-27,BR,211049519,20599,1086
2020-05-28,BR,211049519,26417,1156
2020-05-29,BR,211049519,26928,1124
2020-05-30,BR,211049519,33274,956
2020-05-31,BR,211049519,16409,480
2020-06-01,BR,211049519,11598,623
2020-06-02,BR,211049519,28936,1262
2020-06-03,BR,211049519,28633,1349
2020-06-04,BR,211049519,30925,1473
2020-06-05,BR,211049519,30830,1005
2020-06-06,BR,211049519,27075,904
2020-06-07,BR,211049519,18912,525
2020-06-08,BR,211049519,15654,679
2020-06-09,BR,211049519,32091,1272
2020-06-10,BR,211049519,32913,1274
2020-06-11,BR,211049519,30412,1239
2020-06-12,BR,211049519,25982,909
2020-06-13,BR,211049519,21704,892
2020-06-14,BR,211049519,17110,612
2020-06-15,BR,211049519,20647,627
2020-06-16,BR,211049519,34918,1282
2020-06-17,BR,211049519,32188,1269
2020-06-18,BR,211049519,22765,1238
2020-06-19,BR,211049519,54771,1206
2020-06-20,BR,211049519,0,1022
2020-06-21,BR,211049519,52125,641
2020-06-22,BR,211049519,21432,654
2020-06-23,BR,211049519,39436,1374
2020-06-24,BR,211049519,42725,1185
2020-06-25,BR,211049519,39483,1141
2020-06-26,BR,211049519,46860,990
2020-06-27,BR,211049519,38693,1109
2020-06-28,BR,211049519,30476,552
2020-06-29,BR,211049519,24052,692
2020-06-30,BR,211049519,33846,1280
2020-07-01,BR,211049519,46712,1038
2020-07-02,BR,211049519,48105,1252
2020-07-03,BR,211049519,42223,1290
2020-07-04,BR,211049519,37923,1091
2020-07-05,BR,211049519,26051,602
2020-07-06,BR,211049519,20229,620
2020-07-07,BR,211049519,45305,1254
2020-07-08,BR,211049519,44571,1223
2020-07-09,BR,211049519,42619,1220
2020-07-10,BR,211049519,45048,1214
2020-07-11,BR,211049519,39023,1071
2020-07-12,BR,211049519,24831,631
2020-07-13,BR,211049519,20286,733
2020-07-14,BR,211049519,41857,1300
2020-07-15,BR,211049519,39924,1233
2020-07-16,BR,211049519,45403,1322
2020-07-17,BR,211049519,34177,1163
2020-07-18,BR,211049519,28532,921
2020-07-19,BR,211049519,23529,716
2020-07-20,BR,211049519,20257,632
2020-07-21,BR,211049519,41008,1367
2020-07-22,BR,211049519,67860,1284
2020-07-23,BR,211049519,59961,1311
2020-07-24,BR,211049519,55891,1156
2020-07-25,BR,211049519,51147,1211
2020-07-26,BR,211049519,24578,555
2020-07-27,BR,211049519,23284,614
2020-07-28,BR,211049519,40816,921
2020-07-29,BR,211049519,69074,1595
2020-07-30,BR,211049519,57837,1129
2020-07-31,BR,211049519,52383,1212
2020-08-01,BR,211049519,45392,1088
2020-08-02,BR,211049519,25800,541
2020-08-03,BR,211049519,16641,561
2020-08-04,BR,211049519,51603,1154
2020-08-05,BR,211049519,57152,1437
2020-08-06,BR,211049519,53139,1237
2020-08-07,BR,211049519,50230,1079
2020-08-08,BR,211049519,49970,905
2020-08-09,BR,211049519,23010,572
2020-08-10,BR,211049519,22048,703
2020-08-11,BR,211049519,52160,1274
2020-08-12,BR,211049519,55155,1175
2020-08-13,BR,211049519,60091,1262
2020-08-14,BR,211049519,50644,1060
2020-08-15,BR,211049519,41576,709
2020-08-16,BR,211049519,23101,620
2020-08-17,BR,211049519,19373,684
2020-08-18,BR,211049519,47784,1352
2020-08-19,BR,211049519,49298,1212
2020-08-20,BR,211049519,45323,1204
2020-08-21,BR,211049519,30355,1054
2020-08-22,BR,211049519,50032,892
2020-08-23,BR,211049519,23421,494
2020-08-24,BR,211049519,17078,565
2020-08-25,BR,211049519,47134,1271
2020-08-26,BR,211049519,47161,1085
2020-08-27,BR,211049519,44235,984
2020-08-28,BR,211049519,43412,855
2020-08-29,BR,211049519,41350,758
2020-08-30,BR,211049519,16158,566
2020-08-31,BR,211049519,45961,553
2020-09-01,BR,211049519,42659,1215
2020-09-02,BR,211049519,46934,1184
2020-09-03,BR,211049519,43773,834
2020-09-04,BR,211049519,50163,888
2020-09-05,BR,211049519,31199,701
2020-09-06,BR,211049519,14521,447
2020-09-07,BR,211049519,10273,310
2020-09-08,BR,211049519,14279,504
2020-09-09,BR,211049519,35816,1075
2020-09-10,BR,211049519,40557,983
2020-09-11,BR,211049519,43718,874
2020-09-12,BR,211049519,33523,814
2020-09-13,BR,211049519,14768,415
2020-09-14,BR,211049519,15155,381
2020-09-15,BR,211049519,36653,1113
2020-09-16,BR,211049519,36820,987
2020-09-17,BR,211049519,36303,829
2020-09-18,BR,211049519,39797,858
2020-09-19,BR,211049519,33057,739
2020-09-20,BR,211049519,16389,363
2020-09-21,BR,211049519,13411,377
2020-09-22,BR,211049519,33324,833
2020-09-23,BR,211049519,0,0
2020-09-24,BR,211049519,66338,1703
2020-09-25,BR,211049519,31911,729
2020-09-26,BR,211049519,28378,869
2020-09-27,BR,211049519,14318,335
2020-09-28,BR,211049519,13155,317
2020-09-29,BR,211049519,32058,863
2020-09-30,BR,211049519,33413,1031
2020-10-01,BR,211049519,36157,728
2020-10-02,BR,211049519,0,0
2020-10-03,BR,211049519,59741,1307
2020-10-04,BR,211049519,8456,365
2020-10-05,BR,211049519,11946,323
2020-10-06,BR,211049519,41906,819
2020-10-07,BR,211049519,31553,734
2020-10-08,BR,211049519,27750,729
2020-10-09,BR,211049519,27444,682
2020-10-10,BR,211049519,26749,559
