date,countrycode,population,cases,deaths
2020-03-06,BT,756129,0,0
2020-03-07,BT,756129,0,0
2020-03-08,BT,756129,0,0
2020-03-09,BT,756129,0,0
2020-03-10,BT,756129,0,0
2020-03-11,BT,756129,0,0
2020-03-12,BT,756129,0,0
2020-03-13,BT,756129,0,0
2020-03-14,BT,756129,0,0
2020-03-15,BT,756129,0,0
2020-03-16,BT,756129,0,0
2020-03-17,BT,756129,0,0
2020-03-18,BT,756129,0,0
2020-03-19,BT,756129,0,0
2020-03-20,BT,756129,1,0
2020-03-21,BT,756129,0,0
2020-03-22,BT,756129,0,0
2020-03-23,BT,756129,0,0
2020-03-24,BT,756129,0,0
2020-03-25,BT,756129,0,0
2020-03-26,BT,756129,0,0
2020-03-27,BT,756129,1,0
2020-03-28,BT,756129,0,0
2020-03-29,BT,756129,1,0
2020-03-30,BT,756129,0,0
2020-03-31,BT,756129,0,0
2020-04-01,BT,756129,0,0
2020-04-02,BT,756129,1,0
2020-04-03,BT,756129,0,0
2020-04-04,BT,756129,0,0
2020-04-05,BT,756129,0,0
2020-04-06,BT,756129,0,0
2020-04-07,BT,756129,0,0
2020-04-08,BT,756129,0,0
2020-04-09,BT,756129,0,0
2020-04-10,BT,756129,0,0
2020-04-11,BT,756129,0,0
2020-04-12,BT,756129,0,0
2020-04-13,BT,756129,0,0
2020-04-14,BT,756129,0,0
2020-04-15,BT,756129,0,0
2020-04-16,BT,756129,0,0
2020-04-17,BT,756129,0,0
2020-04-18,BT,756129,0,0
2020-04-19,BT,756129,0,0
2020-04-20,BT,756129,0,0
2020-04-21,BT,756129,1,0
2020-04-22,BT,756129,0,0
2020-04-23,BT,756129,1,0
2020-04-24,BT,756129,0,0
2020-04-25,BT,756129,0,0
2020-04-26,BT,756129,0,0
2020-04-27,BT,756129,0,0
2020-04-28,BT,756129,0,0
2020-04-29,BT,756129,0,0
2020-04-30,BT,756129,0,0
2020-05-01,BT,756129,0,0
2020-05-02,BT,756129,0,0
2020-05-03,BT,756129,0,0
2020-05-04,BT,756129,0,0
2020-05-05,BT,756129,0,0
2020-05-06,BT,756129,0,0
2020-05-07,BT,756129,0,0
2020-05-08,BT,756129,0,0
2020-05-09,BT,756129,0,0
2020-05-10,BT,756129,0,0
2020-05-11,BT,756129,4,0
2020-05-12,BT,756129,0,0
2020-05-13,BT,756129,4,0
2020-05-14,BT,756129,5,0
2020-05-15,BT,756129,1,0
2020-05-16,BT,756129,0,0
2020-05-17,BT,756129,0,0
2020-05-18,BT,756129,0,0
2020-05-19,BT,756129,0,0
2020-05-20,BT,756129,0,0
2020-05-21,BT,756129,0,0
2020-05-22,BT,756129,0,0
2020-05-23,BT,756129,3,0
2020-05-24,BT,756129,0,0
2020-05-25,BT,756129,3,0
2020-05-26,BT,756129,0,0
2020-05-27,BT,756129,1,0
2020-05-28,BT,756129,3,0
2020-05-29,BT,756129,0,0
2020-05-30,BT,756129,2,0
2020-05-31,BT,756129,10,0
2020-06-01,BT,756129,0,0
2020-06-02,BT,756129,4,0
2020-06-03,BT,756129,0,0
2020-06-04,BT,756129,0,0
2020-06-05,BT,756129,1,0
2020-06-06,BT,756129,0,0
2020-06-07,BT,756129,11,0
2020-06-08,BT,756129,0,0
2020-06-09,BT,756129,0,0
2020-06-10,BT,756129,0,0
2020-06-11,BT,756129,3,0
2020-06-12,BT,756129,0,0
2020-06-13,BT,756129,4,0
2020-06-14,BT,756129,0,0
2020-06-15,BT,756129,1,0
2020-06-16,BT,756129,0,0
2020-06-17,BT,756129,0,0
2020-06-18,BT,756129,0,0
2020-06-19,BT,756129,1,0
2020-06-20,BT,756129,0,0
2020-06-21,BT,756129,0,0
2020-06-22,BT,756129,0,0
2020-06-23,BT,756129,2,0
2020-06-24,BT,756129,0,0
2020-06-25,BT,756129,0,0
2020-06-26,BT,756129,0,0
2020-06-27,BT,756129,5,0
2020-06-28,BT,756129,1,0
2020-06-29,BT,756129,1,0
2020-06-30,BT,756129,0,0
2020-07-01,BT,756129,0,0
2020-07-02,BT,756129,0,0
2020-07-03,BT,756129,0,0
2020-07-04,BT,756129,1,0
2020-07-05,BT,756129,2,0
2020-07-06,BT,756129,0,0
2020-07-07,BT,756129,0,0
2020-07-08,BT,756129,0,0
2020-07-09,BT,756129,0,0
2020-07-10,BT,756129,0,0
2020-07-11,BT,756129,2,0
2020-07-12,BT,756129,2,0
2020-07-13,BT,756129,0,0
2020-07-14,BT,756129,0,0
2020-07-15,BT,756129,0,0
2020-07-16,BT,756129,2,0
2020-07-17,BT,756129,1,0
2020-07-18,BT,756129,0,0
2020-07-19,BT,756129,2,0
2020-07-20,BT,756129,1,0
2020-07-21,BT,756129,2,0
2020-07-22,BT,756129,0,0
2020-07-23,BT,756129,0,0
2020-07-24,BT,756129,0,0
2020-07-25,BT,756129,0,0
2020-07-26,BT,756129,3,0
2020-07-27,BT,756129,4,0
2020-07-28,BT,756129,0,0
2020-07-29,BT,756129,0,0
2020-07-30,BT,756129,2,0
2020-07-31,BT,756129,0,0
2020-08-01,BT,756129,1,0
2020-08-02,BT,756129,0,0
2020-08-03,BT,756129,1,0
2020-08-04,BT,756129,2,0
2020-08-05,BT,756129,0,0
2020-08-06,BT,756129,3,0
2020-08-07,BT,756129,0,0
2020-08-08,BT,756129,0,0
2020-08-09,BT,756129,2,0
2020-08-10,BT,756129,0,0
2020-08-11,BT,756129,3,0
2020-08-12,BT,756129,0,0
2020-08-13,BT,756129,15,0
2020-08-14,BT,756129,5,0
2020-08-15,BT,756129,0,0
2020-08-16,BT,756129,5,0
