date,countrycode,population,cases,deaths
2020-03-30,BW,2410338,0,0
2020-03-31,BW,2410338,1,1
2020-04-01,BW,2410338,0,0
2020-04-02,BW,2410338,0,0
2020-04-03,BW,2410338,0,0
2020-04-04,BW,2410338,0,0
2020-04-05,BW,2410338,2,0
2020-04-06,BW,2410338,0,0
2020-04-07,BW,2410338,0,0
2020-04-08,BW,2410338,0,0
2020-04-09,BW,2410338,7,0
2020-04-10,BW,2410338,0,0
2020-04-11,BW,2410338,0,0
2020-04-12,BW,2410338,0,0
2020-04-13,BW,2410338,0,0
2020-04-14,BW,2410338,0,0
2020-04-15,BW,2410338,0,0
2020-04-16,BW,2410338,2,0
2020-04-17,BW,2410338,0,0
2020-04-18,BW,2410338,0,0
2020-04-19,BW,2410338,5,0
2020-04-20,BW,2410338,0,0
2020-04-21,BW,2410338,0,0
2020-04-22,BW,2410338,2,0
2020-04-23,BW,2410338,0,0
2020-04-24,BW,2410338,0,0
2020-04-25,BW,2410338,0,0
2020-04-26,BW,2410338,0,0
2020-04-27,BW,2410338,0,0
2020-04-28,BW,2410338,1,0
2020-04-29,BW,2410338,0,0
2020-04-30,BW,2410338,0,0
2020-05-01,BW,2410338,0,0
2020-05-02,BW,2410338,0,0
2020-05-03,BW,2410338,0,0
2020-05-04,BW,2410338,0,0
2020-05-05,BW,2410338,0,0
2020-05-06,BW,2410338,0,0
2020-05-07,BW,2410338,0,0
2020-05-08,BW,2410338,0,0
2020-05-09,BW,2410338,0,0
2020-05-10,BW,2410338,0,0
2020-05-11,BW,2410338,1,0
2020-05-12,BW,2410338,0,0
2020-05-13,BW,2410338,0,0
2020-05-14,BW,2410338,0,0
2020-05-15,BW,2410338,0,0
2020-05-16,BW,2410338,0,0
2020-05-17,BW,2410338,1,0
2020-05-18,BW,2410338,0,0
2020-05-19,BW,2410338,0,0
2020-05-20,BW,2410338,0,0
2020-05-21,BW,2410338,4,0
2020-05-22,BW,2410338,1,0
2020-05-23,BW,2410338,0,0
2020-05-24,BW,2410338,5,0
2020-05-25,BW,2410338,0,0
2020-05-26,BW,2410338,0,0
