date,countrycode,population,cases,deaths
2020-02-28,BY,9452409,0,0
2020-02-29,BY,9452409,0,0
2020-03-01,BY,9452409,0,0
2020-03-02,BY,9452409,0,0
2020-03-03,BY,9452409,0,0
2020-03-04,BY,9452409,5,0
2020-03-05,BY,9452409,0,0
2020-03-06,BY,9452409,0,0
2020-03-07,BY,9452409,0,0
2020-03-08,BY,9452409,0,0
2020-03-09,BY,9452409,0,0
2020-03-10,BY,9452409,3,0
2020-03-11,BY,9452409,0,0
2020-03-12,BY,9452409,3,0
2020-03-13,BY,9452409,15,0
2020-03-14,BY,9452409,0,0
2020-03-15,BY,9452409,0,0
2020-03-16,BY,9452409,9,0
2020-03-17,BY,9452409,0,0
2020-03-18,BY,9452409,15,0
2020-03-19,BY,9452409,0,0
2020-03-20,BY,9452409,18,0
2020-03-21,BY,9452409,7,0
2020-03-22,BY,9452409,0,0
2020-03-23,BY,9452409,5,0
2020-03-24,BY,9452409,0,0
2020-03-25,BY,9452409,5,0
2020-03-26,BY,9452409,0,0
2020-03-27,BY,9452409,8,0
2020-03-28,BY,9452409,0,0
2020-03-29,BY,9452409,0,0
2020-03-30,BY,9452409,58,0
2020-03-31,BY,9452409,0,1
2020-04-01,BY,9452409,11,1
2020-04-02,BY,9452409,141,2
2020-04-03,BY,9452409,47,0
2020-04-04,BY,9452409,89,1
2020-04-05,BY,9452409,122,3
2020-04-06,BY,9452409,138,5
2020-04-07,BY,9452409,161,0
2020-04-08,BY,9452409,205,0
2020-04-09,BY,9452409,420,3
2020-04-10,BY,9452409,495,3
2020-04-11,BY,9452409,245,4
2020-04-12,BY,9452409,352,3
2020-04-13,BY,9452409,341,3
2020-04-14,BY,9452409,362,4
2020-04-15,BY,9452409,447,3
2020-04-16,BY,9452409,476,4
2020-04-17,BY,9452409,575,2
2020-04-18,BY,9452409,0,3
2020-04-19,BY,9452409,0,2
2020-04-20,BY,9452409,1485,4
2020-04-21,BY,9452409,459,4
2020-04-22,BY,9452409,558,3
2020-04-23,BY,9452409,741,2
2020-04-24,BY,9452409,751,3
2020-04-25,BY,9452409,817,4
2020-04-26,BY,9452409,873,5
2020-04-27,BY,9452409,826,3
2020-04-28,BY,9452409,919,4
2020-04-29,BY,9452409,973,5
2020-04-30,BY,9452409,846,5
2020-05-01,BY,9452409,890,4
2020-05-02,BY,9452409,911,4
2020-05-03,BY,9452409,877,2
2020-05-04,BY,9452409,784,4
2020-05-05,BY,9452409,861,4
2020-05-06,BY,9452409,905,5
2020-05-07,BY,9452409,913,4
2020-05-08,BY,9452409,933,5
2020-05-09,BY,9452409,951,5
2020-05-10,BY,9452409,921,5
2020-05-11,BY,9452409,933,4
2020-05-12,BY,9452409,967,7
2020-05-13,BY,9452409,952,4
2020-05-14,BY,9452409,947,5
2020-05-15,BY,9452409,958,5
2020-05-16,BY,9452409,951,4
2020-05-17,BY,9452409,969,5
2020-05-18,BY,9452409,922,6
2020-05-19,BY,9452409,936,4
2020-05-20,BY,9452409,918,4
2020-05-21,BY,9452409,945,6
2020-05-22,BY,9452409,932,5
2020-05-23,BY,9452409,941,4
2020-05-24,BY,9452409,954,5
2020-05-25,BY,9452409,946,5
2020-05-26,BY,9452409,915,4
2020-05-27,BY,9452409,897,6
2020-05-28,BY,9452409,902,5
2020-05-29,BY,9452409,906,5
2020-05-30,BY,9452409,894,5
2020-05-31,BY,9452409,898,6
2020-06-01,BY,9452409,847,5
2020-06-02,BY,9452409,852,3
2020-06-03,BY,9452409,861,5
2020-06-04,BY,9452409,865,5
2020-06-05,BY,9452409,887,6
2020-06-06,BY,9452409,883,4
2020-06-07,BY,9452409,879,6
2020-06-08,BY,9452409,823,7
2020-06-09,BY,9452409,812,6
2020-06-10,BY,9452409,801,6
2020-06-11,BY,9452409,750,5
2020-06-12,BY,9452409,704,5
2020-06-13,BY,9452409,721,5
2020-06-14,BY,9452409,732,5
2020-06-15,BY,9452409,707,4
2020-06-16,BY,9452409,689,6
2020-06-17,BY,9452409,663,6
2020-06-18,BY,9452409,625,7
2020-06-19,BY,9452409,676,6
2020-06-20,BY,9452409,603,6
2020-06-21,BY,9452409,569,3
2020-06-22,BY,9452409,518,5
2020-06-23,BY,9452409,464,6
2020-06-24,BY,9452409,458,5
2020-06-25,BY,9452409,437,5
2020-06-26,BY,9452409,331,6
2020-06-27,BY,9452409,382,4
2020-06-28,BY,9452409,380,6
2020-06-29,BY,9452409,315,4
2020-06-30,BY,9452409,328,5
2020-07-01,BY,9452409,306,6
2020-07-02,BY,9452409,274,7
2020-07-03,BY,9452409,299,7
2020-07-04,BY,9452409,273,6
2020-07-05,BY,9452409,284,5
2020-07-06,BY,9452409,250,6
2020-07-07,BY,9452409,199,7
2020-07-08,BY,9452409,221,7
2020-07-09,BY,9452409,187,6
2020-07-10,BY,9452409,193,5
2020-07-11,BY,9452409,163,5
2020-07-12,BY,9452409,165,5
2020-07-13,BY,9452409,182,4
2020-07-14,BY,9452409,155,6
2020-07-15,BY,9452409,174,6
2020-07-16,BY,9452409,180,5
2020-07-17,BY,9452409,159,6
2020-07-18,BY,9452409,171,4
2020-07-19,BY,9452409,142,4
2020-07-20,BY,9452409,118,4
2020-07-21,BY,9452409,135,4
2020-07-22,BY,9452409,173,6
2020-07-23,BY,9452409,167,6
2020-07-24,BY,9452409,158,5
2020-07-25,BY,9452409,156,6
2020-07-26,BY,9452409,130,4
2020-07-27,BY,9452409,119,4
2020-07-28,BY,9452409,115,5
2020-07-29,BY,9452409,152,5
2020-07-30,BY,9452409,147,5
2020-07-31,BY,9452409,143,6
2020-08-01,BY,9452409,138,4
2020-08-02,BY,9452409,121,4
2020-08-03,BY,9452409,99,4
2020-08-04,BY,9452409,84,3
2020-08-05,BY,9452409,126,3
2020-08-06,BY,9452409,127,3
2020-08-07,BY,9452409,111,3
2020-08-08,BY,9452409,124,2
2020-08-09,BY,9452409,112,2
2020-08-10,BY,9452409,97,2
2020-08-11,BY,9452409,58,3
2020-08-12,BY,9452409,97,3
2020-08-13,BY,9452409,101,4
2020-08-14,BY,9452409,105,4
2020-08-15,BY,9452409,0,0
2020-08-16,BY,9452409,208,7
2020-08-17,BY,9452409,73,3
2020-08-18,BY,9452409,84,4
2020-08-19,BY,9452409,128,5
2020-08-20,BY,9452409,149,5
2020-08-21,BY,9452409,161,5
2020-08-22,BY,9452409,174,5
2020-08-23,BY,9452409,183,5
2020-08-24,BY,9452409,177,4
2020-08-25,BY,9452409,82,6
2020-08-26,BY,9452409,247,5
2020-08-27,BY,9452409,191,5
2020-08-28,BY,9452409,181,5
2020-08-29,BY,9452409,177,4
2020-08-30,BY,9452409,164,5
2020-08-31,BY,9452409,156,5
2020-09-01,BY,9452409,119,5
2020-09-02,BY,9452409,179,5
2020-09-03,BY,9452409,161,5
2020-09-04,BY,9452409,183,5
2020-09-05,BY,9452409,178,4
2020-09-06,BY,9452409,196,6
2020-09-07,BY,9452409,172,5
2020-09-08,BY,9452409,177,5
2020-09-09,BY,9452409,194,5
2020-09-10,BY,9452409,189,6
2020-09-11,BY,9452409,193,6
2020-09-12,BY,9452409,191,6
2020-09-13,BY,9452409,198,6
2020-09-14,BY,9452409,187,6
2020-09-15,BY,9452409,192,5
2020-09-16,BY,9452409,211,6
2020-09-17,BY,9452409,224,4
2020-09-18,BY,9452409,243,2
2020-09-19,BY,9452409,231,3
2020-09-20,BY,9452409,213,4
2020-09-21,BY,9452409,224,5
2020-09-22,BY,9452409,206,6
2020-09-23,BY,9452409,253,5
2020-09-24,BY,9452409,294,6
2020-09-25,BY,9452409,306,5
2020-09-26,BY,9452409,332,6
2020-09-27,BY,9452409,320,5
2020-09-28,BY,9452409,337,4
2020-09-29,BY,9452409,314,6
2020-09-30,BY,9452409,371,5
2020-10-01,BY,9452409,388,6
2020-10-02,BY,9452409,402,5
2020-10-03,BY,9452409,431,7
2020-10-04,BY,9452409,0,0
2020-10-05,BY,9452409,844,11
2020-10-06,BY,9452409,394,6
2020-10-07,BY,9452409,415,6
2020-10-08,BY,9452409,477,6
2020-10-09,BY,9452409,489,5
2020-10-10,BY,9452409,0,0
2020-10-11,BY,9452409,1063,11
2020-10-12,BY,9452409,464,5
2020-10-13,BY,9452409,526,5
2020-10-14,BY,9452409,597,5
2020-10-15,BY,9452409,613,5
2020-10-16,BY,9452409,658,5
2020-10-17,BY,9452409,671,4
2020-10-18,BY,9452409,635,4
2020-10-19,BY,9452409,592,4
2020-10-20,BY,9452409,619,4
2020-10-21,BY,9452409,733,4
2020-10-22,BY,9452409,738,4
2020-10-23,BY,9452409,787,0
2020-10-24,BY,9452409,811,8
2020-10-25,BY,9452409,845,4
2020-10-26,BY,9452409,884,4
2020-10-27,BY,9452409,902,4
2020-10-28,BY,9452409,936,4
2020-10-29,BY,9452409,984,4
2020-10-30,BY,9452409,970,4
2020-10-31,BY,9452409,983,3
2020-11-01,BY,9452409,977,5
2020-11-02,BY,9452409,941,4
2020-11-03,BY,9452409,929,3
2020-11-04,BY,9452409,984,3
2020-11-05,BY,9452409,982,3
2020-11-06,BY,9452409,991,3
2020-11-07,BY,9452409,997,3
2020-11-08,BY,9452409,996,3
2020-11-09,BY,9452409,983,4
2020-11-10,BY,9452409,1038,5
2020-11-11,BY,9452409,1057,6
2020-11-12,BY,9452409,1098,5
2020-11-13,BY,9452409,1167,6
2020-11-14,BY,9452409,1248,6
2020-11-15,BY,9452409,1315,7
2020-11-16,BY,9452409,1263,7
2020-11-17,BY,9452409,1251,7
2020-11-18,BY,9452409,1309,7
2020-11-19,BY,9452409,1382,7
2020-11-20,BY,9452409,1457,7
2020-11-21,BY,9452409,1588,8
2020-11-22,BY,9452409,1564,7
2020-11-23,BY,9452409,1483,8
2020-11-24,BY,9452409,1471,8
2020-11-25,BY,9452409,1496,7
2020-11-26,BY,9452409,1563,9
2020-11-27,BY,9452409,1621,8
2020-11-28,BY,9452409,1691,7
2020-11-29,BY,9452409,1684,8
2020-11-30,BY,9452409,1639,7
2020-12-01,BY,9452409,1572,8
2020-12-02,BY,9452409,1689,8
2020-12-03,BY,9452409,1701,7
2020-12-04,BY,9452409,1774,9
2020-12-05,BY,9452409,1896,8
2020-12-06,BY,9452409,1878,9
2020-12-07,BY,9452409,1796,8
2020-12-08,BY,9452409,1649,7
2020-12-09,BY,9452409,1851,8
2020-12-10,BY,9452409,1939,8
2020-12-11,BY,9452409,1967,8
2020-12-12,BY,9452409,1975,8
2020-12-13,BY,9452409,1961,9
2020-12-14,BY,9452409,1853,10
2020-12-15,BY,9452409,1911,9
2020-12-16,BY,9452409,1838,9
2020-12-17,BY,9452409,1834,8
2020-12-18,BY,9452409,1917,9
2020-12-19,BY,9452409,1931,8
2020-12-20,BY,9452409,1944,8
2020-12-21,BY,9452409,1893,9
2020-12-22,BY,9452409,1858,8
2020-12-23,BY,9452409,1922,8
2020-12-24,BY,9452409,1917,9
2020-12-25,BY,9452409,1893,9
2020-12-26,BY,9452409,1916,9
2020-12-27,BY,9452409,1825,9
2020-12-28,BY,9452409,1841,9
2020-12-29,BY,9452409,1816,10
2020-12-30,BY,9452409,1957,10
2020-12-31,BY,9452409,1923,10
2021-01-01,BY,9452409,1939,9
2021-01-02,BY,9452409,1902,9
2021-01-03,BY,9452409,1837,9
2021-01-04,BY,9452409,1869,10
2021-01-05,BY,9452409,1273,10
2021-01-06,BY,9452409,1854,9
2021-01-07,BY,9452409,1838,9
2021-01-08,BY,9452409,1805,9
2021-01-09,BY,9452409,1767,9
2021-01-10,BY,9452409,1833,10
2021-01-11,BY,9452409,1792,9
2021-01-12,BY,9452409,1731,9
2021-01-13,BY,9452409,1972,9
2021-01-14,BY,9452409,1967,10
2021-01-15,BY,9452409,1941,10
2021-01-16,BY,9452409,1933,9
2021-01-17,BY,9452409,1924,9
2021-01-18,BY,9452409,1899,9
2021-01-19,BY,9452409,1356,10
2021-01-20,BY,9452409,1778,9
2021-01-21,BY,9452409,1804,9
2021-01-22,BY,9452409,1813,9
2021-01-23,BY,9452409,1748,11
2021-01-24,BY,9452409,1752,10
2021-01-25,BY,9452409,1024,9
2021-01-26,BY,9452409,847,10
2021-01-27,BY,9452409,1651,10
2021-01-28,BY,9452409,1718,10
2021-01-29,BY,9452409,1867,10
2021-01-30,BY,9452409,1852,10
2021-01-31,BY,9452409,1766,10
2021-02-01,BY,9452409,959,10
2021-02-02,BY,9452409,699,9
2021-02-03,BY,9452409,1711,9
2021-02-04,BY,9452409,1708,9
2021-02-05,BY,9452409,1759,9
2021-02-06,BY,9452409,1787,9
2021-02-07,BY,9452409,1732,10
2021-02-08,BY,9452409,808,9
2021-02-09,BY,9452409,561,9
2021-02-10,BY,9452409,1799,10
2021-02-11,BY,9452409,1692,9
2021-02-12,BY,9452409,1733,10
2021-02-13,BY,9452409,1745,10
2021-02-14,BY,9452409,1658,9
2021-02-15,BY,9452409,1100,9
2021-02-16,BY,9452409,1134,9
2021-02-17,BY,9452409,1352,9
2021-02-18,BY,9452409,1386,9
2021-02-19,BY,9452409,1663,9
2021-02-20,BY,9452409,1668,9
2021-02-21,BY,9452409,1322,9
2021-02-22,BY,9452409,1144,9
2021-02-23,BY,9452409,972,9
2021-02-24,BY,9452409,1279,9
2021-02-25,BY,9452409,1191,9
2021-02-26,BY,9452409,1602,9
2021-02-27,BY,9452409,1459,9
2021-02-28,BY,9452409,1347,10
2021-03-01,BY,9452409,961,9
2021-03-02,BY,9452409,869,8
2021-03-03,BY,9452409,1311,9
2021-03-04,BY,9452409,1174,9
2021-03-05,BY,9452409,1482,9
2021-03-06,BY,9452409,1329,9
2021-03-07,BY,9452409,1079,9
2021-03-08,BY,9452409,930,9
2021-03-09,BY,9452409,1073,8
2021-03-10,BY,9452409,609,8
2021-03-11,BY,9452409,837,7
