date,countrycode,population,cases,deaths
2020-02-25,CH,8591361,0,0
2020-02-26,CH,8591361,0,0
2020-02-27,CH,8591361,7,0
2020-02-28,CH,8591361,0,0
2020-02-29,CH,8591361,10,0
2020-03-01,CH,8591361,9,0
2020-03-02,CH,8591361,15,0
2020-03-03,CH,8591361,14,0
2020-03-04,CH,8591361,34,0
2020-03-05,CH,8591361,24,1
2020-03-06,CH,8591361,100,0
2020-03-07,CH,8591361,54,0
2020-03-08,CH,8591361,69,1
2020-03-09,CH,8591361,37,0
2020-03-10,CH,8591361,117,1
2020-03-11,CH,8591361,161,1
2020-03-12,CH,8591361,0,0
2020-03-13,CH,8591361,487,7
2020-03-14,CH,8591361,220,2
2020-03-15,CH,8591361,841,1
2020-03-16,CH,8591361,0,0
2020-03-17,CH,8591361,500,13
2020-03-18,CH,8591361,328,1
2020-03-19,CH,8591361,1047,13
2020-03-20,CH,8591361,1219,13
2020-03-21,CH,8591361,1281,21
2020-03-22,CH,8591361,899,23
2020-03-23,CH,8591361,1321,22
2020-03-24,CH,8591361,1082,2
2020-03-25,CH,8591361,1020,31
2020-03-26,CH,8591361,914,38
2020-03-27,CH,8591361,1117,40
2020-03-28,CH,8591361,1148,33
2020-03-29,CH,8591361,753,36
2020-03-30,CH,8591361,1093,59
2020-03-31,CH,8591361,683,74
2020-04-01,CH,8591361,1163,55
2020-04-02,CH,8591361,1059,48
2020-04-03,CH,8591361,779,55
2020-04-04,CH,8591361,899,75
2020-04-05,CH,8591361,595,49
2020-04-06,CH,8591361,557,50
2020-04-07,CH,8591361,596,56
2020-04-08,CH,8591361,1027,74
2020-04-09,CH,8591361,771,53
2020-04-10,CH,8591361,500,54
2020-04-11,CH,8591361,556,34
2020-04-12,CH,8591361,308,70
2020-04-13,CH,8591361,273,32
2020-04-14,CH,8591361,248,36
2020-04-15,CH,8591361,400,65
2020-04-16,CH,8591361,396,42
2020-04-17,CH,8591361,346,46
2020-04-18,CH,8591361,326,41
2020-04-19,CH,8591361,336,25
2020-04-20,CH,8591361,204,36
2020-04-21,CH,8591361,119,49
2020-04-22,CH,8591361,205,31
2020-04-23,CH,8591361,228,40
2020-04-24,CH,8591361,181,40
2020-04-25,CH,8591361,217,10
2020-04-26,CH,8591361,167,11
2020-04-27,CH,8591361,103,55
2020-04-28,CH,8591361,100,34
2020-04-29,CH,8591361,143,17
2020-04-30,CH,8591361,179,21
2020-05-01,CH,8591361,119,17
2020-05-02,CH,8591361,112,8
2020-05-03,CH,8591361,88,0
2020-05-04,CH,8591361,76,22
2020-05-05,CH,8591361,28,11
2020-05-06,CH,8591361,51,10
2020-05-07,CH,8591361,66,5
2020-05-08,CH,8591361,81,13
2020-05-09,CH,8591361,44,7
2020-05-10,CH,8591361,54,3
2020-05-11,CH,8591361,39,12
2020-05-12,CH,8591361,36,22
2020-05-13,CH,8591361,33,3
2020-05-14,CH,8591361,50,2
2020-05-15,CH,8591361,51,6
2020-05-16,CH,8591361,58,1
2020-05-17,CH,8591361,15,2
2020-05-18,CH,8591361,10,5
2020-05-19,CH,8591361,21,5
2020-05-20,CH,8591361,40,1
2020-05-21,CH,8591361,36,6
2020-05-22,CH,8591361,13,5
2020-05-23,CH,8591361,18,2
2020-05-24,CH,8591361,11,1
2020-05-25,CH,8591361,10,7
2020-05-26,CH,8591361,15,2
2020-05-27,CH,8591361,15,2
2020-05-28,CH,8591361,20,2
2020-05-29,CH,8591361,32,0
2020-05-30,CH,8591361,17,0
2020-05-31,CH,8591361,17,1
2020-06-01,CH,8591361,9,0
2020-06-02,CH,8591361,3,0
2020-06-03,CH,8591361,19,1
2020-06-04,CH,8591361,20,0
2020-06-05,CH,8591361,23,0
2020-06-06,CH,8591361,20,0
2020-06-07,CH,8591361,9,0
2020-06-08,CH,8591361,7,2
2020-06-09,CH,8591361,16,11
2020-06-10,CH,8591361,23,2
2020-06-11,CH,8591361,33,1
2020-06-12,CH,8591361,19,1
2020-06-13,CH,8591361,31,0
2020-06-14,CH,8591361,23,0
2020-06-15,CH,8591361,14,1
2020-06-16,CH,8591361,23,15
2020-06-17,CH,8591361,33,2
2020-06-18,CH,8591361,13,0
2020-06-19,CH,8591361,35,0
2020-06-20,CH,8591361,8,0
2020-06-21,CH,8591361,49,0
2020-06-22,CH,8591361,18,0
2020-06-23,CH,8591361,22,0
2020-06-24,CH,8591361,44,2
2020-06-25,CH,8591361,52,0
2020-06-26,CH,8591361,58,4
2020-06-27,CH,8591361,69,0
2020-06-28,CH,8591361,62,0
2020-06-29,CH,8591361,35,0
2020-06-30,CH,8591361,62,1
2020-07-01,CH,8591361,137,2
2020-07-02,CH,8591361,116,0
2020-07-03,CH,8591361,134,0
2020-07-04,CH,8591361,97,0
2020-07-05,CH,8591361,70,0
2020-07-06,CH,8591361,47,0
2020-07-07,CH,8591361,54,1
