date,countrycode,population,cases,deaths
2020-01-22,CI,25716554,0,0
2020-01-23,CI,25716554,0,0
2020-01-24,CI,25716554,0,0
2020-01-25,CI,25716554,0,0
2020-01-26,CI,25716554,0,0
2020-01-27,CI,25716554,0,0
2020-01-28,CI,25716554,0,0
2020-01-29,CI,25716554,0,0
2020-01-30,CI,25716554,0,0
2020-01-31,CI,25716554,0,0
2020-02-01,CI,25716554,0,0
2020-02-02,CI,25716554,0,0
2020-02-03,CI,25716554,0,0
2020-02-04,CI,25716554,0,0
2020-02-05,CI,25716554,0,0
2020-02-06,CI,25716554,0,0
2020-02-07,CI,25716554,0,0
2020-02-08,CI,25716554,0,0
2020-02-09,CI,25716554,0,0
2020-02-10,CI,25716554,0,0
2020-02-11,CI,25716554,0,0
2020-02-12,CI,25716554,0,0
2020-02-13,CI,25716554,0,0
2020-02-14,CI,25716554,0,0
2020-02-15,CI,25716554,0,0
2020-02-16,CI,25716554,0,0
2020-02-17,CI,25716554,0,0
2020-02-18,CI,25716554,0,0
2020-02-19,CI,25716554,0,0
2020-02-20,CI,25716554,0,0
2020-02-21,CI,25716554,0,0
2020-02-22,CI,25716554,0,0
2020-02-23,CI,25716554,0,0
2020-02-24,CI,25716554,0,0
2020-02-25,CI,25716554,0,0
2020-02-26,CI,25716554,0,0
2020-02-27,CI,25716554,0,0
2020-02-28,CI,25716554,0,0
2020-02-29,CI,25716554,0,0
2020-03-01,CI,25716554,0,0
2020-03-02,CI,25716554,0,0
2020-03-03,CI,25716554,0,0
2020-03-04,CI,25716554,0,0
2020-03-05,CI,25716554,0,0
2020-03-06,CI,25716554,0,0
2020-03-07,CI,25716554,0,0
2020-03-08,CI,25716554,0,0
2020-03-09,CI,25716554,0,0
2020-03-10,CI,25716554,0,0
2020-03-11,CI,25716554,1,0
2020-03-12,CI,25716554,0,0
2020-03-13,CI,25716554,0,0
2020-03-14,CI,25716554,0,0
2020-03-15,CI,25716554,0,0
2020-03-16,CI,25716554,0,0
2020-03-17,CI,25716554,4,0
2020-03-18,CI,25716554,1,0
2020-03-19,CI,25716554,3,0
2020-03-20,CI,25716554,0,0
2020-03-21,CI,25716554,5,0
2020-03-22,CI,25716554,0,0
2020-03-23,CI,25716554,11,0
2020-03-24,CI,25716554,48,0
2020-03-25,CI,25716554,7,0
2020-03-26,CI,25716554,16,0
2020-03-27,CI,25716554,5,0
2020-03-28,CI,25716554,0,0
2020-03-29,CI,25716554,64,1
2020-03-30,CI,25716554,3,0
2020-03-31,CI,25716554,11,0
2020-04-01,CI,25716554,11,0
2020-04-02,CI,25716554,4,0
2020-04-03,CI,25716554,24,0
2020-04-04,CI,25716554,27,0
2020-04-05,CI,25716554,16,2
2020-04-06,CI,25716554,62,0
2020-04-07,CI,25716554,26,0
2020-04-08,CI,25716554,35,0
2020-04-09,CI,25716554,60,0
2020-04-10,CI,25716554,0,0
2020-04-11,CI,25716554,89,1
2020-04-12,CI,25716554,41,1
2020-04-13,CI,25716554,52,1
2020-04-14,CI,25716554,12,0
2020-04-15,CI,25716554,0,0
2020-04-16,CI,25716554,16,0
2020-04-17,CI,25716554,34,0
2020-04-18,CI,25716554,113,2
2020-04-19,CI,25716554,46,1
2020-04-20,CI,25716554,0,0
2020-04-21,CI,25716554,69,4
2020-04-22,CI,25716554,36,1
2020-04-23,CI,25716554,52,0
2020-04-24,CI,25716554,73,0
2020-04-25,CI,25716554,0,0
2020-04-26,CI,25716554,73,0
2020-04-27,CI,25716554,14,0
2020-04-28,CI,25716554,19,0
2020-04-29,CI,25716554,55,0
2020-04-30,CI,25716554,37,0
2020-05-01,CI,25716554,58,1
2020-05-02,CI,25716554,29,0
2020-05-03,CI,25716554,36,2
2020-05-04,CI,25716554,34,0
2020-05-05,CI,25716554,32,1
2020-05-06,CI,25716554,52,0
2020-05-07,CI,25716554,55,2
2020-05-08,CI,25716554,31,0
2020-05-09,CI,25716554,65,1
2020-05-10,CI,25716554,33,0
2020-05-11,CI,25716554,30,0
2020-05-12,CI,25716554,127,0
2020-05-13,CI,25716554,55,3
2020-05-14,CI,25716554,59,0
2020-05-15,CI,25716554,46,0
2020-05-16,CI,25716554,44,1
2020-05-17,CI,25716554,48,2
2020-05-18,CI,25716554,10,1
2020-05-19,CI,25716554,34,0
2020-05-20,CI,25716554,78,1
2020-05-21,CI,25716554,70,0
2020-05-22,CI,25716554,40,0
2020-05-23,CI,25716554,25,1
2020-05-24,CI,25716554,10,0
2020-05-25,CI,25716554,47,0
2020-05-26,CI,25716554,54,0
2020-05-27,CI,25716554,79,1
2020-05-28,CI,25716554,85,1
2020-05-29,CI,25716554,109,0
2020-05-30,CI,25716554,49,1
2020-05-31,CI,25716554,34,0
2020-06-01,CI,25716554,118,0
2020-06-02,CI,25716554,73,0
2020-06-03,CI,25716554,86,2
2020-06-04,CI,25716554,152,0
2020-06-05,CI,25716554,169,1
2020-06-06,CI,25716554,126,0
2020-06-07,CI,25716554,182,0
2020-06-08,CI,25716554,142,2
2020-06-09,CI,25716554,114,0
2020-06-10,CI,25716554,186,3
2020-06-11,CI,25716554,223,0
2020-06-12,CI,25716554,280,4
2020-06-13,CI,25716554,164,0
2020-06-14,CI,25716554,236,0
2020-06-15,CI,25716554,355,1
2020-06-16,CI,25716554,240,0
2020-06-17,CI,25716554,384,2
2020-06-18,CI,25716554,381,1
2020-06-19,CI,25716554,430,0
2020-06-20,CI,25716554,402,3
2020-06-21,CI,25716554,216,2
2020-06-22,CI,25716554,185,2
2020-06-23,CI,25716554,227,2
2020-06-24,CI,25716554,260,0
2020-06-25,CI,25716554,170,2
2020-06-26,CI,25716554,405,4
2020-06-27,CI,25716554,205,2
2020-06-28,CI,25716554,157,0
2020-06-29,CI,25716554,113,0
2020-06-30,CI,25716554,285,2
2020-07-01,CI,25716554,203,0
2020-07-02,CI,25716554,290,0
2020-07-03,CI,25716554,252,2
2020-07-04,CI,25716554,218,2
2020-07-05,CI,25716554,310,2
2020-07-06,CI,25716554,194,1
2020-07-07,CI,25716554,228,1
2020-07-08,CI,25716554,310,2
2020-07-09,CI,25716554,246,1
2020-07-10,CI,25716554,302,2
2020-07-11,CI,25716554,391,1
2020-07-12,CI,25716554,323,2
2020-07-13,CI,25716554,106,0
2020-07-14,CI,25716554,165,3
2020-07-15,CI,25716554,366,0
2020-07-16,CI,25716554,151,0
2020-07-17,CI,25716554,142,0
2020-07-18,CI,25716554,216,4
2020-07-19,CI,25716554,207,1
2020-07-20,CI,25716554,193,0
2020-07-21,CI,25716554,219,1
2020-07-22,CI,25716554,202,0
2020-07-23,CI,25716554,268,0
2020-07-24,CI,25716554,252,1
2020-07-25,CI,25716554,241,0
2020-07-26,CI,25716554,102,2
2020-07-27,CI,25716554,59,0
2020-07-28,CI,25716554,58,2
2020-07-29,CI,25716554,100,1
2020-07-30,CI,25716554,165,1
2020-07-31,CI,25716554,69,2
2020-08-01,CI,25716554,62,0
2020-08-02,CI,25716554,73,0
2020-08-03,CI,25716554,38,0
2020-08-04,CI,25716554,73,1
2020-08-05,CI,25716554,56,0
2020-08-06,CI,25716554,98,0
2020-08-07,CI,25716554,77,1
2020-08-08,CI,25716554,96,0
2020-08-09,CI,25716554,95,1
2020-08-10,CI,25716554,83,0
2020-08-11,CI,25716554,49,0
2020-08-12,CI,25716554,0,0
2020-08-13,CI,25716554,42,2
2020-08-14,CI,25716554,46,1
2020-08-15,CI,25716554,58,0
2020-08-16,CI,25716554,33,2
2020-08-17,CI,25716554,81,0
2020-08-18,CI,25716554,43,0
2020-08-19,CI,25716554,82,1
2020-08-20,CI,25716554,17,1
2020-08-21,CI,25716554,61,0
2020-08-22,CI,25716554,64,1
2020-08-23,CI,25716554,97,0
2020-08-24,CI,25716554,35,1
2020-08-25,CI,25716554,56,0
2020-08-26,CI,25716554,41,0
2020-08-27,CI,25716554,99,1
2020-08-28,CI,25716554,95,0
2020-08-29,CI,25716554,96,0
2020-08-30,CI,25716554,55,0
2020-08-31,CI,25716554,119,2
2020-09-01,CI,25716554,36,0
2020-09-02,CI,25716554,58,0
2020-09-03,CI,25716554,47,2
2020-09-04,CI,25716554,61,0
2020-09-05,CI,25716554,203,0
2020-09-06,CI,25716554,116,0
2020-09-07,CI,25716554,113,0
2020-09-08,CI,25716554,77,0
2020-09-09,CI,25716554,37,0
2020-09-10,CI,25716554,54,0
2020-09-11,CI,25716554,47,0
2020-09-12,CI,25716554,0,0
2020-09-13,CI,25716554,97,1
2020-09-14,CI,25716554,53,0
2020-09-15,CI,25716554,34,0
2020-09-16,CI,25716554,32,0
2020-09-17,CI,25716554,26,0
2020-09-18,CI,25716554,42,0
2020-09-19,CI,25716554,69,0
2020-09-20,CI,25716554,51,0
2020-09-21,CI,25716554,7,0
2020-09-22,CI,25716554,16,0
2020-09-23,CI,25716554,87,0
2020-09-24,CI,25716554,71,0
2020-09-25,CI,25716554,55,0
2020-09-26,CI,25716554,44,0
2020-09-27,CI,25716554,29,0
2020-09-28,CI,25716554,12,0
2020-09-29,CI,25716554,28,0
2020-09-30,CI,25716554,55,0
2020-10-01,CI,25716554,31,0
2020-10-02,CI,25716554,38,0
2020-10-03,CI,25716554,56,0
2020-10-04,CI,25716554,33,0
2020-10-05,CI,25716554,3,0
2020-10-06,CI,25716554,18,0
2020-10-07,CI,25716554,32,0
2020-10-08,CI,25716554,47,0
2020-10-09,CI,25716554,54,0
2020-10-10,CI,25716554,92,0
2020-10-11,CI,25716554,26,0
2020-10-12,CI,25716554,1,0
2020-10-13,CI,25716554,28,0
2020-10-14,CI,25716554,34,0
2020-10-15,CI,25716554,40,0
2020-10-16,CI,25716554,18,1
2020-10-17,CI,25716554,26,0
2020-10-18,CI,25716554,22,0
2020-10-19,CI,25716554,1,0
2020-10-20,CI,25716554,18,0
2020-10-21,CI,25716554,21,0
2020-10-22,CI,25716554,27,0
2020-10-23,CI,25716554,15,0
2020-10-24,CI,25716554,24,0
2020-10-25,CI,25716554,41,1
2020-10-26,CI,25716554,16,0
2020-10-27,CI,25716554,2,0
2020-10-28,CI,25716554,67,2
2020-10-29,CI,25716554,73,0
2020-10-30,CI,25716554,64,0
2020-10-31,CI,25716554,24,2
2020-11-01,CI,25716554,0,0
2020-11-02,CI,25716554,37,0
2020-11-03,CI,25716554,12,0
2020-11-04,CI,25716554,13,0
2020-11-05,CI,25716554,11,0
2020-11-06,CI,25716554,12,0
2020-11-07,CI,25716554,12,0
2020-11-08,CI,25716554,19,0
2020-11-09,CI,25716554,3,0
2020-11-10,CI,25716554,12,0
2020-11-11,CI,25716554,8,1
2020-11-12,CI,25716554,27,0
2020-11-13,CI,25716554,17,0
2020-11-14,CI,25716554,46,0
2020-11-15,CI,25716554,31,1
2020-11-16,CI,25716554,12,0
2020-11-17,CI,25716554,16,1
2020-11-18,CI,25716554,41,0
2020-11-19,CI,25716554,38,0
2020-11-20,CI,25716554,16,0
2020-11-21,CI,25716554,27,0
2020-11-22,CI,25716554,12,2
2020-11-23,CI,25716554,10,0
2020-11-24,CI,25716554,8,0
2020-11-25,CI,25716554,12,0
2020-11-26,CI,25716554,31,0
2020-11-27,CI,25716554,33,0
2020-11-28,CI,25716554,29,0
2020-11-29,CI,25716554,49,0
2020-11-30,CI,25716554,21,1
2020-12-01,CI,25716554,3,0
2020-12-02,CI,25716554,27,0
2020-12-03,CI,25716554,28,0
2020-12-04,CI,25716554,23,0
2020-12-05,CI,25716554,29,0
2020-12-06,CI,25716554,44,0
2020-12-07,CI,25716554,22,0
2020-12-08,CI,25716554,6,0
2020-12-09,CI,25716554,34,1
2020-12-10,CI,25716554,43,0
2020-12-11,CI,25716554,28,0
2020-12-12,CI,25716554,21,0
