date,countrycode,population,cases,deaths
2020-03-03,CL,18952035,0,0
2020-03-04,CL,18952035,0,0
2020-03-05,CL,18952035,3,0
2020-03-06,CL,18952035,0,0
2020-03-07,CL,18952035,0,0
2020-03-08,CL,18952035,4,0
2020-03-09,CL,18952035,0,0
2020-03-10,CL,18952035,5,0
2020-03-11,CL,18952035,10,0
2020-03-12,CL,18952035,0,0
2020-03-13,CL,18952035,20,0
2020-03-14,CL,18952035,18,0
2020-03-15,CL,18952035,13,0
2020-03-16,CL,18952035,81,0
2020-03-17,CL,18952035,46,0
2020-03-18,CL,18952035,37,0
2020-03-19,CL,18952035,0,0
2020-03-20,CL,18952035,196,0
2020-03-21,CL,18952035,103,0
2020-03-22,CL,18952035,95,1
2020-03-23,CL,18952035,114,1
2020-03-24,CL,18952035,176,0
2020-03-25,CL,18952035,220,1
2020-03-26,CL,18952035,164,1
2020-03-27,CL,18952035,304,1
2020-03-28,CL,18952035,299,1
2020-03-29,CL,18952035,230,1
2020-03-30,CL,18952035,310,1
2020-03-31,CL,18952035,289,4
2020-04-01,CL,18952035,293,4
2020-04-02,CL,18952035,373,2
2020-04-03,CL,18952035,333,4
2020-04-04,CL,18952035,424,5
2020-04-05,CL,18952035,310,7
2020-04-06,CL,18952035,344,3
2020-04-07,CL,18952035,301,6
2020-04-08,CL,18952035,430,5
2020-04-09,CL,18952035,426,9
2020-04-10,CL,18952035,529,8
2020-04-11,CL,18952035,426,8
2020-04-12,CL,18952035,286,7
2020-04-13,CL,18952035,312,2
2020-04-14,CL,18952035,392,10
2020-04-15,CL,18952035,356,2
2020-04-16,CL,18952035,534,11
2020-04-17,CL,18952035,445,11
2020-04-18,CL,18952035,478,10
2020-04-19,CL,18952035,358,7
2020-04-20,CL,18952035,419,6
2020-04-21,CL,18952035,325,8
2020-04-22,CL,18952035,464,13
2020-04-23,CL,18952035,516,8
2020-04-24,CL,18952035,494,6
2020-04-25,CL,18952035,552,7
2020-04-26,CL,18952035,473,8
2020-04-27,CL,18952035,482,9
2020-04-28,CL,18952035,552,9
2020-04-29,CL,18952035,520,9
2020-04-30,CL,18952035,1138,11
2020-05-01,CL,18952035,985,7
2020-05-02,CL,18952035,1427,13
2020-05-03,CL,18952035,1228,13
2020-05-04,CL,18952035,980,10
2020-05-05,CL,18952035,1373,5
2020-05-06,CL,18952035,1032,6
2020-05-07,CL,18952035,1533,4
2020-05-08,CL,18952035,1391,9
2020-05-09,CL,18952035,1247,10
2020-05-10,CL,18952035,1647,8
2020-05-11,CL,18952035,1197,11
2020-05-12,CL,18952035,1658,12
2020-05-13,CL,18952035,2660,11
2020-05-14,CL,18952035,2659,22
2020-05-15,CL,18952035,2502,26
2020-05-16,CL,18952035,1886,27
2020-05-17,CL,18952035,2353,29
2020-05-18,CL,18952035,2278,28
2020-05-19,CL,18952035,3520,31
2020-05-20,CL,18952035,4038,35
2020-05-21,CL,18952035,3964,45
2020-05-22,CL,18952035,4276,41
2020-05-23,CL,18952035,3536,43
2020-05-24,CL,18952035,3709,45
2020-05-25,CL,18952035,4895,43
2020-05-26,CL,18952035,3964,45
2020-05-27,CL,18952035,4328,35
2020-05-28,CL,18952035,4654,49
2020-05-29,CL,18952035,3695,54
2020-05-30,CL,18952035,4220,53
2020-05-31,CL,18952035,4830,57
2020-06-01,CL,18952035,5470,59
2020-06-02,CL,18952035,3528,75
2020-06-03,CL,18952035,4942,87
2020-06-04,CL,18952035,4664,81
2020-06-05,CL,18952035,4207,92
2020-06-06,CL,18952035,5246,93
2020-06-07,CL,18952035,6405,96
2020-06-08,CL,18952035,4696,627
2020-06-09,CL,18952035,3913,19
2020-06-10,CL,18952035,5697,192
2020-06-11,CL,18952035,5636,173
2020-06-12,CL,18952035,6754,222
2020-06-13,CL,18952035,6509,231
2020-06-14,CL,18952035,6938,222
2020-06-15,CL,18952035,5143,39
2020-06-16,CL,18952035,5013,21
2020-06-17,CL,18952035,36179,232
2020-06-18,CL,18952035,4475,226
2020-06-19,CL,18952035,6290,252
2020-06-20,CL,18952035,5355,202
2020-06-21,CL,18952035,5607,184
2020-06-22,CL,18952035,4608,23
2020-06-23,CL,18952035,3804,3
2020-06-24,CL,18952035,3649,226
2020-06-25,CL,18952035,4648,172
2020-06-26,CL,18952035,4296,165
2020-06-27,CL,18952035,4406,279
2020-06-28,CL,18952035,4216,162
2020-06-29,CL,18952035,4017,66
