date,countrycode,population,cases,deaths
2020-03-06,CO,50339443,0,0
2020-03-07,CO,50339443,0,0
2020-03-08,CO,50339443,0,0
2020-03-09,CO,50339443,0,0
2020-03-10,CO,50339443,2,0
2020-03-11,CO,50339443,6,0
2020-03-12,CO,50339443,0,0
2020-03-13,CO,50339443,4,0
2020-03-14,CO,50339443,9,0
2020-03-15,CO,50339443,12,0
2020-03-16,CO,50339443,20,0
2020-03-17,CO,50339443,11,0
2020-03-18,CO,50339443,28,0
2020-03-19,CO,50339443,9,0
2020-03-20,CO,50339443,26,0
2020-03-21,CO,50339443,68,0
2020-03-22,CO,50339443,35,2
2020-03-23,CO,50339443,46,1
2020-03-24,CO,50339443,101,0
2020-03-25,CO,50339443,92,1
2020-03-26,CO,50339443,21,2
2020-03-27,CO,50339443,48,0
2020-03-28,CO,50339443,69,0
2020-03-29,CO,50339443,94,4
2020-03-30,CO,50339443,96,2
2020-03-31,CO,50339443,108,4
2020-04-01,CO,50339443,159,1
2020-04-02,CO,50339443,96,2
2020-04-03,CO,50339443,106,6
2020-04-04,CO,50339443,139,7
2020-04-05,CO,50339443,79,3
2020-04-06,CO,50339443,94,11
2020-04-07,CO,50339443,201,4
2020-04-08,CO,50339443,274,4
2020-04-09,CO,50339443,169,15
2020-04-10,CO,50339443,250,11
2020-04-11,CO,50339443,236,20
2020-04-12,CO,50339443,67,9
2020-04-13,CO,50339443,76,3
2020-04-14,CO,50339443,127,15
2020-04-15,CO,50339443,126,4
2020-04-16,CO,50339443,128,13
2020-04-17,CO,50339443,206,9
2020-04-18,CO,50339443,0,0
2020-04-19,CO,50339443,353,26
2020-04-20,CO,50339443,185,10
2020-04-21,CO,50339443,172,7
2020-04-22,CO,50339443,207,10
2020-04-23,CO,50339443,205,9
2020-04-24,CO,50339443,320,10
2020-04-25,CO,50339443,261,8
2020-04-26,CO,50339443,237,11
2020-04-27,CO,50339443,218,9
2020-04-28,CO,50339443,352,16
2020-04-29,CO,50339443,258,9
2020-04-30,CO,50339443,300,15
2020-05-01,CO,50339443,499,21
2020-05-02,CO,50339443,279,10
2020-05-03,CO,50339443,383,16
2020-05-04,CO,50339443,305,18
2020-05-05,CO,50339443,640,20
2020-05-06,CO,50339443,346,19
2020-05-07,CO,50339443,497,10
2020-05-08,CO,50339443,595,21
2020-05-09,CO,50339443,444,17
2020-05-10,CO,50339443,568,18
2020-05-11,CO,50339443,550,16
2020-05-12,CO,50339443,659,14
2020-05-13,CO,50339443,658,16
2020-05-14,CO,50339443,680,16
2020-05-15,CO,50339443,606,21
