date,countrycode,population,cases,deaths
2020-03-06,CR,5047561,0,0
2020-03-07,CR,5047561,0,0
2020-03-08,CR,5047561,4,0
2020-03-09,CR,5047561,4,0
2020-03-10,CR,5047561,0,0
2020-03-11,CR,5047561,4,0
2020-03-12,CR,5047561,9,0
2020-03-13,CR,5047561,1,0
2020-03-14,CR,5047561,3,0
2020-03-15,CR,5047561,1,0
2020-03-16,CR,5047561,8,0
2020-03-17,CR,5047561,6,0
2020-03-18,CR,5047561,9,0
2020-03-19,CR,5047561,19,1
2020-03-20,CR,5047561,20,0
2020-03-21,CR,5047561,28,1
2020-03-22,CR,5047561,17,0
2020-03-23,CR,5047561,24,0
2020-03-24,CR,5047561,19,0
2020-03-25,CR,5047561,24,0
2020-03-26,CR,5047561,30,0
2020-03-27,CR,5047561,32,0
2020-03-28,CR,5047561,32,0
2020-03-29,CR,5047561,19,0
2020-03-30,CR,5047561,16,0
2020-03-31,CR,5047561,17,0
2020-04-01,CR,5047561,28,0
2020-04-02,CR,5047561,21,0
2020-04-03,CR,5047561,20,0
2020-04-04,CR,5047561,19,0
2020-04-05,CR,5047561,19,0
2020-04-06,CR,5047561,13,0
2020-04-07,CR,5047561,16,0
2020-04-08,CR,5047561,19,1
2020-04-09,CR,5047561,37,0
2020-04-10,CR,5047561,19,0
2020-04-11,CR,5047561,19,0
2020-04-12,CR,5047561,18,0
2020-04-13,CR,5047561,17,0
2020-04-14,CR,5047561,6,0
2020-04-15,CR,5047561,8,1
2020-04-16,CR,5047561,16,0
2020-04-17,CR,5047561,7,0
2020-04-18,CR,5047561,6,0
2020-04-19,CR,5047561,5,1
2020-04-20,CR,5047561,2,1
2020-04-21,CR,5047561,7,0
2020-04-22,CR,5047561,12,0
2020-04-23,CR,5047561,5,0
2020-04-24,CR,5047561,1,0
2020-04-25,CR,5047561,6,0
2020-04-26,CR,5047561,2,0
2020-04-27,CR,5047561,2,0
2020-04-28,CR,5047561,8,0
2020-04-29,CR,5047561,8,0
2020-04-30,CR,5047561,6,0
2020-05-01,CR,5047561,6,0
2020-05-02,CR,5047561,8,0
2020-05-03,CR,5047561,6,0
2020-05-04,CR,5047561,3,0
2020-05-05,CR,5047561,13,0
2020-05-06,CR,5047561,6,0
2020-05-07,CR,5047561,4,0
2020-05-08,CR,5047561,8,0
2020-05-09,CR,5047561,7,0
2020-05-10,CR,5047561,12,1
2020-05-11,CR,5047561,9,0
2020-05-12,CR,5047561,3,0
2020-05-13,CR,5047561,11,1
2020-05-14,CR,5047561,15,0
2020-05-15,CR,5047561,13,1
2020-05-16,CR,5047561,10,1
2020-05-17,CR,5047561,10,0
2020-05-18,CR,5047561,3,0
2020-05-19,CR,5047561,16,0
2020-05-20,CR,5047561,15,0
2020-05-21,CR,5047561,6,0
2020-05-22,CR,5047561,8,0
2020-05-23,CR,5047561,7,0
2020-05-24,CR,5047561,12,0
2020-05-25,CR,5047561,21,0
2020-05-26,CR,5047561,5,0
2020-05-27,CR,5047561,28,0
2020-05-28,CR,5047561,16,0
2020-05-29,CR,5047561,22,0
2020-05-30,CR,5047561,25,0
2020-05-31,CR,5047561,9,0
2020-06-01,CR,5047561,28,0
2020-06-02,CR,5047561,21,0
2020-06-03,CR,5047561,52,0
2020-06-04,CR,5047561,37,0
2020-06-05,CR,5047561,34,0
2020-06-06,CR,5047561,35,0
2020-06-07,CR,5047561,55,0
2020-06-08,CR,5047561,24,1
2020-06-09,CR,5047561,33,0
2020-06-10,CR,5047561,86,1
2020-06-11,CR,5047561,77,0
2020-06-12,CR,5047561,74,0
2020-06-13,CR,5047561,50,0
2020-06-14,CR,5047561,53,0
2020-06-15,CR,5047561,29,0
2020-06-16,CR,5047561,52,0
2020-06-17,CR,5047561,75,0
2020-06-18,CR,5047561,68,0
2020-06-19,CR,5047561,119,0
2020-06-20,CR,5047561,69,0
2020-06-21,CR,5047561,86,0
2020-06-22,CR,5047561,64,0
2020-06-23,CR,5047561,91,0
2020-06-24,CR,5047561,147,0
2020-06-25,CR,5047561,169,0
2020-06-26,CR,5047561,152,0
2020-06-27,CR,5047561,143,2
2020-06-28,CR,5047561,151,1
2020-06-29,CR,5047561,139,0
2020-06-30,CR,5047561,190,1
2020-07-01,CR,5047561,294,1
2020-07-02,CR,5047561,270,1
2020-07-03,CR,5047561,288,0
2020-07-04,CR,5047561,310,0
2020-07-05,CR,5047561,375,1
2020-07-06,CR,5047561,245,4
2020-07-07,CR,5047561,245,0
2020-07-08,CR,5047561,350,2
2020-07-09,CR,5047561,649,0
2020-07-10,CR,5047561,360,1
2020-07-11,CR,5047561,386,2
2020-07-12,CR,5047561,365,2
2020-07-13,CR,5047561,440,4
2020-07-14,CR,5047561,446,3
2020-07-15,CR,5047561,504,3
2020-07-16,CR,5047561,560,2
2020-07-17,CR,5047561,423,5
2020-07-18,CR,5047561,582,7
2020-07-19,CR,5047561,563,8
2020-07-20,CR,5047561,420,4
2020-07-21,CR,5047561,277,2
2020-07-22,CR,5047561,550,3
2020-07-23,CR,5047561,768,9
2020-07-24,CR,5047561,540,7
2020-07-25,CR,5047561,931,11
2020-07-26,CR,5047561,629,6
2020-07-27,CR,5047561,612,11
2020-07-28,CR,5047561,503,10
2020-07-29,CR,5047561,456,8
2020-07-30,CR,5047561,490,7
2020-07-31,CR,5047561,530,10
2020-08-01,CR,5047561,367,4
2020-08-02,CR,5047561,788,8
2020-08-03,CR,5047561,427,9
2020-08-04,CR,5047561,435,10
2020-08-05,CR,5047561,580,10
2020-08-06,CR,5047561,653,9
2020-08-07,CR,5047561,1011,18
2020-08-08,CR,5047561,721,10
2020-08-09,CR,5047561,484,7
2020-08-10,CR,5047561,586,9
2020-08-11,CR,5047561,636,11
2020-08-12,CR,5047561,549,8
2020-08-13,CR,5047561,1072,9
2020-08-14,CR,5047561,802,9
2020-08-15,CR,5047561,806,10
2020-08-16,CR,5047561,728,3
2020-08-17,CR,5047561,619,10
2020-08-18,CR,5047561,559,10
2020-08-19,CR,5047561,766,7
2020-08-20,CR,5047561,666,12
2020-08-21,CR,5047561,1059,7
2020-08-22,CR,5047561,950,8
2020-08-23,CR,5047561,736,7
2020-08-24,CR,5047561,643,7
2020-08-25,CR,5047561,842,14
2020-08-26,CR,5047561,1002,10
2020-08-27,CR,5047561,985,11
2020-08-28,CR,5047561,1193,10
2020-08-29,CR,5047561,1214,11
2020-08-30,CR,5047561,0,0
2020-08-31,CR,5047561,1588,18
2020-09-01,CR,5047561,897,7
2020-09-02,CR,5047561,1121,10
2020-09-03,CR,5047561,1153,7
2020-09-04,CR,5047561,1222,9
2020-09-05,CR,5047561,1240,9
2020-09-06,CR,5047561,0,0
2020-09-07,CR,5047561,1860,32
2020-09-08,CR,5047561,1117,21
2020-09-09,CR,5047561,1327,12
2020-09-10,CR,5047561,1325,24
2020-09-11,CR,5047561,1420,16
2020-09-12,CR,5047561,1485,7
2020-09-13,CR,5047561,0,0
2020-09-14,CR,5047561,1907,31
2020-09-15,CR,5047561,776,12
2020-09-16,CR,5047561,1379,16
2020-09-17,CR,5047561,1302,17
2020-09-18,CR,5047561,1556,20
2020-09-19,CR,5047561,1338,20
2020-09-20,CR,5047561,0,0
2020-09-21,CR,5047561,1890,39
2020-09-22,CR,5047561,1087,15
2020-09-23,CR,5047561,1370,21
2020-09-24,CR,5047561,1400,14
2020-09-25,CR,5047561,1357,17
2020-09-26,CR,5047561,1233,16
2020-09-27,CR,5047561,0,0
2020-09-28,CR,5047561,1665,33
2020-09-29,CR,5047561,890,19
2020-09-30,CR,5047561,1156,24
2020-10-01,CR,5047561,1068,13
2020-10-02,CR,5047561,1001,13
2020-10-03,CR,5047561,1353,20
2020-10-04,CR,5047561,0,0
2020-10-05,CR,5047561,1947,37
2020-10-06,CR,5047561,1013,17
2020-10-07,CR,5047561,1355,20
2020-10-08,CR,5047561,1331,16
2020-10-09,CR,5047561,1225,15
2020-10-10,CR,5047561,1386,21
2020-10-11,CR,5047561,0,0
2020-10-12,CR,5047561,1784,32
2020-10-13,CR,5047561,1015,16
2020-10-14,CR,5047561,1542,10
2020-10-15,CR,5047561,1372,25
2020-10-16,CR,5047561,1196,9
2020-10-17,CR,5047561,1166,15
2020-10-18,CR,5047561,0,0
2020-10-19,CR,5047561,1561,21
2020-10-20,CR,5047561,847,18
2020-10-21,CR,5047561,1503,14
2020-10-22,CR,5047561,1191,15
2020-10-23,CR,5047561,1210,14
2020-10-24,CR,5047561,1262,17
2020-10-25,CR,5047561,0,0
2020-10-26,CR,5047561,1372,30
2020-10-27,CR,5047561,862,17
2020-10-28,CR,5047561,1231,11
2020-10-29,CR,5047561,1017,17
2020-10-30,CR,5047561,1296,14
2020-10-31,CR,5047561,1105,14
2020-11-01,CR,5047561,0,0
2020-11-02,CR,5047561,1286,19
2020-11-03,CR,5047561,863,15
2020-11-04,CR,5047561,1141,12
2020-11-05,CR,5047561,1106,13
2020-11-06,CR,5047561,1050,9
2020-11-07,CR,5047561,946,11
2020-11-08,CR,5047561,0,0
2020-11-09,CR,5047561,1224,27
2020-11-10,CR,5047561,979,11
2020-11-11,CR,5047561,1202,11
2020-11-12,CR,5047561,1171,14
2020-11-13,CR,5047561,1184,10
2020-11-14,CR,5047561,1100,9
2020-11-15,CR,5047561,0,0
2020-11-16,CR,5047561,1369,20
2020-11-17,CR,5047561,998,12
2020-11-18,CR,5047561,1422,10
2020-11-19,CR,5047561,1219,11
2020-11-20,CR,5047561,1187,9
2020-11-21,CR,5047561,0,0
2020-11-22,CR,5047561,0,0
2020-11-23,CR,5047561,2877,33
2020-11-24,CR,5047561,895,21
2020-11-25,CR,5047561,1330,12
2020-11-26,CR,5047561,1222,5
2020-11-27,CR,5047561,1351,11
2020-11-28,CR,5047561,0,0
2020-11-29,CR,5047561,0,0
2020-11-30,CR,5047561,2545,36
2020-12-01,CR,5047561,534,5
2020-12-02,CR,5047561,1168,8
2020-12-03,CR,5047561,1165,18
2020-12-04,CR,5047561,1180,16
2020-12-05,CR,5047561,0,0
2020-12-06,CR,5047561,0,0
2020-12-07,CR,5047561,2736,52
2020-12-08,CR,5047561,1009,21
2020-12-09,CR,5047561,1258,18
2020-12-10,CR,5047561,1127,18
2020-12-11,CR,5047561,1132,13
2020-12-12,CR,5047561,0,0
2020-12-13,CR,5047561,0,0
2020-12-14,CR,5047561,2222,41
2020-12-15,CR,5047561,927,20
2020-12-16,CR,5047561,1167,11
2020-12-17,CR,5047561,1125,13
2020-12-18,CR,5047561,1084,16
2020-12-19,CR,5047561,0,0
2020-12-20,CR,5047561,0,0
2020-12-21,CR,5047561,2421,41
2020-12-22,CR,5047561,911,14
2020-12-23,CR,5047561,1138,14
2020-12-24,CR,5047561,1048,21
2020-12-25,CR,5047561,0,0
2020-12-26,CR,5047561,0,0
2020-12-27,CR,5047561,0,0
2020-12-28,CR,5047561,2772,58
2020-12-29,CR,5047561,1037,12
2020-12-30,CR,5047561,1315,15
2020-12-31,CR,5047561,1207,14
2021-01-01,CR,5047561,0,0
2021-01-02,CR,5047561,0,0
2021-01-03,CR,5047561,0,0
2021-01-04,CR,5047561,3115,44
2021-01-05,CR,5047561,1155,19
2021-01-06,CR,5047561,1447,19
2021-01-07,CR,5047561,1369,19
2021-01-08,CR,5047561,1207,19
2021-01-09,CR,5047561,0,0
2021-01-10,CR,5047561,0,0
2021-01-11,CR,5047561,2447,48
2021-01-12,CR,5047561,1032,14
2021-01-13,CR,5047561,1063,17
2021-01-14,CR,5047561,1086,17
2021-01-15,CR,5047561,945,15
2021-01-16,CR,5047561,0,0
2021-01-17,CR,5047561,0,0
2021-01-18,CR,5047561,1829,42
2021-01-19,CR,5047561,861,19
2021-01-20,CR,5047561,835,15
2021-01-21,CR,5047561,765,14
2021-01-22,CR,5047561,831,12
2021-01-23,CR,5047561,0,0
2021-01-24,CR,5047561,0,0
2021-01-25,CR,5047561,1437,40
2021-01-26,CR,5047561,600,9
2021-01-27,CR,5047561,721,17
2021-01-28,CR,5047561,571,15
2021-01-29,CR,5047561,639,5
2021-01-30,CR,5047561,0,0
2021-01-31,CR,5047561,0,0
2021-02-01,CR,5047561,1293,30
2021-02-02,CR,5047561,440,7
2021-02-03,CR,5047561,528,9
2021-02-04,CR,5047561,455,12
2021-02-05,CR,5047561,446,10
2021-02-06,CR,5047561,0,0
2021-02-07,CR,5047561,0,0
2021-02-08,CR,5047561,997,20
2021-02-09,CR,5047561,417,6
2021-02-10,CR,5047561,486,3
2021-02-11,CR,5047561,418,9
2021-02-12,CR,5047561,431,4
2021-02-13,CR,5047561,0,0
2021-02-14,CR,5047561,0,0
2021-02-15,CR,5047561,837,16
2021-02-16,CR,5047561,430,7
2021-02-17,CR,5047561,434,8
2021-02-18,CR,5047561,353,11
2021-02-19,CR,5047561,437,7
2021-02-20,CR,5047561,0,0
2021-02-21,CR,5047561,0,0
2021-02-22,CR,5047561,996,19
2021-02-23,CR,5047561,423,3
2021-02-24,CR,5047561,399,8
2021-02-25,CR,5047561,418,3
2021-02-26,CR,5047561,427,4
2021-02-27,CR,5047561,0,0
2021-02-28,CR,5047561,0,0
2021-03-01,CR,5047561,745,12
2021-03-02,CR,5047561,428,8
2021-03-03,CR,5047561,376,4
2021-03-04,CR,5047561,403,5
2021-03-05,CR,5047561,347,4
2021-03-06,CR,5047561,0,0
2021-03-07,CR,5047561,0,0
2021-03-08,CR,5047561,0,0
2021-03-09,CR,5047561,1192,15
2021-03-10,CR,5047561,0,0
2021-03-11,CR,5047561,0,0
2021-03-12,CR,5047561,1261,14
2021-03-13,CR,5047561,0,0
2021-03-14,CR,5047561,0,0
2021-03-15,CR,5047561,0,0
2021-03-16,CR,5047561,1354,24
2021-03-17,CR,5047561,0,0
2021-03-18,CR,5047561,0,0
2021-03-19,CR,5047561,1456,10
2021-03-20,CR,5047561,0,0
2021-03-21,CR,5047561,0,0
2021-03-22,CR,5047561,0,0
2021-03-23,CR,5047561,1535,12
2021-03-24,CR,5047561,0,0
2021-03-25,CR,5047561,0,0
2021-03-26,CR,5047561,1740,23
2021-03-27,CR,5047561,0,0
2021-03-28,CR,5047561,0,0
2021-03-29,CR,5047561,0,0
2021-03-30,CR,5047561,1586,26
2021-03-31,CR,5047561,0,0
2021-04-01,CR,5047561,0,0
2021-04-02,CR,5047561,0,0
2021-04-03,CR,5047561,0,0
2021-04-04,CR,5047561,0,0
2021-04-05,CR,5047561,0,0
2021-04-06,CR,5047561,3082,43
2021-04-07,CR,5047561,0,0
2021-04-08,CR,5047561,0,0
2021-04-09,CR,5047561,2698,18
2021-04-10,CR,5047561,0,0
2021-04-11,CR,5047561,0,0
2021-04-12,CR,5047561,0,0
2021-04-13,CR,5047561,2799,26
2021-04-14,CR,5047561,0,0
2021-04-15,CR,5047561,2190,21
2021-04-16,CR,5047561,1044,6
2021-04-17,CR,5047561,0,0
2021-04-18,CR,5047561,0,0
2021-04-19,CR,5047561,2260,28
2021-04-20,CR,5047561,1130,5
2021-04-21,CR,5047561,1531,11
2021-04-22,CR,5047561,1776,10
2021-04-23,CR,5047561,1656,11
2021-04-24,CR,5047561,1830,7
2021-04-25,CR,5047561,0,0
2021-04-26,CR,5047561,2480,25
2021-04-27,CR,5047561,1927,18
2021-04-28,CR,5047561,2434,16
2021-04-29,CR,5047561,2781,15
2021-04-30,CR,5047561,2609,14
2021-05-01,CR,5047561,0,0
2021-05-02,CR,5047561,0,0
2021-05-03,CR,5047561,5685,59
2021-05-04,CR,5047561,1304,20
2021-05-05,CR,5047561,2555,16
2021-05-06,CR,5047561,2559,15
2021-05-07,CR,5047561,2392,24
2021-05-08,CR,5047561,0,0
2021-05-09,CR,5047561,0,0
2021-05-10,CR,5047561,5992,65
2021-05-11,CR,5047561,2236,26
2021-05-12,CR,5047561,3173,26
2021-05-13,CR,5047561,3039,32
2021-05-14,CR,5047561,2815,33
2021-05-15,CR,5047561,0,0
2021-05-16,CR,5047561,0,0
2021-05-17,CR,5047561,5885,78
2021-05-18,CR,5047561,2294,48
2021-05-19,CR,5047561,2900,23
2021-05-20,CR,5047561,2812,40
2021-05-21,CR,5047561,2587,29
2021-05-22,CR,5047561,0,0
2021-05-23,CR,5047561,0,0
2021-05-24,CR,5047561,5310,84
2021-05-25,CR,5047561,2370,28
2021-05-26,CR,5047561,2587,31
2021-05-27,CR,5047561,2436,21
2021-05-28,CR,5047561,2180,33
2021-05-29,CR,5047561,0,0
2021-05-30,CR,5047561,0,0
2021-05-31,CR,5047561,4884,79
2021-06-01,CR,5047561,2293,33
2021-06-02,CR,5047561,2319,24
2021-06-03,CR,5047561,2181,26
2021-06-04,CR,5047561,2200,29
2021-06-05,CR,5047561,0,0
2021-06-06,CR,5047561,0,0
2021-06-07,CR,5047561,3941,75
2021-06-08,CR,5047561,1900,23
2021-06-09,CR,5047561,2187,27
2021-06-10,CR,5047561,2041,20
2021-06-11,CR,5047561,1852,24
