date,countrycode,population,cases,deaths
2020-03-12,CU,11193470,0,0
2020-03-13,CU,11193470,1,0
2020-03-14,CU,11193470,0,0
2020-03-15,CU,11193470,0,0
2020-03-16,CU,11193470,0,0
2020-03-17,CU,11193470,1,0
2020-03-18,CU,11193470,2,1
2020-03-19,CU,11193470,4,0
2020-03-20,CU,11193470,5,0
2020-03-21,CU,11193470,5,0
2020-03-22,CU,11193470,14,0
2020-03-23,CU,11193470,5,0
2020-03-24,CU,11193470,8,0
2020-03-25,CU,11193470,9,0
2020-03-26,CU,11193470,10,1
2020-03-27,CU,11193470,13,0
2020-03-28,CU,11193470,39,1
2020-03-29,CU,11193470,20,0
2020-03-30,CU,11193470,31,1
2020-03-31,CU,11193470,16,2
2020-04-01,CU,11193470,26,0
2020-04-02,CU,11193470,21,0
2020-04-03,CU,11193470,36,0
2020-04-04,CU,11193470,19,0
2020-04-05,CU,11193470,32,2
2020-04-06,CU,11193470,30,1
2020-04-07,CU,11193470,46,2
2020-04-08,CU,11193470,61,1
2020-04-09,CU,11193470,58,3
2020-04-10,CU,11193470,49,0
2020-04-11,CU,11193470,56,1
2020-04-12,CU,11193470,49,2
2020-04-13,CU,11193470,57,3
2020-04-14,CU,11193470,40,0
2020-04-15,CU,11193470,48,3
2020-04-16,CU,11193470,48,3
2020-04-17,CU,11193470,61,4
2020-04-18,CU,11193470,63,1
2020-04-19,CU,11193470,49,2
2020-04-20,CU,11193470,52,2
2020-04-21,CU,11193470,50,2
2020-04-22,CU,11193470,52,2
2020-04-23,CU,11193470,46,3
2020-04-24,CU,11193470,50,6
2020-04-25,CU,11193470,52,2
2020-04-26,CU,11193470,32,3
2020-04-27,CU,11193470,20,2
2020-04-28,CU,11193470,48,2
2020-04-29,CU,11193470,30,0
2020-04-30,CU,11193470,34,3
2020-05-01,CU,11193470,36,3
2020-05-02,CU,11193470,74,2
2020-05-03,CU,11193470,38,1
2020-05-04,CU,11193470,19,2
2020-05-05,CU,11193470,17,0
2020-05-06,CU,11193470,18,0
2020-05-07,CU,11193470,26,4
2020-05-08,CU,11193470,12,1
2020-05-09,CU,11193470,13,0
2020-05-10,CU,11193470,12,3
2020-05-11,CU,11193470,17,0
2020-05-12,CU,11193470,21,1
2020-05-13,CU,11193470,6,1
2020-05-14,CU,11193470,20,0
2020-05-15,CU,11193470,10,0
2020-05-16,CU,11193470,22,0
2020-05-17,CU,11193470,10,0
2020-05-18,CU,11193470,9,0
2020-05-19,CU,11193470,6,0
2020-05-20,CU,11193470,13,0
2020-05-21,CU,11193470,8,1
2020-05-22,CU,11193470,8,1
2020-05-23,CU,11193470,15,0
2020-05-24,CU,11193470,10,1
2020-05-25,CU,11193470,6,0
2020-05-26,CU,11193470,16,0
2020-05-27,CU,11193470,11,0
2020-05-28,CU,11193470,9,0
2020-05-29,CU,11193470,22,0
2020-05-30,CU,11193470,20,1
2020-05-31,CU,11193470,20,0
2020-06-01,CU,11193470,38,0
2020-06-02,CU,11193470,9,0
2020-06-03,CU,11193470,15,0
2020-06-04,CU,11193470,12,0
2020-06-05,CU,11193470,14,0
2020-06-06,CU,11193470,40,0
2020-06-07,CU,11193470,18,0
2020-06-08,CU,11193470,9,0
2020-06-09,CU,11193470,5,0
2020-06-10,CU,11193470,6,0
2020-06-11,CU,11193470,8,1
2020-06-12,CU,11193470,14,0
2020-06-13,CU,11193470,5,0
2020-06-14,CU,11193470,10,0
2020-06-15,CU,11193470,14,0
2020-06-16,CU,11193470,11,0
2020-06-17,CU,11193470,7,0
2020-06-18,CU,11193470,15,1
2020-06-19,CU,11193470,10,0
2020-06-20,CU,11193470,4,0
2020-06-21,CU,11193470,3,0
2020-06-22,CU,11193470,3,0
2020-06-23,CU,11193470,3,0
2020-06-24,CU,11193470,1,0
2020-06-25,CU,11193470,2,0
2020-06-26,CU,11193470,4,0
2020-06-27,CU,11193470,5,1
2020-06-28,CU,11193470,2,0
2020-06-29,CU,11193470,8,0
2020-06-30,CU,11193470,1,0
2020-07-01,CU,11193470,7,0
2020-07-02,CU,11193470,5,0
2020-07-03,CU,11193470,8,0
2020-07-04,CU,11193470,8,0
2020-07-05,CU,11193470,3,0
2020-07-06,CU,11193470,8,0
2020-07-07,CU,11193470,15,0
2020-07-08,CU,11193470,4,0
2020-07-09,CU,11193470,4,0
2020-07-10,CU,11193470,10,0
2020-07-11,CU,11193470,7,1
2020-07-12,CU,11193470,6,0
2020-07-13,CU,11193470,2,0
2020-07-14,CU,11193470,4,0
2020-07-15,CU,11193470,6,0
2020-07-16,CU,11193470,2,0
2020-07-17,CU,11193470,4,0
2020-07-18,CU,11193470,1,0
2020-07-19,CU,11193470,1,0
2020-07-20,CU,11193470,0,0
2020-07-21,CU,11193470,3,0
2020-07-22,CU,11193470,13,0
2020-07-23,CU,11193470,4,0
2020-07-24,CU,11193470,3,0
2020-07-25,CU,11193470,9,0
2020-07-26,CU,11193470,17,0
2020-07-27,CU,11193470,37,0
2020-07-28,CU,11193470,23,0
2020-07-29,CU,11193470,33,0
2020-07-30,CU,11193470,9,0
2020-07-31,CU,11193470,11,0
2020-08-01,CU,11193470,25,0
2020-08-02,CU,11193470,13,0
2020-08-03,CU,11193470,24,0
2020-08-04,CU,11193470,31,1
2020-08-05,CU,11193470,25,0
2020-08-06,CU,11193470,49,0
2020-08-07,CU,11193470,54,0
2020-08-08,CU,11193470,59,0
2020-08-09,CU,11193470,65,0
2020-08-10,CU,11193470,93,0
2020-08-11,CU,11193470,47,0
2020-08-12,CU,11193470,35,0
2020-08-13,CU,11193470,46,1
2020-08-14,CU,11193470,55,-1
2020-08-15,CU,11193470,63,0
2020-08-16,CU,11193470,24,0
2020-08-17,CU,11193470,48,0
2020-08-18,CU,11193470,44,0
2020-08-19,CU,11193470,74,0
2020-08-20,CU,11193470,83,0
2020-08-21,CU,11193470,17,1
2020-08-22,CU,11193470,35,0
2020-08-23,CU,11193470,65,2
2020-08-24,CU,11193470,35,0
2020-08-25,CU,11193470,27,0
2020-08-26,CU,11193470,15,1
2020-08-27,CU,11193470,47,0
2020-08-28,CU,11193470,60,0
2020-08-29,CU,11193470,59,2
2020-08-30,CU,11193470,48,0
2020-08-31,CU,11193470,59,0
2020-09-01,CU,11193470,33,1
2020-09-02,CU,11193470,61,3
2020-09-03,CU,11193470,88,2
2020-09-04,CU,11193470,52,0
2020-09-05,CU,11193470,32,0
2020-09-06,CU,11193470,11,1
2020-09-07,CU,11193470,43,1
2020-09-08,CU,11193470,25,2
2020-09-09,CU,11193470,82,0
2020-09-10,CU,11193470,92,2
2020-09-11,CU,11193470,42,0
2020-09-12,CU,11193470,60,2
2020-09-13,CU,11193470,31,0
2020-09-14,CU,11193470,42,0
2020-09-15,CU,11193470,77,0
2020-09-16,CU,11193470,73,1
2020-09-17,CU,11193470,57,0
2020-09-18,CU,11193470,71,2
2020-09-19,CU,11193470,51,2
2020-09-20,CU,11193470,36,2
2020-09-21,CU,11193470,50,1
2020-09-22,CU,11193470,81,1
2020-09-23,CU,11193470,48,1
2020-09-24,CU,11193470,40,0
2020-09-25,CU,11193470,40,0
2020-09-26,CU,11193470,62,2
2020-09-27,CU,11193470,45,2
2020-09-28,CU,11193470,26,0
2020-09-29,CU,11193470,48,0
2020-09-30,CU,11193470,66,0
2020-10-01,CU,11193470,73,0
2020-10-02,CU,11193470,48,0
2020-10-03,CU,11193470,62,0
2020-10-04,CU,11193470,29,0
