date,countrycode,population,cases,deaths
2020-01-22,CZ,10649800,0,0
2020-01-23,CZ,10649800,0,0
2020-01-24,CZ,10649800,0,0
2020-01-25,CZ,10649800,0,0
2020-01-26,CZ,10649800,0,0
2020-01-27,CZ,10649800,0,0
2020-01-28,CZ,10649800,0,0
2020-01-29,CZ,10649800,0,0
2020-01-30,CZ,10649800,0,0
2020-01-31,CZ,10649800,0,0
2020-02-01,CZ,10649800,0,0
2020-02-02,CZ,10649800,0,0
2020-02-03,CZ,10649800,0,0
2020-02-04,CZ,10649800,0,0
2020-02-05,CZ,10649800,0,0
2020-02-06,CZ,10649800,0,0
2020-02-07,CZ,10649800,0,0
2020-02-08,CZ,10649800,0,0
2020-02-09,CZ,10649800,0,0
2020-02-10,CZ,10649800,0,0
2020-02-11,CZ,10649800,0,0
2020-02-12,CZ,10649800,0,0
2020-02-13,CZ,10649800,0,0
2020-02-14,CZ,10649800,0,0
2020-02-15,CZ,10649800,0,0
2020-02-16,CZ,10649800,0,0
2020-02-17,CZ,10649800,0,0
2020-02-18,CZ,10649800,0,0
2020-02-19,CZ,10649800,0,0
2020-02-20,CZ,10649800,0,0
2020-02-21,CZ,10649800,0,0
2020-02-22,CZ,10649800,0,0
2020-02-23,CZ,10649800,0,0
2020-02-24,CZ,10649800,0,0
2020-02-25,CZ,10649800,0,0
2020-02-26,CZ,10649800,0,0
2020-02-27,CZ,10649800,0,0
2020-02-28,CZ,10649800,0,0
2020-02-29,CZ,10649800,0,0
2020-03-01,CZ,10649800,3,0
2020-03-02,CZ,10649800,0,0
2020-03-03,CZ,10649800,2,0
2020-03-04,CZ,10649800,3,0
2020-03-05,CZ,10649800,4,0
2020-03-06,CZ,10649800,6,0
2020-03-07,CZ,10649800,1,0
2020-03-08,CZ,10649800,12,0
2020-03-09,CZ,10649800,0,0
2020-03-10,CZ,10649800,10,0
2020-03-11,CZ,10649800,50,0
2020-03-12,CZ,10649800,3,0
2020-03-13,CZ,10649800,47,0
2020-03-14,CZ,10649800,48,0
2020-03-15,CZ,10649800,64,0
2020-03-16,CZ,10649800,45,0
2020-03-17,CZ,10649800,98,0
2020-03-18,CZ,10649800,68,0
2020-03-19,CZ,10649800,230,0
2020-03-20,CZ,10649800,139,0
2020-03-21,CZ,10649800,162,0
2020-03-22,CZ,10649800,125,1
2020-03-23,CZ,10649800,116,0
2020-03-24,CZ,10649800,158,2
2020-03-25,CZ,10649800,260,3
2020-03-26,CZ,10649800,271,3
2020-03-27,CZ,10649800,354,0
2020-03-28,CZ,10649800,352,2
2020-03-29,CZ,10649800,186,5
2020-03-30,CZ,10649800,184,7
2020-03-31,CZ,10649800,307,8
2020-04-01,CZ,10649800,200,8
2020-04-02,CZ,10649800,350,5
2020-04-03,CZ,10649800,233,9
2020-04-04,CZ,10649800,381,6
2020-04-05,CZ,10649800,115,8
2020-04-06,CZ,10649800,235,11
2020-04-07,CZ,10649800,195,10
2020-04-08,CZ,10649800,295,11
2020-04-09,CZ,10649800,257,13
2020-04-10,CZ,10649800,163,7
2020-04-11,CZ,10649800,99,10
2020-04-12,CZ,10649800,160,9
2020-04-13,CZ,10649800,68,5
2020-04-14,CZ,10649800,52,18
2020-04-15,CZ,10649800,105,5
2020-04-16,CZ,10649800,217,3
2020-04-17,CZ,10649800,116,4
2020-04-18,CZ,10649800,57,8
2020-04-19,CZ,10649800,140,5
2020-04-20,CZ,10649800,154,8
2020-04-21,CZ,10649800,133,7
2020-04-22,CZ,10649800,99,7
2020-04-23,CZ,10649800,55,2
2020-04-24,CZ,10649800,86,4
2020-04-25,CZ,10649800,79,4
2020-04-26,CZ,10649800,52,2
2020-04-27,CZ,10649800,41,3
2020-04-28,CZ,10649800,59,4
2020-04-29,CZ,10649800,75,0
2020-04-30,CZ,10649800,103,9
2020-05-01,CZ,10649800,55,4
2020-05-02,CZ,10649800,18,5
2020-05-03,CZ,10649800,26,3
2020-05-04,CZ,10649800,38,4
2020-05-05,CZ,10649800,77,5
2020-05-06,CZ,10649800,78,5
2020-05-07,CZ,10649800,57,8
2020-05-08,CZ,10649800,46,3
2020-05-09,CZ,10649800,18,3
2020-05-10,CZ,10649800,28,4
2020-05-11,CZ,10649800,53,2
2020-05-12,CZ,10649800,45,1
2020-05-13,CZ,10649800,48,7
2020-05-14,CZ,10649800,82,3
2020-05-15,CZ,10649800,55,2
2020-05-16,CZ,10649800,49,1
2020-05-17,CZ,10649800,20,2
2020-05-18,CZ,10649800,111,-1
2020-05-19,CZ,10649800,61,5
2020-05-20,CZ,10649800,74,2
2020-05-21,CZ,10649800,33,2
