date,countrycode,population,cases,deaths
2020-02-27,DK,5806081,0,0
2020-02-28,DK,5806081,0,0
2020-02-29,DK,5806081,2,0
2020-03-01,DK,5806081,1,0
2020-03-02,DK,5806081,0,0
2020-03-03,DK,5806081,2,0
2020-03-04,DK,5806081,4,0
2020-03-05,DK,5806081,0,0
2020-03-06,DK,5806081,13,0
2020-03-07,DK,5806081,0,0
2020-03-08,DK,5806081,12,0
2020-03-09,DK,5806081,55,0
2020-03-10,DK,5806081,172,0
2020-03-11,DK,5806081,182,0
2020-03-12,DK,5806081,173,0
2020-03-13,DK,5806081,187,0
2020-03-14,DK,5806081,32,1
2020-03-15,DK,5806081,39,1
2020-03-16,DK,5806081,57,1
2020-03-17,DK,5806081,92,1
2020-03-18,DK,5806081,91,0
2020-03-19,DK,5806081,110,2
2020-03-20,DK,5806081,112,3
2020-03-21,DK,5806081,83,4
2020-03-22,DK,5806081,94,0
2020-03-23,DK,5806081,58,11
2020-03-24,DK,5806081,146,8
2020-03-25,DK,5806081,144,2
2020-03-26,DK,5806081,161,7
2020-03-27,DK,5806081,177,11
2020-03-28,DK,5806081,166,13
2020-03-29,DK,5806081,198,7
2020-03-30,DK,5806081,191,5
2020-03-31,DK,5806081,284,13
2020-04-01,DK,5806081,251,14
2020-04-02,DK,5806081,283,19
2020-04-03,DK,5806081,373,16
2020-04-04,DK,5806081,323,22
2020-04-05,DK,5806081,292,18
2020-04-06,DK,5806081,314,8
2020-04-07,DK,5806081,391,16
2020-04-08,DK,5806081,331,15
2020-04-09,DK,5806081,233,19
2020-04-10,DK,5806081,184,10
2020-04-11,DK,5806081,177,13
2020-04-12,DK,5806081,178,13
2020-04-13,DK,5806081,144,12
2020-04-14,DK,5806081,193,14
2020-04-15,DK,5806081,170,10
2020-04-16,DK,5806081,198,12
2020-04-17,DK,5806081,194,15
2020-04-18,DK,5806081,169,10
2020-04-19,DK,5806081,143,9
2020-04-20,DK,5806081,131,9
2020-04-21,DK,5806081,180,6
2020-04-22,DK,5806081,217,14
2020-04-23,DK,5806081,163,10
2020-04-24,DK,5806081,137,9
2020-04-25,DK,5806081,235,15
2020-04-26,DK,5806081,130,4
2020-04-27,DK,5806081,123,5
2020-04-28,DK,5806081,153,7
2020-04-29,DK,5806081,157,9
2020-04-30,DK,5806081,150,9
2020-05-01,DK,5806081,153,8
2020-05-02,DK,5806081,96,15
2020-05-03,DK,5806081,116,9
2020-05-04,DK,5806081,147,9
2020-05-05,DK,5806081,151,10
2020-05-06,DK,5806081,117,3
2020-05-07,DK,5806081,145,8
2020-05-08,DK,5806081,135,8
2020-05-09,DK,5806081,101,4
2020-05-10,DK,5806081,110,3
2020-05-11,DK,5806081,84,4
2020-05-12,DK,5806081,78,-6
2020-05-13,DK,5806081,76,6
2020-05-14,DK,5806081,46,4
2020-05-15,DK,5806081,78,0
2020-05-16,DK,5806081,67,6
2020-05-17,DK,5806081,69,4
2020-05-18,DK,5806081,41,1
2020-05-19,DK,5806081,76,3
2020-05-20,DK,5806081,73,3
2020-05-21,DK,5806081,65,7
2020-05-22,DK,5806081,48,0
2020-05-23,DK,5806081,59,0
2020-05-24,DK,5806081,72,1
2020-05-25,DK,5806081,27,1
2020-05-26,DK,5806081,41,0
2020-05-27,DK,5806081,53,2
2020-05-28,DK,5806081,32,3
2020-05-29,DK,5806081,81,0
2020-05-30,DK,5806081,40,3
2020-05-31,DK,5806081,36,3
2020-06-01,DK,5806081,30,2
2020-06-02,DK,5806081,35,4
2020-06-03,DK,5806081,37,0
2020-06-04,DK,5806081,40,2
2020-06-05,DK,5806081,64,4
2020-06-06,DK,5806081,49,1
2020-06-07,DK,5806081,24,2
2020-06-08,DK,5806081,14,4
2020-06-09,DK,5806081,39,0
2020-06-10,DK,5806081,15,0
2020-06-11,DK,5806081,19,0
2020-06-12,DK,5806081,64,1
2020-06-13,DK,5806081,40,3
2020-06-14,DK,5806081,54,0
2020-06-15,DK,5806081,24,1
2020-06-16,DK,5806081,33,0
2020-06-17,DK,5806081,44,0
2020-06-18,DK,5806081,50,2
2020-06-19,DK,5806081,47,0
2020-06-20,DK,5806081,0,0
2020-06-21,DK,5806081,0,0
2020-06-22,DK,5806081,136,2
