date,countrycode,population,cases,deaths
2020-03-01,DO,10738957,0,0
2020-03-02,DO,10738957,0,0
2020-03-03,DO,10738957,0,0
2020-03-04,DO,10738957,0,0
2020-03-05,DO,10738957,0,0
2020-03-06,DO,10738957,1,0
2020-03-07,DO,10738957,0,0
2020-03-08,DO,10738957,3,0
2020-03-09,DO,10738957,0,0
2020-03-10,DO,10738957,0,0
2020-03-11,DO,10738957,0,0
2020-03-12,DO,10738957,0,0
2020-03-13,DO,10738957,0,0
2020-03-14,DO,10738957,6,0
2020-03-15,DO,10738957,0,0
2020-03-16,DO,10738957,0,0
2020-03-17,DO,10738957,10,1
2020-03-18,DO,10738957,0,0
2020-03-19,DO,10738957,13,1
2020-03-20,DO,10738957,38,0
2020-03-21,DO,10738957,40,0
2020-03-22,DO,10738957,90,1
2020-03-23,DO,10738957,43,0
2020-03-24,DO,10738957,67,3
2020-03-25,DO,10738957,80,4
2020-03-26,DO,10738957,96,0
2020-03-27,DO,10738957,93,10
2020-03-28,DO,10738957,138,8
2020-03-29,DO,10738957,140,11
2020-03-30,DO,10738957,42,3
2020-03-31,DO,10738957,208,9
2020-04-01,DO,10738957,175,6
2020-04-02,DO,10738957,96,3
2020-04-03,DO,10738957,108,8
2020-04-04,DO,10738957,0,0
2020-04-05,DO,10738957,257,14
2020-04-06,DO,10738957,83,4
2020-04-07,DO,10738957,128,12
2020-04-08,DO,10738957,155,10
2020-04-09,DO,10738957,238,10
2020-04-10,DO,10738957,271,8
2020-04-11,DO,10738957,139,9
2020-04-12,DO,10738957,208,38
2020-04-13,DO,10738957,200,4
2020-04-14,DO,10738957,119,6
2020-04-15,DO,10738957,328,6
2020-04-16,DO,10738957,141,7
2020-04-17,DO,10738957,371,4
2020-04-18,DO,10738957,209,17
2020-04-19,DO,10738957,345,9
2020-04-20,DO,10738957,284,9
2020-04-21,DO,10738957,80,10
2020-04-22,DO,10738957,256,15
2020-04-23,DO,10738957,243,5
2020-04-24,DO,10738957,206,2
2020-04-25,DO,10738957,177,6
