date,countrycode,population,cases,deaths
2020-02-01,ES,46937060,0,0
2020-02-02,ES,46937060,0,0
2020-02-03,ES,46937060,0,0
2020-02-04,ES,46937060,0,0
2020-02-05,ES,46937060,0,0
2020-02-06,ES,46937060,0,0
2020-02-07,ES,46937060,0,0
2020-02-08,ES,46937060,0,0
2020-02-09,ES,46937060,1,0
2020-02-10,ES,46937060,0,0
2020-02-11,ES,46937060,0,0
2020-02-12,ES,46937060,0,0
2020-02-13,ES,46937060,0,0
2020-02-14,ES,46937060,0,0
2020-02-15,ES,46937060,0,0
2020-02-16,ES,46937060,0,0
2020-02-17,ES,46937060,0,0
2020-02-18,ES,46937060,0,0
2020-02-19,ES,46937060,0,0
2020-02-20,ES,46937060,0,0
2020-02-21,ES,46937060,0,0
2020-02-22,ES,46937060,0,0
2020-02-23,ES,46937060,0,0
2020-02-24,ES,46937060,0,0
2020-02-25,ES,46937060,4,0
2020-02-26,ES,46937060,7,0
2020-02-27,ES,46937060,2,0
2020-02-28,ES,46937060,17,0
2020-02-29,ES,46937060,13,0
2020-03-01,ES,46937060,39,0
2020-03-02,ES,46937060,36,0
2020-03-03,ES,46937060,45,1
2020-03-04,ES,46937060,57,1
2020-03-05,ES,46937060,37,1
2020-03-06,ES,46937060,141,2
2020-03-07,ES,46937060,100,5
2020-03-08,ES,46937060,173,7
2020-03-09,ES,46937060,400,11
2020-03-10,ES,46937060,622,7
2020-03-11,ES,46937060,582,19
2020-03-12,ES,46937060,0,1
2020-03-13,ES,46937060,2955,78
2020-03-14,ES,46937060,1159,62
2020-03-15,ES,46937060,1407,94
2020-03-16,ES,46937060,2144,53
2020-03-17,ES,46937060,1806,191
2020-03-18,ES,46937060,2162,90
2020-03-19,ES,46937060,4053,207
2020-03-20,ES,46937060,2447,213
2020-03-21,ES,46937060,4964,332
2020-03-22,ES,46937060,3229,381
2020-03-23,ES,46937060,6533,555
2020-03-24,ES,46937060,4749,497
2020-03-25,ES,46937060,9630,839
2020-03-26,ES,46937060,8271,718
2020-03-27,ES,46937060,7933,773
2020-03-28,ES,46937060,7516,844
2020-03-29,ES,46937060,6875,821
2020-03-30,ES,46937060,7846,913
2020-03-31,ES,46937060,7967,748
2020-04-01,ES,46937060,8195,923
2020-04-02,ES,46937060,7947,961
2020-04-03,ES,46937060,7134,850
2020-04-04,ES,46937060,6969,749
2020-04-05,ES,46937060,5478,694
2020-04-06,ES,46937060,5029,700
2020-04-07,ES,46937060,5267,704
2020-04-08,ES,46937060,6278,747
2020-04-09,ES,46937060,5002,655
