date,countrycode,population,cases,deaths
2020-03-13,ET,112078727,0,0
2020-03-14,ET,112078727,0,0
2020-03-15,ET,112078727,0,0
2020-03-16,ET,112078727,4,0
2020-03-17,ET,112078727,0,0
2020-03-18,ET,112078727,1,0
2020-03-19,ET,112078727,0,0
2020-03-20,ET,112078727,3,0
2020-03-21,ET,112078727,0,0
2020-03-22,ET,112078727,2,0
2020-03-23,ET,112078727,0,0
2020-03-24,ET,112078727,1,0
2020-03-25,ET,112078727,0,0
2020-03-26,ET,112078727,0,0
2020-03-27,ET,112078727,4,0
2020-03-28,ET,112078727,0,0
2020-03-29,ET,112078727,5,0
2020-03-30,ET,112078727,2,0
2020-03-31,ET,112078727,3,0
2020-04-01,ET,112078727,3,0
2020-04-02,ET,112078727,0,0
2020-04-03,ET,112078727,6,0
2020-04-04,ET,112078727,3,0
2020-04-05,ET,112078727,5,2
2020-04-06,ET,112078727,1,0
2020-04-07,ET,112078727,8,0
2020-04-08,ET,112078727,3,0
2020-04-09,ET,112078727,1,0
2020-04-10,ET,112078727,9,1
2020-04-11,ET,112078727,4,0
2020-04-12,ET,112078727,2,0
2020-04-13,ET,112078727,3,0
2020-04-14,ET,112078727,8,0
2020-04-15,ET,112078727,3,0
2020-04-16,ET,112078727,7,0
2020-04-17,ET,112078727,4,0
2020-04-18,ET,112078727,9,0
2020-04-19,ET,112078727,3,0
2020-04-20,ET,112078727,3,0
2020-04-21,ET,112078727,3,0
2020-04-22,ET,112078727,2,0
2020-04-23,ET,112078727,0,0
2020-04-24,ET,112078727,1,0
2020-04-25,ET,112078727,5,0
2020-04-26,ET,112078727,1,0
2020-04-27,ET,112078727,1,0
2020-04-28,ET,112078727,2,0
2020-04-29,ET,112078727,4,0
2020-04-30,ET,112078727,1,0
2020-05-01,ET,112078727,2,0
2020-05-02,ET,112078727,0,0
2020-05-03,ET,112078727,2,0
2020-05-04,ET,112078727,5,0
2020-05-05,ET,112078727,5,1
2020-05-06,ET,112078727,17,0
2020-05-07,ET,112078727,29,0
2020-05-08,ET,112078727,3,0
2020-05-09,ET,112078727,16,1
2020-05-10,ET,112078727,29,0
2020-05-11,ET,112078727,11,0
2020-05-12,ET,112078727,11,0
2020-05-13,ET,112078727,2,0
2020-05-14,ET,112078727,9,0
2020-05-15,ET,112078727,15,0
2020-05-16,ET,112078727,19,0
2020-05-17,ET,112078727,11,0
2020-05-18,ET,112078727,35,0
2020-05-19,ET,112078727,13,0
2020-05-20,ET,112078727,24,0
2020-05-21,ET,112078727,10,0
2020-05-22,ET,112078727,34,0
2020-05-23,ET,112078727,61,0
2020-05-24,ET,112078727,88,0
2020-05-25,ET,112078727,73,0
2020-05-26,ET,112078727,46,1
2020-05-27,ET,112078727,30,0
2020-05-28,ET,112078727,100,1
2020-05-29,ET,112078727,137,1
2020-05-30,ET,112078727,95,0
2020-05-31,ET,112078727,109,3
2020-06-01,ET,112078727,85,1
2020-06-02,ET,112078727,87,2
2020-06-03,ET,112078727,142,3
2020-06-04,ET,112078727,150,1
2020-06-05,ET,112078727,169,1
2020-06-06,ET,112078727,129,1
2020-06-07,ET,112078727,86,7
2020-06-08,ET,112078727,136,0
2020-06-09,ET,112078727,180,5
2020-06-10,ET,112078727,170,3
2020-06-11,ET,112078727,164,5
2020-06-12,ET,112078727,245,7
2020-06-13,ET,112078727,251,8
2020-06-14,ET,112078727,179,2
2020-06-15,ET,112078727,176,3
2020-06-16,ET,112078727,109,1
2020-06-17,ET,112078727,129,2
2020-06-18,ET,112078727,195,2
2020-06-19,ET,112078727,116,7
2020-06-20,ET,112078727,399,0
2020-06-21,ET,112078727,63,2
2020-06-22,ET,112078727,131,1
2020-06-23,ET,112078727,185,0
2020-06-24,ET,112078727,186,3
2020-06-25,ET,112078727,141,3
2020-06-26,ET,112078727,250,8
2020-06-27,ET,112078727,145,5
2020-06-28,ET,112078727,119,4
2020-06-29,ET,112078727,157,5
2020-06-30,ET,112078727,0,0
2020-07-01,ET,112078727,0,0
2020-07-02,ET,112078727,0,0
2020-07-03,ET,112078727,0,0
2020-07-04,ET,112078727,0,0
2020-07-05,ET,112078727,0,0
2020-07-06,ET,112078727,0,0
2020-07-07,ET,112078727,0,0
2020-07-08,ET,112078727,928,17
2020-07-09,ET,112078727,199,0
2020-07-10,ET,112078727,147,4
2020-07-11,ET,112078727,282,0
2020-07-12,ET,112078727,158,3
2020-07-13,ET,112078727,206,1
2020-07-14,ET,112078727,203,11
2020-07-15,ET,112078727,212,7
2020-07-16,ET,112078727,294,2
2020-07-17,ET,112078727,328,2
2020-07-18,ET,112078727,344,13
2020-07-19,ET,112078727,356,4
2020-07-20,ET,112078727,704,3
2020-07-21,ET,112078727,865,10
2020-07-22,ET,112078727,452,8
2020-07-23,ET,112078727,409,9
2020-07-24,ET,112078727,760,3
2020-07-25,ET,112078727,555,9
2020-07-26,ET,112078727,720,14
2020-07-27,ET,112078727,579,5
2020-07-28,ET,112078727,653,11
2020-07-29,ET,112078727,610,14
2020-07-30,ET,112078727,805,10
2020-07-31,ET,112078727,915,11
2020-08-01,ET,112078727,469,10
2020-08-02,ET,112078727,707,26
2020-08-03,ET,112078727,583,26
2020-08-04,ET,112078727,588,7
2020-08-05,ET,112078727,459,13
2020-08-06,ET,112078727,564,9
2020-08-07,ET,112078727,552,15
2020-08-08,ET,112078727,801,10
2020-08-09,ET,112078727,565,17
2020-08-10,ET,112078727,773,13
2020-08-11,ET,112078727,584,20
2020-08-12,ET,112078727,943,23
2020-08-13,ET,112078727,1086,16
2020-08-14,ET,112078727,1038,13
2020-08-15,ET,112078727,1652,17
2020-08-16,ET,112078727,982,19
2020-08-17,ET,112078727,1460,16
2020-08-18,ET,112078727,1386,28
2020-08-19,ET,112078727,1336,28
2020-08-20,ET,112078727,1778,20
2020-08-21,ET,112078727,1829,17
2020-08-22,ET,112078727,1368,25
2020-08-23,ET,112078727,1638,16
2020-08-24,ET,112078727,1472,14
2020-08-25,ET,112078727,1545,17
2020-08-26,ET,112078727,1533,16
2020-08-27,ET,112078727,1186,20
2020-08-28,ET,112078727,1733,13
2020-08-29,ET,112078727,1514,12
2020-08-30,ET,112078727,1468,23
2020-08-31,ET,112078727,1009,16
2020-09-01,ET,112078727,1173,19
2020-09-02,ET,112078727,1105,18
2020-09-03,ET,112078727,804,10
2020-09-04,ET,112078727,1303,24
2020-09-05,ET,112078727,950,17
2020-09-06,ET,112078727,1206,21
2020-09-07,ET,112078727,976,15
2020-09-08,ET,112078727,1136,16
2020-09-09,ET,112078727,916,17
2020-09-10,ET,112078727,878,8
2020-09-11,ET,112078727,789,12
2020-09-12,ET,112078727,521,10
2020-09-13,ET,112078727,413,17
2020-09-14,ET,112078727,485,9
2020-09-15,ET,112078727,700,13
2020-09-16,ET,112078727,738,10
