date,countrycode,population,cases,deaths
2020-01-29,FI,5517919,0,0
2020-01-30,FI,5517919,0,0
2020-01-31,FI,5517919,0,0
2020-02-01,FI,5517919,0,0
2020-02-02,FI,5517919,0,0
2020-02-03,FI,5517919,0,0
2020-02-04,FI,5517919,0,0
2020-02-05,FI,5517919,0,0
2020-02-06,FI,5517919,0,0
2020-02-07,FI,5517919,0,0
2020-02-08,FI,5517919,0,0
2020-02-09,FI,5517919,0,0
2020-02-10,FI,5517919,0,0
2020-02-11,FI,5517919,0,0
2020-02-12,FI,5517919,0,0
2020-02-13,FI,5517919,0,0
2020-02-14,FI,5517919,0,0
2020-02-15,FI,5517919,0,0
2020-02-16,FI,5517919,0,0
2020-02-17,FI,5517919,0,0
2020-02-18,FI,5517919,0,0
2020-02-19,FI,5517919,0,0
2020-02-20,FI,5517919,0,0
2020-02-21,FI,5517919,0,0
2020-02-22,FI,5517919,0,0
2020-02-23,FI,5517919,0,0
2020-02-24,FI,5517919,0,0
2020-02-25,FI,5517919,0,0
2020-02-26,FI,5517919,1,0
2020-02-27,FI,5517919,0,0
2020-02-28,FI,5517919,0,0
2020-02-29,FI,5517919,1,0
2020-03-01,FI,5517919,3,0
2020-03-02,FI,5517919,0,0
2020-03-03,FI,5517919,0,0
2020-03-04,FI,5517919,0,0
2020-03-05,FI,5517919,6,0
2020-03-06,FI,5517919,3,0
2020-03-07,FI,5517919,0,0
2020-03-08,FI,5517919,8,0
2020-03-09,FI,5517919,7,0
2020-03-10,FI,5517919,10,0
2020-03-11,FI,5517919,19,0
2020-03-12,FI,5517919,0,0
2020-03-13,FI,5517919,96,0
2020-03-14,FI,5517919,70,0
2020-03-15,FI,5517919,19,0
2020-03-16,FI,5517919,33,0
2020-03-17,FI,5517919,44,0
2020-03-18,FI,5517919,15,0
2020-03-19,FI,5517919,64,0
2020-03-20,FI,5517919,50,0
2020-03-21,FI,5517919,73,1
2020-03-22,FI,5517919,103,0
2020-03-23,FI,5517919,74,0
