date,countrycode,population,cases,deaths
2020-03-19,FJ,935974,0,0
2020-03-20,FJ,935974,0,0
2020-03-21,FJ,935974,0,0
2020-03-22,FJ,935974,1,0
2020-03-23,FJ,935974,1,0
2020-03-24,FJ,935974,1,0
2020-03-25,FJ,935974,1,0
2020-03-26,FJ,935974,0,0
2020-03-27,FJ,935974,0,0
2020-03-28,FJ,935974,0,0
2020-03-29,FJ,935974,0,0
2020-03-30,FJ,935974,0,0
2020-03-31,FJ,935974,0,0
2020-04-01,FJ,935974,0,0
2020-04-02,FJ,935974,2,0
2020-04-03,FJ,935974,0,0
2020-04-04,FJ,935974,5,0
2020-04-05,FJ,935974,0,0
2020-04-06,FJ,935974,2,0
2020-04-07,FJ,935974,1,0
2020-04-08,FJ,935974,0,0
2020-04-09,FJ,935974,0,0
2020-04-10,FJ,935974,1,0
2020-04-11,FJ,935974,0,0
2020-04-12,FJ,935974,0,0
2020-04-13,FJ,935974,0,0
2020-04-14,FJ,935974,0,0
2020-04-15,FJ,935974,0,0
2020-04-16,FJ,935974,1,0
2020-04-17,FJ,935974,0,0
2020-04-18,FJ,935974,0,0
2020-04-19,FJ,935974,0,0
2020-04-20,FJ,935974,1,0
2020-04-21,FJ,935974,0,0
2020-04-22,FJ,935974,0,0
2020-04-23,FJ,935974,0,0
2020-04-24,FJ,935974,0,0
2020-04-25,FJ,935974,0,0
2020-04-26,FJ,935974,0,0
2020-04-27,FJ,935974,0,0
2020-04-28,FJ,935974,0,0
2020-04-29,FJ,935974,0,0
2020-04-30,FJ,935974,0,0
2020-05-01,FJ,935974,0,0
2020-05-02,FJ,935974,0,0
2020-05-03,FJ,935974,0,0
2020-05-04,FJ,935974,0,0
2020-05-05,FJ,935974,0,0
2020-05-06,FJ,935974,0,0
2020-05-07,FJ,935974,0,0
2020-05-08,FJ,935974,0,0
2020-05-09,FJ,935974,0,0
2020-05-10,FJ,935974,0,0
2020-05-11,FJ,935974,0,0
2020-05-12,FJ,935974,0,0
2020-05-13,FJ,935974,0,0
2020-05-14,FJ,935974,0,0
2020-05-15,FJ,935974,0,0
2020-05-16,FJ,935974,0,0
2020-05-17,FJ,935974,0,0
2020-05-18,FJ,935974,0,0
2020-05-19,FJ,935974,0,0
2020-05-20,FJ,935974,0,0
2020-05-21,FJ,935974,0,0
2020-05-22,FJ,935974,0,0
2020-05-23,FJ,935974,0,0
2020-05-24,FJ,935974,0,0
2020-05-25,FJ,935974,0,0
2020-05-26,FJ,935974,0,0
2020-05-27,FJ,935974,0,0
2020-05-28,FJ,935974,0,0
2020-05-29,FJ,935974,0,0
2020-05-30,FJ,935974,0,0
2020-05-31,FJ,935974,0,0
2020-06-01,FJ,935974,0,0
2020-06-02,FJ,935974,0,0
2020-06-03,FJ,935974,0,0
2020-06-04,FJ,935974,0,0
2020-06-05,FJ,935974,0,0
2020-06-06,FJ,935974,0,0
2020-06-07,FJ,935974,0,0
2020-06-08,FJ,935974,0,0
2020-06-09,FJ,935974,0,0
2020-06-10,FJ,935974,0,0
2020-06-11,FJ,935974,0,0
2020-06-12,FJ,935974,0,0
2020-06-13,FJ,935974,0,0
2020-06-14,FJ,935974,0,0
2020-06-15,FJ,935974,0,0
2020-06-16,FJ,935974,0,0
2020-06-17,FJ,935974,0,0
2020-06-18,FJ,935974,0,0
2020-06-19,FJ,935974,0,0
2020-06-20,FJ,935974,0,0
2020-06-21,FJ,935974,0,0
2020-06-22,FJ,935974,0,0
2020-06-23,FJ,935974,0,0
2020-06-24,FJ,935974,0,0
2020-06-25,FJ,935974,0,0
2020-06-26,FJ,935974,0,0
2020-06-27,FJ,935974,0,0
2020-06-28,FJ,935974,0,0
2020-06-29,FJ,935974,0,0
2020-06-30,FJ,935974,0,0
2020-07-01,FJ,935974,0,0
2020-07-02,FJ,935974,0,0
2020-07-03,FJ,935974,0,0
2020-07-04,FJ,935974,0,0
2020-07-05,FJ,935974,1,0
2020-07-06,FJ,935974,2,0
2020-07-07,FJ,935974,0,0
2020-07-08,FJ,935974,0,0
2020-07-09,FJ,935974,5,0
2020-07-10,FJ,935974,0,0
2020-07-11,FJ,935974,0,0
2020-07-12,FJ,935974,0,0
2020-07-13,FJ,935974,0,0
2020-07-14,FJ,935974,0,0
2020-07-15,FJ,935974,0,0
2020-07-16,FJ,935974,0,0
2020-07-17,FJ,935974,0,0
2020-07-18,FJ,935974,0,0
2020-07-19,FJ,935974,1,0
2020-07-20,FJ,935974,0,0
2020-07-21,FJ,935974,0,0
2020-07-22,FJ,935974,0,0
2020-07-23,FJ,935974,0,0
2020-07-24,FJ,935974,0,0
2020-07-25,FJ,935974,0,0
2020-07-26,FJ,935974,0,0
2020-07-27,FJ,935974,0,0
2020-07-28,FJ,935974,0,0
2020-07-29,FJ,935974,0,0
2020-07-30,FJ,935974,0,0
2020-07-31,FJ,935974,0,1
2020-08-01,FJ,935974,0,0
2020-08-02,FJ,935974,0,0
2020-08-03,FJ,935974,0,0
2020-08-04,FJ,935974,0,0
2020-08-05,FJ,935974,0,0
2020-08-06,FJ,935974,0,0
2020-08-07,FJ,935974,0,0
2020-08-08,FJ,935974,0,0
2020-08-09,FJ,935974,0,0
2020-08-10,FJ,935974,0,0
2020-08-11,FJ,935974,0,0
2020-08-12,FJ,935974,0,0
2020-08-13,FJ,935974,1,0
2020-08-14,FJ,935974,0,0
2020-08-15,FJ,935974,0,0
2020-08-16,FJ,935974,0,0
2020-08-17,FJ,935974,0,0
2020-08-18,FJ,935974,0,0
2020-08-19,FJ,935974,0,0
2020-08-20,FJ,935974,0,0
2020-08-21,FJ,935974,0,0
2020-08-22,FJ,935974,0,0
2020-08-23,FJ,935974,0,0
2020-08-24,FJ,935974,0,0
2020-08-25,FJ,935974,0,0
2020-08-26,FJ,935974,0,0
2020-08-27,FJ,935974,0,1
2020-08-28,FJ,935974,0,0
2020-08-29,FJ,935974,0,0
2020-08-30,FJ,935974,0,0
2020-08-31,FJ,935974,0,0
2020-09-01,FJ,935974,1,0
2020-09-02,FJ,935974,0,0
2020-09-03,FJ,935974,0,0
2020-09-04,FJ,935974,0,0
2020-09-05,FJ,935974,2,0
2020-09-06,FJ,935974,0,0
2020-09-07,FJ,935974,0,0
2020-09-08,FJ,935974,0,0
2020-09-09,FJ,935974,1,0
2020-09-10,FJ,935974,0,0
2020-09-11,FJ,935974,0,0
2020-09-12,FJ,935974,0,0
2020-09-13,FJ,935974,0,0
2020-09-14,FJ,935974,0,0
2020-09-15,FJ,935974,0,0
2020-09-16,FJ,935974,0,0
2020-09-17,FJ,935974,0,0
2020-09-18,FJ,935974,0,0
2020-09-19,FJ,935974,0,0
2020-09-20,FJ,935974,0,0
2020-09-21,FJ,935974,0,0
2020-09-22,FJ,935974,0,0
2020-09-23,FJ,935974,0,0
2020-09-24,FJ,935974,0,0
2020-09-25,FJ,935974,0,0
2020-09-26,FJ,935974,0,0
2020-09-27,FJ,935974,0,0
2020-09-28,FJ,935974,0,0
2020-09-29,FJ,935974,0,0
2020-09-30,FJ,935974,0,0
2020-10-01,FJ,935974,0,0
2020-10-02,FJ,935974,0,0
2020-10-03,FJ,935974,0,0
2020-10-04,FJ,935974,0,0
2020-10-05,FJ,935974,0,0
2020-10-06,FJ,935974,0,0
2020-10-07,FJ,935974,0,0
2020-10-08,FJ,935974,0,0
2020-10-09,FJ,935974,0,0
2020-10-10,FJ,935974,0,0
2020-10-11,FJ,935974,0,0
2020-10-12,FJ,935974,0,0
2020-10-13,FJ,935974,0,0
2020-10-14,FJ,935974,0,0
2020-10-15,FJ,935974,0,0
2020-10-16,FJ,935974,0,0
2020-10-17,FJ,935974,0,0
2020-10-18,FJ,935974,0,0
2020-10-19,FJ,935974,0,0
2020-10-20,FJ,935974,0,0
2020-10-21,FJ,935974,1,0
2020-10-22,FJ,935974,0,0
2020-10-23,FJ,935974,0,0
2020-10-24,FJ,935974,0,0
2020-10-25,FJ,935974,0,0
2020-10-26,FJ,935974,0,0
2020-10-27,FJ,935974,0,0
2020-10-28,FJ,935974,0,0
2020-10-29,FJ,935974,1,0
2020-10-30,FJ,935974,0,0
2020-10-31,FJ,935974,0,0
2020-11-01,FJ,935974,0,0
2020-11-02,FJ,935974,0,0
2020-11-03,FJ,935974,0,0
2020-11-04,FJ,935974,0,0
2020-11-05,FJ,935974,0,0
2020-11-06,FJ,935974,0,0
2020-11-07,FJ,935974,0,0
2020-11-08,FJ,935974,0,0
2020-11-09,FJ,935974,0,0
2020-11-10,FJ,935974,0,0
2020-11-11,FJ,935974,1,0
2020-11-12,FJ,935974,0,0
2020-11-13,FJ,935974,0,0
2020-11-14,FJ,935974,0,0
2020-11-15,FJ,935974,0,0
2020-11-16,FJ,935974,0,0
2020-11-17,FJ,935974,0,0
2020-11-18,FJ,935974,0,0
2020-11-19,FJ,935974,0,0
2020-11-20,FJ,935974,0,0
2020-11-21,FJ,935974,0,0
2020-11-22,FJ,935974,0,0
2020-11-23,FJ,935974,0,0
2020-11-24,FJ,935974,3,0
2020-11-25,FJ,935974,0,0
2020-11-26,FJ,935974,0,0
2020-11-27,FJ,935974,0,0
2020-11-28,FJ,935974,0,0
2020-11-29,FJ,935974,0,0
2020-11-30,FJ,935974,4,0
2020-12-01,FJ,935974,0,0
2020-12-02,FJ,935974,0,0
2020-12-03,FJ,935974,0,0
2020-12-04,FJ,935974,2,0
2020-12-05,FJ,935974,0,0
2020-12-06,FJ,935974,0,0
2020-12-07,FJ,935974,0,0
2020-12-08,FJ,935974,0,0
2020-12-09,FJ,935974,0,0
2020-12-10,FJ,935974,0,0
2020-12-11,FJ,935974,0,0
2020-12-12,FJ,935974,0,0
2020-12-13,FJ,935974,2,0
2020-12-14,FJ,935974,0,0
2020-12-15,FJ,935974,0,0
2020-12-16,FJ,935974,0,0
2020-12-17,FJ,935974,0,0
2020-12-18,FJ,935974,0,0
2020-12-19,FJ,935974,0,0
2020-12-20,FJ,935974,0,0
2020-12-21,FJ,935974,0,0
2020-12-22,FJ,935974,0,0
2020-12-23,FJ,935974,0,0
2020-12-24,FJ,935974,0,0
2020-12-25,FJ,935974,0,0
2020-12-26,FJ,935974,0,0
2020-12-27,FJ,935974,0,0
2020-12-28,FJ,935974,0,0
2020-12-29,FJ,935974,3,0
2020-12-30,FJ,935974,0,0
2020-12-31,FJ,935974,0,0
2021-01-01,FJ,935974,0,0
2021-01-02,FJ,935974,0,0
2021-01-03,FJ,935974,0,0
2021-01-04,FJ,935974,0,0
2021-01-05,FJ,935974,4,0
2021-01-06,FJ,935974,0,0
2021-01-07,FJ,935974,0,0
2021-01-08,FJ,935974,0,0
2021-01-09,FJ,935974,0,0
2021-01-10,FJ,935974,0,0
2021-01-11,FJ,935974,0,0
2021-01-12,FJ,935974,0,0
2021-01-13,FJ,935974,0,0
2021-01-14,FJ,935974,0,0
2021-01-15,FJ,935974,0,0
2021-01-16,FJ,935974,2,0
2021-01-17,FJ,935974,0,0
2021-01-18,FJ,935974,0,0
2021-01-19,FJ,935974,0,0
2021-01-20,FJ,935974,0,0
2021-01-21,FJ,935974,0,0
2021-01-22,FJ,935974,0,0
2021-01-23,FJ,935974,0,0
2021-01-24,FJ,935974,0,0
2021-01-25,FJ,935974,0,0
2021-01-26,FJ,935974,0,0
2021-01-27,FJ,935974,0,0
2021-01-28,FJ,935974,0,0
2021-01-29,FJ,935974,0,0
2021-01-30,FJ,935974,0,0
2021-01-31,FJ,935974,0,0
2021-02-01,FJ,935974,0,0
2021-02-02,FJ,935974,0,0
2021-02-03,FJ,935974,1,0
2021-02-04,FJ,935974,0,0
2021-02-05,FJ,935974,0,0
2021-02-06,FJ,935974,0,0
2021-02-07,FJ,935974,0,0
2021-02-08,FJ,935974,0,0
2021-02-09,FJ,935974,0,0
2021-02-10,FJ,935974,0,0
2021-02-11,FJ,935974,0,0
2021-02-12,FJ,935974,0,0
2021-02-13,FJ,935974,0,0
2021-02-14,FJ,935974,0,0
2021-02-15,FJ,935974,0,0
2021-02-16,FJ,935974,0,0
2021-02-17,FJ,935974,0,0
2021-02-18,FJ,935974,0,0
2021-02-19,FJ,935974,0,0
2021-02-20,FJ,935974,0,0
2021-02-21,FJ,935974,0,0
2021-02-22,FJ,935974,0,0
2021-02-23,FJ,935974,0,0
2021-02-24,FJ,935974,1,0
2021-02-25,FJ,935974,0,0
2021-02-26,FJ,935974,2,0
2021-02-27,FJ,935974,0,0
2021-02-28,FJ,935974,0,0
2021-03-01,FJ,935974,0,0
2021-03-02,FJ,935974,0,0
2021-03-03,FJ,935974,4,0
2021-03-04,FJ,935974,0,0
2021-03-05,FJ,935974,0,0
2021-03-06,FJ,935974,0,0
2021-03-07,FJ,935974,0,0
2021-03-08,FJ,935974,3,0
2021-03-09,FJ,935974,0,0
2021-03-10,FJ,935974,0,0
2021-03-11,FJ,935974,0,0
2021-03-12,FJ,935974,0,0
2021-03-13,FJ,935974,0,0
2021-03-14,FJ,935974,0,0
2021-03-15,FJ,935974,0,0
2021-03-16,FJ,935974,0,0
2021-03-17,FJ,935974,0,0
2021-03-18,FJ,935974,1,0
2021-03-19,FJ,935974,0,0
2021-03-20,FJ,935974,0,0
2021-03-21,FJ,935974,0,0
2021-03-22,FJ,935974,0,0
2021-03-23,FJ,935974,0,0
2021-03-24,FJ,935974,0,0
2021-03-25,FJ,935974,0,0
2021-03-26,FJ,935974,0,0
2021-03-27,FJ,935974,0,0
2021-03-28,FJ,935974,0,0
2021-03-29,FJ,935974,0,0
2021-03-30,FJ,935974,0,0
2021-03-31,FJ,935974,0,0
2021-04-01,FJ,935974,0,0
2021-04-02,FJ,935974,0,0
2021-04-03,FJ,935974,0,0
2021-04-04,FJ,935974,0,0
2021-04-05,FJ,935974,0,0
2021-04-06,FJ,935974,0,0
2021-04-07,FJ,935974,0,0
2021-04-08,FJ,935974,0,0
2021-04-09,FJ,935974,1,0
2021-04-10,FJ,935974,0,0
2021-04-11,FJ,935974,0,0
2021-04-12,FJ,935974,0,0
2021-04-13,FJ,935974,0,0
2021-04-14,FJ,935974,0,0
2021-04-15,FJ,935974,0,0
2021-04-16,FJ,935974,0,0
2021-04-17,FJ,935974,4,0
2021-04-18,FJ,935974,0,0
2021-04-19,FJ,935974,0,0
2021-04-20,FJ,935974,5,0
2021-04-21,FJ,935974,1,0
2021-04-22,FJ,935974,8,0
2021-04-23,FJ,935974,0,0
2021-04-24,FJ,935974,1,0
2021-04-25,FJ,935974,4,0
2021-04-26,FJ,935974,12,0
2021-04-27,FJ,935974,6,0
2021-04-28,FJ,935974,2,0
2021-04-29,FJ,935974,5,0
2021-04-30,FJ,935974,1,0
2021-05-01,FJ,935974,2,0
2021-05-02,FJ,935974,0,0
2021-05-03,FJ,935974,2,0
2021-05-04,FJ,935974,0,0
2021-05-05,FJ,935974,4,0
2021-05-06,FJ,935974,4,1
2021-05-07,FJ,935974,0,0
2021-05-08,FJ,935974,7,0
2021-05-09,FJ,935974,3,0
2021-05-10,FJ,935974,1,0
2021-05-11,FJ,935974,12,0
2021-05-12,FJ,935974,9,0
2021-05-13,FJ,935974,4,1
2021-05-14,FJ,935974,1,0
2021-05-15,FJ,935974,0,0
2021-05-16,FJ,935974,6,0
2021-05-17,FJ,935974,2,0
2021-05-18,FJ,935974,4,0
2021-05-19,FJ,935974,0,0
2021-05-20,FJ,935974,12,0
2021-05-21,FJ,935974,5,0
2021-05-22,FJ,935974,29,0
2021-05-23,FJ,935974,6,0
2021-05-24,FJ,935974,8,0
2021-05-25,FJ,935974,21,0
2021-05-26,FJ,935974,27,0
2021-05-27,FJ,935974,28,0
2021-05-28,FJ,935974,46,0
2021-05-29,FJ,935974,0,0
2021-05-30,FJ,935974,41,0
2021-05-31,FJ,935974,37,0
2021-06-01,FJ,935974,26,0
2021-06-02,FJ,935974,44,0
2021-06-03,FJ,935974,28,0
2021-06-04,FJ,935974,35,0
2021-06-05,FJ,935974,33,0
2021-06-06,FJ,935974,83,0
2021-06-07,FJ,935974,64,0
2021-06-08,FJ,935974,94,0
2021-06-09,FJ,935974,35,0
2021-06-10,FJ,935974,39,0
2021-06-11,FJ,935974,51,0
2021-06-12,FJ,935974,44,0
2021-06-13,FJ,935974,104,0
2021-06-14,FJ,935974,88,0
2021-06-15,FJ,935974,116,1
2021-06-16,FJ,935974,121,0
2021-06-17,FJ,935974,90,1
2021-06-18,FJ,935974,115,0
2021-06-19,FJ,935974,150,0
