date,countrycode,population,cases,deaths
2020-01-24,FR,67012883,0,0
2020-01-25,FR,67012883,1,0
2020-01-26,FR,67012883,0,0
2020-01-27,FR,67012883,0,0
2020-01-28,FR,67012883,1,0
2020-01-29,FR,67012883,1,0
2020-01-30,FR,67012883,0,0
2020-01-31,FR,67012883,0,0
2020-02-01,FR,67012883,1,0
2020-02-02,FR,67012883,0,0
2020-02-03,FR,67012883,0,0
2020-02-04,FR,67012883,0,0
2020-02-05,FR,67012883,0,0
2020-02-06,FR,67012883,0,0
2020-02-07,FR,67012883,0,0
2020-02-08,FR,67012883,5,0
2020-02-09,FR,67012883,0,0
2020-02-10,FR,67012883,0,0
2020-02-11,FR,67012883,0,0
2020-02-12,FR,67012883,0,0
2020-02-13,FR,67012883,0,0
2020-02-14,FR,67012883,0,0
2020-02-15,FR,67012883,1,1
2020-02-16,FR,67012883,0,0
2020-02-17,FR,67012883,0,0
2020-02-18,FR,67012883,0,0
2020-02-19,FR,67012883,0,0
2020-02-20,FR,67012883,0,0
2020-02-21,FR,67012883,0,0
2020-02-22,FR,67012883,0,0
2020-02-23,FR,67012883,0,0
2020-02-24,FR,67012883,0,0
2020-02-25,FR,67012883,2,0
2020-02-26,FR,67012883,4,1
2020-02-27,FR,67012883,20,0
2020-02-28,FR,67012883,19,0
2020-02-29,FR,67012883,43,0
2020-03-01,FR,67012883,30,0
2020-03-02,FR,67012883,61,1
2020-03-03,FR,67012883,21,1
2020-03-04,FR,67012883,73,0
2020-03-05,FR,67012883,138,3
2020-03-06,FR,67012883,190,2
2020-03-07,FR,67012883,325,7
2020-03-08,FR,67012883,177,3
2020-03-09,FR,67012883,286,6
2020-03-10,FR,67012883,372,8
2020-03-11,FR,67012883,511,15
2020-03-12,FR,67012883,0,0
2020-03-13,FR,67012883,1383,31
2020-03-14,FR,67012883,813,12
2020-03-15,FR,67012883,33,0
2020-03-16,FR,67012883,2137,57
2020-03-17,FR,67012883,1033,0
2020-03-18,FR,67012883,1369,0
2020-03-19,FR,67012883,1834,95
2020-03-20,FR,67012883,1746,207
2020-03-21,FR,67012883,1676,112
2020-03-22,FR,67012883,2421,114
2020-03-23,FR,67012883,3394,186
2020-03-24,FR,67012883,2249,240
2020-03-25,FR,67012883,2962,231
2020-03-26,FR,67012883,3918,364
2020-03-27,FR,67012883,3795,299
2020-03-28,FR,67012883,4645,318
2020-03-29,FR,67012883,2603,294
2020-03-30,FR,67012883,4354,418
2020-03-31,FR,67012883,7629,500
2020-04-01,FR,67012883,4844,881
2020-04-02,FR,67012883,2106,980
2020-04-03,FR,67012883,5224,1122
2020-04-04,FR,67012883,4274,1053
2020-04-05,FR,67012883,1868,519
2020-04-06,FR,67012883,3913,833
2020-04-07,FR,67012883,3791,1416
2020-04-08,FR,67012883,3855,544
2020-04-09,FR,67012883,4297,1340
2020-04-10,FR,67012883,4343,985
2020-04-11,FR,67012883,3116,636
2020-04-12,FR,67012883,26840,561
2020-04-13,FR,67012883,3664,573
2020-04-14,FR,67012883,5963,760
2020-04-15,FR,67012883,3209,1440
2020-04-16,FR,67012883,12597,753
2020-04-17,FR,67012883,1921,762
2020-04-18,FR,67012883,3823,641
2020-04-19,FR,67012883,1115,393
2020-04-20,FR,67012883,2448,548
2020-04-21,FR,67012883,2708,534
2020-04-22,FR,67012883,1816,544
2020-04-23,FR,67012883,-1698,516
2020-04-24,FR,67012883,1654,390
2020-04-25,FR,67012883,1678,369
2020-04-26,FR,67012883,633,242
2020-04-27,FR,67012883,3686,437
2020-04-28,FR,67012883,3132,367
2020-04-29,FR,67012883,-1455,426
2020-04-30,FR,67012883,1218,289
2020-05-01,FR,67012883,526,217
2020-05-02,FR,67012883,792,166
2020-05-03,FR,67012883,361,135
2020-05-04,FR,67012883,562,306
2020-05-05,FR,67012883,1117,333
2020-05-06,FR,67012883,4136,275
2020-05-07,FR,67012883,741,179
2020-05-08,FR,67012883,531,242
2020-05-09,FR,67012883,529,80
2020-05-10,FR,67012883,249,70
2020-05-11,FR,67012883,314,263
2020-05-12,FR,67012883,753,348
2020-05-13,FR,67012883,521,85
2020-05-14,FR,67012883,642,351
2020-05-15,FR,67012883,513,102
2020-05-16,FR,67012883,415,98
2020-05-17,FR,67012883,140,483
2020-05-18,FR,67012883,444,129
2020-05-19,FR,67012883,501,-217
2020-05-20,FR,67012883,482,111
2020-05-21,FR,67012883,267,82
2020-05-22,FR,67012883,417,74
2020-05-23,FR,67012883,227,43
2020-05-24,FR,67012883,219,37
2020-05-25,FR,67012883,325,89
2020-05-26,FR,67012883,255,137
2020-05-27,FR,67012883,172,1
2020-05-28,FR,67012883,3343,67
2020-05-29,FR,67012883,594,51
2020-05-30,FR,67012883,1795,57
2020-05-31,FR,67012883,231,31
2020-06-01,FR,67012883,407,32
2020-06-02,FR,67012883,-779,106
