date,countrycode,population,cases,deaths
2020-03-14,GA,2233272,0,0
2020-03-15,GA,2233272,0,0
2020-03-16,GA,2233272,0,0
2020-03-17,GA,2233272,0,0
2020-03-18,GA,2233272,0,0
2020-03-19,GA,2233272,0,0
2020-03-20,GA,2233272,2,1
2020-03-21,GA,2233272,1,0
2020-03-22,GA,2233272,1,0
2020-03-23,GA,2233272,0,0
2020-03-24,GA,2233272,1,0
2020-03-25,GA,2233272,0,0
2020-03-26,GA,2233272,1,0
2020-03-27,GA,2233272,0,0
2020-03-28,GA,2233272,0,0
2020-03-29,GA,2233272,0,0
2020-03-30,GA,2233272,0,0
2020-03-31,GA,2233272,9,0
2020-04-01,GA,2233272,2,0
2020-04-02,GA,2233272,3,0
2020-04-03,GA,2233272,0,0
2020-04-04,GA,2233272,0,0
2020-04-05,GA,2233272,0,0
2020-04-06,GA,2233272,3,0
2020-04-07,GA,2233272,6,0
2020-04-08,GA,2233272,4,0
2020-04-09,GA,2233272,10,0
2020-04-10,GA,2233272,0,0
2020-04-11,GA,2233272,2,0
2020-04-12,GA,2233272,3,0
2020-04-13,GA,2233272,8,0
2020-04-14,GA,2233272,0,0
2020-04-15,GA,2233272,23,0
2020-04-16,GA,2233272,0,0
2020-04-17,GA,2233272,28,0
2020-04-18,GA,2233272,0,0
2020-04-19,GA,2233272,1,0
2020-04-20,GA,2233272,11,0
2020-04-21,GA,2233272,36,0
2020-04-22,GA,2233272,10,0
2020-04-23,GA,2233272,1,1
2020-04-24,GA,2233272,5,1
2020-04-25,GA,2233272,4,0
2020-04-26,GA,2233272,0,0
2020-04-27,GA,2233272,35,0
2020-04-28,GA,2233272,27,0
2020-04-29,GA,2233272,38,0
2020-04-30,GA,2233272,0,0
2020-05-01,GA,2233272,0,0
2020-05-02,GA,2233272,59,2
2020-05-03,GA,2233272,0,0
2020-05-04,GA,2233272,32,1
2020-05-05,GA,2233272,30,0
2020-05-06,GA,2233272,0,0
2020-05-07,GA,2233272,107,2
2020-05-08,GA,2233272,116,0
2020-05-09,GA,2233272,41,0
2020-05-10,GA,2233272,0,0
2020-05-11,GA,2233272,141,1
2020-05-12,GA,2233272,61,0
2020-05-13,GA,2233272,141,0
2020-05-14,GA,2233272,100,1
2020-05-15,GA,2233272,105,0
2020-05-16,GA,2233272,111,1
2020-05-17,GA,2233272,0,0
2020-05-18,GA,2233272,112,0
2020-05-19,GA,2233272,70,1
2020-05-20,GA,2233272,65,0
2020-05-21,GA,2233272,0,0
2020-05-22,GA,2233272,161,0
2020-05-23,GA,2233272,206,0
2020-05-24,GA,2233272,0,0
2020-05-25,GA,2233272,201,2
2020-05-26,GA,2233272,103,0
2020-05-27,GA,2233272,81,0
2020-05-28,GA,2233272,112,0
2020-05-29,GA,2233272,182,1
2020-05-30,GA,2233272,42,2
2020-05-31,GA,2233272,0,0
2020-06-01,GA,2233272,0,0
2020-06-02,GA,2233272,148,3
2020-06-03,GA,2233272,99,0
2020-06-04,GA,2233272,53,1
2020-06-05,GA,2233272,146,0
2020-06-06,GA,2233272,0,0
2020-06-07,GA,2233272,0,0
2020-06-08,GA,2233272,0,0
2020-06-09,GA,2233272,146,0
2020-06-10,GA,2233272,128,1
2020-06-11,GA,2233272,88,1
2020-06-12,GA,2233272,0,0
2020-06-13,GA,2233272,0,0
2020-06-14,GA,2233272,0,0
2020-06-15,GA,2233272,570,4
2020-06-16,GA,2233272,81,2
2020-06-17,GA,2233272,115,1
2020-06-18,GA,2233272,111,2
2020-06-19,GA,2233272,88,2
2020-06-20,GA,2233272,0,0
2020-06-21,GA,2233272,0,0
2020-06-22,GA,2233272,311,5
2020-06-23,GA,2233272,110,0
2020-06-24,GA,2233272,107,0
2020-06-25,GA,2233272,131,1
2020-06-26,GA,2233272,122,0
2020-06-27,GA,2233272,0,0
2020-06-28,GA,2233272,0,0
2020-06-29,GA,2233272,185,2
2020-06-30,GA,2233272,0,0
2020-07-01,GA,2233272,119,0
2020-07-02,GA,2233272,0,0
2020-07-03,GA,2233272,107,2
2020-07-04,GA,2233272,0,0
2020-07-05,GA,2233272,0,0
2020-07-06,GA,2233272,123,2
2020-07-07,GA,2233272,0,0
2020-07-08,GA,2233272,128,0
2020-07-09,GA,2233272,0,0
2020-07-10,GA,2233272,71,0
2020-07-11,GA,2233272,0,0
2020-07-12,GA,2233272,0,0
2020-07-13,GA,2233272,84,0
2020-07-14,GA,2233272,0,0
2020-07-15,GA,2233272,95,0
2020-07-16,GA,2233272,0,0
