date,countrycode,population,cases,deaths
2020-03-11,GB,66647112,0,0
2020-03-12,GB,66647112,0,0
2020-03-13,GB,66647112,342,0
2020-03-14,GB,66647112,342,13
2020-03-15,GB,66647112,1,0
2020-03-16,GB,66647112,407,35
2020-03-17,GB,66647112,409,0
2020-03-18,GB,66647112,682,16
2020-03-19,GB,66647112,74,66
2020-03-20,GB,66647112,1298,40
2020-03-21,GB,66647112,1053,56
2020-03-22,GB,66647112,674,48
2020-03-23,GB,66647112,985,54
2020-03-24,GB,66647112,1438,87
2020-03-25,GB,66647112,1476,43
2020-03-26,GB,66647112,2172,114
2020-03-27,GB,66647112,2933,181
2020-03-28,GB,66647112,2567,260
2020-03-29,GB,66647112,2468,210
2020-03-30,GB,66647112,2673,180
2020-03-31,GB,66647112,3028,382
2020-04-01,GB,66647112,4384,564
2020-04-02,GB,66647112,4308,569
2020-04-03,GB,66647112,4516,685
2020-04-04,GB,66647112,3788,709
2020-04-05,GB,66647112,5959,623
2020-04-06,GB,66647112,3843,442
2020-04-07,GB,66647112,3670,786
2020-04-08,GB,66647112,5525,940
2020-04-09,GB,66647112,4398,882
2020-04-10,GB,66647112,8733,981
2020-04-11,GB,66647112,5269,918
2020-04-12,GB,66647112,5332,737
2020-04-13,GB,66647112,4364,718
2020-04-14,GB,66647112,5275,782
2020-04-15,GB,66647112,4638,765
2020-04-16,GB,66647112,4662,865
2020-04-17,GB,66647112,5624,848
2020-04-18,GB,66647112,5545,891
2020-04-19,GB,66647112,5858,597
2020-04-20,GB,66647112,4684,455
2020-04-21,GB,66647112,4316,828
2020-04-22,GB,66647112,4466,773
2020-04-23,GB,66647112,4608,640
2020-04-24,GB,66647112,5394,776
2020-04-25,GB,66647112,4929,814
2020-04-26,GB,66647112,4468,413
2020-04-27,GB,66647112,4311,363
2020-04-28,GB,66647112,4002,588
2020-04-29,GB,66647112,4091,4421
2020-04-30,GB,66647112,6040,676
2020-05-01,GB,66647112,6204,741
2020-05-02,GB,66647112,4815,622
2020-05-03,GB,66647112,4342,315
2020-05-04,GB,66647112,3990,289
2020-05-05,GB,66647112,4411,692
2020-05-06,GB,66647112,6116,649
2020-05-07,GB,66647112,5618,539
2020-05-08,GB,66647112,4652,627
2020-05-09,GB,66647112,3896,346
2020-05-10,GB,66647112,3924,268
2020-05-11,GB,66647112,3883,211
2020-05-12,GB,66647112,3409,628
2020-05-13,GB,66647112,3244,495
2020-05-14,GB,66647112,3455,429
2020-05-15,GB,66647112,3564,385
2020-05-16,GB,66647112,3457,468
2020-05-17,GB,66647112,3534,170
2020-05-18,GB,66647112,2714,160
2020-05-19,GB,66647112,2429,546
2020-05-20,GB,66647112,-519,364
2020-05-21,GB,66647112,2627,338
2020-05-22,GB,66647112,3298,351
2020-05-23,GB,66647112,2960,282
2020-05-24,GB,66647112,2412,118
2020-05-25,GB,66647112,1631,121
2020-05-26,GB,66647112,4052,134
2020-05-27,GB,66647112,2020,412
2020-05-28,GB,66647112,1889,377
2020-05-29,GB,66647112,2099,324
2020-05-30,GB,66647112,1612,215
2020-05-31,GB,66647112,1937,113
2020-06-01,GB,66647112,1580,556
2020-06-02,GB,66647112,1656,325
2020-06-03,GB,66647112,1878,359
2020-06-04,GB,66647112,1809,176
2020-06-05,GB,66647112,1655,357
2020-06-06,GB,66647112,1560,204
2020-06-07,GB,66647112,1327,77
2020-06-08,GB,66647112,1213,55
2020-06-09,GB,66647112,1747,288
2020-06-10,GB,66647112,1007,245
2020-06-11,GB,66647112,1272,151
2020-06-12,GB,66647112,1542,202
2020-06-13,GB,66647112,1426,181
2020-06-14,GB,66647112,1514,36
2020-06-15,GB,66647112,973,38
2020-06-16,GB,66647112,1285,233
2020-06-17,GB,66647112,1117,184
2020-06-18,GB,66647112,1218,135
2020-06-19,GB,66647112,1350,173
