date,countrycode,population,cases,deaths
2020-02-26,GE,3716858,0,0
2020-02-27,GE,3716858,0,0
2020-02-28,GE,3716858,0,0
2020-02-29,GE,3716858,0,0
2020-03-01,GE,3716858,2,0
2020-03-02,GE,3716858,0,0
2020-03-03,GE,3716858,0,0
2020-03-04,GE,3716858,0,0
2020-03-05,GE,3716858,1,0
2020-03-06,GE,3716858,0,0
2020-03-07,GE,3716858,0,0
2020-03-08,GE,3716858,9,0
2020-03-09,GE,3716858,2,0
2020-03-10,GE,3716858,0,0
2020-03-11,GE,3716858,9,0
2020-03-12,GE,3716858,0,0
2020-03-13,GE,3716858,1,0
2020-03-14,GE,3716858,5,0
2020-03-15,GE,3716858,3,0
2020-03-16,GE,3716858,0,0
2020-03-17,GE,3716858,1,0
2020-03-18,GE,3716858,4,0
2020-03-19,GE,3716858,2,0
2020-03-20,GE,3716858,3,0
2020-03-21,GE,3716858,6,0
2020-03-22,GE,3716858,5,0
2020-03-23,GE,3716858,7,0
2020-03-24,GE,3716858,9,0
2020-03-25,GE,3716858,5,0
2020-03-26,GE,3716858,4,0
2020-03-27,GE,3716858,4,0
2020-03-28,GE,3716858,7,0
2020-03-29,GE,3716858,1,0
2020-03-30,GE,3716858,12,0
2020-03-31,GE,3716858,7,0
2020-04-01,GE,3716858,7,0
2020-04-02,GE,3716858,17,0
2020-04-03,GE,3716858,21,0
2020-04-04,GE,3716858,7,1
2020-04-05,GE,3716858,12,1
2020-04-06,GE,3716858,14,0
2020-04-07,GE,3716858,8,1
2020-04-08,GE,3716858,15,0
2020-04-09,GE,3716858,7,0
2020-04-10,GE,3716858,16,0
2020-04-11,GE,3716858,8,0
2020-04-12,GE,3716858,15,0
2020-04-13,GE,3716858,15,0
2020-04-14,GE,3716858,28,0
2020-04-15,GE,3716858,6,0
2020-04-16,GE,3716858,42,0
2020-04-17,GE,3716858,22,0
2020-04-18,GE,3716858,18,1
2020-04-19,GE,3716858,6,0
2020-04-20,GE,3716858,8,0
2020-04-21,GE,3716858,6,0
2020-04-22,GE,3716858,8,1
2020-04-23,GE,3716858,9,0
2020-04-24,GE,3716858,19,0
2020-04-25,GE,3716858,12,0
2020-04-26,GE,3716858,30,1
2020-04-27,GE,3716858,11,0
2020-04-28,GE,3716858,14,0
2020-04-29,GE,3716858,6,0
2020-04-30,GE,3716858,22,0
2020-05-01,GE,3716858,27,1
2020-05-02,GE,3716858,16,1
2020-05-03,GE,3716858,7,1
2020-05-04,GE,3716858,4,0
2020-05-05,GE,3716858,11,0
2020-05-06,GE,3716858,6,0
2020-05-07,GE,3716858,5,0
2020-05-08,GE,3716858,8,1
2020-05-09,GE,3716858,3,0
2020-05-10,GE,3716858,9,0
2020-05-11,GE,3716858,3,1
2020-05-12,GE,3716858,4,0
2020-05-13,GE,3716858,5,0
2020-05-14,GE,3716858,20,1
2020-05-15,GE,3716858,4,0
2020-05-16,GE,3716858,12,0
2020-05-17,GE,3716858,12,0
2020-05-18,GE,3716858,6,0
2020-05-19,GE,3716858,6,0
2020-05-20,GE,3716858,6,0
2020-05-21,GE,3716858,8,0
2020-05-22,GE,3716858,2,0
2020-05-23,GE,3716858,5,0
2020-05-24,GE,3716858,2,0
2020-05-25,GE,3716858,1,0
2020-05-26,GE,3716858,1,0
2020-05-27,GE,3716858,3,0
2020-05-28,GE,3716858,3,0
2020-05-29,GE,3716858,8,0
2020-05-30,GE,3716858,11,0
2020-05-31,GE,3716858,26,0
2020-06-01,GE,3716858,11,0
2020-06-02,GE,3716858,2,1
2020-06-03,GE,3716858,4,0
2020-06-04,GE,3716858,1,0
2020-06-05,GE,3716858,4,0
2020-06-06,GE,3716858,3,0
2020-06-07,GE,3716858,1,0
2020-06-08,GE,3716858,3,0
2020-06-09,GE,3716858,6,0
2020-06-10,GE,3716858,9,0
2020-06-11,GE,3716858,4,0
2020-06-12,GE,3716858,12,0
2020-06-13,GE,3716858,8,1
2020-06-14,GE,3716858,13,0
2020-06-15,GE,3716858,15,0
2020-06-16,GE,3716858,0,0
2020-06-17,GE,3716858,9,0
2020-06-18,GE,3716858,5,0
2020-06-19,GE,3716858,3,0
2020-06-20,GE,3716858,2,0
2020-06-21,GE,3716858,8,0
2020-06-22,GE,3716858,2,0
2020-06-23,GE,3716858,3,0
2020-06-24,GE,3716858,3,0
2020-06-25,GE,3716858,3,0
2020-06-26,GE,3716858,2,0
2020-06-27,GE,3716858,2,0
2020-06-28,GE,3716858,3,1
2020-06-29,GE,3716858,2,0
2020-06-30,GE,3716858,2,0
2020-07-01,GE,3716858,3,0
2020-07-02,GE,3716858,8,0
2020-07-03,GE,3716858,4,0
2020-07-04,GE,3716858,5,0
2020-07-05,GE,3716858,3,0
2020-07-06,GE,3716858,2,0
2020-07-07,GE,3716858,5,0
2020-07-08,GE,3716858,5,0
2020-07-09,GE,3716858,5,0
2020-07-10,GE,3716858,5,0
2020-07-11,GE,3716858,8,0
2020-07-12,GE,3716858,5,0
2020-07-13,GE,3716858,9,0
2020-07-14,GE,3716858,4,0
2020-07-15,GE,3716858,5,0
2020-07-16,GE,3716858,2,0
2020-07-17,GE,3716858,4,0
2020-07-18,GE,3716858,8,0
2020-07-19,GE,3716858,10,0
2020-07-20,GE,3716858,11,1
2020-07-21,GE,3716858,10,0
2020-07-22,GE,3716858,24,0
2020-07-23,GE,3716858,12,0
2020-07-24,GE,3716858,19,0
2020-07-25,GE,3716858,13,0
2020-07-26,GE,3716858,14,0
2020-07-27,GE,3716858,6,0
2020-07-28,GE,3716858,8,0
2020-07-29,GE,3716858,10,1
2020-07-30,GE,3716858,5,0
2020-07-31,GE,3716858,8,0
2020-08-01,GE,3716858,3,0
2020-08-02,GE,3716858,6,0
2020-08-03,GE,3716858,2,0
2020-08-04,GE,3716858,3,0
2020-08-05,GE,3716858,15,0
2020-08-06,GE,3716858,9,0
2020-08-07,GE,3716858,7,0
2020-08-08,GE,3716858,3,0
2020-08-09,GE,3716858,9,0
2020-08-10,GE,3716858,25,0
2020-08-11,GE,3716858,14,0
2020-08-12,GE,3716858,14,0
2020-08-13,GE,3716858,5,0
2020-08-14,GE,3716858,23,0
2020-08-15,GE,3716858,15,0
2020-08-16,GE,3716858,15,0
2020-08-17,GE,3716858,5,0
2020-08-18,GE,3716858,10,0
2020-08-19,GE,3716858,10,0
2020-08-20,GE,3716858,9,0
2020-08-21,GE,3716858,15,0
2020-08-22,GE,3716858,9,0
2020-08-23,GE,3716858,17,0
2020-08-24,GE,3716858,10,1
2020-08-25,GE,3716858,8,1
2020-08-26,GE,3716858,7,0
2020-08-27,GE,3716858,11,0
2020-08-28,GE,3716858,8,0
2020-08-29,GE,3716858,7,0
2020-08-30,GE,3716858,7,0
2020-08-31,GE,3716858,18,0
2020-09-01,GE,3716858,23,0
2020-09-02,GE,3716858,38,0
2020-09-03,GE,3716858,20,0
2020-09-04,GE,3716858,28,0
2020-09-05,GE,3716858,25,0
2020-09-06,GE,3716858,29,0
2020-09-07,GE,3716858,34,0
2020-09-08,GE,3716858,45,0
2020-09-09,GE,3716858,44,0
2020-09-10,GE,3716858,57,0
2020-09-11,GE,3716858,87,0
2020-09-12,GE,3716858,158,0
2020-09-13,GE,3716858,152,0
2020-09-14,GE,3716858,165,0
2020-09-15,GE,3716858,170,0
2020-09-16,GE,3716858,196,0
2020-09-17,GE,3716858,179,0
2020-09-18,GE,3716858,182,0
2020-09-19,GE,3716858,187,0
2020-09-20,GE,3716858,196,0
2020-09-21,GE,3716858,193,1
2020-09-22,GE,3716858,218,3
2020-09-23,GE,3716858,227,2
2020-09-24,GE,3716858,259,1
2020-09-25,GE,3716858,265,1
2020-09-26,GE,3716858,296,1
2020-09-27,GE,3716858,294,0
2020-09-28,GE,3716858,298,4
2020-09-29,GE,3716858,314,4
2020-09-30,GE,3716858,326,3
2020-10-01,GE,3716858,448,2
2020-10-02,GE,3716858,453,5
2020-10-03,GE,3716858,471,2
2020-10-04,GE,3716858,554,2
2020-10-05,GE,3716858,578,4
2020-10-06,GE,3716858,549,4
2020-10-07,GE,3716858,508,5
2020-10-08,GE,3716858,472,3
2020-10-09,GE,3716858,527,6
2020-10-10,GE,3716858,519,6
2020-10-11,GE,3716858,523,7
2020-10-12,GE,3716858,478,8
2020-10-13,GE,3716858,569,9
2020-10-14,GE,3716858,680,7
2020-10-15,GE,3716858,919,4
2020-10-16,GE,3716858,887,11
2020-10-17,GE,3716858,958,4
2020-10-18,GE,3716858,1192,8
2020-10-19,GE,3716858,1186,7
2020-10-20,GE,3716858,1194,15
2020-10-21,GE,3716858,1351,14
2020-10-22,GE,3716858,1595,6
2020-10-23,GE,3716858,1759,5
2020-10-24,GE,3716858,1941,10
2020-10-25,GE,3716858,1928,8
2020-10-26,GE,3716858,1872,14
2020-10-27,GE,3716858,1824,23
2020-10-28,GE,3716858,1731,15
2020-10-29,GE,3716858,1709,20
2020-10-30,GE,3716858,1696,12
2020-10-31,GE,3716858,1673,22
2020-11-01,GE,3716858,1791,28
2020-11-02,GE,3716858,1852,7
2020-11-03,GE,3716858,1943,20
2020-11-04,GE,3716858,2295,19
2020-11-05,GE,3716858,2401,20
2020-11-06,GE,3716858,2775,22
2020-11-07,GE,3716858,2859,18
2020-11-08,GE,3716858,2901,34
2020-11-09,GE,3716858,2927,24
2020-11-10,GE,3716858,2970,22
2020-11-11,GE,3716858,2911,45
2020-11-12,GE,3716858,3120,33
2020-11-13,GE,3716858,3473,37
2020-11-14,GE,3716858,3504,33
2020-11-15,GE,3716858,3020,34
2020-11-16,GE,3716858,3157,30
2020-11-17,GE,3716858,3117,45
2020-11-18,GE,3716858,3443,37
2020-11-19,GE,3716858,3697,38
2020-11-20,GE,3716858,3768,41
2020-11-21,GE,3716858,3824,33
2020-11-22,GE,3716858,4048,49
2020-11-23,GE,3716858,3958,36
2020-11-24,GE,3716858,3128,39
2020-11-25,GE,3716858,3071,34
2020-11-26,GE,3716858,3801,39
2020-11-27,GE,3716858,4780,37
2020-11-28,GE,3716858,4472,34
2020-11-29,GE,3716858,4426,35
2020-11-30,GE,3716858,3216,37
2020-12-01,GE,3716858,3759,36
2020-12-02,GE,3716858,4033,39
2020-12-03,GE,3716858,4260,45
2020-12-04,GE,3716858,5068,38
2020-12-05,GE,3716858,5450,37
2020-12-06,GE,3716858,4321,42
2020-12-07,GE,3716858,2501,36
2020-12-08,GE,3716858,4673,36
2020-12-09,GE,3716858,4734,38
2020-12-10,GE,3716858,4570,43
2020-12-11,GE,3716858,4146,37
2020-12-12,GE,3716858,3907,50
2020-12-13,GE,3716858,2720,46
2020-12-14,GE,3716858,1337,49
2020-12-15,GE,3716858,3837,44
2020-12-16,GE,3716858,3487,39
2020-12-17,GE,3716858,2981,31
2020-12-18,GE,3716858,2635,49
2020-12-19,GE,3716858,2904,53
2020-12-20,GE,3716858,1731,39
2020-12-21,GE,3716858,824,46
2020-12-22,GE,3716858,3064,42
2020-12-23,GE,3716858,2345,51
2020-12-24,GE,3716858,1972,43
2020-12-25,GE,3716858,1881,37
2020-12-26,GE,3716858,1784,39
2020-12-27,GE,3716858,1097,25
2020-12-28,GE,3716858,538,41
