date,countrycode,population,cases,deaths
2020-03-15,GQ,1454789,0,0
2020-03-16,GQ,1454789,0,0
2020-03-17,GQ,1454789,0,0
2020-03-18,GQ,1454789,3,0
2020-03-19,GQ,1454789,2,0
2020-03-20,GQ,1454789,0,0
2020-03-21,GQ,1454789,0,0
2020-03-22,GQ,1454789,0,0
2020-03-23,GQ,1454789,3,0
2020-03-24,GQ,1454789,0,0
2020-03-25,GQ,1454789,0,0
2020-03-26,GQ,1454789,3,0
2020-03-27,GQ,1454789,0,0
2020-03-28,GQ,1454789,0,0
2020-03-29,GQ,1454789,0,0
2020-03-30,GQ,1454789,0,0
2020-03-31,GQ,1454789,0,0
2020-04-01,GQ,1454789,3,0
2020-04-02,GQ,1454789,0,0
2020-04-03,GQ,1454789,1,0
2020-04-04,GQ,1454789,0,0
2020-04-05,GQ,1454789,0,0
2020-04-06,GQ,1454789,0,0
2020-04-07,GQ,1454789,0,0
2020-04-08,GQ,1454789,2,0
2020-04-09,GQ,1454789,0,0
2020-04-10,GQ,1454789,0,0
2020-04-11,GQ,1454789,0,0
2020-04-12,GQ,1454789,3,0
2020-04-13,GQ,1454789,0,0
2020-04-14,GQ,1454789,20,0
2020-04-15,GQ,1454789,10,0
2020-04-16,GQ,1454789,0,0
2020-04-17,GQ,1454789,28,0
2020-04-18,GQ,1454789,0,0
2020-04-19,GQ,1454789,0,0
2020-04-20,GQ,1454789,0,0
2020-04-21,GQ,1454789,4,0
2020-04-22,GQ,1454789,1,1
2020-04-23,GQ,1454789,0,0
2020-04-24,GQ,1454789,130,0
2020-04-25,GQ,1454789,44,0
2020-04-26,GQ,1454789,0,0
2020-04-27,GQ,1454789,0,0
2020-04-28,GQ,1454789,57,0
2020-04-29,GQ,1454789,0,0
2020-04-30,GQ,1454789,0,0
2020-05-01,GQ,1454789,0,0
2020-05-02,GQ,1454789,0,0
2020-05-03,GQ,1454789,0,0
2020-05-04,GQ,1454789,0,2
2020-05-05,GQ,1454789,0,0
