date,countrycode,population,cases,deaths
2020-02-26,GR,10724599,0,0
2020-02-27,GR,10724599,2,0
2020-02-28,GR,10724599,1,0
2020-02-29,GR,10724599,0,0
2020-03-01,GR,10724599,3,0
2020-03-02,GR,10724599,0,0
2020-03-03,GR,10724599,0,0
2020-03-04,GR,10724599,2,0
2020-03-05,GR,10724599,22,0
2020-03-06,GR,10724599,14,0
2020-03-07,GR,10724599,1,0
2020-03-08,GR,10724599,27,0
2020-03-09,GR,10724599,0,0
2020-03-10,GR,10724599,16,0
2020-03-11,GR,10724599,10,1
2020-03-12,GR,10724599,0,0
2020-03-13,GR,10724599,91,0
2020-03-14,GR,10724599,38,2
2020-03-15,GR,10724599,103,1
2020-03-16,GR,10724599,0,0
2020-03-17,GR,10724599,56,1
2020-03-18,GR,10724599,31,0
2020-03-19,GR,10724599,0,1
2020-03-20,GR,10724599,77,0
2020-03-21,GR,10724599,35,7
2020-03-22,GR,10724599,94,2
2020-03-23,GR,10724599,71,2
2020-03-24,GR,10724599,48,3
2020-03-25,GR,10724599,78,2
2020-03-26,GR,10724599,71,4
2020-03-27,GR,10724599,74,2
2020-03-28,GR,10724599,95,4
2020-03-29,GR,10724599,95,6
2020-03-30,GR,10724599,56,5
2020-03-31,GR,10724599,102,6
2020-04-01,GR,10724599,101,1
2020-04-02,GR,10724599,129,3
2020-04-03,GR,10724599,69,10
2020-04-04,GR,10724599,60,5
2020-04-05,GR,10724599,62,5
2020-04-06,GR,10724599,20,6
2020-04-07,GR,10724599,77,2
2020-04-08,GR,10724599,52,2
2020-04-09,GR,10724599,71,4
2020-04-10,GR,10724599,56,5
2020-04-11,GR,10724599,70,1
2020-04-12,GR,10724599,33,5
2020-04-13,GR,10724599,31,1
2020-04-14,GR,10724599,25,2
2020-04-15,GR,10724599,22,1
2020-04-16,GR,10724599,15,3
2020-04-17,GR,10724599,17,3
2020-04-18,GR,10724599,11,2
2020-04-19,GR,10724599,0,3
2020-04-20,GR,10724599,10,3
2020-04-21,GR,10724599,156,5
2020-04-22,GR,10724599,7,0
2020-04-23,GR,10724599,55,4
2020-04-24,GR,10724599,27,5
2020-04-25,GR,10724599,16,0
2020-04-26,GR,10724599,11,4
2020-04-27,GR,10724599,17,2
2020-04-28,GR,10724599,32,2
2020-04-29,GR,10724599,10,1
2020-04-30,GR,10724599,15,1
2020-05-01,GR,10724599,21,0
2020-05-02,GR,10724599,8,3
2020-05-03,GR,10724599,6,1
2020-05-04,GR,10724599,6,2
2020-05-05,GR,10724599,10,0
2020-05-06,GR,10724599,21,1
2020-05-07,GR,10724599,15,1
2020-05-08,GR,10724599,13,2
2020-05-09,GR,10724599,19,1
2020-05-10,GR,10724599,6,0
2020-05-11,GR,10724599,10,0
2020-05-12,GR,10724599,18,1
2020-05-13,GR,10724599,16,3
2020-05-14,GR,10724599,10,1
2020-05-15,GR,10724599,40,4
2020-05-16,GR,10724599,9,2
2020-05-17,GR,10724599,15,1
2020-05-18,GR,10724599,2,2
2020-05-19,GR,10724599,4,0
2020-05-20,GR,10724599,10,1
2020-05-21,GR,10724599,3,2
2020-05-22,GR,10724599,21,1
2020-05-23,GR,10724599,2,2
2020-05-24,GR,10724599,2,0
2020-05-25,GR,10724599,4,1
2020-05-26,GR,10724599,10,1
2020-05-27,GR,10724599,11,0
2020-05-28,GR,10724599,3,2
2020-05-29,GR,10724599,3,0
2020-05-30,GR,10724599,6,0
2020-05-31,GR,10724599,2,0
2020-06-01,GR,10724599,1,4
2020-06-02,GR,10724599,19,0
2020-06-03,GR,10724599,0,0
2020-06-04,GR,10724599,15,1
2020-06-05,GR,10724599,15,0
2020-06-06,GR,10724599,13,0
2020-06-07,GR,10724599,17,0
2020-06-08,GR,10724599,52,2
2020-06-09,GR,10724599,9,1
2020-06-10,GR,10724599,10,0
2020-06-11,GR,10724599,20,0
2020-06-12,GR,10724599,20,0
2020-06-13,GR,10724599,4,0
2020-06-14,GR,10724599,9,0
2020-06-15,GR,10724599,13,1
2020-06-16,GR,10724599,14,1
2020-06-17,GR,10724599,55,2
2020-06-18,GR,10724599,24,1
2020-06-19,GR,10724599,10,1
2020-06-20,GR,10724599,19,1
2020-06-21,GR,10724599,10,0
2020-06-22,GR,10724599,21,0
2020-06-23,GR,10724599,15,0
2020-06-24,GR,10724599,8,0
2020-06-25,GR,10724599,11,1
2020-06-26,GR,10724599,22,0
2020-06-27,GR,10724599,23,0
2020-06-28,GR,10724599,10,0
2020-06-29,GR,10724599,14,0
2020-06-30,GR,10724599,19,1
2020-07-01,GR,10724599,23,0
2020-07-02,GR,10724599,26,0
2020-07-03,GR,10724599,28,0
2020-07-04,GR,10724599,25,0
2020-07-05,GR,10724599,8,0
2020-07-06,GR,10724599,43,0
2020-07-07,GR,10724599,27,1
2020-07-08,GR,10724599,33,0
2020-07-09,GR,10724599,50,0
2020-07-10,GR,10724599,60,0
2020-07-11,GR,10724599,40,0
2020-07-12,GR,10724599,31,0
2020-07-13,GR,10724599,23,0
2020-07-14,GR,10724599,57,0
2020-07-15,GR,10724599,27,0
2020-07-16,GR,10724599,29,0
2020-07-17,GR,10724599,25,1
2020-07-18,GR,10724599,19,0
2020-07-19,GR,10724599,24,0
2020-07-20,GR,10724599,5,1
2020-07-21,GR,10724599,36,2
2020-07-22,GR,10724599,29,3
2020-07-23,GR,10724599,33,1
2020-07-24,GR,10724599,25,0
2020-07-25,GR,10724599,31,0
2020-07-26,GR,10724599,27,1
2020-07-27,GR,10724599,34,0
2020-07-28,GR,10724599,52,1
2020-07-29,GR,10724599,57,0
2020-07-30,GR,10724599,65,0
2020-07-31,GR,10724599,76,3
2020-08-01,GR,10724599,110,0
2020-08-02,GR,10724599,75,2
2020-08-03,GR,10724599,75,1
2020-08-04,GR,10724599,118,0
2020-08-05,GR,10724599,119,1
2020-08-06,GR,10724599,149,0
2020-08-07,GR,10724599,147,0
2020-08-08,GR,10724599,151,1
2020-08-09,GR,10724599,202,1
2020-08-10,GR,10724599,126,1
2020-08-11,GR,10724599,193,1
2020-08-12,GR,10724599,235,2
2020-08-13,GR,10724599,204,5
2020-08-14,GR,10724599,251,2
2020-08-15,GR,10724599,226,3
2020-08-16,GR,10724599,217,2
2020-08-17,GR,10724599,147,2
2020-08-18,GR,10724599,250,2
2020-08-19,GR,10724599,212,3
2020-08-20,GR,10724599,250,0
2020-08-21,GR,10724599,204,3
2020-08-22,GR,10724599,243,2
2020-08-23,GR,10724599,283,2
2020-08-24,GR,10724599,155,0
2020-08-25,GR,10724599,168,1
2020-08-26,GR,10724599,293,5
2020-08-27,GR,10724599,251,6
2020-08-28,GR,10724599,269,5
2020-08-29,GR,10724599,177,1
2020-08-30,GR,10724599,157,2
2020-08-31,GR,10724599,183,4
2020-09-01,GR,10724599,207,5
2020-09-02,GR,10724599,233,2
2020-09-03,GR,10724599,241,5
2020-09-04,GR,10724599,202,1
2020-09-05,GR,10724599,186,1
2020-09-06,GR,10724599,138,4
2020-09-07,GR,10724599,139,5
2020-09-08,GR,10724599,169,1
2020-09-09,GR,10724599,248,3
2020-09-10,GR,10724599,372,4
2020-09-11,GR,10724599,282,3
2020-09-12,GR,10724599,302,2
2020-09-13,GR,10724599,204,3
2020-09-14,GR,10724599,180,5
2020-09-15,GR,10724599,310,3
2020-09-16,GR,10724599,311,3
2020-09-17,GR,10724599,359,9
2020-09-18,GR,10724599,338,2
2020-09-19,GR,10724599,240,4
2020-09-20,GR,10724599,164,7
2020-09-21,GR,10724599,453,6
2020-09-22,GR,10724599,333,8
2020-09-23,GR,10724599,358,5
2020-09-24,GR,10724599,341,9
